SOTA Summits List (Date=05/06/2026)
SummitCode,AssociationName,RegionName,SummitName,AltM,AltFt,GridRef1,GridRef2,Longitude,Latitude,Points,BonusPoints,ValidFrom,ValidTo,ActivationCount,ActivationDate,ActivationCall
4X/NI-001,Israel,"North Israel","Mount Meron",1204,3950,35.4137,32.99765,35.41370,32.99765,10,3,01/09/2017,31/12/2099,5,01/05/2023,4X/KC0NAH
4X/NI-002,Israel,"North Israel",4X/NI-002,1007,3304,35.3723,33.0323,35.37230,33.03230,8,0,01/09/2017,31/12/2099,6,01/05/2023,4X/KC0NAH
4X/NI-003,Israel,"North Israel",4X/NI-003,954,3130,35.5034,32.9839,35.50340,32.98390,8,0,01/09/2017,31/12/2099,3,01/05/2023,4X/KC0NAH
4X/NI-004,Israel,"North Israel",4X/NI-004,814,2671,35.3409,33.0114,35.34090,33.01140,6,0,01/09/2017,31/12/2099,3,19/06/2022,4Z5OI/P
4X/NI-005,Israel,"North Israel",Kamon,602,1975,35.3617,32.9086,35.36170,32.90860,6,0,01/09/2017,31/12/2099,4,17/12/2025,4Z5PE/P
4X/NI-006,Israel,"North Israel",4X/NI-006,583,1913,35.4028,32.9000,35.40280,32.90000,4,0,01/09/2017,31/12/2099,1,01/04/2021,4Z5OI/P
4X/NI-007,Israel,"North Israel",4X/NI-007,560,1837,35.3354,32.7227,35.33540,32.72270,4,0,01/09/2017,31/12/2099,1,03/01/2018,4X/W1DMH
4X/NI-008,Israel,"North Israel","Mount Tabor",560,1837,35.3896,32.6873,35.38960,32.68730,4,0,01/09/2017,31/12/2099,3,13/06/2023,4X6FB/P
4X/NI-009,Israel,"North Israel",4X/NI-009,548,1798,35.3745,32.7961,35.37450,32.79610,2,0,01/09/2017,31/12/2099,3,24/09/2025,4Z5OI/P
4X/NI-010,Israel,"North Israel","Mount Carmel",543,1781,35.0500,32.7304,35.05000,32.73040,2,0,01/09/2017,31/12/2099,5,17/11/2023,4X6FB/P
4X/NI-011,Israel,"North Israel","Givat Hamore",515,1690,35.3578,32.6178,35.35780,32.61780,2,0,01/09/2017,31/12/2099,0,,
4X/NI-012,Israel,"North Israel",4X/NI-012,510,1673,35.1642,32.5133,35.16420,32.51330,2,0,01/09/2017,31/12/2099,0,,
4X/NI-013,Israel,"North Israel",4X/NI-013,520,1706,35.3737,32.8487,35.37370,32.84870,2,0,01/09/2017,31/12/2099,1,15/11/2020,4Z5OI/P
4X/NI-014,Israel,"North Israel",4X/NI-014,360,1181,35.5186,32.6742,35.51860,32.67420,1,0,01/09/2017,31/12/2099,1,15/10/2022,4Z5OI/P
4X/NI-015,Israel,"North Israel",4X/NI-015,300,984,35.5213,32.5956,35.52130,32.59560,1,0,01/09/2017,31/12/2099,4,06/05/2024,4X/SQ9MDN/P
4X/SI-001,Israel,"South Israel","Mount Ramon",1035,3396,34.6358,30.5024,34.63580,30.50240,8,0,01/09/2017,31/12/2099,3,13/05/2022,4Z5OT
4X/SI-002,Israel,"South Israel","Mount Sharp",990,3248,34.6117,30.3708,34.61170,30.37080,8,0,01/09/2017,31/12/2099,0,,
4X/SI-003,Israel,"South Israel","Mount Arif",953,3127,34.7339,30.4258,34.73390,30.42580,8,0,01/09/2017,31/12/2099,0,,
4X/SI-004,Israel,"South Israel",4X/SI-004,862,2828,34.8155,30.5587,34.81550,30.55870,8,0,01/09/2017,31/12/2099,0,,
4X/SI-005,Israel,"South Israel",4X/SI-005,837,2746,34.7429,30.2881,34.74290,30.28810,6,0,01/09/2017,31/12/2099,0,,
4X/SI-006,Israel,"South Israel",4X/SI-006,707,2320,34.8993,30.8945,34.89930,30.89450,6,0,01/09/2017,31/12/2099,0,,
4X/SI-007,Israel,"South Israel",4X/SI-007,571,1873,34.9875,30.5313,34.98750,30.53130,4,0,01/09/2017,31/12/2099,0,,
4X/SI-008,Israel,"South Israel",4X/SI-008,566,1857,35.0057,30.4489,35.00570,30.44890,4,0,01/09/2017,31/12/2099,0,,
4X/SI-009,Israel,"South Israel","Mount Timna",447,1467,34.9702,29.7802,34.97020,29.78020,1,0,01/09/2017,31/12/2099,0,,
4X/SI-010,Israel,"South Israel","Mount Incident",403,1322,34.9739,29.7457,34.97390,29.74570,1,0,01/09/2017,31/12/2099,0,,
