SOTA Summits List (Date=05/06/2026)
SummitCode,AssociationName,RegionName,SummitName,AltM,AltFt,GridRef1,GridRef2,Longitude,Latitude,Points,BonusPoints,ValidFrom,ValidTo,ActivationCount,ActivationDate,ActivationCall
5B/CY-001,Cyprus,Cyprus,"Χιονίστρα (Chionistra)",1950,6397,32.8644,34.9364,32.86440,34.93640,10,3,01/02/2019,31/12/2099,33,05/12/2025,5B/IV3NGF
5B/CY-002,Cyprus,Cyprus,"Μαδαρή (Madari)",1613,5291,32.9946,34.9549,32.99460,34.95490,10,3,01/02/2019,31/12/2099,24,17/05/2026,5B8AP/P
5B/CY-003,Cyprus,Cyprus,"Παπούτσα (Papoutsa)",1554,5098,33.0586,34.8997,33.05860,34.89970,10,3,01/02/2019,31/12/2099,14,05/12/2025,5B/IV3NGF
5B/CY-004,Cyprus,Cyprus,"Κιόνια (Kionia)",1416,4645,33.1922,34.9203,33.19220,34.92030,10,3,01/02/2019,31/12/2099,5,07/12/2025,5B/M0WML/P
5B/CY-005,Cyprus,Cyprus,"Μούττη της Τρεμεθουσάρας (Moutti tis Tremethousaras)",1407,4616,32.6808,34.9947,32.68080,34.99470,10,3,01/02/2019,31/12/2099,9,05/12/2025,5B/M0WML/P
5B/CY-006,Cyprus,Cyprus,"Μούττη τους Σιλλλινιδες (Moutti tous Chillinides)",1395,4576,33.1489,34.9081,33.14890,34.90810,10,3,01/02/2019,31/12/2099,4,26/11/2025,5B/SP9EAT/P
5B/CY-007,Cyprus,Cyprus,"Θρονί (Throni)",1317,4320,32.7311,34.9828,32.73110,34.98280,10,3,01/02/2019,31/12/2099,13,06/12/2025,5B/IV3NGF
5B/CY-008,Cyprus,Cyprus,"Κοκκινόκρεμμος (Kokkinokremmos)",1246,4087,32.7378,34.9550,32.73780,34.95500,8,0,01/02/2019,31/12/2099,1,24/11/2024,5B/HB9HCS/P
5B/CY-009,Cyprus,Cyprus,"Μούττη της Ζαχαρούς (Moutti tis Zacharous)",1212,3976,32.6214,35.0478,32.62140,35.04780,8,0,01/02/2019,31/12/2099,4,08/12/2025,5B/M0WML/P
5B/CY-010,Cyprus,Cyprus,"Μαυρογένης (Mavrogenis)",1189,3900,32.7622,34.9708,32.76220,34.97080,8,0,01/02/2019,31/12/2099,4,24/11/2025,5B/SP9EAT/P
5B/CY-011,Cyprus,Cyprus,"Μούττη της Λακερής (Moutti tis Lakeris)",1164,3818,33.1083,34.9469,33.10830,34.94690,8,0,01/02/2019,31/12/2099,4,26/11/2025,5B/SP9EAT/P
5B/CY-012,Cyprus,Cyprus,"Μούττη του Αφάμη (Moutti tou Afami)",1153,3782,32.8408,34.8517,32.84080,34.85170,8,0,01/02/2019,31/12/2099,7,03/12/2025,5B/M0WML/P
5B/CY-013,Cyprus,Cyprus,"Προφήτης Ηλίας (Profitis Elias)",1147,3763,32.6331,34.9042,32.63310,34.90420,8,0,01/02/2019,31/12/2099,7,28/11/2025,5B/SP9WLG/P
5B/CY-014,Cyprus,Cyprus,"Σέλλα (Sella)",1089,3572,32.7836,34.8625,32.78360,34.86250,6,0,01/02/2019,31/12/2099,4,04/10/2024,5B/HB9JOE/P
5B/CY-015,Cyprus,Cyprus,"Μούττη της Παπαθκιάς (Moutti tis Papadias)",1076,3530,32.7353,35.0233,32.73530,35.02330,6,0,01/02/2019,31/12/2099,3,26/11/2024,5B4AQX/P
5B/CY-016,Cyprus,Cyprus,"Μούττη τους Ανέμους (Moutti tous Anemous)",1044,3425,32.6413,34.9476,32.64130,34.94760,6,0,01/02/2019,31/12/2099,2,17/05/2019,5B/SQ9MDF/P
5B/CY-017,Cyprus,Cyprus,5B/CY-017,1011,3316,33.0456,34.8222,33.04560,34.82220,6,0,01/02/2019,31/12/2099,8,02/02/2025,5B4AQX/P
5B/CY-018,Cyprus,Cyprus,"Μούττη τους Φύτιλλους (Moutti tous Fitillous)",987,3238,32.6358,35.0817,32.63580,35.08170,6,0,01/02/2019,31/12/2099,3,23/11/2025,5B/SP9EAT/P
5B/CY-019,Cyprus,Cyprus,"Καλογυρκά (Kalogyria)",986,3234,32.6097,34.9664,32.60970,34.96640,6,0,01/02/2019,31/12/2099,1,07/03/2025,5B4AQX/P
5B/CY-020,Cyprus,Cyprus,"Μούττη του Τράγγουνα (Moutti tou Tragouna)",964,3162,32.7317,35.0839,32.73170,35.08390,6,0,01/02/2019,31/12/2099,1,20/06/2021,5B4APL/P
