SOTA Summits List (Date=05/06/2026)
SummitCode,AssociationName,RegionName,SummitName,AltM,AltFt,GridRef1,GridRef2,Longitude,Latitude,Points,BonusPoints,ValidFrom,ValidTo,ActivationCount,ActivationDate,ActivationCall
7P/BB-001,Lesotho,"Bophirima-le-Borwa Highlands","Thabana Ntlenyana",3482,11424,29.2692,-29.4683,29.26920,-29.46830,10,3,01/09/2025,31/12/2099,1,18/09/2025,7P8LZ
7P/BB-002,Lesotho,"Bophirima-le-Borwa Highlands",Makheka,3462,11358,29.2889,-29.2325,29.28890,-29.23250,10,3,01/09/2025,31/12/2099,0,,
7P/BB-003,Lesotho,"Bophirima-le-Borwa Highlands","Thaba Putsoa",3440,11286,29.2797,-29.4442,29.27970,-29.44420,10,3,01/09/2025,31/12/2099,0,,
7P/BB-004,Lesotho,"Bophirima-le-Borwa Highlands",Tsepeng,3431,11257,29.1139,-29.7347,29.11390,-29.73470,10,3,01/09/2025,31/12/2099,0,,
7P/BB-005,Lesotho,"Bophirima-le-Borwa Highlands",7P/BB-005,3401,11158,29.2853,-29.5136,29.28530,-29.51360,10,3,01/09/2025,31/12/2099,0,,
7P/BB-006,Lesotho,"Bophirima-le-Borwa Highlands",Seqoqo,3394,11135,29.1219,-29.5347,29.12190,-29.53470,10,3,01/09/2025,31/12/2099,0,,
7P/BB-007,Lesotho,"Bophirima-le-Borwa Highlands","Thaba Chitja",3390,11122,29.4064,-29.3331,29.40640,-29.33310,10,3,01/09/2025,31/12/2099,0,,
7P/BB-008,Lesotho,"Bophirima-le-Borwa Highlands",Macacacaneng,3355,11007,29.0319,-29.7097,29.03190,-29.70970,10,3,01/09/2025,31/12/2099,0,,
7P/BB-009,Lesotho,"Bophirima-le-Borwa Highlands",Moroke,3335,10942,29.0836,-29.765,29.08360,-29.76500,10,3,01/09/2025,31/12/2099,0,,
7P/BB-010,Lesotho,"Bophirima-le-Borwa Highlands",7P/BB-010,3320,10892,29.3719,-29.3467,29.37190,-29.34670,10,3,01/09/2025,31/12/2099,0,,
7P/BB-011,Lesotho,"Bophirima-le-Borwa Highlands",Sanqebethu,3301,10830,29.4186,-29.2597,29.41860,-29.25970,10,3,01/09/2025,31/12/2099,0,,
7P/BB-012,Lesotho,"Bophirima-le-Borwa Highlands",Matebeng,3288,10787,29.1453,-29.7181,29.14530,-29.71810,10,3,01/09/2025,31/12/2099,0,,
7P/BB-013,Lesotho,"Bophirima-le-Borwa Highlands","Cleft Peak",3277,10751,29.1672,-29.0022,29.16720,-29.00220,10,3,01/09/2025,31/12/2099,0,,
7P/BB-014,Lesotho,"Bophirima-le-Borwa Highlands",Mqatsheni,3276,10748,29.3031,-29.5556,29.30310,-29.55560,10,3,01/09/2025,31/12/2099,0,,
7P/BB-015,Lesotho,"Bophirima-le-Borwa Highlands",Lomo-se-Fubelu,3260,10696,29.1847,-29.0244,29.18470,-29.02440,10,3,01/09/2025,31/12/2099,0,,
7P/BB-016,Lesotho,"Bophirima-le-Borwa Highlands",7P/BB-016,3231,10600,29.0642,-28.9503,29.06420,-28.95030,10,3,01/09/2025,31/12/2099,0,,
7P/BB-017,Lesotho,"Bophirima-le-Borwa Highlands",7P/BB-017,3220,10564,29.2086,-29.6022,29.20860,-29.60220,10,3,01/09/2025,31/12/2099,0,,
7P/BB-018,Lesotho,"Bophirima-le-Borwa Highlands",Lithotobolong,3200,10499,29.0925,-28.9767,29.09250,-28.97670,10,3,01/09/2025,31/12/2099,0,,
7P/BB-019,Lesotho,"Bophirima-le-Borwa Highlands",7P/BB-019,3180,10433,29.1286,-29.6803,29.12860,-29.68030,10,3,01/09/2025,31/12/2099,0,,
7P/BB-020,Lesotho,"Bophirima-le-Borwa Highlands",7P/BB-020,3149,10331,29.3494,-29.4328,29.34940,-29.43280,10,3,01/09/2025,31/12/2099,0,,
7P/BB-021,Lesotho,"Bophirima-le-Borwa Highlands",Mphokojoane,3140,10302,29.0906,-29.1506,29.09060,-29.15060,10,3,01/09/2025,31/12/2099,0,,
7P/BB-022,Lesotho,"Bophirima-le-Borwa Highlands",Thaba-Nts'o,3104,10184,29.1808,-29.6653,29.18080,-29.66530,10,3,01/09/2025,31/12/2099,0,,
7P/BB-023,Lesotho,"Bophirima-le-Borwa Highlands",Thaba-ea-Mashee,3100,10171,29.0569,-29.6261,29.05690,-29.62610,10,3,01/09/2025,31/12/2099,0,,
7P/BB-024,Lesotho,"Bophirima-le-Borwa Highlands",Metsokeleng,3027,9931,29.0342,-29.6133,29.03420,-29.61330,8,3,01/09/2025,31/12/2099,0,,
7P/BB-025,Lesotho,"Bophirima-le-Borwa Highlands",Thaba-Telle,2980,9777,29.0136,-29.6047,29.01360,-29.60470,8,3,01/09/2025,31/12/2099,0,,
7P/BB-026,Lesotho,"Bophirima-le-Borwa Highlands",Manyofaneng,2920,9580,29.0594,-29.1883,29.05940,-29.18830,8,3,01/09/2025,31/12/2099,0,,
7P/BB-027,Lesotho,"Bophirima-le-Borwa Highlands",Thaba-Nts'o,2891,9485,29.0875,-29.8647,29.08750,-29.86470,8,3,01/09/2025,31/12/2099,0,,
7P/BB-028,Lesotho,"Bophirima-le-Borwa Highlands",Senotlolong,2733,8967,29.1303,-29.8278,29.13030,-29.82780,6,3,01/09/2025,31/12/2099,0,,
7P/BB-029,Lesotho,"Bophirima-le-Borwa Highlands",Thaba-Tsullu,2720,8924,29.1175,-29.2033,29.11750,-29.20330,6,3,01/09/2025,31/12/2099,0,,
7P/BB-030,Lesotho,"Bophirima-le-Borwa Highlands",Souru,2646,8681,28.6925,-30.0736,28.69250,-30.07360,6,3,01/09/2025,31/12/2099,2,14/09/2025,7P8AT
7P/BB-031,Lesotho,"Bophirima-le-Borwa Highlands",7P/BB-031,2560,8399,28.6942,-30.0581,28.69420,-30.05810,6,3,01/09/2025,31/12/2099,0,,
7P/BB-032,Lesotho,"Bophirima-le-Borwa Highlands",Ntai,2507,8225,28.8075,-30.0961,28.80750,-30.09610,6,3,01/09/2025,31/12/2099,0,,
7P/BB-033,Lesotho,"Bophirima-le-Borwa Highlands",7P/BB-033,2476,8123,28.5928,-30.1247,28.59280,-30.12470,4,3,01/09/2025,31/12/2099,0,,
7P/BB-034,Lesotho,"Bophirima-le-Borwa Highlands",7P/BB-034,2357,7733,28.6736,-30.0856,28.67360,-30.08560,4,3,01/09/2025,31/12/2099,0,,
7P/BB-035,Lesotho,"Bophirima-le-Borwa Highlands",7P/BB-035,2216,7270,28.6303,-30.1167,28.63030,-30.11670,4,3,01/09/2025,31/12/2099,0,,
7P/BD-001,Lesotho,"Borwa ba Drakensberg",7P/BD-001,2024,6640,27.2406,-29.9439,27.24060,-29.94390,2,0,01/09/2025,31/12/2099,0,,
7P/BD-002,Lesotho,"Borwa ba Drakensberg",7P/BD-002,2006,6581,27.2772,-30.0211,27.27720,-30.02110,2,0,01/09/2025,31/12/2099,0,,
7P/BD-003,Lesotho,"Borwa ba Drakensberg",7P/BD-003,1980,6496,28.1264,-28.9972,28.12640,-28.99720,2,0,01/09/2025,31/12/2099,0,,
7P/BD-004,Lesotho,"Borwa ba Drakensberg",7P/BD-004,1979,6493,27.4084054,-29.45254158,27.40841,-29.45254,2,0,01/09/2025,31/12/2099,0,,
7P/BD-005,Lesotho,"Borwa ba Drakensberg",7P/BD-005,1932,6339,27.3003,-29.7067,27.30030,-29.70670,2,0,01/09/2025,31/12/2099,0,,
7P/BD-006,Lesotho,"Borwa ba Drakensberg",7P/BD-006,1895,6217,28.0144,-28.9211,28.01440,-28.92110,1,0,01/09/2025,31/12/2099,0,,
7P/BD-007,Lesotho,"Borwa ba Drakensberg",Qhalasi,1880,6168,27.3825,-30.0844,27.38250,-30.08440,1,0,01/09/2025,31/12/2099,0,,
7P/BD-008,Lesotho,"Borwa ba Drakensberg",Likotsi,1878,6161,27.4531,-29.3797,27.45310,-29.37970,1,0,01/09/2025,31/12/2099,0,,
7P/BD-009,Lesotho,"Borwa ba Drakensberg",7P/BD-009,1872,6142,27.2036,-29.6978,27.20360,-29.69780,1,0,01/09/2025,31/12/2099,0,,
7P/BD-010,Lesotho,"Borwa ba Drakensberg",7P/BD-010,1868,6129,27.2553,-29.6958,27.25530,-29.69580,1,0,01/09/2025,31/12/2099,0,,
7P/BD-011,Lesotho,"Borwa ba Drakensberg",7P/BD-011,1860,6102,27.8747,-28.9631,27.87470,-28.96310,1,0,01/09/2025,31/12/2099,0,,
7P/BD-012,Lesotho,"Borwa ba Drakensberg",Qoaling,1859,6100,27.48697828,-29.3444892,27.48698,-29.34449,1,0,01/09/2025,31/12/2099,0,,
7P/BD-013,Lesotho,"Borwa ba Drakensberg","Thaba Phechela",1831,6007,27.1611,-29.6389,27.16110,-29.63890,1,0,01/09/2025,31/12/2099,0,,
7P/BD-014,Lesotho,"Borwa ba Drakensberg",7P/BD-014,1822,5978,27.5975,-29.2392,27.59750,-29.23920,1,0,01/09/2025,31/12/2099,0,,
