SOTA Summits List (Date=05/06/2026)
SummitCode,AssociationName,RegionName,SummitName,AltM,AltFt,GridRef1,GridRef2,Longitude,Latitude,Points,BonusPoints,ValidFrom,ValidTo,ActivationCount,ActivationDate,ActivationCall
9A/DH-001,Croatia,"DalmatinskaHrvatska (Dalmatian Croatia)",Dinara,1831,6007,16.38298637,44.06252388,16.38299,44.06252,10,3,01/11/2015,31/12/2099,23,20/12/2025,9A10SOTA
9A/DH-002,Croatia,"DalmatinskaHrvatska (Dalmatian Croatia)","Sveti Jure",1764,5786,17.05380311,43.34205882,17.05380,43.34206,10,3,01/11/2015,31/12/2099,17,30/04/2024,9A/SP9LPK/P
9A/DH-003,Croatia,"DalmatinskaHrvatska (Dalmatian Croatia)","Sveti Ilija",1642,5387,16.9971243,43.37148746,16.99712,43.37149,10,3,01/11/2015,31/12/2099,11,06/09/2025,9A6CW
9A/DH-004,Croatia,"DalmatinskaHrvatska (Dalmatian Croatia)",Kimet,1536,5039,17.11209633,43.28707924,17.11210,43.28708,10,3,01/11/2015,31/12/2099,11,30/04/2024,9A/SP9LPK/P
9A/DH-005,Croatia,"DalmatinskaHrvatska (Dalmatian Croatia)",Svilaja,1509,4951,16.48490572,43.79062574,16.48491,43.79063,10,3,01/11/2015,31/12/2099,18,29/11/2025,9A10SOTA
9A/DH-006,Croatia,"DalmatinskaHrvatska (Dalmatian Croatia)","Veliki Kabal",1339,4394,16.63733529,43.52710824,16.63733,43.52711,10,3,01/11/2015,31/12/2099,19,31/01/2026,9A6CW
9A/DH-007,Croatia,"DalmatinskaHrvatska (Dalmatian Croatia)","Sveti Jure",1319,4327,16.69207564,43.48932498,16.69208,43.48933,10,3,01/11/2015,31/12/2099,18,18/04/2026,9A6CW
9A/DH-008,Croatia,"DalmatinskaHrvatska (Dalmatian Croatia)","Veliki Šibenik",1314,4311,17.25797702,43.27607218,17.25798,43.27607,10,3,01/11/2015,31/12/2099,6,03/08/2022,9A6CW
9A/DH-009,Croatia,"DalmatinskaHrvatska (Dalmatian Croatia)","Veli vrh",1304,4278,16.4218173,43.83114775,16.42182,43.83115,10,3,01/11/2015,31/12/2099,0,,
9A/DH-010,Croatia,"DalmatinskaHrvatska (Dalmatian Croatia)",Lisina,1301,4269,16.38237986,43.85580706,16.38238,43.85581,10,3,01/11/2015,31/12/2099,10,30/03/2025,9A3GVD/P
