SOTA Summits List (Date=05/06/2026)
SummitCode,AssociationName,RegionName,SummitName,AltM,AltFt,GridRef1,GridRef2,Longitude,Latitude,Points,BonusPoints,ValidFrom,ValidTo,ActivationCount,ActivationDate,ActivationCall
9M2/JO-001,"West Malaysia",Johor,"Gunung Ledang",1276,4186,102.6079,2.3732,102.60790,2.37320,8,3,01/01/2024,31/12/2099,0,,
9M2/JO-002,"West Malaysia",Johor,"Gunung Kajang",1038,3406,104.1541,2.7697,104.15410,2.76970,6,0,01/01/2024,31/12/2099,0,,
9M2/JO-003,"West Malaysia",Johor,"Gunung Tiong",1015,3330,103.2938,2.4313,103.29380,2.43130,6,0,01/01/2024,31/12/2099,0,,
9M2/JO-004,"West Malaysia",Johor,"Gunung Belumut",1010,3314,103.5612,2.0426,103.56120,2.04260,6,0,01/01/2024,31/12/2099,0,,
9M2/JO-005,"West Malaysia",Johor,"Gunung Bekok",962,3156,103.1810,2.3869,103.18100,2.38690,6,0,01/01/2024,31/12/2099,0,,
9M2/JO-006,"West Malaysia",Johor,"Bukit Marong",913,2995,103.1952,2.3748,103.19520,2.37480,6,0,01/01/2024,31/12/2099,0,,
9M2/JO-007,"West Malaysia",Johor,"Bukit Seperuk",904,2966,104.1888,2.7445,104.18880,2.74450,6,0,01/01/2024,31/12/2099,0,,
9M2/JO-008,"West Malaysia",Johor,"Gunung Chemendong",846,2776,103.5587,2.0830,103.55870,2.08300,4,0,01/01/2024,31/12/2099,0,,
9M2/JO-009,"West Malaysia",Johor,"Bukit Merbak",831,2726,103.1977,2.4363,103.19770,2.43630,4,0,01/01/2024,31/12/2099,0,,
9M2/JO-010,"West Malaysia",Johor,"Bukit Keliring",692,2270,103.1843,2.4703,103.18430,2.47030,2,0,01/01/2024,31/12/2099,0,,
9M2/JO-011,"West Malaysia",Johor,"Bukit Gaut",677,2221,103.2385,2.4630,103.23850,2.46300,2,0,01/01/2024,31/12/2099,0,,
9M2/JO-012,"West Malaysia",Johor,"Gunung Janing",655,2149,103.4144,2.5145,103.41440,2.51450,2,0,01/01/2024,31/12/2099,0,,
9M2/JO-013,"West Malaysia",Johor,"Gunung Pulai",654,2146,103.5462,1.6016,103.54620,1.60160,2,0,01/01/2024,31/12/2099,0,,
9M2/JO-014,"West Malaysia",Johor,"Gunung Muntahak",634,2080,103.8110,1.8527,103.81100,1.85270,2,0,01/01/2024,31/12/2099,0,,
