SOTA Summits List (Date=05/06/2026)
SummitCode,AssociationName,RegionName,SummitName,AltM,AltFt,GridRef1,GridRef2,Longitude,Latitude,Points,BonusPoints,ValidFrom,ValidTo,ActivationCount,ActivationDate,ActivationCall
A6/AJ-001,"United Arab Emirates","Ajman - عجمان","Jabal Lishan",674,2211,56.0903,24.8006,56.09030,24.80060,4,3,01/07/2020,31/12/2099,1,05/03/2025,A65/VA6MPM
A6/AJ-002,"United Arab Emirates","Ajman - عجمان","Jabal al Bayḑ",590,1935,56.0858,24.8278,56.08580,24.82780,2,3,01/07/2020,31/12/2099,0,,
A6/DU-001,"United Arab Emirates","Dubai - دبي",A6/DU-001,1293,4242,56.0814,24.7433,56.08140,24.74330,10,3,01/07/2020,31/12/2099,0,,
A6/DU-002,"United Arab Emirates","Dubai - دبي",A6/DU-002,1002,3287,56.1389,24.7528,56.13890,24.75280,10,3,01/07/2020,31/12/2099,0,,
A6/DU-003,"United Arab Emirates","Dubai - دبي",A6/DU-003,736,2414,56.1614,24.8442,56.16140,24.84420,4,3,01/07/2020,31/12/2099,0,,
A6/FU-001,"United Arab Emirates","Fujairah - الفجيرة","Jabal Masāfī",1133,3717,56.2103,25.3111,56.21030,25.31110,10,3,01/07/2020,31/12/2099,0,,
A6/FU-002,"United Arab Emirates","Fujairah - الفجيرة","Jabal Dād",1105,3625,56.2251,25.4551,56.22510,25.45510,10,3,01/07/2020,31/12/2099,0,,
A6/FU-003,"United Arab Emirates","Fujairah - الفجيرة",A6/FU-003,1027,3369,56.1953,25.6192,56.19530,25.61920,10,3,01/07/2020,31/12/2099,0,,
A6/FU-004,"United Arab Emirates","Fujairah - الفجيرة",A6/FU-004,944,3097,56.2139,25.3589,56.21390,25.35890,8,3,01/07/2020,31/12/2099,0,,
A6/FU-005,"United Arab Emirates","Fujairah - الفجيرة","Jabal Jabsah",883,2896,56.2778,25.2008,56.27780,25.20080,8,3,01/07/2020,31/12/2099,0,,
A6/FU-006,"United Arab Emirates","Fujairah - الفجيرة",A6/FU-006,873,2864,56.1436,25.3664,56.14360,25.36640,6,3,01/07/2020,31/12/2099,0,,
A6/FU-007,"United Arab Emirates","Fujairah - الفجيرة","Jabal Ḩayl",869,2851,56.2278,25.0578,56.22780,25.05780,6,3,01/07/2020,31/12/2099,0,,
A6/FU-008,"United Arab Emirates","Fujairah - الفجيرة","Jabal Mimdūk",834,2736,56.1864,25.1406,56.18640,25.14060,6,3,01/07/2020,31/12/2099,0,,
A6/FU-009,"United Arab Emirates","Fujairah - الفجيرة","Jabal Wamm",829,2719,56.1997,25.6015,56.19970,25.60150,6,3,01/07/2020,31/12/2099,0,,
A6/FU-010,"United Arab Emirates","Fujairah - الفجيرة",A6/FU-010,810,2657,56.2386,25.4788,56.23860,25.47880,6,3,01/07/2020,31/12/2099,0,,
A6/FU-011,"United Arab Emirates","Fujairah - الفجيرة",A6/FU-011,794,2604,56.0986,25.6067,56.09860,25.60670,6,3,01/07/2020,31/12/2099,0,,
A6/FU-012,"United Arab Emirates","Fujairah - الفجيرة","Jabal Buta",776,2545,56.2239,25.1117,56.22390,25.11170,6,3,01/07/2020,31/12/2099,1,22/02/2025,A65/VA6MPM
A6/FU-013,"United Arab Emirates","Fujairah - الفجيرة",A6/FU-013,731,2398,56.3053,25.2397,56.30530,25.23970,4,3,01/07/2020,31/12/2099,0,,
A6/FU-014,"United Arab Emirates","Fujairah - الفجيرة",A6/FU-014,701,2299,56.2628,25.0456,56.26280,25.04560,4,3,01/07/2020,31/12/2099,0,,
A6/FU-015,"United Arab Emirates","Fujairah - الفجيرة","Jabal Sījī",689,2260,56.1236,25.2444,56.12360,25.24440,4,3,01/07/2020,31/12/2099,0,,
A6/FU-016,"United Arab Emirates","Fujairah - الفجيرة",A6/FU-016,684,2244,56.1397,25.4444,56.13970,25.44440,4,3,01/07/2020,31/12/2099,0,,
A6/FU-017,"United Arab Emirates","Fujairah - الفجيرة",A6/FU-017,672,2204,56.1386,25.5186,56.13860,25.51860,4,3,01/07/2020,31/12/2099,0,,
A6/FU-018,"United Arab Emirates","Fujairah - الفجيرة",A6/FU-018,650,2132,56.2764,25.4236,56.27640,25.42360,4,3,01/07/2020,31/12/2099,0,,
A6/FU-019,"United Arab Emirates","Fujairah - الفجيرة",A6/FU-019,649,2129,56.1097,25.5839,56.10970,25.58390,4,3,01/07/2020,31/12/2099,0,,
A6/FU-020,"United Arab Emirates","Fujairah - الفجيرة",A6/FU-020,649,2129,56.1258,25.5028,56.12580,25.50280,4,3,01/07/2020,31/12/2099,0,,
A6/FU-021,"United Arab Emirates","Fujairah - الفجيرة",A6/FU-021,643,2109,56.1207,25.5992,56.12070,25.59920,4,3,01/07/2020,31/12/2099,0,,
A6/FU-022,"United Arab Emirates","Fujairah - الفجيرة","Jabal Sharīyah",621,2037,56.1472,25.2917,56.14720,25.29170,2,3,01/07/2020,31/12/2099,0,,
A6/FU-023,"United Arab Emirates","Fujairah - الفجيرة",A6/FU-023,620,2034,56.2611,25.5294,56.26110,25.52940,2,3,01/07/2020,31/12/2099,0,,
A6/FU-024,"United Arab Emirates","Fujairah - الفجيرة",A6/FU-024,606,1988,56.3125,25.2106,56.31250,25.21060,2,3,01/07/2020,31/12/2099,0,,
A6/FU-025,"United Arab Emirates","Fujairah - الفجيرة","Jabal ‘Aqqah",605,1984,56.3336,25.4844,56.33360,25.48440,2,3,01/07/2020,31/12/2099,0,,
A6/FU-026,"United Arab Emirates","Fujairah - الفجيرة","Jabal Mubraḩah",592,1942,56.1281,25.5519,56.12810,25.55190,2,3,01/07/2020,31/12/2099,0,,
A6/FU-027,"United Arab Emirates","Fujairah - الفجيرة",A6/FU-027,562,1843,56.2731,25.1731,56.27310,25.17310,2,3,01/07/2020,31/12/2099,0,,
A6/FU-028,"United Arab Emirates","Fujairah - الفجيرة",A6/FU-028,540,1771,56.2950,25.4397,56.29500,25.43970,2,3,01/07/2020,31/12/2099,0,,
A6/FU-029,"United Arab Emirates","Fujairah - الفجيرة","Jabal Ruwayḑah",518,1699,56.0900,25.5047,56.09000,25.50470,2,3,01/07/2020,31/12/2099,0,,
A6/FU-030,"United Arab Emirates","Fujairah - الفجيرة",A6/FU-030,493,1617,56.2706,25.0708,56.27060,25.07080,1,3,01/07/2020,31/12/2099,0,,
A6/FU-031,"United Arab Emirates","Fujairah - الفجيرة",A6/FU-031,486,1594,56.1292,25.5667,56.12920,25.56670,1,3,01/07/2020,31/12/2099,0,,
A6/FU-032,"United Arab Emirates","Fujairah - الفجيرة","Jabal Badīyah",483,1584,56.3422,25.4593,56.34220,25.45930,1,3,01/07/2020,31/12/2099,0,,
A6/FU-033,"United Arab Emirates","Fujairah - الفجيرة",A6/FU-033,482,1581,56.3036,24.9792,56.30360,24.97920,1,3,01/07/2020,31/12/2099,0,,
A6/FU-034,"United Arab Emirates","Fujairah - الفجيرة",A6/FU-034,480,1574,56.2989,25.1733,56.29890,25.17330,1,3,01/07/2020,31/12/2099,0,,
