SOTA Summits List (Date=05/06/2026)
SummitCode,AssociationName,RegionName,SummitName,AltM,AltFt,GridRef1,GridRef2,Longitude,Latitude,Points,BonusPoints,ValidFrom,ValidTo,ActivationCount,ActivationDate,ActivationCall
BV/CA-001,Taiwan,Changhua,横山(Héngshān),443,1453,120.6316,23.8892,120.63160,23.88920,1,3,01/11/2018,31/12/2099,0,,
BV/CH-001,Taiwan,Chiayi,"鹿林山 (Lù Lín Shān)",2895,9498,120.8711,23.4608,120.87110,23.46080,8,3,01/11/2018,31/12/2099,0,,
BV/CH-002,Taiwan,Chiayi,"大塔山 (Dà Tǎ Shān)",2663,8737,120.8086,23.5361,120.80860,23.53610,8,3,01/11/2018,31/12/2099,1,22/12/2023,BX2AKP
BV/CH-003,Taiwan,Chiayi,"東水山 (Dōng Shuǐ Shān)",2610,8563,120.8256,23.4717,120.82560,23.47170,8,3,01/11/2018,31/12/2099,1,31/05/2025,BX2AKP
BV/CH-004,Taiwan,Chiayi,"松山 (Sōng Shān)",2556,8386,120.8208,23.5622,120.82080,23.56220,8,3,01/11/2018,31/12/2099,0,,
BV/CH-005,Taiwan,Chiayi,"小笠原山 (Xiǎo Lì Yuán shān)",2488,8163,120.8231,23.5068,120.82310,23.50680,6,3,01/11/2018,31/12/2099,4,01/05/2025,BV6LC
BV/CH-006,Taiwan,Chiayi,"雞仔山 (Jī Zǐ Shān)",2398,7867,120.7951,23.4009,120.79510,23.40090,6,3,01/11/2018,31/12/2099,0,,
BV/CH-007,Taiwan,Chiayi,BV/CH-007,2391,7844,120.7733,23.4005,120.77330,23.40050,6,3,01/11/2018,31/12/2099,0,,
BV/CH-008,Taiwan,Chiayi,BV/CH-008,2260,7415,120.7654,23.3787,120.76540,23.37870,6,3,01/11/2018,31/12/2099,0,,
BV/CH-009,Taiwan,Chiayi,BV/CH-009,1976,6483,120.7193,23.4978,120.71930,23.49780,6,3,01/11/2018,31/12/2099,2,25/11/2024,BX8AAD
BV/CH-010,Taiwan,Chiayi,"芙蓉山 (Fú Róng Shān)",1968,6457,120.7300,23.4806,120.73000,23.48060,6,3,01/11/2018,31/12/2099,1,25/12/2023,BX2AKP
