SOTA Summits List (Date=05/06/2026)
SummitCode,AssociationName,RegionName,SummitName,AltM,AltFt,GridRef1,GridRef2,Longitude,Latitude,Points,BonusPoints,ValidFrom,ValidTo,ActivationCount,ActivationDate,ActivationCall
C3/AD-001,Andorra,Andorra,"Pic de Coma Pedrosa",2941,9650,1.44369,42.59179,1.44369,42.59179,10,3,01/12/2022,31/12/2099,0,,
C3/AD-002,Andorra,Andorra,"Pic de l'Estanyo",2912,9554,1.59251,42.60868,1.59251,42.60868,10,3,01/12/2022,31/12/2099,0,,
C3/AD-003,Andorra,Andorra,"Alt del Griu",2880,9448,1.65123,42.52512,1.65123,42.52512,10,3,01/12/2022,31/12/2099,2,24/05/2026,C37AC
C3/AD-004,Andorra,Andorra,"Tossal Bovinar",2843,9327,1.63168,42.46275,1.63168,42.46275,10,3,01/12/2022,01/12/2022,0,,
C3/AD-005,Andorra,Andorra,"Pic Alt del Cubil",2821,9254,1.66924,42.52814,1.66924,42.52814,10,3,01/12/2022,31/12/2099,2,23/05/2026,C37AC
C3/AD-006,Andorra,Andorra,Monturull,2760,9056,1.58123,42.45010,1.58123,42.45010,10,3,01/12/2022,31/12/2099,3,25/07/2023,EA3/SQ9NOT/P
C3/AD-007,Andorra,Andorra,"Tossal de la Truita",2753,9033,1.58548,42.45919,1.58548,42.45919,10,3,01/12/2022,31/12/2099,3,25/07/2023,EA3/SQ9NOT/P
C3/AD-008,Andorra,Andorra,"Casamanya Nord",2745,9005,1.57049,42.58736,1.57049,42.58736,8,3,01/12/2022,31/12/2099,1,02/07/2025,C37AC
C3/AD-009,Andorra,Andorra,"Bony de la Pica - Ancla",2405,7889,1.46047,42.50485,1.46047,42.50485,8,3,01/12/2022,31/12/2099,3,14/06/2025,EA/OE6CHD/P
C3/AD-010,Andorra,Andorra,"Alt del Covil",2358,7734,1.45516,42.52645,1.45516,42.52645,8,3,01/12/2022,31/12/2099,11,22/10/2025,EA3/EA4HCF
C3/AD-011,Andorra,Andorra,"Bony de les Neres",2210,7251,1.56408,42.54681,1.56408,42.54681,8,3,01/12/2022,31/12/2099,4,25/05/2026,C37AC
