SOTA Summits List (Date=05/06/2026)
SummitCode,AssociationName,RegionName,SummitName,AltM,AltFt,GridRef1,GridRef2,Longitude,Latitude,Points,BonusPoints,ValidFrom,ValidTo,ActivationCount,ActivationDate,ActivationCall
CE3/CH-001,"Chile - Metropolitan Region",Chacabuco,CE3/CH-001,3755,12319,-70.4056,-33.0658,-70.40560,-33.06580,10,3,01/05/2021,31/12/2099,0,,
CE3/CH-002,"Chile - Metropolitan Region",Chacabuco,CE3/CH-002,3748,12296,-70.3992,-33.0411,-70.39920,-33.04110,10,3,01/05/2021,31/12/2099,0,,
CE3/CO-001,"Chile - Metropolitan Region",Cordillera,"Nevado sin Nombre",5933,19465,-69.7978,-33.4244,-69.79780,-33.42440,10,3,01/05/2021,31/12/2099,0,,
CE3/CO-002,"Chile - Metropolitan Region",Cordillera,CE3/CO-002,5781,18966,-69.8275,-33.4292,-69.82750,-33.42920,10,3,01/05/2021,31/12/2099,0,,
CE3/CO-003,"Chile - Metropolitan Region",Cordillera,"San Jose Norte",5740,18832,-69.9031,-33.7686,-69.90310,-33.76860,10,3,01/05/2021,31/12/2099,0,,
CE3/CO-004,"Chile - Metropolitan Region",Cordillera,"Cerro Juncal Chico",5617,18428,-70.1136,-33.0719,-70.11360,-33.07190,10,3,01/05/2021,31/12/2099,0,,
CE3/CO-005,"Chile - Metropolitan Region",Cordillera,CE3/CO-005,5468,17939,-69.8825,-33.9773,-69.88250,-33.97730,10,3,01/05/2021,31/12/2099,0,,
CE3/CO-006,"Chile - Metropolitan Region",Cordillera,"Cerro El Plomo",5424,17795,-70.2147,-33.2372,-70.21470,-33.23720,10,3,01/05/2021,31/12/2099,2,01/02/2025,CE3TDM
CE3/CO-007,"Chile - Metropolitan Region",Cordillera,CE3/CO-007,5404,17729,-69.9883,-33.6875,-69.98830,-33.68750,10,3,01/05/2021,31/12/2099,0,,
CE3/CO-008,"Chile - Metropolitan Region",Cordillera,"Cerro Littoria",5352,17559,-70.2186,-33.2175,-70.21860,-33.21750,10,3,01/05/2021,31/12/2099,0,,
CE3/CO-009,"Chile - Metropolitan Region",Cordillera,"Cerro Fickenscher",5350,17552,-70.2114,-33.2067,-70.21140,-33.20670,10,3,01/05/2021,31/12/2099,0,,
CE3/CO-010,"Chile - Metropolitan Region",Cordillera,"Cerro Mesón Alto",5257,17247,-70.0356,-33.6817,-70.03560,-33.68170,10,3,01/05/2021,31/12/2099,0,,
CE3/CO-011,"Chile - Metropolitan Region",Cordillera,"Cerro Bello",5230,17158,-69.9331,-33.5203,-69.93310,-33.52030,10,3,01/05/2021,31/12/2099,0,,
CE3/CO-012,"Chile - Metropolitan Region",Cordillera,"Picos del Barroso (Cumbre Central)",5174,16975,-70.0333,-34.2864,-70.03330,-34.28640,10,3,01/05/2021,31/12/2099,0,,
