SOTA Summits List (Date=05/06/2026)
SummitCode,AssociationName,RegionName,SummitName,AltM,AltFt,GridRef1,GridRef2,Longitude,Latitude,Points,BonusPoints,ValidFrom,ValidTo,ActivationCount,ActivationDate,ActivationCall
CT/AA-001,Portugal,"Alto Alentejo","Serra de São Mamede",1027,3369,-7.36,39.3134,-7.36000,39.31340,8,3,01/04/2011,31/12/2099,39,12/04/2026,CT7BRF/P
CT/AA-002,Portugal,"Alto Alentejo","Castelo de Marvão",868,2848,-7.3799,39.397,-7.37990,39.39700,6,0,01/04/2011,31/12/2099,30,12/04/2026,CT7BRF/P
CT/AA-003,Portugal,"Alto Alentejo","Serra da Ossa",653,2142,-7.5842,38.7392,-7.58420,38.73920,2,0,01/04/2011,31/12/2099,14,29/03/2024,CT7AOV/P
CT/AA-004,Portugal,"Alto Alentejo",Fria,971,3186,-7.3073,39.3359,-7.30730,39.33590,6,0,23/04/2011,31/12/2099,18,12/04/2026,CT7BRF/P
CT/AA-005,Portugal,"Alto Alentejo","Cruz da Penha",654,2146,-7.4503,39.3033,-7.45030,39.30330,2,0,23/04/2011,31/12/2099,15,29/04/2025,CT1MH/P
CT/AA-006,Portugal,"Alto Alentejo","Alto do Castelo",642,2106,-7.5415,38.7375,-7.54150,38.73750,2,0,23/04/2011,31/12/2099,8,03/06/2021,CT2HOV/P
CT/AA-007,Portugal,"Alto Alentejo",Caldeireiros,524,1719,-7.5347,38.8345,-7.53470,38.83450,1,0,23/04/2011,31/12/2099,11,15/02/2022,CT7ASV/P
CT/AA-008,Portugal,"Alto Alentejo","Monte de Vila Boim",489,1604,-7.2636,38.8749,-7.26360,38.87490,1,0,23/04/2011,31/12/2099,14,08/03/2026,CT2GVH/P
CT/AA-009,Portugal,"Alto Alentejo","São Miguel de Nisa",463,1519,-7.6301,39.5755,-7.63010,39.57550,1,0,23/04/2011,31/12/2099,7,31/12/2024,CT1JML/P
CT/AA-010,Portugal,"Alto Alentejo","Penha do Alto",836,2743,-7.4172,39.3773,-7.41720,39.37730,4,0,01/04/2023,31/12/2099,3,15/08/2025,CT2HOV/P
CT/AA-011,Portugal,"Alto Alentejo","São Sebastião",441,1447,-8.1131,38.5769,-8.11310,38.57690,1,0,01/04/2023,31/12/2099,4,15/08/2025,CT2HOV/P
CT/AL-001,Portugal,Algarve,"Serra de Foia",902,2959,-8.5956,37.315,-8.59560,37.31500,6,0,01/04/2011,31/12/2099,84,02/05/2026,CT2HOV/P
CT/AL-002,Portugal,Algarve,Pelados,589,1932,-7.9617,37.3071,-7.96170,37.30710,1,0,01/04/2011,31/12/2099,35,01/05/2026,CT2HOV/P
CT/AL-003,Portugal,Algarve,"Cerro de São Miguel",410,1345,-7.8311,37.1017,-7.83110,37.10170,1,0,01/04/2011,31/12/2099,54,01/05/2026,CT2HOV/P
CT/AL-004,Portugal,Algarve,Picota,773,2536,-8.5316,37.3077,-8.53160,37.30770,4,0,23/04/2011,31/12/2099,62,02/05/2026,CT2HOV/P
CT/AL-005,Portugal,Algarve,"Rocha dos Soídos",467,1532,-8.1535,37.2569,-8.15350,37.25690,1,0,23/04/2011,31/12/2099,32,01/05/2026,CT2HOV/P
CT/AL-006,Portugal,Algarve,Negros,474,1555,-8.0489,37.2607,-8.04890,37.26070,1,0,23/04/2011,31/12/2099,28,01/05/2026,CT2HOV/P
CT/AL-007,Portugal,Algarve,"Serra da Rocha da Pena",480,1575,-8.101,37.2567,-8.10100,37.25670,1,0,23/04/2011,31/12/2099,35,01/05/2026,CT2HOV/P
CT/AL-008,Portugal,Algarve,Sela,353,1158,-8.3869,37.3195,-8.38690,37.31950,1,0,23/04/2011,31/12/2099,25,30/04/2026,CT2HOV/P
CT/AL-009,Portugal,Algarve,"Cabeço de Câmara",227,745,-8.0612,37.1136,-8.06120,37.11360,1,0,01/04/2023,31/12/2099,17,02/05/2026,CT2HOV/P
CT/BA-001,Portugal,"Beira Alta","Serra de Montemuro",1381,4531,-7.9875,40.974,-7.98750,40.97400,10,3,01/04/2011,31/12/2099,67,30/05/2026,CT7BJF/P
CT/BA-002,Portugal,"Beira Alta","Serra do Caramulo",1052,3451,-8.1763,40.5808,-8.17630,40.58080,8,3,01/04/2011,31/03/2023,19,19/12/2022,CT2IUV/P
CT/BA-003,Portugal,"Beira Alta","São Macário",1052,3451,-8.0613,40.8756,-8.06130,40.87560,8,3,01/04/2011,31/12/2099,62,30/05/2026,CT7BJF/P
CT/BA-004,Portugal,"Beira Alta",Pisco,989,3245,-7.4241,40.771,-7.42410,40.77100,6,0,01/04/2011,31/12/2099,13,12/07/2025,CT1MH/P
CT/BA-005,Portugal,"Beira Alta","Serra da Marofa",976,3202,-6.9917,40.8645,-6.99170,40.86450,6,0,01/04/2011,31/12/2099,20,04/04/2026,CT7ARW/P
CT/BA-006,Portugal,"Beira Alta","São Lourenço",929,3048,-7.8411,40.832,-7.84110,40.83200,6,0,01/04/2011,31/12/2099,10,23/04/2025,CT7AWH/P
CT/BA-007,Portugal,"Beira Alta",Santinha,1595,5233,-7.5393,40.4723,-7.53930,40.47230,10,3,23/04/2011,31/12/2099,13,03/05/2026,CT1MH/P
CT/BA-008,Portugal,"Beira Alta","Corredor de Mouros",1301,4268,-7.4921,40.4389,-7.49210,40.43890,10,3,23/04/2011,31/12/2099,14,02/05/2026,CT1MH/P
CT/BA-009,Portugal,"Beira Alta","Cabeço da Azinha",1272,4173,-7.4622,40.4316,-7.46220,40.43160,8,3,23/04/2011,31/12/2099,15,02/05/2026,CT1MH/P
CT/BA-010,Portugal,"Beira Alta","Pedra Posta",1222,4009,-8.1026,41.0075,-8.10260,41.00750,8,3,23/04/2011,31/12/2099,43,31/05/2026,CT2IWW/P
CT/BA-011,Portugal,"Beira Alta",Mosqueiros,1148,3766,-7.3564,40.4528,-7.35640,40.45280,8,3,23/04/2011,31/12/2099,25,02/05/2026,CT1MH/P
CT/BA-012,Portugal,"Beira Alta",Candal,1119,3671,-8.183,40.8425,-8.18300,40.84250,8,3,23/04/2011,31/12/2099,60,30/05/2026,CT7BJF/P
CT/BA-013,Portugal,"Beira Alta","Nossa Senhora do Castelo",1032,3386,-8.1515,41.0334,-8.15150,41.03340,8,3,23/04/2011,31/12/2099,41,23/04/2025,CT7AWH
CT/BA-014,Portugal,"Beira Alta","Cabeço das Fráguas",1018,3340,-7.2226,40.425,-7.22260,40.42500,8,3,23/04/2011,31/12/2099,11,04/03/2025,CT7AUP/P
CT/BA-015,Portugal,"Beira Alta","Serra da Laboreira",1000,3281,-7.4184,41.0118,-7.41840,41.01180,8,3,23/04/2011,31/12/2099,14,12/07/2025,CT1MH/P
CT/BA-016,Portugal,"Beira Alta","Mãe da Loba",985,3232,-7.5799,41.0728,-7.57990,41.07280,6,0,23/04/2011,31/12/2099,15,12/07/2025,CT1MH/P
CT/BA-017,Portugal,"Beira Alta","Serra de Opa",867,2844,-7.2126,40.286,-7.21260,40.28600,6,0,23/04/2011,31/12/2099,10,05/02/2025,CT1MH/P
CT/BA-018,Portugal,"Beira Alta",Ladário,804,2638,-8.2887,40.703,-8.28870,40.70300,4,0,23/04/2011,31/12/2099,18,05/04/2025,CT7AWH/P
CT/BA-019,Portugal,"Beira Alta","Senhora do Viso",814,2671,-7.3279,41.093,-7.32790,41.09300,4,0,23/04/2011,31/12/2099,9,13/07/2025,CT1MH/P
CT/BA-020,Portugal,"Beira Alta","Senhora do Vencimento",782,2566,-7.444,41.159,-7.44400,41.15900,4,0,23/04/2011,31/12/2099,11,29/12/2024,CT2IWW/P
CT/BA-021,Portugal,"Beira Alta",Cimal,780,2559,-7.9841,40.881,-7.98410,40.88100,4,0,23/04/2011,31/12/2099,10,23/07/2023,CT2IWW/P
CT/BA-022,Portugal,"Beira Alta","São Domingos",733,2405,-7.5246,41.1368,-7.52460,41.13680,4,0,23/04/2011,31/12/2099,9,31/12/2025,CT2JLS/P
CT/BA-023,Portugal,"Beira Alta","Cabeça Grande",726,2382,-7.3071,40.668,-7.30710,40.66800,4,0,23/04/2011,31/12/2099,10,12/07/2025,CT1MH/P
CT/BA-024,Portugal,"Beira Alta","São Gabriel",652,2139,-7.0893,41.0363,-7.08930,41.03630,2,0,23/04/2011,31/12/2099,5,01/09/2021,CT1DYH/P
CT/BA-025,Portugal,"Beira Alta",Calábria,508,1667,-7.0158,41.0301,-7.01580,41.03010,1,0,23/04/2011,31/12/2099,4,08/08/2021,CT1MH/P
CT/BA-026,Portugal,"Beira Alta","Castelo Velho",459,1506,-7.1402,41.1506,-7.14020,41.15060,1,0,23/04/2011,31/12/2099,3,07/08/2021,CT1MH/P
CT/BA-027,Portugal,"Beira Alta",Caramulinho,1075,3527,-8.2021,40.5473,-8.20210,40.54730,8,3,01/04/2023,31/12/2099,20,19/04/2026,CT2HOV/P
CT/BA-028,Portugal,"Beira Alta",Janus,1043,3422,-8.1206,40.6418,-8.12060,40.64180,8,3,01/04/2023,31/12/2099,21,04/03/2026,CT1MH/P
CT/BA-029,Portugal,"Beira Alta",Rainha,976,3202,-7.2319,40.6065,-7.23190,40.60650,6,0,01/04/2023,31/12/2099,6,30/12/2025,EA4HIH
CT/BA-030,Portugal,"Beira Alta",Pousadas,766,2513,-7.6582,40.5958,-7.65820,40.59580,4,0,01/04/2023,31/12/2099,5,27/07/2025,CT7BEK/P
CT/BA-031,Portugal,"Beira Alta","Castelo de Numão",704,2310,-7.2909,41.1008,-7.29090,41.10080,4,0,01/04/2023,31/12/2099,11,13/07/2025,CT1MH/P
CT/BA-032,Portugal,"Beira Alta","Cabeço de Boi",653,2142,-7.427,40.6744,-7.42700,40.67440,2,0,01/04/2023,31/12/2099,3,01/09/2024,CT2HOV/P
CT/BB-001,Portugal,"Beira Baixa","Serra da Estrela",1993,6539,-7.6126,40.3219,-7.61260,40.32190,10,3,01/04/2011,31/12/2099,84,03/05/2026,CT1MH/P
CT/BB-002,Portugal,"Beira Baixa","Serra da Gardunha",1227,4026,-7.5255,40.0805,-7.52550,40.08050,8,3,01/04/2011,31/12/2099,43,02/05/2026,CT1MH/P
CT/BB-003,Portugal,"Beira Baixa","Cabeço Rainha",1084,3556,-7.9257,39.8484,-7.92570,39.84840,8,3,01/04/2011,31/12/2099,32,08/11/2025,CR7BOG
CT/BB-004,Portugal,"Beira Baixa","Serra do Moradal",915,3002,-7.784,39.9896,-7.78400,39.98960,6,0,01/04/2011,31/12/2099,14,05/01/2026,CT1MH/P
CT/BB-005,Portugal,"Beira Baixa","Serra da Melriça",591,1939,-8.1306,39.6945,-8.13060,39.69450,1,0,01/04/2011,31/12/2099,20,14/09/2025,CT2JLS/P
