SOTA Summits List (Date=05/06/2026)
SummitCode,AssociationName,RegionName,SummitName,AltM,AltFt,GridRef1,GridRef2,Longitude,Latitude,Points,BonusPoints,ValidFrom,ValidTo,ActivationCount,ActivationDate,ActivationCall
CT3/ID-001,Madeira,"Ilhas Desertas","Deserta Grande",482,1581,-16.5183,32.5349,-16.51830,32.53490,1,0,01/10/2015,31/12/2099,0,,
CT3/ID-002,Madeira,"Ilhas Desertas","Bugio North",398,1306,-16.4900,32.4380,-16.49000,32.43800,1,0,01/10/2015,31/12/2099,0,,
CT3/ID-003,Madeira,"Ilhas Desertas",Quartos,344,1129,-16.4774,32.4138,-16.47740,32.41380,1,0,01/10/2015,31/12/2099,0,,
CT3/MI-001,Madeira,Madeira,"Pico Ruivo de Santana",1862,6108,-16.9430,32.7590,-16.94300,32.75900,10,0,01/10/2012,31/12/2099,79,14/03/2026,CT9/HB9HWI/P
CT3/MI-002,Madeira,Madeira,"Pico Grande",1655,5429,-16.9875,32.7373,-16.98750,32.73730,6,0,01/10/2012,31/12/2099,21,26/12/2025,CT9/SO9P/P
CT3/MI-003,Madeira,Madeira,"Pico das Torres",1852,6076,-16.9359,32.7484,-16.93590,32.74840,10,0,01/10/2012,31/12/2099,0,,
CT3/MI-004,Madeira,Madeira,"Pico do Arieiro",1816,5958,-16.9287,32.7364,-16.92870,32.73640,8,0,01/10/2012,31/12/2099,103,06/04/2026,CT9/DG4KAI
CT3/MI-005,Madeira,Madeira,"Pico Casado",1725,5659,-16.9833,32.7563,-16.98330,32.75630,6,0,01/10/2012,31/12/2099,9,30/05/2025,CT9/SQ9NOT/P
CT3/MI-006,Madeira,Madeira,"Pico Ruivo do Paul",1639,5377,-17.0801,32.7771,-17.08010,32.77710,6,0,01/10/2012,31/12/2099,77,15/03/2026,CT9/HB9HWI/P
CT3/MI-007,Madeira,Madeira,Queimadas,1489,4885,-16.9961,32.7820,-16.99610,32.78200,4,0,01/10/2012,31/12/2099,2,25/09/2024,CT9/SP5RI/P
CT3/MI-008,Madeira,Madeira,"Pico Chao dos Terreiros",1436,4711,-17.0015,32.7164,-17.00150,32.71640,4,0,01/10/2012,31/12/2099,41,15/03/2026,CT9/HB9HWI/P
CT3/MI-009,Madeira,Madeira,"Pico da Coroa",740,2427,-16.7917,32.7564,-16.79170,32.75640,2,0,01/10/2012,31/12/2099,5,27/09/2024,CT9/SP5RI/P
CT3/MI-010,Madeira,Madeira,"Pico do Castanho",623,2043,-16.7638,32.7457,-16.76380,32.74570,1,0,01/10/2012,31/12/2099,15,09/08/2025,CT3/IK1RAC
CT3/MI-011,Madeira,Madeira,"Pico Penha de Aguia",589,1932,-16.8415,32.7792,-16.84150,32.77920,1,0,01/10/2012,31/12/2099,19,04/03/2026,CT9/DL6GCA/P
CT3/PS-001,Madeira,"Porto Santo","Pico do Facho",516,1693,-16.3235,33.0843,-16.32350,33.08430,1,0,01/12/2013,31/12/2099,8,07/06/2025,CT1MH/P
CT3/PS-002,Madeira,"Porto Santo","Pico Branco",450,1476,-16.3033,33.0937,-16.30330,33.09370,1,0,01/12/2013,31/12/2099,2,16/09/2023,CT7AFI/P
CT3/PS-003,Madeira,"Porto Santo","Pico do Concelho",324,1063,-16.2979,33.0785,-16.29790,33.07850,1,0,01/12/2013,31/12/2099,0,,
CT3/PS-004,Madeira,"Porto Santo",Espigão,270,886,-16.3830,33.0423,-16.38300,33.04230,1,0,01/12/2013,31/12/2099,6,16/08/2023,CT9/SP9WZS/P
CT3/PS-005,Madeira,"Porto Santo","Montanha do ilhéu de Baixo",169,554,-16.3878,33.0070,-16.38780,33.00700,1,0,01/12/2013,31/12/2099,0,,
CT3/PS-006,Madeira,"Porto Santo","Pico do Macarico",286,938,-16.3032,33.0658,-16.30320,33.06580,1,0,01/10/2015,31/12/2099,0,,
CT3/PS-007,Madeira,"Porto Santo","Ana Ferreira",283,928,-16.3699,33.0437,-16.36990,33.04370,1,0,01/10/2015,31/12/2099,1,07/06/2025,CT1MH/P
