SOTA Summits List (Date=05/06/2026)
SummitCode,AssociationName,RegionName,SummitName,AltM,AltFt,GridRef1,GridRef2,Longitude,Latitude,Points,BonusPoints,ValidFrom,ValidTo,ActivationCount,ActivationDate,ActivationCall
CU/CV-001,Azores,Corvo,Estreitinho,720,2362,-31.11507,39.69947,-31.11507,39.69947,4,0,01/12/2014,31/12/2099,1,25/05/2024,CT8/OE5FSM/P
CU/FA-001,Azores,Faial,"Cabeço Gordo",1043,3422,-28.71296,38.57609,-28.71296,38.57609,8,0,01/12/2014,31/12/2099,11,10/03/2026,CR26RRC/P
CU/FA-002,Azores,Faial,"Cabeço Verde",487,1598,-28.79694,38.5919,-28.79694,38.59190,1,0,01/12/2014,31/12/2099,4,10/03/2024,CT8/DL3KDP
CU/FL-001,Azores,Flores,"Morro Alto",911,2989,-31.22037,39.46325,-31.22037,39.46325,6,0,01/12/2014,31/12/2099,6,27/05/2026,CT8/EA1FTW/P
CU/FL-002,Azores,Flores,Marcela,773,2536,-31.215164,39.419897,-31.21516,39.41990,4,0,01/12/2014,31/12/2099,1,07/09/2017,CT8/DK7MG/P
CU/FL-003,Azores,Flores,"Pico da Se",722,2369,-31.184409,39.463293,-31.18441,39.46329,4,0,01/12/2014,31/12/2099,0,,
CU/FL-004,Azores,Flores,"Madeira Seca",684,2244,-31.222711,39.384171,-31.22271,39.38417,2,0,01/12/2014,31/12/2099,1,06/09/2017,CT8/DK7MG/P
CU/FL-005,Azores,Flores,"Ilheu da Mina",151,495,-31.243,39.507071,-31.24300,39.50707,1,0,01/12/2014,31/12/2099,0,,
CU/GR-001,Azores,Graciosa,"Pico Furna Enxofre",404,1325,-27.96648,39.02133,-27.96648,39.02133,1,0,01/12/2014,31/12/2099,3,12/03/2026,CT8/DL3KDP
CU/GR-002,Azores,Graciosa,Dormida,398,1306,-28.00976,39.03739,-28.00976,39.03739,1,0,01/12/2014,31/12/2099,3,13/03/2026,CT8/DL3KDP
CU/GR-003,Azores,Graciosa,"Pico do Facho",374,1227,-27.99801,39.06098,-27.99801,39.06098,1,0,01/12/2014,31/12/2099,4,14/03/2026,CT8/DL3KDP
CU/PI-001,Azores,Pico,"Montanha do Pico",2350,7710,-28.399331,38.468689,-28.39933,38.46869,10,3,01/12/2014,31/12/2099,7,28/07/2025,CT8/OE1KEB/P
CU/PI-002,Azores,Pico,"Cabeco do Escalvado",1077,3533,-28.213954,38.440554,-28.21395,38.44056,8,0,01/12/2014,31/12/2099,4,01/06/2024,CT1HIX/P
CU/SJ-001,Azores,"Sao Jorge","Pico da Esperanca",1052,3451,-28.074041,38.650573,-28.07404,38.65057,8,0,01/12/2014,31/12/2099,7,17/03/2024,CT8/DL3KDP
CU/SJ-002,Azores,"Sao Jorge","Pico dos Frades",946,3104,-27.889314,38.590133,-27.88931,38.59013,6,0,01/12/2014,31/12/2099,1,12/09/2017,CT8/DK7MG/P
CU/SM-001,Azores,"São Miguel","Pico da Vara",1104,3622,-25.21115,37.8095,-25.21115,37.80950,10,0,01/12/2014,31/12/2099,12,10/03/2026,CT8/DL3KDP
CU/SM-002,Azores,"São Miguel","Pico da Barrosa",949,3114,-25.49144,37.76043,-25.49144,37.76043,6,0,01/12/2014,31/12/2099,22,17/05/2026,CU2GI
CU/SM-003,Azores,"São Miguel","Monte Escuro",889,2917,-25.43429,37.78136,-25.43429,37.78136,4,0,01/12/2014,31/12/2099,9,30/04/2026,CT8/HB9BIN/P
CU/SM-004,Azores,"São Miguel","Pico Bartolomeu",881,2890,-25.16877,37.77807,-25.16877,37.77807,4,0,01/12/2014,31/12/2099,11,01/05/2026,CU2JX
CU/SM-005,Azores,"São Miguel","Pico das Eguas",873,2864,-25.75447,37.82719,-25.75447,37.82719,4,0,01/12/2014,31/12/2099,20,24/05/2026,CT8/EA1FTW/P
CU/SM-006,Azores,"São Miguel","Agua Retorta",673,2208,-25.17682,37.75511,-25.17682,37.75511,2,0,01/12/2014,31/12/2099,5,02/05/2026,CT8/HB9BIN/P
CU/SM-007,Azores,"São Miguel","Pico dos Bodes 1",510,1673,-25.29028,37.75201,-25.29028,37.75201,2,0,01/12/2014,31/12/2099,2,04/05/2026,CT8/HB9BIN/P
CU/SM-008,Azores,"São Miguel","Serra Gorda",484,1588,-25.68391,37.78828,-25.68391,37.78828,1,0,01/12/2014,31/12/2099,9,30/05/2026,CU2GI
CU/SM-009,Azores,"São Miguel","Pico da Cruz",386,1266,-25.62794,37.7881,-25.62794,37.78810,1,0,01/12/2014,31/12/2099,6,24/05/2026,CU2GI
CU/ST-001,Azores,"Santa Maria","Pico Alto",586,1923,-25.09048,36.98286,-25.09048,36.98286,2,0,01/12/2014,31/12/2099,3,03/10/2025,CT8/OK2PDT/P
CU/TE-001,Azores,Terceira,"Serra de Sta. Barbara",1021,3350,-27.31957,38.72982,-27.31957,38.72982,8,0,01/12/2014,31/12/2099,18,01/05/2026,CS8/CS7BIN
CU/TE-002,Azores,Terceira,"Pico Alto",809,2654,-27.20992,38.7559,-27.20992,38.75590,4,0,01/12/2014,31/12/2099,5,22/02/2025,CT2GVH/P
CU/TE-003,Azores,Terceira,"Serra do Cume",549,1801,-27.11192,38.70986,-27.11192,38.70986,2,0,01/12/2014,31/12/2099,19,02/05/2026,CS8/CS7BIN
CU/TE-004,Azores,Terceira,"Pico do Facho",205,673,-27.22125,38.64277,-27.22125,38.64277,1,0,01/12/2014,31/12/2099,21,30/04/2026,CS8/CS7BIN
