SOTA Summits List (Date=05/06/2026)
SummitCode,AssociationName,RegionName,SummitName,AltM,AltFt,GridRef1,GridRef2,Longitude,Latitude,Points,BonusPoints,ValidFrom,ValidTo,ActivationCount,ActivationDate,ActivationCall
D4/IB-001,"Cape Verde","Ilhas Barlavento","Topo da Coroa",1982,6503,-25.2916,17.0372,-25.29160,17.03720,10,0,01/05/2025,31/12/2099,1,27/12/2025,D4NT
D4/IB-002,"Cape Verde","Ilhas Barlavento","Monte Tomé",1863,6112,-25.2299,17.0126,-25.22990,17.01260,10,0,01/05/2025,31/12/2099,1,26/12/2025,D4NT
D4/IB-003,"Cape Verde","Ilhas Barlavento","Gudo de Cavaleiro",1810,5938,-25.1724,17.0809,-25.17240,17.08090,10,0,01/05/2025,31/12/2099,0,,
D4/IB-004,"Cape Verde","Ilhas Barlavento","Gudo de Branco",1788,5866,-25.2247,17.0652,-25.22470,17.06520,10,0,01/05/2025,31/12/2099,0,,
D4/IB-005,"Cape Verde","Ilhas Barlavento","Monte Aranha Perna",1726,5663,-25.2568,17.0211,-25.25680,17.02110,10,0,01/05/2025,31/12/2099,0,,
D4/IB-006,"Cape Verde","Ilhas Barlavento","Gudo Ribeirinha",1611,5285,-25.1437,17.1068,-25.14370,17.10680,10,0,01/05/2025,31/12/2099,0,,
D4/IB-007,"Cape Verde","Ilhas Barlavento","Pé de Salto",1594,5230,-25.1773,17.0694,-25.17730,17.06940,8,0,01/05/2025,31/12/2099,0,,
D4/IB-008,"Cape Verde","Ilhas Barlavento","Pico da Cruz",1585,5200,-25.0329,17.1037,-25.03290,17.10370,8,0,01/05/2025,31/12/2099,2,26/04/2026,D4JKL/P
D4/IB-009,"Cape Verde","Ilhas Barlavento","Morro Conceição",1499,4918,-25.0762,17.1121,-25.07620,17.11210,8,0,01/05/2025,31/12/2099,1,26/04/2026,D4JKL/P
D4/IB-010,"Cape Verde","Ilhas Barlavento","Monte Gordo",1312,4304,-24.3549,16.6213,-24.35490,16.62130,8,0,01/05/2025,31/12/2099,0,,
D4/IB-011,"Cape Verde","Ilhas Barlavento",D4/IB-011,1217,3993,-25.0546,17.1313,-25.05460,17.13130,6,0,01/05/2025,31/12/2099,0,,
D4/IB-012,"Cape Verde","Ilhas Barlavento","Monte Feijão Branco",1148,3766,-25.2196,17.0916,-25.21960,17.09160,6,0,01/05/2025,31/12/2099,0,,
D4/IB-013,"Cape Verde","Ilhas Barlavento",D4/IB-013,1052,3451,-24.3711,16.6364,-24.37110,16.63640,6,0,01/05/2025,31/12/2099,0,,
D4/IB-014,"Cape Verde","Ilhas Barlavento","Monte Camelengues",1042,3419,-25.1528,17.1356,-25.15280,17.13560,6,0,01/05/2025,31/12/2099,0,,
D4/IB-015,"Cape Verde","Ilhas Barlavento","Pico da Gaiva",984,3228,-25.179,17.0382,-25.17900,17.03820,4,0,01/05/2025,31/12/2099,0,,
D4/IB-016,"Cape Verde","Ilhas Barlavento",D4/IB-016,978,3209,-24.3285,16.6261,-24.32850,16.62610,4,0,01/05/2025,31/12/2099,0,,
D4/IB-017,"Cape Verde","Ilhas Barlavento","Tope Fereiro",938,3077,-24.3507,16.6443,-24.35070,16.64430,4,0,01/05/2025,31/12/2099,0,,
D4/IB-018,"Cape Verde","Ilhas Barlavento","Cha de Bilinhas",899,2949,-25.1414,17.1552,-25.14140,17.15520,4,0,01/05/2025,31/12/2099,0,,
D4/IB-019,"Cape Verde","Ilhas Barlavento","Manuel dos Joelhos",874,2867,-25.1022,17.1755,-25.10220,17.17550,4,0,01/05/2025,31/12/2099,0,,
D4/IB-020,"Cape Verde","Ilhas Barlavento",D4/IB-020,815,2674,-24.3725,16.6465,-24.37250,16.64650,4,0,01/05/2025,31/12/2099,0,,
D4/IB-021,"Cape Verde","Ilhas Barlavento","Cinta de Alberto",793,2602,-24.3143,16.6008,-24.31430,16.60080,4,0,01/05/2025,31/12/2099,0,,
D4/IB-022,"Cape Verde","Ilhas Barlavento","Tope da Mesa",791,2595,-24.3089,16.5693,-24.30890,16.56930,4,0,01/05/2025,31/12/2099,0,,
D4/IB-023,"Cape Verde","Ilhas Barlavento","Monte Verde",750,2461,-24.9346,16.8686,-24.93460,16.86860,4,0,01/05/2025,31/12/2099,3,24/04/2026,D4JKL/P
D4/IB-024,"Cape Verde","Ilhas Barlavento",Batel,732,2402,-25.1244,17.1673,-25.12440,17.16730,4,0,01/05/2025,31/12/2099,0,,
D4/IB-025,"Cape Verde","Ilhas Barlavento","Monte Caramujo",728,2388,-24.3085,16.6292,-24.30850,16.62920,4,0,01/05/2025,31/12/2099,0,,
D4/IB-026,"Cape Verde","Ilhas Barlavento","Santa Luzia",699,2293,-24.915,16.811,-24.91500,16.81100,2,0,01/05/2025,31/12/2099,0,,
