SOTA Summits List (Date=05/06/2026)
SummitCode,AssociationName,RegionName,SummitName,AltM,AltFt,GridRef1,GridRef2,Longitude,Latitude,Points,BonusPoints,ValidFrom,ValidTo,ActivationCount,ActivationDate,ActivationCall
DM/BM-001,"Germany (Low Mountains)","Bayern (Mittelgebirge)",Bogenberg,432,1417,12.6964,48.9019,12.69640,48.90190,2,0,01/01/2004,31/12/2008,4,04/02/2007,DL3TOM
DM/BM-002,"Germany (Low Mountains)","Bayern (Mittelgebirge)",Pröller,1049,3439,12.8211,49.0219,12.82110,49.02190,10,3,01/01/2004,31/12/2099,189,16/05/2026,DL3EC/P
DM/BM-003,"Germany (Low Mountains)","Bayern (Mittelgebirge)",Predigtstuhl,1024,3359,12.8492,49.0022,12.84920,49.00220,10,3,01/01/2004,31/12/2008,8,29/08/2008,DL2DVE/P
DM/BM-004,"Germany (Low Mountains)","Bayern (Mittelgebirge)",Knogl,1051,3447,12.8578,48.9964,12.85780,48.99640,10,3,01/01/2004,31/12/2008,3,11/10/2007,DL6WT/P
DM/BM-005,"Germany (Low Mountains)","Bayern (Mittelgebirge)",Schopf,925,3034,12.8431,48.9547,12.84310,48.95470,10,3,01/01/2004,31/12/2008,2,03/10/2007,DD1LD/P
DM/BM-006,"Germany (Low Mountains)","Bayern (Mittelgebirge)",Hirschenstein,1095,3592,12.8794,48.9644,12.87940,48.96440,10,3,01/01/2004,31/12/2099,120,19/05/2026,DF7TF/P
DM/BM-007,"Germany (Low Mountains)","Bayern (Mittelgebirge)",Klausenstein,1048,3437,12.8967,48.9503,12.89670,48.95030,10,3,01/01/2004,31/12/2008,1,10/06/2004,DH1RN/P
DM/BM-008,"Germany (Low Mountains)","Bayern (Mittelgebirge)","Rauher Kulm",1002,3287,12.9019,48.9442,12.90190,48.94420,10,3,01/01/2004,31/12/2008,1,10/06/2004,DH1RN/P
DM/BM-009,"Germany (Low Mountains)","Bayern (Mittelgebirge)",Burgstein,833,2732,12.9056,48.9336,12.90560,48.93360,8,0,01/01/2004,31/12/2008,1,10/06/2004,DH1RN/P
DM/BM-010,"Germany (Low Mountains)","Bayern (Mittelgebirge)",Vogelsang,1022,3352,12.9433,48.9342,12.94330,48.93420,10,3,01/01/2004,31/12/2099,102,20/05/2026,DF7TF/P
DM/BM-011,"Germany (Low Mountains)","Bayern (Mittelgebirge)",Büchelstein,827,2713,13.1753,48.8081,13.17530,48.80810,8,0,01/01/2004,31/12/2008,1,20/05/2004,DJ6RA/P
DM/BM-012,"Germany (Low Mountains)","Bayern (Mittelgebirge)",Brotjacklriegel,1011,3316,13.2167,48.8169,13.21670,48.81690,10,3,01/01/2004,31/12/2099,156,04/04/2026,DL/OE5HKT/P
DM/BM-013,"Germany (Low Mountains)","Bayern (Mittelgebirge)",Gallnerberg,709,2326,12.67686,49.04838,12.67686,49.04838,6,0,01/01/2004,31/12/2099,73,25/04/2026,DF7TR/P
DM/BM-014,"Germany (Low Mountains)","Bayern (Mittelgebirge)",Hirschpertberg,647,2122,12.8142,49.1344,12.81420,49.13440,6,0,01/01/2004,31/12/2008,0,,
DM/BM-015,"Germany (Low Mountains)","Bayern (Mittelgebirge)",Maiberg,589,1932,12.6278,49.0967,12.62780,49.09670,4,0,01/01/2004,31/12/2008,0,,
DM/BM-016,"Germany (Low Mountains)","Bayern (Mittelgebirge)",Geißkopf,1097,3598,13.0375,48.9236,13.03750,48.92360,10,3,01/01/2004,31/12/2008,1,24/10/2004,DH1RN/P
DM/BM-017,"Germany (Low Mountains)","Bayern (Mittelgebirge)",Breitenauriegel,1116,3660,13.0297,48.9064,13.02970,48.90640,10,3,01/01/2004,31/12/2008,2,24/10/2004,DH1RN/P
DM/BM-018,"Germany (Low Mountains)","Bayern (Mittelgebirge)",Ulrichsberg,636,2086,12.9819,48.8708,12.98190,48.87080,6,0,01/01/2004,31/12/2008,0,,
DM/BM-019,"Germany (Low Mountains)","Bayern (Mittelgebirge)",Butzen,775,2542,12.9475,48.9061,12.94750,48.90610,8,0,01/01/2004,31/12/2099,67,13/03/2026,DL2RAB/P
