SOTA Summits List (Date=05/06/2026)
SummitCode,AssociationName,RegionName,SummitName,AltM,AltFt,GridRef1,GridRef2,Longitude,Latitude,Points,BonusPoints,ValidFrom,ValidTo,ActivationCount,ActivationDate,ActivationCall
DU2/AB-001,"Philippines - North Luzon",Abra,"Mount Bangbanglang",2466,8091,120.9375,17.3151,120.93750,17.31510,10,3,01/09/2021,31/12/2099,0,,
DU2/AB-002,"Philippines - North Luzon",Abra,"Mount Balait",2238,7343,120.9956,17.4246,120.99560,17.42460,10,3,01/09/2021,31/12/2099,0,,
DU2/AB-003,"Philippines - North Luzon",Abra,"Mount Burnay",2040,6693,120.9258,17.9433,120.92580,17.94330,10,3,01/09/2021,31/12/2099,0,,
DU2/AB-004,"Philippines - North Luzon",Abra,DU2/AB-004,1953,6407,120.8610,17.9533,120.86100,17.95330,8,3,01/09/2021,31/12/2099,0,,
DU2/AB-005,"Philippines - North Luzon",Abra,"Mount Balutictic",1840,6037,120.9948,17.4843,120.99480,17.48430,8,3,01/09/2021,31/12/2099,0,,
DU2/AB-006,"Philippines - North Luzon",Abra,DU2/AB-006,1807,5928,120.9508,17.9586,120.95080,17.95860,8,3,01/09/2021,31/12/2099,0,,
DU2/AB-007,"Philippines - North Luzon",Abra,"Mount Pultoc",1586,5203,120.9344,17.5589,120.93440,17.55890,6,3,01/09/2021,31/12/2099,0,,
DU2/AB-008,"Philippines - North Luzon",Abra,DU2/AB-008,1584,5197,120.8439,17.3216,120.84390,17.32160,6,3,01/09/2021,31/12/2099,0,,
DU2/AB-009,"Philippines - North Luzon",Abra,"Mount Manago",1576,5171,120.9585,17.7466,120.95850,17.74660,6,3,01/09/2021,31/12/2099,0,,
DU2/AB-010,"Philippines - North Luzon",Abra,"Mount Pumalpoc",1560,5118,120.9471,17.7081,120.94710,17.70810,6,3,01/09/2021,31/12/2099,0,,
DU2/AB-011,"Philippines - North Luzon",Abra,"Mount Nonan",1558,5112,120.9260,17.4956,120.92600,17.49560,6,3,01/09/2021,31/12/2099,0,,
DU2/AB-012,"Philippines - North Luzon",Abra,"Mount Puscoy",1543,5062,120.7919,17.3500,120.79190,17.35000,6,3,01/09/2021,31/12/2099,0,,
DU2/AB-013,"Philippines - North Luzon",Abra,DU2/AB-013,1541,5056,120.9050,17.9079,120.90500,17.90790,6,3,01/09/2021,31/12/2099,0,,
DU2/AB-014,"Philippines - North Luzon",Abra,DU2/AB-014,1537,5043,121.0408,17.5546,121.04080,17.55460,6,3,01/09/2021,31/12/2099,0,,
DU2/AB-015,"Philippines - North Luzon",Abra,"Mount Cayudungan",1469,4820,120.7304,17.8872,120.73040,17.88720,6,3,01/09/2021,31/12/2099,0,,
DU2/AB-016,"Philippines - North Luzon",Abra,"Mount Madocay",1466,4810,121.0164,17.5919,121.01640,17.59190,6,3,01/09/2021,31/12/2099,0,,
DU2/AB-017,"Philippines - North Luzon",Abra,"Mount Buagun",1439,4721,120.9902,17.5228,120.99020,17.52280,6,3,01/09/2021,31/12/2099,0,,
DU2/AB-018,"Philippines - North Luzon",Abra,DU2/AB-018,1431,4695,120.8134,17.9284,120.81340,17.92840,6,3,01/09/2021,31/12/2099,0,,
DU2/AB-019,"Philippines - North Luzon",Abra,DU2/AB-019,1430,4692,120.9047,17.8347,120.90470,17.83470,6,3,01/09/2021,31/12/2099,0,,
DU2/AB-020,"Philippines - North Luzon",Abra,DU2/AB-020,1420,4659,120.7639,17.2346,120.76390,17.23460,6,3,01/09/2021,31/12/2099,0,,
DU2/AB-021,"Philippines - North Luzon",Abra,DU2/AB-021,1420,4659,120.9824,17.7226,120.98240,17.72260,6,3,01/09/2021,31/12/2099,0,,
DU2/AB-022,"Philippines - North Luzon",Abra,DU2/AB-022,1413,4636,121.0259,17.6458,121.02590,17.64580,6,3,01/09/2021,31/12/2099,0,,
DU2/AB-023,"Philippines - North Luzon",Abra,DU2/AB-023,1360,4462,120.7779,17.2603,120.77790,17.26030,6,3,01/09/2021,31/12/2099,0,,
DU2/AB-024,"Philippines - North Luzon",Abra,DU2/AB-024,1350,4429,121.0268,17.7478,121.02680,17.74780,6,3,01/09/2021,31/12/2099,0,,
DU2/AB-025,"Philippines - North Luzon",Abra,DU2/AB-025,1342,4403,120.9770,17.5753,120.97700,17.57530,6,3,01/09/2021,31/12/2099,0,,
DU2/AB-026,"Philippines - North Luzon",Abra,DU2/AB-026,1318,4324,120.7564,17.8114,120.75640,17.81140,6,3,01/09/2021,31/12/2099,0,,
DU2/AB-027,"Philippines - North Luzon",Abra,DU2/AB-027,1305,4281,120.6902,17.8283,120.69020,17.82830,6,3,01/09/2021,31/12/2099,0,,
DU2/AB-028,"Philippines - North Luzon",Abra,DU2/AB-028,1284,4213,120.9418,17.8278,120.94180,17.82780,6,3,01/09/2021,31/12/2099,0,,
DU2/AB-029,"Philippines - North Luzon",Abra,DU2/AB-029,1260,4134,120.9993,17.6581,120.99930,17.65810,6,3,01/09/2021,31/12/2099,0,,
DU2/AB-030,"Philippines - North Luzon",Abra,DU2/AB-030,1260,4134,120.9756,17.8289,120.97560,17.82890,6,3,01/09/2021,31/12/2099,0,,
DU2/AB-031,"Philippines - North Luzon",Abra,DU2/AB-031,1254,4114,120.8276,17.3538,120.82760,17.35380,6,3,01/09/2021,31/12/2099,0,,
DU2/AB-032,"Philippines - North Luzon",Abra,DU2/AB-032,1221,4006,120.9184,17.7379,120.91840,17.73790,6,3,01/09/2021,31/12/2099,0,,
DU2/AB-033,"Philippines - North Luzon",Abra,DU2/AB-033,1218,3996,120.6534,17.8211,120.65340,17.82110,6,3,01/09/2021,31/12/2099,0,,
DU2/AB-034,"Philippines - North Luzon",Abra,DU2/AB-034,1204,3950,121.0223,17.6311,121.02230,17.63110,6,3,01/09/2021,31/12/2099,0,,
DU2/AB-035,"Philippines - North Luzon",Abra,DU2/AB-035,1193,3914,120.8436,17.3987,120.84360,17.39870,4,0,01/09/2021,31/12/2099,0,,
DU2/AB-036,"Philippines - North Luzon",Abra,DU2/AB-036,1190,3904,120.8300,17.2661,120.83000,17.26610,4,0,01/09/2021,31/12/2099,0,,
DU2/AB-037,"Philippines - North Luzon",Abra,DU2/AB-037,1180,3871,120.6061,17.7767,120.60610,17.77670,4,0,01/09/2021,31/12/2099,0,,
DU2/AB-038,"Philippines - North Luzon",Abra,DU2/AB-038,1173,3848,120.8770,17.5101,120.87700,17.51010,4,0,01/09/2021,31/12/2099,0,,
DU2/AB-039,"Philippines - North Luzon",Abra,"North Peak Bulagao",1116,3661,120.5098,17.6493,120.50980,17.64930,4,0,01/09/2021,31/12/2099,0,,
DU2/AB-040,"Philippines - North Luzon",Abra,DU2/AB-040,1103,3619,120.8595,17.7896,120.85950,17.78960,4,0,01/09/2021,31/12/2099,0,,
DU2/AB-041,"Philippines - North Luzon",Abra,DU2/AB-041,1101,3612,120.8741,17.7086,120.87410,17.70860,4,0,01/09/2021,31/12/2099,0,,
DU2/AB-042,"Philippines - North Luzon",Abra,DU2/AB-042,1100,3609,120.8825,17.6691,120.88250,17.66910,4,0,01/09/2021,31/12/2099,0,,
DU2/AB-043,"Philippines - North Luzon",Abra,"South Peak Bulagao",1093,3586,120.5178,17.6380,120.51780,17.63800,4,0,01/09/2021,31/12/2099,0,,
DU2/AB-044,"Philippines - North Luzon",Abra,DU2/AB-044,1089,3573,120.8407,17.5141,120.84070,17.51410,4,0,01/09/2021,31/12/2099,0,,
DU2/AB-045,"Philippines - North Luzon",Abra,DU2/AB-045,1081,3547,120.6130,17.7394,120.61300,17.73940,4,0,01/09/2021,31/12/2099,0,,
DU2/AB-046,"Philippines - North Luzon",Abra,DU2/AB-046,1060,3478,120.5518,17.7313,120.55180,17.73130,4,0,01/09/2021,31/12/2099,0,,
DU2/AB-047,"Philippines - North Luzon",Abra,DU2/AB-047,1050,3445,120.9205,17.6585,120.92050,17.65850,4,0,01/09/2021,31/12/2099,0,,
DU2/AB-048,"Philippines - North Luzon",Abra,DU2/AB-048,1039,3409,120.7713,17.3030,120.77130,17.30300,4,0,01/09/2021,31/12/2099,0,,
DU2/AB-049,"Philippines - North Luzon",Abra,DU2/AB-049,1030,3379,120.8815,17.5944,120.88150,17.59440,4,0,01/09/2021,31/12/2099,0,,
DU2/AB-050,"Philippines - North Luzon",Abra,DU2/AB-050,1000,3281,120.9284,17.6343,120.92840,17.63430,4,0,01/09/2021,31/12/2099,0,,
DU2/AB-051,"Philippines - North Luzon",Abra,DU2/AB-051,991,3251,120.5916,17.6911,120.59160,17.69110,4,0,01/09/2021,31/12/2099,0,,
DU2/AB-052,"Philippines - North Luzon",Abra,DU2/AB-052,927,3041,120.8592,17.7450,120.85920,17.74500,4,0,01/09/2021,31/12/2099,0,,
DU2/AB-053,"Philippines - North Luzon",Abra,DU2/AB-053,874,2867,120.8855,17.4674,120.88550,17.46740,4,0,01/09/2021,31/12/2099,0,,
DU2/AB-054,"Philippines - North Luzon",Abra,DU2/AB-054,860,2822,120.6708,17.3495,120.67080,17.34950,4,0,01/09/2021,31/12/2099,0,,
DU2/AB-055,"Philippines - North Luzon",Abra,DU2/AB-055,840,2756,120.8519,17.4582,120.85190,17.45820,4,0,01/09/2021,31/12/2099,0,,
DU2/AB-056,"Philippines - North Luzon",Abra,DU2/AB-056,820,2690,120.8736,17.8542,120.87360,17.85420,4,0,01/09/2021,31/12/2099,0,,
DU2/AB-057,"Philippines - North Luzon",Abra,DU2/AB-057,820,2690,120.8201,17.7898,120.82010,17.78980,4,0,01/09/2021,31/12/2099,0,,
DU2/AB-058,"Philippines - North Luzon",Abra,DU2/AB-058,800,2625,120.8127,17.7441,120.81270,17.74410,4,0,01/09/2021,31/12/2099,0,,
