SOTA Summits List (Date=05/06/2026)
SummitCode,AssociationName,RegionName,SummitName,AltM,AltFt,GridRef1,GridRef2,Longitude,Latitude,Points,BonusPoints,ValidFrom,ValidTo,ActivationCount,ActivationDate,ActivationCall
DUC/BA-001,"Philippines - Calabarzon",Batangas,"Mount Mekiting",1100,3609,121.1887,14.1349,121.18870,14.13490,8,0,01/09/2021,31/12/2099,0,,
DUC/BA-002,"Philippines - Calabarzon",Batangas,"Mount Malepunyo",980,3215,121.2396,13.9629,121.23960,13.96290,6,0,01/09/2021,31/12/2099,0,,
DUC/BA-003,"Philippines - Calabarzon",Batangas,"Mount Lobo",972,3189,121.2927,13.6458,121.29270,13.64580,6,0,01/09/2021,31/12/2099,0,,
DUC/BA-004,"Philippines - Calabarzon",Batangas,"Mount Bonoy",968,3176,121.1653,13.6966,121.16530,13.69660,6,0,01/09/2021,31/12/2099,0,,
DUC/BA-005,"Philippines - Calabarzon",Batangas,DUC/BA-005,957,3140,121.3010,13.6642,121.30100,13.66420,6,0,01/09/2021,31/12/2099,0,,
DUC/BA-006,"Philippines - Calabarzon",Batangas,"Mount Macalad",952,3123,121.0517,13.9208,121.05170,13.92080,6,0,01/09/2021,31/12/2099,0,,
DUC/BA-007,"Philippines - Calabarzon",Batangas,DUC/BA-007,798,2618,121.1092,13.6542,121.10920,13.65420,4,0,01/09/2021,31/12/2099,0,,
DUC/BA-008,"Philippines - Calabarzon",Batangas,"Mount Batuldo",780,2559,120.8024,14.0399,120.80240,14.03990,4,0,01/09/2021,31/12/2099,1,11/03/2024,AJ6CL
DUC/BA-009,"Philippines - Calabarzon",Batangas,DUC/BA-009,700,2297,121.2727,13.6288,121.27270,13.62880,4,0,01/09/2021,31/12/2099,0,,
DUC/BA-010,"Philippines - Calabarzon",Batangas,"Mount Talamitam",640,2100,120.7547,14.1052,120.75470,14.10520,4,0,01/09/2021,31/12/2099,0,,
DUC/BA-011,"Philippines - Calabarzon",Batangas,"Mount Panay",501,1644,120.8982,13.7227,120.89820,13.72270,2,0,01/09/2021,31/12/2099,1,13/03/2024,AJ6CL
DUC/BA-012,"Philippines - Calabarzon",Batangas,DUC/BA-012,461,1512,121.3717,13.7402,121.37170,13.74020,2,0,01/09/2021,31/12/2099,0,,
DUC/BA-013,"Philippines - Calabarzon",Batangas,"Mount Casapao",448,1470,120.9119,13.6417,120.91190,13.64170,2,0,01/09/2021,31/12/2099,0,,
DUC/BA-014,"Philippines - Calabarzon",Batangas,"Mount Naligang",441,1447,120.6101,14.2078,120.61010,14.20780,2,0,01/09/2021,31/12/2099,0,,
DUC/BA-015,"Philippines - Calabarzon",Batangas,DUC/BA-015,435,1427,120.6506,14.1367,120.65060,14.13670,2,0,01/09/2021,31/12/2099,0,,
DUC/BA-016,"Philippines - Calabarzon",Batangas,DUC/BA-016,392,1286,121.2243,13.6983,121.22430,13.69830,1,0,01/09/2021,31/12/2099,0,,
DUC/BA-017,"Philippines - Calabarzon",Batangas,DUC/BA-017,387,1270,121.2455,13.7013,121.24550,13.70130,1,0,01/09/2021,31/12/2099,0,,
DUC/BA-018,"Philippines - Calabarzon",Batangas,"Verde Island",364,1194,121.0787,13.5544,121.07870,13.55440,1,0,01/09/2021,31/12/2099,0,,
DUC/BA-019,"Philippines - Calabarzon",Batangas,DUC/BA-019,362,1188,120.9323,13.8022,120.93230,13.80220,1,0,01/09/2021,31/12/2099,1,10/03/2024,AJ6CL
DUC/BA-020,"Philippines - Calabarzon",Batangas,DUC/BA-020,351,1152,120.7049,14.1224,120.70490,14.12240,1,0,01/09/2021,31/12/2099,0,,
DUC/BA-021,"Philippines - Calabarzon",Batangas,"Mount Masawa",350,1148,120.6842,13.9255,120.68420,13.92550,1,0,01/09/2021,31/12/2099,0,,
DUC/BA-022,"Philippines - Calabarzon",Batangas,"Mount Magasauangbato",308,1010,120.8619,13.6542,120.86190,13.65420,1,0,01/09/2021,31/12/2099,0,,
DUC/BA-023,"Philippines - Calabarzon",Batangas,DUC/BA-023,297,974,120.6137,14.1702,120.61370,14.17020,1,0,01/09/2021,31/12/2099,0,,
DUC/BA-024,"Philippines - Calabarzon",Batangas,"Mount Mabungos",282,925,120.6387,13.9919,120.63870,13.99190,1,0,01/09/2021,31/12/2099,0,,
DUC/BA-025,"Philippines - Calabarzon",Batangas,"Taal Volcano",280,919,120.9956,14.0029,120.99560,14.00290,1,0,01/09/2021,31/12/2099,0,,
DUC/BA-026,"Philippines - Calabarzon",Batangas,DUC/BA-026,275,902,120.6600,14.1082,120.66000,14.10820,1,0,01/09/2021,31/12/2099,0,,
DUC/BA-027,"Philippines - Calabarzon",Batangas,"Mount Miyauan",268,879,120.6866,14.0112,120.68660,14.01120,1,0,01/09/2021,31/12/2099,0,,
DUC/BA-028,"Philippines - Calabarzon",Batangas,"Mount Balantac",252,827,120.9705,14.0356,120.97050,14.03560,1,0,01/09/2021,31/12/2099,0,,
DUC/BA-029,"Philippines - Calabarzon",Batangas,"Mount Tauag",213,699,120.6290,14.0220,120.62900,14.02200,1,0,01/09/2021,31/12/2099,0,,
DUC/CA-001,"Philippines - Calabarzon",Cavite,"Mount Pico de Loro",648,2126,120.6515,14.2153,120.65150,14.21530,4,0,01/09/2021,31/12/2099,0,,
DUC/CA-002,"Philippines - Calabarzon",Cavite,"Mount Mataas na Gulad",622,2041,120.6866,14.2045,120.68660,14.20450,4,0,01/09/2021,31/12/2099,0,,
DUC/CA-003,"Philippines - Calabarzon",Cavite,DUC/CA-003,586,1923,120.6733,14.2185,120.67330,14.21850,2,0,01/09/2021,31/12/2099,0,,
DUC/CA-004,"Philippines - Calabarzon",Cavite,DUC/CA-004,392,1286,120.7133,14.1395,120.71330,14.13950,1,0,01/09/2021,31/12/2099,0,,
DUC/LA-001,"Philippines - Calabarzon",Laguna,"Mount San Cristobal",1470,4823,121.4231,14.0619,121.42310,14.06190,10,3,01/09/2021,31/12/2099,0,,
DUC/LA-002,"Philippines - Calabarzon",Laguna,"Mount Atimbia",654,2146,121.3660,14.1491,121.36600,14.14910,4,0,01/09/2021,31/12/2099,0,,
DUC/LA-003,"Philippines - Calabarzon",Laguna,"Mount Nagcarlang",629,2064,121.3449,14.1468,121.34490,14.14680,4,0,01/09/2021,31/12/2099,0,,
DUC/LA-004,"Philippines - Calabarzon",Laguna,DUC/LA-004,560,1837,121.5358,14.4464,121.53580,14.44640,2,0,01/09/2021,31/12/2099,0,,
DUC/LA-005,"Philippines - Calabarzon",Laguna,DUC/LA-005,541,1775,121.5241,14.3789,121.52410,14.37890,2,0,01/09/2021,31/12/2099,0,,
DUC/LA-006,"Philippines - Calabarzon",Laguna,"Mount Bulalo",525,1722,121.2270,14.1007,121.22700,14.10070,2,0,01/09/2021,31/12/2099,0,,
DUC/LA-007,"Philippines - Calabarzon",Laguna,"Mount Lagula",482,1581,121.3218,14.1242,121.32180,14.12420,2,0,01/09/2021,31/12/2099,0,,
DUC/LA-008,"Philippines - Calabarzon",Laguna,"Imoc Hill",400,1312,121.3044,14.1125,121.30440,14.11250,2,0,01/09/2021,31/12/2099,0,,
DUC/LA-009,"Philippines - Calabarzon",Laguna,"Mount Olila",376,1234,121.2148,14.0774,121.21480,14.07740,1,0,01/09/2021,31/12/2099,0,,
DUC/QU-001,"Philippines - Calabarzon",Quezon,"Mount Banahao",2169,7116,121.4927,14.0674,121.49270,14.06740,10,3,01/09/2021,31/12/2099,0,,
DUC/QU-002,"Philippines - Calabarzon",Quezon,"Mount Banahao De Lucban",1875,6152,121.5132,14.0752,121.51320,14.07520,10,3,01/09/2021,31/12/2099,0,,
DUC/QU-003,"Philippines - Calabarzon",Quezon,"Mount Lobo (West Peak)",1544,5066,122.7876,14.0132,122.78760,14.01320,10,3,01/09/2021,31/12/2099,0,,
DUC/QU-004,"Philippines - Calabarzon",Quezon,DUC/QU-004,1340,4396,121.3969,14.8223,121.39690,14.82230,10,3,01/09/2021,31/12/2099,0,,
