SOTA Summits List (Date=05/06/2026)
SummitCode,AssociationName,RegionName,SummitName,AltM,AltFt,GridRef1,GridRef2,Longitude,Latitude,Points,BonusPoints,ValidFrom,ValidTo,ActivationCount,ActivationDate,ActivationCall
E7/BO-001,"Bosnia and Herzegovina",Bosnia,Maglić,2386,7828,18.7330,43.2811,18.73300,43.28110,10,3,01/05/2010,28/02/2019,2,30/06/2016,E7/SQ9NOT/P
E7/BO-002,"Bosnia and Herzegovina",Bosnia,Ločika,2107,6912,17.7433,43.9387,17.74330,43.93870,10,3,01/05/2010,31/12/2099,8,20/09/2025,E77Z/P
E7/BO-003,"Bosnia and Herzegovina",Bosnia,Bjelašnica,2066,6778,18.2567,43.7036,18.25670,43.70360,10,3,01/05/2010,31/12/2099,24,01/03/2026,E77Z/P
E7/BO-004,"Bosnia and Herzegovina",Bosnia,Krvavac,2062,6765,18.1665,43.6925,18.16650,43.69250,10,3,01/05/2010,31/12/2099,11,06/07/2024,E77Z
E7/BO-005,"Bosnia and Herzegovina",Bosnia,"Velika Lelija",2032,6666,18.4873,43.4228,18.48730,43.42280,10,3,01/05/2010,31/12/2099,4,28/06/2024,E7/YU5MNO/P
E7/BO-006,"Bosnia and Herzegovina",Bosnia,Bergoč,2014,6607,18.5677,43.3545,18.56770,43.35450,10,3,01/05/2010,31/12/2099,4,28/06/2024,E7/YU5MNO/P
E7/BO-007,"Bosnia and Herzegovina",Bosnia,Drhtar,1970,6463,18.4329,43.3789,18.43290,43.37890,10,3,01/05/2010,31/12/2099,1,30/06/2024,E7/YU5MNO/P
E7/BO-008,"Bosnia and Herzegovina",Bosnia,Hranisava,1964,6443,18.1424,43.7341,18.14240,43.73410,10,3,01/05/2010,31/12/2099,5,20/09/2023,E70AA/P
E7/BO-009,"Bosnia and Herzegovina",Bosnia,"Velika Klekovača",1962,6437,16.5089,44.4302,16.50890,44.43020,10,3,01/05/2010,31/12/2099,5,23/09/2025,E7/SQ9JS/P
E7/BO-010,"Bosnia and Herzegovina",Bosnia,Paljenik,1933,6341,17.6364,44.2927,17.63640,44.29270,10,3,01/05/2010,31/12/2099,11,02/05/2026,E75MG
E7/BO-011,"Bosnia and Herzegovina",Bosnia,Šćit,1950,6397,17.8112,43.9191,17.81120,43.91910,10,3,01/05/2010,31/12/2099,10,05/04/2025,E77Z/P
E7/BO-012,"Bosnia and Herzegovina",Bosnia,Vito,1950,6397,18.2280,43.6050,18.22800,43.60500,10,3,01/05/2010,31/12/2099,11,13/09/2025,E77Z/P
E7/BO-013,"Bosnia and Herzegovina",Bosnia,Matorac,1937,6354,17.8495,43.9262,17.84950,43.92620,10,3,01/05/2010,31/12/2099,10,05/04/2025,E77Z/P
E7/BO-014,"Bosnia and Herzegovina",Bosnia,Vitreuša,1919,6295,17.8134,43.8889,17.81340,43.88890,10,3,01/05/2010,31/12/2099,5,03/07/2022,E7/YU4MNO/P
E7/BO-015,"Bosnia and Herzegovina",Bosnia,Sjenište,1910,6266,18.6140,43.6931,18.61400,43.69310,10,3,01/05/2010,31/12/2099,12,28/09/2024,E77Z
E7/BO-016,"Bosnia and Herzegovina",Bosnia,Obalj,1896,6220,18.1971,43.6465,18.19710,43.64650,10,3,01/05/2010,31/12/2099,10,20/12/2025,E77Z/P
E7/BO-017,"Bosnia and Herzegovina",Bosnia,"Veliki Šator",1873,6145,16.5894,44.1564,16.58940,44.15640,10,3,01/05/2010,31/12/2099,9,24/09/2025,E7/SQ9JS/P
E7/BO-018,"Bosnia and Herzegovina",Bosnia,Lovnica,1857,6092,18.1668,43.6441,18.16680,43.64410,10,3,01/05/2010,31/12/2099,9,12/10/2025,E77Z/P
E7/BO-019,"Bosnia and Herzegovina",Bosnia,"Velika Košuta",1872,6141,18.6217,43.3839,18.62170,43.38390,10,3,01/05/2010,31/12/2099,0,,
E7/BO-020,"Bosnia and Herzegovina",Bosnia,"Babina Greda",1860,6102,16.6205,44.1713,16.62050,44.17130,10,3,01/05/2010,31/12/2099,4,17/08/2022,E77DX/P
E7/BO-021,"Bosnia and Herzegovina",Bosnia,"Velika Osječenica",1795,5889,16.2550,44.5192,16.25500,44.51920,8,3,01/05/2010,31/12/2099,5,06/10/2022,E70AA/P
E7/BO-022,"Bosnia and Herzegovina",Bosnia,Vrana,1758,5767,17.3208,43.9916,17.32080,43.99160,8,3,01/05/2010,31/12/2099,8,29/10/2022,E70AA/P
E7/BO-023,"Bosnia and Herzegovina",Bosnia,Lisin,1742,5715,17.9829,43.7676,17.98290,43.76760,8,3,01/05/2010,31/12/2099,10,16/01/2026,E77Z/P
E7/BO-024,"Bosnia and Herzegovina",Bosnia,Čador,1705,5593,17.9236,43.8116,17.92360,43.81160,8,3,01/05/2010,31/12/2099,7,05/12/2025,E77Z/P
E7/BO-025,"Bosnia and Herzegovina",Bosnia,Hojta,1672,5485,18.3048,43.6688,18.30480,43.66880,8,3,01/05/2010,31/12/2099,13,31/01/2026,E77Z/P
E7/BO-026,"Bosnia and Herzegovina",Bosnia,"Veliki Lupoglav",1652,5419,18.6553,43.8551,18.65530,43.85510,8,3,01/05/2010,31/12/2099,13,07/11/2025,E77Z/P
E7/BO-027,"Bosnia and Herzegovina",Bosnia,Trebević,1629,5344,18.4604,43.8183,18.46040,43.81830,8,3,01/05/2010,31/12/2099,24,27/01/2026,E77Z/P
E7/BO-028,"Bosnia and Herzegovina",Bosnia,"Crni Vrh",1605,5265,16.5265,44.6005,16.52650,44.60050,8,3,01/05/2010,31/12/2099,1,17/08/2018,E70AA/P
E7/BO-029,"Bosnia and Herzegovina",Bosnia,"Mala Plazenica",1561,5121,17.2775,44.0092,17.27750,44.00920,8,3,01/05/2010,31/12/2099,1,12/10/2018,E70AA/P
E7/BO-030,"Bosnia and Herzegovina",Bosnia,Bukovik,1533,5029,18.4502,43.9335,18.45020,43.93350,6,3,01/05/2010,31/12/2099,14,01/02/2026,E77Z/P
E7/BO-031,"Bosnia and Herzegovina",Bosnia,"Velika Šuljaga",1532,5026,17.3269,44.0281,17.32690,44.02810,6,3,01/05/2010,31/12/2099,1,22/07/2018,E70AA/P
E7/BO-032,"Bosnia and Herzegovina",Bosnia,"Crni Vrh",1504,4934,18.2853,43.7628,18.28530,43.76280,6,3,01/05/2010,31/12/2099,9,30/11/2025,E77Z/P
E7/BO-033,"Bosnia and Herzegovina",Bosnia,Kmur,1508,4947,18.7130,43.4751,18.71300,43.47510,6,3,01/05/2010,31/12/2099,3,04/09/2017,E70AA/P
E7/BO-034,"Bosnia and Herzegovina",Bosnia,Stolac,1520,4986,18.7531,43.6394,18.75310,43.63940,6,3,01/05/2010,31/12/2099,1,25/12/2017,E70AA/P
E7/BO-035,"Bosnia and Herzegovina",Bosnia,Karasanovina,1472,4829,18.2871,44.1286,18.28710,44.12860,6,3,01/05/2010,31/12/2099,12,08/02/2026,E77Z/P
E7/BO-036,"Bosnia and Herzegovina",Bosnia,Dernek,1465,4806,18.3805,44.0327,18.38050,44.03270,6,3,01/05/2010,31/12/2099,7,20/01/2025,E77Z/P
E7/BO-037,"Bosnia and Herzegovina",Bosnia,Lisina,1468,4816,17.0415,44.3977,17.04150,44.39770,6,3,01/05/2010,31/12/2099,4,10/04/2026,E75MG
E7/BO-038,"Bosnia and Herzegovina",Bosnia,"Stojna Stijena",1449,4753,18.4632,43.9731,18.46320,43.97310,6,3,01/05/2010,31/12/2099,12,24/01/2026,E77Z/P
E7/BO-039,"Bosnia and Herzegovina",Bosnia,Inač,1440,4724,17.9942,43.8742,17.99420,43.87420,6,3,01/05/2010,31/12/2099,12,12/12/2025,E77Z/P
