SOTA Summits List (Date=05/06/2026)
SummitCode,AssociationName,RegionName,SummitName,AltM,AltFt,GridRef1,GridRef2,Longitude,Latitude,Points,BonusPoints,ValidFrom,ValidTo,ActivationCount,ActivationDate,ActivationCall
EA7/AL-001,"Spain - South",Almería,Chullo,2610,8563,-3.0001,37.0950,-3.00010,37.09500,10,3,01/08/2012,31/12/2099,18,20/07/2025,EA7KNC
EA7/AL-002,"Spain - South",Almería,"Morrón de la Lagunilla",2247,7371,-2.8271,36.9030,-2.82710,36.90300,10,3,01/08/2012,31/12/2099,4,27/08/2019,EA4FJX/P
EA7/AL-003,"Spain - South",Almería,"Calar Alto",2167,7110,-2.5487,37.2216,-2.54870,37.22160,10,3,01/08/2012,31/12/2099,22,03/04/2026,EA7KNC
EA7/AL-004,"Spain - South",Almería,"Tética de Bacares",2080,6824,-2.4130,37.2526,-2.41300,37.25260,10,3,01/08/2012,31/12/2099,13,04/04/2026,EA7KNC
EA7/AL-005,"Spain - South",Almería,"Cerro Poyo",2045,6709,-2.2001,37.6748,-2.20010,37.67480,10,3,01/08/2012,31/12/2099,5,24/03/2024,EA3GNU/P
EA7/AL-006,"Spain - South",Almería,Argerín,1826,5991,-2.4036,37.6347,-2.40360,37.63470,8,3,01/08/2012,31/12/2099,0,,
EA7/AL-007,"Spain - South",Almería,Maimón,1761,5777,-2.1340,37.6679,-2.13400,37.66790,8,3,01/08/2012,31/12/2099,0,,
EA7/AL-008,"Spain - South",Almería,Lúcar,1721,5647,-2.4677,37.4577,-2.46770,37.45770,8,3,01/08/2012,31/12/2099,1,18/01/2022,EA7GV
EA7/AL-009,"Spain - South",Almería,Montenegro,1714,5622,-2.7050,37.0732,-2.70500,37.07320,8,3,01/08/2012,31/12/2099,1,25/09/2013,EA7/M0WML/P
EA7/AL-010,"Spain - South",Almería,"Muela de Montalviche",1557,5109,-2.0339,37.7149,-2.03390,37.71490,8,3,01/08/2012,31/12/2099,2,05/12/2022,EA4DE
EA7/AL-011,"Spain - South",Almería,Gabar,1510,4952,-2.1315,37.7657,-2.13150,37.76570,8,3,01/08/2012,31/12/2099,1,11/01/2023,EA7KNC
EA7/AL-012,"Spain - South",Almería,Saliente,1500,4921,-2.1627,37.5362,-2.16270,37.53620,8,3,01/08/2012,31/08/2017,0,,
EA7/AL-013,"Spain - South",Almería,Engarbo,1413,4634,-2.0189,37.7692,-2.01890,37.76920,6,0,01/08/2012,31/12/2099,0,,
EA7/AL-014,"Spain - South",Almería,Colativí,1386,4547,-2.3012,36.9952,-2.30120,36.99520,6,0,01/08/2012,31/12/2099,4,10/01/2026,EA7/HB9HCS/P
EA7/AL-015,"Spain - South",Almería,Monteagudo,1298,4260,-2.2057,37.2110,-2.20570,37.21100,6,0,01/08/2012,31/12/2099,5,29/10/2025,EA/HB9FHX/P
EA7/AL-016,"Spain - South",Almería,"Cabezo Jara",1247,4091,-1.9107,37.5379,-1.91070,37.53790,6,0,01/08/2012,31/08/2017,1,02/07/2017,EA5FV/P
EA7/AL-017,"Spain - South",Almería,"Cerro de la Mezquita",961,3153,-1.9343,37.0830,-1.93430,37.08300,4,0,01/08/2012,31/12/2099,1,26/10/2025,EA/HB9FHX/P
EA7/AL-018,"Spain - South",Almería,Cucharón,709,2324,-1.8740,37.3664,-1.87400,37.36640,2,0,01/08/2012,31/12/2099,0,,
EA7/AL-019,"Spain - South",Almería,Fraile,492,1615,-2.0814,36.7820,-2.08140,36.78200,1,0,01/08/2012,31/12/2099,1,11/01/2026,EA7/HB9HCS/P
EA7/AL-020,"Spain - South",Almería,Peñones,488,1601,-2.0823,36.8323,-2.08230,36.83230,1,0,01/08/2012,31/12/2099,1,04/05/2024,EA4HIH
EA7/AL-021,"Spain - South",Almería,Carneros,434,1425,-2.1480,36.7783,-2.14800,36.77830,1,0,01/08/2012,31/12/2099,0,,
EA7/AL-022,"Spain - South",Almería,Almirez,2513,8245,-2.9102,37.0890,-2.91020,37.08900,10,3,01/09/2017,31/12/2099,1,22/08/2023,EA7GV
EA7/AL-023,"Spain - South",Almería,"Cuatro Puntas",2088,6851,-2.6774,37.2161,-2.67740,37.21610,10,3,01/09/2017,31/12/2099,2,26/02/2025,EA7GV
EA7/AL-024,"Spain - South",Almería,"Alto del Calar del Gallinero",2049,6722,-2.5164,37.2548,-2.51640,37.25480,10,3,01/09/2017,31/12/2099,9,05/04/2026,EA7KNC
EA7/AL-025,"Spain - South",Almería,Vinagre,1967,6454,-2.5357,37.2632,-2.53570,37.26320,8,3,01/09/2017,31/12/2099,2,31/03/2023,EG7GURU/P
EA7/AL-026,"Spain - South",Almería,Cabezo,1947,6388,-2.2529,37.6482,-2.25290,37.64820,8,3,01/09/2017,31/12/2099,0,,
EA7/AL-027,"Spain - South",Almería,Layón,1934,6346,-2.4745,37.2770,-2.47450,37.27700,8,3,01/09/2017,31/12/2099,3,30/03/2023,EA4DOS/P
EA7/AL-028,"Spain - South",Almería,Montaire,1863,6111,-2.9324,37.1376,-2.93240,37.13760,8,3,01/09/2017,31/12/2099,1,26/08/2018,EA4FJX/P
EA7/AL-029,"Spain - South",Almería,Enjambre,1781,5841,-2.3262,37.6228,-2.32620,37.62280,8,3,01/09/2017,31/12/2099,0,,
EA7/AL-030,"Spain - South",Almería,"Alto del Mojonar",1587,5205,-2.2217,37.6401,-2.22170,37.64010,8,3,01/09/2017,31/12/2099,2,18/11/2019,EA4DON/P
EA7/AL-031,"Spain - South",Almería,"Morrón de Caparrós",1505,4938,-2.1537,37.5452,-2.15370,37.54520,8,3,01/09/2017,31/12/2099,0,,
EA7/AL-032,"Spain - South",Almería,"Cerro del Sabuco",1491,4892,-2.4565,37.4896,-2.45650,37.48960,6,0,01/09/2017,31/12/2099,0,,
EA7/AL-033,"Spain - South",Almería,Pelado,1478,4849,-2.3552,37.5212,-2.35520,37.52120,6,0,01/09/2017,31/12/2099,0,,
EA7/AL-034,"Spain - South",Almería,Gordo,1466,4809,-2.2458,37.8920,-2.24580,37.89200,6,0,01/09/2017,31/12/2099,4,13/10/2023,EA5INS/P
EA7/AL-035,"Spain - South",Almería,Estancias,1463,4799,-2.0702,37.5871,-2.07020,37.58710,6,0,01/09/2017,31/12/2099,2,21/11/2019,EA4DOS/P
EA7/AL-036,"Spain - South",Almería,"Cerro del Lobo",1462,4797,-2.5018,37.4510,-2.50180,37.45100,6,0,01/09/2017,31/12/2099,0,,
EA7/AL-037,"Spain - South",Almería,"Morro de la Cuesta",1455,4772,-2.2956,37.6708,-2.29560,37.67080,6,0,01/09/2017,31/12/2099,0,,
EA7/AL-038,"Spain - South",Almería,"Las Morenilla",1454,4771,-2.4563,37.4267,-2.45630,37.42670,6,0,01/09/2017,31/12/2099,0,,
EA7/AL-039,"Spain - South",Almería,"Alto de los Pilillos",1448,4751,-2.3813,37.5227,-2.38130,37.52270,6,0,01/09/2017,31/12/2099,0,,
EA7/AL-040,"Spain - South",Almería,"Cocón de la Escalera",1362,4468,-2.3573,36.9888,-2.35730,36.98880,6,0,01/09/2017,31/12/2099,0,,
EA7/AL-041,"Spain - South",Almería,"Pico de la Alquería",1354,4443,-2.1535,37.8269,-2.15350,37.82690,6,0,01/09/2017,31/12/2099,0,,
EA7/AL-042,"Spain - South",Almería,Róquez,1353,4440,-2.2887,37.5671,-2.28870,37.56710,6,0,01/09/2017,31/12/2099,5,30/07/2023,EA7/SQ9NOT/P
EA7/AL-043,"Spain - South",Almería,Montoro,1346,4415,-2.6675,36.9624,-2.66750,36.96240,6,0,01/09/2017,31/12/2099,0,,
EA7/AL-044,"Spain - South",Almería,"Peñón de la Chaparra",1340,4397,-2.1786,37.5150,-2.17860,37.51500,6,0,01/09/2017,31/12/2099,0,,
EA7/AL-045,"Spain - South",Almería,"Cerro de Tomás García",1326,4351,-2.2979,37.2658,-2.29790,37.26580,6,0,01/09/2017,31/12/2099,0,,
EA7/AL-046,"Spain - South",Almería,Roza,1314,4309,-2.2234,37.5070,-2.22340,37.50700,6,0,01/09/2017,31/12/2099,1,29/10/2025,EA/HB9FHX/P
