SOTA Summits List (Date=05/06/2026)
SummitCode,AssociationName,RegionName,SummitName,AltM,AltFt,GridRef1,GridRef2,Longitude,Latitude,Points,BonusPoints,ValidFrom,ValidTo,ActivationCount,ActivationDate,ActivationCall
EI/IE-001,Ireland,"Ireland East",Lugnaquilla,925,3035,"T 032917",,-6.46460,52.96715,10,3,15/03/2003,31/12/2099,48,15/05/2026,EI/M5NIC
EI/IE-002,Ireland,"Ireland East",Mullaghcleevaun,849,2785,"O 067070",,-6.40668,53.10360,10,3,15/03/2003,31/12/2099,49,24/05/2026,EI2IAB/P
EI/IE-003,Ireland,"Ireland East",Tonelagee,817,2680,"O 085015",,-6.38265,53.05344,10,3,15/03/2003,31/12/2099,98,05/05/2026,EI/G4TJC/P
EI/IE-004,Ireland,"Ireland East","Mount Leinster",794,2606,"S 826525",,-6.78033,52.61815,10,3,15/03/2003,31/12/2099,47,31/03/2026,EI2IAB/P
EI/IE-005,Ireland,"Ireland East",Kippure,757,2484,"O 115154",,-6.33209,53.17820,10,3,15/03/2003,31/12/2099,96,14/05/2026,EI/M5NIC
EI/IE-006,Ireland,"Ireland East","Blackstairs Mountain",732,2402,"S 810447",,-6.80572,52.54890,10,3,15/03/2003,31/12/2099,30,08/04/2026,EI6FR/P
EI/IE-007,Ireland,"Ireland East",Djouce,726,2380,"O 178103",,-6.23990,53.13081,10,3,15/03/2003,31/12/2099,94,02/05/2026,EI3LH
EI/IE-008,Ireland,"Ireland East",Slievenamon,720,2363,"S 297307",,-7.56287,52.42760,10,3,15/03/2003,31/12/2099,27,26/05/2026,EI3IXB/P
EI/IE-009,Ireland,"Ireland East","Keeper Hill",694,2277,"R 823667",,-8.26148,52.75147,8,3,15/03/2003,31/12/2099,22,19/03/2026,EI3ISB
EI/IE-010,Ireland,"Ireland East",Croaghanmoira,664,2178,"T 099865",,-6.36687,52.91842,8,3,15/03/2003,31/12/2099,52,30/03/2026,EI2IAB/P
EI/IE-011,Ireland,"Ireland East","Keadeen Mountain",653,2142,"S 953897",,-6.58150,52.95051,8,3,15/03/2003,31/12/2099,43,17/05/2026,EI/M5NIC
EI/IE-012,Ireland,"Ireland East",Scarr,641,2103,"O 132018",,-6.31248,53.05516,8,3,15/03/2003,31/12/2099,66,30/03/2026,EI3IXB/P
EI/IE-013,Ireland,"Ireland East","Croghan Kinsella",606,1988,"T 130728",,-6.32415,52.79547,8,3,15/03/2003,31/12/2099,41,16/05/2026,EI6IRB
EI/IE-014,Ireland,"Ireland East","Sorrel Hill",600,1967,"O 042118",,-6.44306,53.14759,6,3,15/03/2003,31/12/2099,68,19/04/2026,EI8HIB/P
EI/IE-015,Ireland,"Ireland East","Slieve Foye",589,1932,"J 168120",,-6.21625,54.04443,6,3,15/03/2003,31/12/2099,37,26/04/2026,EI3IXB/P
EI/IE-016,Ireland,"Ireland East",Mauherslieve,543,1781,"R 873619",,-8.18863,52.70845,6,3,15/03/2003,31/12/2099,10,06/05/2026,EI3ISB
EI/IE-017,Ireland,"Ireland East","Ballycurragh Hill",536,1759,"T 056823",,-6.43213,52.88156,6,3,15/03/2003,31/12/2099,18,01/05/2026,EI3IXB/P
EI/IE-018,Ireland,"Ireland East","Two Rock Mountain",536,1759,"O 172223",,-6.24536,53.23841,6,3,15/03/2003,31/12/2099,103,25/04/2026,EI3LH
EI/IE-019,Ireland,"Ireland East",Arderin,527,1729,"S 232989",,-7.65418,53.04060,6,3,15/03/2003,31/12/2099,49,06/05/2026,EI/M0TMD/P
EI/IE-020,Ireland,"Ireland East","Brandon Hill",515,1690,"S 697402",,-6.97416,52.50980,6,3,15/03/2003,31/12/2099,25,31/03/2026,EI6FR/P
EI/IE-021,Ireland,"Ireland East","Clermont Carn",508,1667,"J 099157",,-6.32156,54.07925,6,3,15/03/2003,31/12/2099,99,21/03/2026,EI6IRB
EI/IE-022,Ireland,"Ireland East","Great Sugar Loaf",501,1644,"O 237130",,-6.15051,53.15416,6,3,15/03/2003,31/12/2099,71,26/04/2026,EI3LH
