SOTA Summits List (Date=05/06/2026)
SummitCode,AssociationName,RegionName,SummitName,AltM,AltFt,GridRef1,GridRef2,Longitude,Latitude,Points,BonusPoints,ValidFrom,ValidTo,ActivationCount,ActivationDate,ActivationCall
ER/MD-001,Moldova,Moldova,"Dealul Bălănești",429,1407,28.0836,47.2161,28.08360,47.21610,4,0,01/07/2024,31/12/2099,6,16/08/2025,ER1SKI/QRP
ER/MD-002,Moldova,Moldova,"Dealul din Rezervația Plaiul Fagului",421,1381,28.0091,47.3269,28.00910,47.32690,4,0,01/07/2024,31/12/2099,1,20/09/2025,ER1SKI/P
ER/MD-003,Moldova,Moldova,"Dealul Veverița",408,1338,28.1152,47.3506,28.11520,47.35060,4,0,01/07/2024,31/12/2099,3,21/09/2025,ER1SKI/P
ER/MD-004,Moldova,Moldova,"Movila Măgura",388,1272,27.8845,47.4902,27.88450,47.49020,2,0,01/07/2024,31/12/2099,4,09/09/2025,ER/HB9GUX
ER/MD-005,Moldova,Moldova,"Movila Mare (Tuzara)",383,1256,28.2904,47.2223,28.29040,47.22230,2,0,01/07/2024,31/12/2099,3,24/08/2025,ER1SKI/QRP
ER/MD-006,Moldova,Moldova,"Movila Carantia",362,1187,28.3447,47.3539,28.34470,47.35390,2,0,01/07/2024,31/12/2099,1,24/08/2025,ER1SKI/QRP
ER/MD-007,Moldova,Moldova,"Dealul Rădulenilor",356,1167,28.2164,47.9892,28.21640,47.98920,2,0,01/07/2024,31/12/2099,1,08/11/2025,ER1SKI/QRP
ER/MD-008,Moldova,Moldova,"Dealul Rădoaia",351,1151,28.1520,47.7532,28.15200,47.75320,2,0,01/07/2024,31/12/2099,1,20/12/2025,ER1SKI/P
ER/MD-009,Moldova,Moldova,"Dealul Băxanilor",349,1145,28.0737,48.1194,28.07370,48.11940,2,0,01/07/2024,31/12/2099,1,14/10/2025,ER1SKI/QRP
ER/MD-010,Moldova,Moldova,"Dealul Rediu (Chișcăreni)",346,1135,28.0099,47.5360,28.00990,47.53600,2,0,01/07/2024,31/12/2099,0,,
ER/MD-011,Moldova,Moldova,"Movila Momâia",337,1105,28.5309,47.8016,28.53090,47.80160,2,0,01/07/2024,31/12/2099,2,30/08/2025,ER1SKI/QRP
ER/MD-012,Moldova,Moldova,"Dealul Rediului (Vanțina)",332,1089,28.1990,48.1097,28.19900,48.10970,2,0,01/07/2024,31/12/2099,0,,
ER/MD-013,Moldova,Moldova,"Dealul Ciutulești",327,1072,28.3765,47.7573,28.37650,47.75730,2,0,01/07/2024,31/12/2099,0,,
ER/MD-014,Moldova,Moldova,"Dealul Dumbrava",321,1053,28.2097,47.4667,28.20970,47.46670,2,0,01/07/2024,31/12/2099,1,27/09/2025,ER1SKI/QRP
ER/MD-015,Moldova,Moldova,"Dealul Podișu (Pepeni)",319,1046,28.3572,47.6246,28.35720,47.62460,2,0,01/07/2024,31/12/2099,2,06/10/2024,ER/SP9PND/P
ER/MD-016,Moldova,Moldova,"Dealul Lărguța",314,1030,28.3537,46.3288,28.35370,46.32880,2,0,01/07/2024,31/12/2099,1,06/09/2025,ER1SKI/QRP
ER/MD-017,Moldova,Moldova,"Dealul Florițoaia",314,1030,27.9567,47.1925,27.95670,47.19250,2,0,01/07/2024,31/12/2099,1,01/11/2025,ER1SKI/QRP
ER/MD-018,Moldova,Moldova,"Dealul Vechi (Starîi deal)",312,1023,28.2447,47.6879,28.24470,47.68790,2,0,01/07/2024,31/12/2099,0,,
ER/MD-019,Moldova,Moldova,"Dealul Rediu (Dumbrăvița)",309,1013,28.1081,47.4617,28.10810,47.46170,2,0,01/07/2024,31/12/2099,0,,
ER/MD-020,Moldova,Moldova,"Dealul Malanca",294,964,28.3022,47.5663,28.30220,47.56630,1,0,01/07/2024,31/12/2099,0,,
ER/MD-021,Moldova,Moldova,"Dealul Unțești",292,958,27.9022,47.2412,27.90220,47.24120,1,0,01/07/2024,31/12/2099,1,01/11/2025,ER1SKI/QRP
ER/MD-022,Moldova,Moldova,"Dealul Hârtopu (Soltănești)",267,875,28.1367,47.0302,28.13670,47.03020,1,0,01/07/2024,31/12/2099,0,,
ER/MD-023,Moldova,Moldova,"Movila Sărătenilor",266,872,28.4816,47.5054,28.48160,47.50540,1,0,01/07/2024,31/12/2099,3,27/09/2025,ER1SKI/QRP
ER/MD-024,Moldova,Moldova,"Movila Oușoru",258,846,28.1166,47.5899,28.11660,47.58990,1,0,01/07/2024,31/12/2099,0,,
ER/MD-025,Moldova,Moldova,"Movila Hurezu",253,830,28.0887,47.5473,28.08870,47.54730,1,0,01/07/2024,31/12/2099,0,,
ER/MD-026,Moldova,Moldova,"Dealul Hârtoape (Rediul de Sus)",242,793,27.5905,47.5009,27.59050,47.50090,1,0,01/07/2024,31/12/2099,0,,
