SOTA Summits List (Date=05/06/2026)
SummitCode,AssociationName,RegionName,SummitName,AltM,AltFt,GridRef1,GridRef2,Longitude,Latitude,Points,BonusPoints,ValidFrom,ValidTo,ActivationCount,ActivationDate,ActivationCall
F/AB-001,France,"Alpes Mont Blanc","Mont Blanc",4808,15774,6.8644,45.8325,6.86440,45.83250,10,3,01/04/2007,31/12/2099,12,10/04/2025,VK3TBS
F/AB-002,France,"Alpes Mont Blanc","Mont Maudit",4465,14649,6.8758,45.8475,6.87580,45.84750,10,3,01/04/2007,31/12/2099,0,,
F/AB-003,France,"Alpes Mont Blanc","Mont Blanc du Tacul",4248,13937,6.8881,45.8567,6.88810,45.85670,10,3,01/04/2007,31/12/2099,1,29/07/2021,F4CPJ/P
F/AB-004,France,"Alpes Mont Blanc","Grandes Jorasses - Pointe Walker",4208,13806,6.9889,45.8681,6.98890,45.86810,10,3,01/04/2007,31/12/2099,0,,
F/AB-005,France,"Alpes Mont Blanc","Aiguille Verte",4122,13524,6.9703,45.9347,6.97030,45.93470,10,3,01/04/2007,31/12/2099,0,,
F/AB-006,France,"Alpes Mont Blanc","Aiguille de Bionnassay",4052,13294,6.8186,45.8358,6.81860,45.83580,10,3,01/04/2007,31/12/2099,0,,
F/AB-007,France,"Alpes Mont Blanc","Dôme de Rochefort",4015,13173,6.9681,45.8647,6.96810,45.86470,10,3,01/04/2007,31/12/2099,0,,
F/AB-008,France,"Alpes Mont Blanc","Les Droites",4000,13123,6.9892,45.9308,6.98920,45.93080,10,3,01/04/2007,31/12/2099,0,,
F/AB-009,France,"Alpes Mont Blanc","La Meije - Grand Pic",3983,13068,6.3086,45.0047,6.30860,45.00470,10,3,01/04/2007,31/12/2099,0,,
F/AB-010,France,"Alpes Mont Blanc","Aiguille Centrale Sud-Est de Tré la Tête",3930,12894,6.8150,45.7947,6.81500,45.79470,10,3,01/04/2007,01/02/2017,0,,
F/AB-011,France,"Alpes Mont Blanc","Aiguille d'Argentière",3900,12795,7.0200,45.9600,7.02000,45.96000,10,3,01/04/2007,31/12/2099,0,,
F/AB-012,France,"Alpes Mont Blanc","Pic Gaspard",3881,12733,6.3311,44.9983,6.33110,44.99830,10,3,01/04/2007,31/12/2099,0,,
F/AB-013,France,"Alpes Mont Blanc","Aiguille de Triolet",3870,12697,7.0247,45.9167,7.02470,45.91670,10,3,01/04/2007,31/12/2099,0,,
F/AB-014,France,"Alpes Mont Blanc","La Grande Casse",3855,12648,6.8278,45.4053,6.82780,45.40530,10,3,01/04/2007,31/12/2099,0,,
F/AB-015,France,"Alpes Mont Blanc","Aiguille du Midi",3842,12605,6.8875,45.8786,6.88750,45.87860,10,3,01/04/2007,31/12/2099,15,27/05/2026,F/LX1YCV
F/AB-016,France,"Alpes Mont Blanc","Le Tour Noir",3837,12589,7.0375,45.9489,7.03750,45.94890,10,3,01/04/2007,01/02/2017,0,,
F/AB-017,France,"Alpes Mont Blanc","Aiguille du Chardonnet",3824,12546,7.0011,45.9689,7.00110,45.96890,10,3,01/04/2007,31/12/2099,0,,
F/AB-018,France,"Alpes Mont Blanc","Mont Dolent",3823,12543,7.0461,45.9222,7.04610,45.92220,10,3,01/04/2007,01/02/2017,0,,
F/AB-019,France,"Alpes Mont Blanc","Aiguille des Glaciers",3816,12520,6.8028,45.7786,6.80280,45.77860,10,3,01/04/2007,31/12/2099,0,,
F/AB-020,France,"Alpes Mont Blanc","Le Râteau - Pic Est",3809,12497,6.2831,45.0008,6.28310,45.00080,10,3,01/04/2007,31/12/2099,0,,
F/AB-021,France,"Alpes Mont Blanc","La Tour Ronde",3792,12441,6.9075,45.8436,6.90750,45.84360,10,3,01/04/2007,31/12/2099,0,,
F/AB-022,France,"Alpes Mont Blanc","Mont Pourri",3779,12398,6.8603,45.5281,6.86030,45.52810,10,3,01/04/2007,31/12/2099,0,,
F/AB-023,France,"Alpes Mont Blanc","Pointe Brevoort",3765,12352,6.3290,44.9676,6.32900,44.96760,10,3,01/04/2007,31/12/2099,0,,
F/AB-024,France,"Alpes Mont Blanc","Aiguille de Leschaux",3759,12333,7.0069,45.8875,7.00690,45.88750,10,3,01/04/2007,31/12/2099,0,,
F/AB-025,France,"Alpes Mont Blanc","Le Grand Dru",3754,12316,6.9567,45.9328,6.95670,45.93280,10,3,01/04/2007,31/12/2099,0,,
F/AB-026,France,"Alpes Mont Blanc","Pointe de Charbonnel",3752,12310,7.0558,45.2806,7.05580,45.28060,10,3,01/04/2007,31/12/2099,0,,
F/AB-027,France,"Alpes Mont Blanc","Aiguille de la Grande Sassière",3747,12293,7.0000,45.5050,7.00000,45.50500,10,3,01/04/2007,31/12/2099,1,19/07/2016,F5HTR/P
F/AB-028,France,"Alpes Mont Blanc","Roche Faurio",3730,12238,6.3574,44.9418,6.35740,44.94180,10,3,01/04/2007,31/12/2099,0,,
F/AB-029,France,"Alpes Mont Blanc","Aiguille de Talèfre",3730,12238,7.0038,45.8997,7.00380,45.89970,10,3,01/04/2007,31/12/2099,0,,
F/AB-030,France,"Alpes Mont Blanc","Combin de Corbassière",3715,12188,7.2806,45.9778,7.28060,45.97780,10,3,01/04/2007,01/02/2008,0,,
F/AB-031,France,"Alpes Mont Blanc","La Dent Parrachée",3697,12129,6.7561,45.2891,6.75610,45.28910,10,3,01/04/2007,31/12/2099,0,,
F/AB-032,France,"Alpes Mont Blanc","Dômes de Miage",3673,12051,6.8003,45.8156,6.80030,45.81560,10,3,01/04/2007,31/12/2099,0,,
F/AB-033,France,"Alpes Mont Blanc","Aiguille du Plan",3673,12051,6.9072,45.8914,6.90720,45.89140,10,3,01/04/2007,31/12/2099,0,,
F/AB-034,France,"Alpes Mont Blanc","Dômes de Miage Oriental",3669,12037,6.7894,45.8108,6.78940,45.81080,10,3,01/04/2007,01/02/2017,0,,
F/AB-035,France,"Alpes Mont Blanc","Pic de la Grave",3667,12031,6.2541,44.9952,6.25410,44.99520,10,3,01/04/2007,31/12/2099,1,17/02/2025,F/G5OLD/P
F/AB-036,France,"Alpes Mont Blanc","Combin de Bovière",3661,12011,7.2708,45.9647,7.27080,45.96470,10,3,01/04/2007,01/02/2008,0,,
F/AB-037,France,"Alpes Mont Blanc","La Grande Motte",3653,11985,6.8703,45.4114,6.87030,45.41140,10,3,01/04/2007,31/12/2099,0,,
F/AB-038,France,"Alpes Mont Blanc","Grande Fourche",3619,11873,7.0211,45.9764,7.02110,45.97640,10,3,01/04/2007,01/02/2017,0,,
