SOTA Summits List (Date=05/06/2026)
SummitCode,AssociationName,RegionName,SummitName,AltM,AltFt,GridRef1,GridRef2,Longitude,Latitude,Points,BonusPoints,ValidFrom,ValidTo,ActivationCount,ActivationDate,ActivationCall
FG/BT-001,Guadeloupe,Guadeloupe,"La Soufrière",1467,4813,-61.6639,16.0449,-61.66390,16.04490,10,3,01/06/2017,31/12/2099,2,27/03/2025,FG/HB9HCS/P
FG/BT-002,Guadeloupe,Guadeloupe,"Grand Sans Toucher",1356,4449,-61.6841,16.0897,-61.68410,16.08970,10,3,01/06/2017,31/12/2099,0,,
FG/BT-003,Guadeloupe,Guadeloupe,Matéliane,1297,4255,-61.6637,16.0949,-61.66370,16.09490,10,3,01/06/2017,31/12/2099,0,,
FG/BT-004,Guadeloupe,Guadeloupe,"Morne Bel-Air ou Merwart",1156,3793,-61.7004,16.1207,-61.70040,16.12070,10,3,01/06/2017,31/12/2099,0,,
FG/BT-005,Guadeloupe,Guadeloupe,"Pitons ou Sauts de Bouillante",1088,3570,-61.7241,16.1353,-61.72410,16.13530,10,3,01/06/2017,31/12/2099,0,,
FG/BT-006,Guadeloupe,Guadeloupe,"Piton L'Herminier",973,3192,-61.6427,16.0147,-61.64270,16.01470,10,3,01/06/2017,31/12/2099,0,,
FG/BT-007,Guadeloupe,Guadeloupe,"Morne Soldat",851,2792,-61.7261,16.0962,-61.72610,16.09620,8,0,01/06/2017,31/12/2099,0,,
FG/BT-008,Guadeloupe,Guadeloupe,"Belle Hôtesse",774,2539,-61.7676,16.2584,-61.76760,16.25840,8,0,01/06/2017,31/12/2099,1,09/03/2025,FG/DD6DO/P
FG/BT-009,Guadeloupe,Guadeloupe,"Mamelle de Pigeon ou Déboulé",768,2520,-61.7357,16.1776,-61.73570,16.17760,8,0,01/06/2017,31/12/2099,3,25/03/2025,FG/HB9HCS/P
FG/BT-010,Guadeloupe,Guadeloupe,"Morne Jeanneton",744,2441,-61.7232,16.2295,-61.72320,16.22950,6,0,01/06/2017,31/12/2099,1,30/03/2025,FG/HB9HCS/P
FG/BT-011,Guadeloupe,Guadeloupe,"Morne à Louis",743,2438,-61.7493,16.1860,-61.74930,16.18600,6,0,01/06/2017,31/12/2099,4,06/12/2025,FG/M0BLF/P
FG/BT-012,Guadeloupe,Guadeloupe,"Vent Soufflé",685,2247,-61.6904,15.9722,-61.69040,15.97220,6,0,01/06/2017,31/12/2099,1,26/02/2025,FG/DD6DO/P
FG/BT-013,Guadeloupe,Guadeloupe,"Petite Montagne",434,1424,-61.6155,15.9984,-61.61550,15.99840,2,0,01/06/2017,31/12/2099,0,,
FG/BT-014,Guadeloupe,Guadeloupe,"Gros Morne",206,676,-61.7985,16.3135,-61.79850,16.31350,1,0,01/06/2017,31/12/2099,3,07/12/2025,FG/M0BLF/P
FG/LD-001,Guadeloupe,Guadeloupe,Grande-Montagne,273,896,-61.0596,16.3113,-61.05960,16.31130,1,0,01/06/2017,31/12/9999,1,22/02/2025,FG/DD6DO/P
FG/MG-001,Guadeloupe,Guadeloupe,"Morne Constant",204,669,-61.2112,15.9473,-61.21120,15.94730,1,0,01/06/2017,31/12/9999,1,30/03/2019,FG/HB9BHU/P
FG/TB-001,Guadeloupe,Guadeloupe,"le Chameau",304,997,-61.5953,15.8582,-61.59530,15.85820,1,0,01/05/2017,31/12/9999,2,04/03/2025,FG/DD6DO/P
FG/TB-002,Guadeloupe,Guadeloupe,"Mornes Sec",285,935,-61.6338,15.8596,-61.63380,15.85960,1,0,01/05/2017,31/12/9999,1,02/03/2025,FG/DD6DO/P
FG/TB-003,Guadeloupe,Guadeloupe,"Grand Îlet",165,541,-61.5867,15.8350,-61.58670,15.83500,1,0,01/06/2017,31/12/9999,0,,
