SOTA Summits List (Date=05/06/2026)
SummitCode,AssociationName,RegionName,SummitName,AltM,AltFt,GridRef1,GridRef2,Longitude,Latitude,Points,BonusPoints,ValidFrom,ValidTo,ActivationCount,ActivationDate,ActivationCall
FK/NP-001,"New Caledonia","North Province","Mont Panié",1629,5344,164.7701,-20.5886,164.77010,-20.58860,10,3,01/08/2016,31/12/2099,0,,
FK/NP-002,"New Caledonia","North Province","Mont Colnett",1512,4961,164.7025,-20.5131,164.70250,-20.51310,10,3,01/08/2016,31/12/2099,0,,
FK/NP-003,"New Caledonia","North Province","Hîgo (Tchingou)",1381,4531,165.0059,-20.9016,165.00591,-20.90160,10,3,01/08/2016,31/12/2099,0,,
FK/NP-004,"New Caledonia","North Province",Boulinda,1330,4364,165.1471,-21.2317,165.14709,-21.23170,10,3,01/08/2016,31/12/2099,0,,
FK/NP-005,"New Caledonia","North Province","Ignambi (Ngâbi)",1323,4341,164.6028,-20.4628,164.60280,-20.46280,10,3,01/08/2016,31/12/2099,0,,
FK/NP-006,"New Caledonia","North Province",Gacim,1168,3832,164.8433,-20.8431,164.84331,-20.84310,8,0,01/08/2016,31/12/2099,0,,
FK/NP-007,"New Caledonia","North Province",Paéoua,1141,3743,165.0941,-21.1649,165.09410,-21.16490,8,0,01/08/2016,31/12/2099,0,,
FK/NP-008,"New Caledonia","North Province",Péja,1125,3691,164.6420,-20.5492,164.64200,-20.54920,8,0,01/08/2016,31/12/2099,0,,
FK/NP-009,"New Caledonia","North Province",Katalupaik,1092,3583,165.0043,-20.8341,165.00430,-20.83410,8,0,01/08/2016,31/12/2099,0,,
FK/NP-010,"New Caledonia","North Province",Taom,1092,3583,164.5863,-20.7818,164.58630,-20.78180,8,0,01/08/2016,31/12/2099,0,,
FK/NP-011,"New Caledonia","North Province","Gwâ Rùvianô (Mé Wafara)",1089,3573,165.7015,-21.4438,165.70151,-21.44380,8,0,01/08/2016,31/12/2099,0,,
