SOTA Summits List (Date=05/06/2026)
SummitCode,AssociationName,RegionName,SummitName,AltM,AltFt,GridRef1,GridRef2,Longitude,Latitude,Points,BonusPoints,ValidFrom,ValidTo,ActivationCount,ActivationDate,ActivationCall
FL/NO-001,"France - Low","Nord Ouest","Bois de Baissey",521,1709,5.1917,47.7891,5.19170,47.78910,4,0,01/04/2007,31/12/2099,12,28/01/2025,F/DL7BC/p
FL/NO-002,"France - Low","Nord Ouest","Le Haut du Sec",520,1706,5.1917,47.7969,5.19170,47.79690,1,0,01/04/2007,29/02/2012,5,16/08/2011,F8CZI/P
FL/NO-003,"France - Low","Nord Ouest","Haute Butte",489,1604,4.7656,49.9686,4.76560,49.96860,1,0,01/04/2007,01/04/2014,13,01/07/2012,F/PA3FYG/P
FL/NO-004,"France - Low","Nord Ouest","Buisson d'Amanty",424,1391,5.5994,48.5014,5.59940,48.50140,1,0,01/04/2007,01/04/2014,2,30/10/2009,F5AKL/P
FL/NO-005,"France - Low","Nord Ouest","Roc La Tour",408,1339,4.7842,49.8903,4.78420,49.89030,1,0,01/04/2007,29/02/2012,7,25/05/2011,F/ON9CBQ/P
FL/NO-006,"France - Low","Nord Ouest","Les Dames de Meuse",402,1319,4.6742,49.8950,4.67420,49.89500,2,0,01/04/2007,31/12/2099,23,22/06/2025,F/ON7DQ/P
FL/NO-007,"France - Low","Nord Ouest","Roches de Laifour",398,1306,4.6964,49.9197,4.69640,49.91970,1,0,01/04/2007,29/02/2012,4,26/02/2011,F/LX1NO/P
FL/NO-008,"France - Low","Nord Ouest","Forêt Domaniale de Château Regnault",396,1299,4.7608,49.8735,4.76080,49.87350,2,0,01/04/2007,31/12/2099,16,22/02/2024,F/HB9BQU/P
FL/NO-009,"France - Low","Nord Ouest","Roc'h Trédudon",387,1270,-3.8758,48.4142,-3.87580,48.41420,2,0,01/04/2007,31/12/2099,17,20/05/2026,F/M0WML/P
FL/NO-010,"France - Low","Nord Ouest","Roc'h Ruz",385,1263,-3.8803,48.4161,-3.88030,48.41610,1,0,01/04/2007,29/02/2012,0,,
FL/NO-011,"France - Low","Nord Ouest","Roc'h Trevezel",384,1260,-3.9097,48.4064,-3.90970,48.40640,1,0,01/04/2007,29/02/2012,2,23/06/2010,F1BKM/P
FL/NO-012,"France - Low","Nord Ouest","Menez Gador",383,1257,-3.9531,48.3722,-3.95310,48.37220,1,0,01/04/2007,29/02/2012,0,,
FL/NO-013,"France - Low","Nord Ouest","Mont Saint Michel de Brasparts",381,1250,-3.9456,48.3503,-3.94560,48.35030,1,0,01/04/2007,29/02/2012,2,24/06/2010,F1BKM/P
FL/NO-014,"France - Low","Nord Ouest","La Longue Roche",376,1234,4.7206,49.8886,4.72060,49.88860,1,0,01/04/2007,29/02/2012,4,25/01/2008,F6ENO/P
FL/NO-015,"France - Low","Nord Ouest","Roc'h Ar Feunteun",372,1220,-3.8550,48.4181,-3.85500,48.41810,1,0,01/04/2007,29/02/2012,0,,
FL/NO-016,"France - Low","Nord Ouest","Bois du Mont",369,1211,4.6897,48.1522,4.68970,48.15220,1,0,01/04/2007,01/04/2014,5,01/09/2013,F5IRO/P
FL/NO-017,"France - Low","Nord Ouest","St Martin de Chaulieux",365,1198,-0.8617,48.7358,-0.86170,48.73580,1,0,01/04/2007,01/04/2014,13,09/02/2014,F5UBH/P
FL/NO-018,"France - Low","Nord Ouest","Mont Pinçon",363,1191,-0.6278,48.9714,-0.62780,48.97140,2,0,01/04/2007,31/12/2099,31,04/06/2026,F/M0WML/P
FL/NO-019,"France - Low","Nord Ouest","Sommet du Pierroy",360,1181,4.7522,49.8694,4.75220,49.86940,1,0,01/04/2007,29/02/2012,5,25/09/2011,F/ON4UP/P
FL/NO-020,"France - Low","Nord Ouest","Roc'h Ar Bichourell",339,1112,-3.9250,48.3964,-3.92500,48.39640,1,0,01/04/2007,29/02/2012,0,,
FL/NO-021,"France - Low","Nord Ouest","Ménez Hom",330,1083,-4.2347,48.2194,-4.23470,48.21940,1,0,01/04/2007,31/12/2099,23,06/08/2025,F/G1OXH/P
FL/NO-022,"France - Low","Nord Ouest","Roc'h Toullaëron",318,1043,-3.6419,48.1686,-3.64190,48.16860,1,0,01/04/2007,31/12/2099,11,22/09/2022,F/G4OBK/P
FL/NO-023,"France - Low","Nord Ouest","Sommet de Montgraham",270,886,0.8806,48.2522,0.88060,48.25220,1,0,01/04/2007,01/04/2014,1,30/05/2009,F5NEP/P
FL/NO-024,"France - Low","Nord Ouest","Canton de la Ville Danet",258,846,-2.2283,48.0300,-2.22830,48.03000,1,0,01/04/2007,31/12/2099,5,07/11/2024,F/ON6ZQ/P
