SOTA Summits List (Date=05/06/2026)
SummitCode,AssociationName,RegionName,SummitName,AltM,AltFt,GridRef1,GridRef2,Longitude,Latitude,Points,BonusPoints,ValidFrom,ValidTo,ActivationCount,ActivationDate,ActivationCall
G/CE-001,England,"Central England","Cleeve Hill",330,1083,"SO 996245",,-2.00590,51.91990,1,0,02/03/2002,31/12/2099,490,24/05/2026,M1L
G/CE-002,England,"Central England","Walton Hill",316,1035,"SO 942798",,-2.08583,52.41621,1,0,02/03/2002,31/12/2099,451,07/05/2026,G4AZS/P
G/CE-003,England,"Central England","Bredon Hill",299,980,"SO 957402",,-2.06324,52.06074,1,0,02/03/2002,31/12/2099,311,13/11/2025,M0LEP/P
G/CE-004,England,"Central England","Bardon Hill",280,918,"SK 460131",,-1.31928,52.71442,1,0,02/03/2002,31/12/2099,414,14/05/2026,G4IPB/P
G/CE-005,England,"Central England","Wendover Woods",268,878,"SP 890089",,-0.71117,51.77242,1,0,02/03/2002,31/12/2099,353,31/05/2026,M1GEO/P
G/CE-006,England,"Central England","Aconbury Hill",276,904,"SO 505330",,-2.72240,51.99320,1,0,06/03/2002,09/05/2002,0,,
G/DC-001,England,"Devon & Cornwall","High Willhays",622,2041,"SX 580892",,-4.01116,50.68520,4,3,02/03/2002,31/12/2099,186,18/01/2026,M7KBB/P
G/DC-002,England,"Devon & Cornwall","Brown Willy",420,1378,"SX 158799",,-4.60272,50.59059,1,0,02/03/2002,31/12/2099,87,01/11/2025,G8CXK/P
G/DC-003,England,"Devon & Cornwall","Kit Hill",334,1096,"SX 374713",,-4.29387,50.51918,1,0,02/03/2002,31/12/2099,141,22/03/2026,M0CBC/P
G/DC-004,England,"Devon & Cornwall","Hensbarrow Beacon",312,1024,"SW 996575",,-4.81917,50.38364,1,0,02/03/2002,31/08/2017,51,06/09/2020,M1CGB
G/DC-005,England,"Devon & Cornwall","Christ Cross",262,860,"SS 964052",,-3.47265,50.83741,1,0,02/03/2002,31/12/2099,113,19/05/2026,M0WML/P
G/DC-006,England,"Devon & Cornwall",Carnmenellis,252,825,"SW 695364",,-5.22932,50.18306,1,0,02/03/2002,31/12/2099,80,21/09/2025,M1GEO/P
G/DC-007,England,"Devon & Cornwall","Watch Croft",253,830,"SW 420356",,-5.61347,50.16503,1,0,02/03/2002,31/12/2099,113,21/09/2025,M1GEO/P
G/DC-008,England,"Devon & Cornwall","Hensbarrow Downs",365,1196,"SX 001574",,-4.81276,50.38311,1,0,01/09/2017,31/12/2099,48,21/09/2025,M1GEO/P
G/LD-001,England,"Lake District","Scafell Pike",978,3209,"NY 215072",,-3.21168,54.45426,10,3,02/03/2002,31/12/2099,278,10/05/2026,M1TJM/P
G/LD-002,England,"Lake District",Scafell,964,3163,"NY 206064",,-3.22600,54.44680,10,3,02/03/2002,06/03/2002,0,,
G/LD-003,England,"Lake District",Helvellyn,950,3116,"NY 342151",,-3.01751,54.52700,10,3,02/03/2002,31/12/2099,418,27/05/2026,M6GYU/P
G/LD-004,England,"Lake District",Skiddaw,930,3052,"NY 260290",,-3.14776,54.65139,10,3,02/03/2002,31/12/2099,375,25/05/2026,M7TKL/P
G/LD-005,England,"Lake District","Great Gable",899,2949,"NY 211103",,-3.21930,54.48208,8,3,02/03/2002,31/12/2099,182,22/05/2026,M9OUD
G/LD-006,England,"Lake District",Pillar,892,2928,"NY 171121",,-3.28113,54.49748,8,3,02/03/2002,31/12/2099,129,27/05/2026,M9OUD
G/LD-007,England,"Lake District",Fairfield,873,2865,"NY 358117",,-2.99165,54.49706,8,3,02/03/2002,31/12/2099,290,28/05/2026,G1OXH/P
G/LD-008,England,"Lake District","Blencathra - Hallsfell Top",868,2847,"NY 323277",,-3.04979,54.63995,8,3,02/03/2002,31/12/2099,302,06/05/2026,G4BLH/P
G/LD-009,England,"Lake District",Grasmoor,852,2794,"NY 174203",,-3.27790,54.57164,8,3,02/03/2002,31/12/2099,148,27/04/2026,M9OUD
G/LD-010,England,"Lake District","St Sunday Crag",841,2760,"NY 369133",,-2.97584,54.51194,8,3,02/03/2002,31/12/2099,229,28/05/2026,G1OXH/P
G/LD-011,England,"Lake District","High Street",829,2718,"NY 441111",,-2.86388,54.49230,8,3,02/03/2002,31/12/2099,218,30/05/2026,G1OXH/P
G/LD-012,England,"Lake District","High Stile",807,2646,"NY 170148",,-3.28370,54.52184,8,3,02/03/2002,31/12/2099,102,27/10/2025,M0NOM/P
G/LD-013,England,"Lake District","The Old Man of Coniston",802,2633,"SD 272978",,-3.12144,54.37066,8,3,02/03/2002,31/12/2099,310,08/05/2026,M1TJM/P
G/LD-014,England,"Lake District","Kirk Fell",802,2631,"NY 194104",,-3.24412,54.48332,8,3,02/03/2002,31/12/2099,144,22/05/2026,M9OUD
