SOTA Summits List (Date=05/06/2026)
SummitCode,AssociationName,RegionName,SummitName,AltM,AltFt,GridRef1,GridRef2,Longitude,Latitude,Points,BonusPoints,ValidFrom,ValidTo,ActivationCount,ActivationDate,ActivationCall
GM/CS-001,Scotland,"Central Scotland","Ben Lawers",1214,3983,"NN 635414",,-4.22086,56.54492,10,3,01/07/2002,31/12/2099,73,17/08/2025,MM7VXJ
GM/CS-002,Scotland,"Central Scotland","Creag Meagaidh",1128,3701,"NN 418875",,-4.60212,56.95202,10,3,01/07/2002,31/12/2099,15,23/08/2021,MM0EFI/P
GM/CS-003,Scotland,"Central Scotland","Beinn a'Ghlo - Carn nan Gabhar",1122,3681,"NN 971733",,-3.68806,56.83984,10,3,01/07/2002,31/12/2099,21,02/08/2025,MM7VXJ
GM/CS-004,Scotland,"Central Scotland","Meall Garbh",1123,3685,"NN 644437",,-4.20771,56.56612,10,3,01/07/2002,31/12/2099,28,19/10/2024,GM4KNU/P
GM/CS-005,Scotland,"Central Scotland",Schiehallion,1083,3553,"NN 713547",,-4.10023,56.66693,8,3,01/07/2002,31/12/2099,52,16/05/2026,MM7VXJ/P
GM/CS-006,Scotland,"Central Scotland","Beinn a'Chreachain",1081,3545,"NN 373440",,-4.64762,56.56039,8,3,01/07/2002,31/12/2099,12,30/07/2025,GM4KNU/P
GM/CS-007,Scotland,"Central Scotland","Beinn Heasgarnich",1077,3535,"NN 413383",,-4.57922,56.51027,8,3,01/07/2002,31/12/2099,7,29/09/2025,GM4KNU/P
GM/CS-008,Scotland,"Central Scotland","Beinn Dorain",1076,3530,"NN 325378",,-4.72216,56.50287,8,3,01/07/2002,31/12/2099,31,15/08/2025,2M1GPR/P
GM/CS-009,Scotland,"Central Scotland","Braigh Coire Chruinn-bhalgain",1070,3510,"NN 945724",,-3.72951,56.83108,8,3,01/07/2002,31/12/2099,25,02/08/2025,MM7VXJ
GM/CS-010,Scotland,"Central Scotland","Meall Corranaich",1069,3507,"NN 615410",,-4.25347,56.54095,8,3,01/07/2002,31/12/2099,41,13/08/2025,MM0DHY/P
GM/CS-011,Scotland,"Central Scotland","Glas Tulaichean",1051,3448,"NO 051760",,-3.55816,56.86576,8,3,01/07/2002,31/12/2099,24,23/02/2026,MM0EFI/P
GM/CS-012,Scotland,"Central Scotland","Beinn a'Chaorainn",1049,3442,"NN 386850",,-4.65364,56.92862,8,3,01/07/2002,31/12/2099,17,20/12/2021,MM0EFI/P
GM/CS-013,Scotland,"Central Scotland","Creag Mhor",1047,3434,"NN 391361",,-4.61404,56.48952,8,3,01/07/2002,31/12/2099,7,13/08/2025,GM4KNU/P
GM/CS-014,Scotland,"Central Scotland","Beinn Iutharn Mhor",1045,3428,"NO 045792",,-3.56823,56.89499,8,3,01/07/2002,31/12/2099,12,07/04/2026,GM4KNU/P
GM/CS-015,Scotland,"Central Scotland","Meall nan Tarmachan",1044,3424,"NN 585389",,-4.30134,56.52166,8,3,01/07/2002,31/12/2099,48,02/06/2025,2M0TFF
GM/CS-016,Scotland,"Central Scotland","Carn Mairg",1042,3419,"NN 684512",,-4.14561,56.63464,8,3,01/07/2002,31/12/2099,14,06/08/2025,GM4KNU/P
GM/CS-017,Scotland,"Central Scotland","Meall Ghaordaidh",1040,3411,"NN 514397",,-4.41665,56.52581,8,3,01/07/2002,31/12/2099,26,12/08/2025,MM0DHY/P
GM/CS-018,Scotland,"Central Scotland","Beinn Achaladair",1039,3407,"NN 344432",,-4.69453,56.55189,8,3,01/07/2002,31/12/2099,16,30/07/2025,GM4KNU/P
GM/CS-019,Scotland,"Central Scotland","Carn Gorm",1029,3376,"NN 635500",,-4.22602,56.62254,8,3,01/07/2002,31/12/2099,13,06/08/2025,GM4KNU/P
