SOTA Summits List (Date=05/06/2026)
SummitCode,AssociationName,RegionName,SummitName,AltM,AltFt,GridRef1,GridRef2,Longitude,Latitude,Points,BonusPoints,ValidFrom,ValidTo,ActivationCount,ActivationDate,ActivationCall
GW/MW-001,Wales,"Mid Wales","Plynlimon-Pen Pumlumon Fawr",752,2467,"SN 789869",,-3.78305,52.46696,6,3,02/03/2002,31/12/2099,193,27/03/2026,MW1TJM/P
GW/MW-002,Wales,"Mid Wales","Great Rhos - Rhos Fawr",660,2165,"SO 182638",,-3.19984,52.26714,4,3,02/03/2002,31/12/2099,225,25/04/2026,MW6BWA/P
GW/MW-003,Wales,"Mid Wales","Drygarn Fawr",645,2116,"SN 862584",,-3.66571,52.21214,4,3,02/03/2002,31/12/2099,110,27/05/2026,MW0JSB/P
GW/MW-004,Wales,"Mid Wales","Pen y Garn",611,2005,"SN 798771",,-3.76651,52.37912,4,3,02/03/2002,31/12/2099,119,14/01/2026,GW4ZHI/P
GW/MW-005,Wales,"Mid Wales","Llan Ddu Fawr - Waun Claerddu",594,1949,"SN 790704",,-3.77563,52.31856,2,3,02/03/2002,31/12/2099,59,11/10/2025,MW0YUK/P
GW/MW-006,Wales,"Mid Wales","Pegwn Mawr",586,1923,"SO 023812",,-3.43673,52.42044,2,3,02/03/2002,31/12/2099,119,03/05/2026,GW7WKX/P
GW/MW-007,Wales,"Mid Wales","Banc Llechwedd-mawr",560,1837,"SN 775898",,-3.80513,52.49269,2,3,02/03/2002,31/12/2099,71,23/12/2025,GW5JFJ/P
GW/MW-008,Wales,"Mid Wales",Drosgol,550,1804,"SN 759878",,-3.82768,52.47453,2,3,02/03/2002,31/12/2099,71,17/01/2026,GW5OLD/P
GW/MW-009,Wales,"Mid Wales","Beacon Hill - Mynydd Disglair",547,1795,"SO 176767",,-3.21140,52.38298,2,3,02/03/2002,31/12/2099,191,07/03/2026,GW4BML/P
GW/MW-010,Wales,"Mid Wales","Gwaunceste Hill",542,1779,"SO 158555",,-3.23288,52.19173,2,3,02/03/2002,31/12/2099,184,07/03/2026,GW4BML/P
GW/MW-011,Wales,"Mid Wales","Foel Cwmcerwyn",536,1759,"SN 094311",,-4.77457,51.94617,2,3,02/03/2002,31/12/2099,109,11/02/2026,MW0KEC/P
GW/MW-012,Wales,"Mid Wales","Carnedd Wen",523,1716,"SH 924099",,-3.59282,52.67625,2,3,02/03/2002,31/12/2099,57,06/04/2026,GW5JFJ/P
GW/MW-013,Wales,"Mid Wales","Corndon Hill",514,1685,"SO 306969",,-3.02529,52.56570,2,3,02/03/2002,31/12/2099,498,14/03/2026,MW1GEO/P
