SOTA Summits List (Date=05/06/2026)
SummitCode,AssociationName,RegionName,SummitName,AltM,AltFt,GridRef1,GridRef2,Longitude,Latitude,Points,BonusPoints,ValidFrom,ValidTo,ActivationCount,ActivationDate,ActivationCall
HA/DD-001,Hungary,Dél-Dunántúl,Zengö,680,2231,18.37722,46.17972,18.37722,46.17972,4,3,01/05/2005,31/12/2099,39,19/02/2026,HA5MIG
HA/DD-002,Hungary,Dél-Dunántúl,Tubes,611,2005,18.20222,46.10917,18.20222,46.10917,4,3,01/05/2005,31/12/2099,61,05/03/2026,HA4FY/P
HA/DD-003,Hungary,Dél-Dunántúl,Hármas-hegy,604,1982,18.33722,46.17694,18.33722,46.17694,4,3,01/05/2005,31/12/2099,40,19/02/2026,HA5MIG
HA/DD-004,Hungary,Dél-Dunántúl,Dobogó,594,1949,18.36083,46.22583,18.36083,46.22583,2,0,01/05/2005,31/12/2099,13,23/04/2026,HA5MIG
HA/DD-005,Hungary,Dél-Dunántúl,Jakab-hegy,592,1942,18.13806,46.09444,18.13806,46.09444,2,0,01/05/2005,31/12/2099,18,09/04/2026,HA5MIG
HA/DD-006,Hungary,Dél-Dunántúl,Rózsa-hegy,532,1745,18.17389,46.11444,18.17389,46.11444,2,0,01/05/2005,31/12/2099,20,08/04/2026,HA5MIG
HA/DD-007,Hungary,Dél-Dunántúl,Templom-hegy,472,1549,18.43861,46.21444,18.43861,46.21444,1,0,01/05/2005,31/12/2099,12,08/04/2026,HA5MIG
HA/DD-008,Hungary,Dél-Dunántúl,Szársomlyó,442,1450,18.41111,45.85556,18.41111,45.85556,1,0,01/05/2005,31/12/2099,13,10/04/2026,HA5MIG
HA/DD-009,Hungary,Dél-Dunántúl,Tenkes,409,1342,18.25028,45.88889,18.25028,45.88889,1,0,01/05/2005,31/12/2099,15,10/04/2026,HA5MIG
HA/DD-010,Hungary,Dél-Dunántúl,Fekete-hegy,341,1119,18.40361,45.87306,18.40361,45.87306,1,0,01/05/2005,31/12/2099,9,10/04/2026,HA5MIG
HA/DD-011,Hungary,Dél-Dunántúl,Alman-teto,316,1037,17.88111,46.77194,17.88111,46.77194,1,0,01/05/2005,31/12/2099,35,09/09/2025,HA/OK2PDT/P
HA/DD-012,Hungary,Dél-Dunántúl,Fonyódi-hegy,233,764,17.54278,46.73806,17.54278,46.73806,1,0,01/05/2005,31/12/2099,57,22/05/2026,HA5BV/P
HA/DD-013,Hungary,Dél-Dunántúl,Hollófészek,358,1175,17.99472,46.1825,17.99472,46.18250,1,0,01/04/2006,31/12/2099,10,22/05/2021,HA4FY/P
HA/DD-014,Hungary,Dél-Dunántúl,Gyugy-hát,311,1020,17.92944,46.81,17.92944,46.81000,1,0,01/04/2006,31/12/2099,44,09/09/2025,HA/OK2PDT/P
HA/DD-015,Hungary,Dél-Dunántúl,Bánom-hegy,302,991,17.71111,46.72417,17.71111,46.72417,1,0,01/04/2006,31/12/2099,28,09/09/2025,HA/OK2PDT/P
HA/DD-016,Hungary,Dél-Dunántúl,József-hegy,297,974,17.99778,46.57083,17.99778,46.57083,1,0,01/04/2006,31/12/2099,23,09/09/2025,HA/OK2PDT/P
