SOTA Summits List (Date=05/06/2026)
SummitCode,AssociationName,RegionName,SummitName,AltM,AltFt,GridRef1,GridRef2,Longitude,Latitude,Points,BonusPoints,ValidFrom,ValidTo,ActivationCount,ActivationDate,ActivationCall
HB/AG-001,Switzerland,Aargau,Stereberg,872,2861,8.1591,47.2382,8.15910,47.23820,1,0,01/08/2005,31/12/2099,185,27/04/2026,HB9CDH/P
HB/AG-002,Switzerland,Aargau,Wasserflue,866,2841,8.0206,47.4311,8.02060,47.43110,1,0,01/08/2005,31/01/2011,7,28/11/2010,HB9BIN/P
HB/AG-003,Switzerland,Aargau,Strihe,866,2841,8.0368,47.4494,8.03680,47.44940,1,0,01/08/2005,31/12/2099,129,01/05/2026,HB9DIZ/P
HB/AG-004,Switzerland,Aargau,Heitersberg,788,2585,8.3612,47.3913,8.36120,47.39130,1,0,01/08/2005,31/12/2099,150,11/04/2026,HB9EGA/P
HB/AG-005,Switzerland,Aargau,Homberg,776,2546,8.0664,47.4292,8.06640,47.42920,1,0,01/08/2005,31/01/2011,6,24/05/2010,HB9DDE/P
HB/AG-006,Switzerland,Aargau,Tiersteinberg,749,2457,7.9596,47.4986,7.95960,47.49860,1,0,01/08/2005,31/05/2015,24,17/03/2015,HB9EIV/P
HB/AG-007,Switzerland,Aargau,Schinberg,723,2372,8.0720,47.5237,8.07200,47.52370,1,0,01/08/2005,31/12/2099,80,02/05/2026,HB9TVK/P
HB/AG-008,Switzerland,Aargau,Geissberg,700,2297,8.1707,47.5307,8.17070,47.53070,1,0,01/08/2005,31/12/2099,130,28/05/2026,HB9MIR/P
HB/AG-009,Switzerland,Aargau,Frickberg,650,2133,8.0436,47.5131,8.04360,47.51310,1,0,01/08/2005,31/01/2011,5,18/08/2010,HB9DDE/P
HB/AG-010,Switzerland,Aargau,Chestenberg,648,2126,8.1850,47.4267,8.18500,47.42670,1,0,01/08/2005,31/12/2099,135,17/05/2026,HB9BIN/P
HB/AG-011,Switzerland,Aargau,Würz,800,2625,8.0775,47.4464,8.07750,47.44640,1,0,01/02/2011,31/12/2099,101,01/05/2026,HB9DIZ/P
HB/AG-012,Switzerland,Aargau,Hochwacht,788,2585,8.1842,47.2762,8.18420,47.27620,1,0,01/02/2011,31/12/2099,266,14/05/2026,HB9BIN/P
HB/AG-013,Switzerland,Aargau,Tannwald,712,2336,8.2180,47.3420,8.21800,47.34200,1,0,01/02/2011,31/12/2099,108,17/05/2026,HB9HUP/P
HB/AI-001,Switzerland,"Appenzell Innerrhoden",Säntis,2502,8209,9.3432,47.2494,9.34320,47.24940,10,3,01/08/2005,31/12/2099,270,27/04/2026,HB9FHX/P
HB/AI-002,Switzerland,"Appenzell Innerrhoden",Altmann,2435,7989,9.3715,47.2395,9.37150,47.23950,8,3,01/08/2005,31/12/2099,24,10/10/2025,HB9GFQ
HB/AI-003,Switzerland,"Appenzell Innerrhoden",Marwees,2055,6742,9.4040,47.2613,9.40400,47.26130,8,3,01/08/2005,31/12/2099,30,30/05/2026,HB9LCY/P
HB/AI-004,Switzerland,"Appenzell Innerrhoden",Hochhus,1926,6319,9.4381,47.2508,9.43810,47.25080,6,3,01/08/2005,31/05/2010,1,28/09/2006,HB9ZAP/P
HB/AI-005,Switzerland,"Appenzell Innerrhoden","Hoher Kasten",1794,5886,9.4850,47.2837,9.48500,47.28370,6,3,01/08/2005,31/12/2099,222,11/04/2026,HB9HWJ/P
HB/AI-006,Switzerland,"Appenzell Innerrhoden","Punkt 1769 bei Alp Sigel",1769,5804,9.4359,47.2732,9.43590,47.27320,6,3,01/08/2005,31/12/2099,96,30/05/2026,HB9LCY/P
HB/AI-007,Switzerland,"Appenzell Innerrhoden",Kronberg,1663,5456,9.3294,47.2914,9.32940,47.29140,4,3,01/08/2005,31/12/2099,245,26/05/2026,HB9/DL4ABO/P
HB/AI-008,Switzerland,"Appenzell Innerrhoden",Fähnerenspitz,1506,4941,9.4808,47.3142,9.48080,47.31420,4,3,01/08/2005,31/12/2099,201,25/05/2026,HB9/DL3TU/P
HB/AI-009,Switzerland,"Appenzell Innerrhoden","Punkt 1308 bei Hundwiler Höhi",1308,4291,9.3364,47.3422,9.33640,47.34220,2,0,01/08/2005,31/12/2099,132,03/05/2026,HB9JOE/P
HB/AI-010,Switzerland,"Appenzell Innerrhoden",Golterberg,1175,3855,9.4792,47.3472,9.47920,47.34720,2,0,01/08/2005,31/12/2099,142,08/05/2026,HB9ELZ/P
HB/AI-011,Switzerland,"Appenzell Innerrhoden","St. Anton",1121,3678,9.5325,47.4103,9.53250,47.41030,2,0,01/08/2005,30/04/2013,25,27/04/2013,HB9JOE
HB/AI-012,Switzerland,"Appenzell Innerrhoden","Punkt 1131 bei Gehrenberg",1131,3711,9.4259,47.3594,9.42590,47.35940,2,0,01/04/2007,31/12/2099,105,24/05/2026,HB9/DL3TU/P
HB/AI-013,Switzerland,"Appenzell Innerrhoden",Hüser,1953,6407,9.4475,47.2566,9.44750,47.25660,6,3,01/06/2010,31/12/2099,29,30/05/2026,HB9CEV/P
HB/AR-001,Switzerland,"Appenzell Ausserrhoden",Petersalp,1589,5213,9.3069,47.2867,9.30690,47.28670,4,3,01/08/2005,31/01/2012,15,23/08/2011,HB9BHW/P
HB/AR-002,Switzerland,"Appenzell Ausserrhoden",Hochhamm,1275,4183,9.2450,47.3169,9.24500,47.31690,2,0,01/08/2005,31/12/2099,120,08/05/2026,HB9CEV/P
HB/AR-003,Switzerland,"Appenzell Ausserrhoden",Gäbris,1250,4101,9.4678,47.3814,9.46780,47.38140,2,0,01/08/2005,31/12/2099,158,24/05/2026,HB9/DL3TU/P
HB/AR-004,Switzerland,"Appenzell Ausserrhoden",Kaienspitz,1122,3681,9.5042,47.4324,9.50420,47.43240,2,0,01/08/2005,31/12/2099,214,23/05/2026,HB9/DL3TU/P
HB/AR-005,Switzerland,"Appenzell Ausserrhoden","Punkt 1084 bei Horst",1084,3556,9.4306,47.4094,9.43060,47.40940,2,0,01/08/2005,31/12/2099,108,21/05/2026,HB9CGA/P
HB/AR-006,Switzerland,"Appenzell Ausserrhoden",Sitz,1084,3556,9.2292,47.3450,9.22920,47.34500,2,0,01/08/2005,31/05/2015,42,26/04/2015,HB9TVK/P
HB/AR-007,Switzerland,"Appenzell Ausserrhoden",Gupf,1077,3533,9.4928,47.4300,9.49280,47.43000,2,0,01/08/2005,31/05/2010,8,24/09/2009,HB9ZAP/P
HB/AR-008,Switzerland,"Appenzell Ausserrhoden",Hochalp,1530,5020,9.2540,47.2753,9.25400,47.27530,4,3,01/04/2007,31/12/2099,184,28/05/2026,HB9IQL/P
HB/AR-009,Switzerland,"Appenzell Ausserrhoden",Sommersberg,1180,3871,9.4889,47.3683,9.48890,47.36830,2,0,01/04/2007,31/01/2012,14,22/11/2011,HB9CGA/P
HB/AR-010,Switzerland,"Appenzell Ausserrhoden","Hohe Bueche",1145,3757,9.4512,47.3913,9.45120,47.39130,2,0,01/04/2007,30/04/2013,17,06/04/2013,HB9DST/P
HB/AR-011,Switzerland,"Appenzell Ausserrhoden","Ruine Rosenberg",874,2867,9.2822,47.3964,9.28220,47.39640,1,0,01/11/2008,31/05/2015,21,18/05/2015,HB9CGA/P
HB/AR-012,Switzerland,"Appenzell Ausserrhoden","Punkt 1102 bei Risi",1101,3612,9.2440,47.3466,9.24400,47.34660,2,0,01/03/2015,31/12/2099,105,13/05/2026,HB9CEV/P
HB/BE-001,Switzerland,Bern,Schreckhorn,4078,13379,8.1181,46.5899,8.11810,46.58990,10,3,01/08/2005,31/12/2099,1,30/07/2024,HB9HRM/P
HB/BE-002,Switzerland,Bern,Lauteraarhorn,4042,13261,8.1281,46.5831,8.12810,46.58310,10,3,01/08/2005,31/05/2010,0,,
HB/BE-003,Switzerland,Bern,Eiger,3967,13015,8.0053,46.5776,8.00530,46.57760,10,3,01/08/2005,31/12/2099,1,27/08/2024,HB9HOP/P
HB/BE-004,Switzerland,Bern,Nässihorn,3741,12274,8.1114,46.5944,8.11140,46.59440,10,3,01/08/2005,31/05/2010,0,,
HB/BE-005,Switzerland,Bern,"Kleines Lauteraarhorn",3737,12260,8.1392,46.5789,8.13920,46.57890,10,3,01/08/2005,31/05/2010,0,,
HB/BE-006,Switzerland,Bern,Mittelhorn,3702,12146,8.1247,46.6350,8.12470,46.63500,10,3,01/08/2005,31/12/2099,0,,
HB/BE-007,Switzerland,Bern,Silberhorn,3695,12123,7.9489,46.5417,7.94890,46.54170,10,3,01/08/2005,31/05/2010,0,,
HB/BE-008,Switzerland,Bern,Wetterhorn,3690,12106,8.1155,46.6387,8.11550,46.63870,10,3,01/08/2005,31/12/2099,0,,
HB/BE-009,Switzerland,Bern,Rosenhorn,3689,12103,8.1371,46.6319,8.13710,46.63190,10,3,01/08/2005,31/12/2099,0,,
HB/BE-010,Switzerland,Bern,Blüemlisalphorn,3660,12008,7.7718,46.4888,7.77180,46.48880,10,3,01/08/2005,31/12/2099,1,29/08/2024,HB9HOP/P
HB/BE-011,Switzerland,Bern,Bärglistock,3655,11991,8.1407,46.6150,8.14070,46.61500,10,3,01/08/2005,31/12/2099,0,,
HB/BE-012,Switzerland,Bern,"Punkt 1170 bei Montagne de Moutier",1170,3839,7.3191,47.2913,7.31910,47.29130,2,0,01/04/2006,31/12/2099,74,26/04/2026,HB9FEU/P
HB/BE-013,Switzerland,Bern,"Wyssi Frau",3650,11975,7.7836,46.4928,7.78360,46.49280,10,3,01/08/2005,31/05/2010,0,,
HB/BE-014,Switzerland,Bern,Doldenhorn,3638,11936,7.7349,46.4685,7.73490,46.46850,10,3,01/08/2005,31/12/2099,0,,
HB/BE-015,Switzerland,Bern,Altels,3629,11906,7.6786,46.4286,7.67860,46.42860,10,3,01/08/2005,31/05/2010,0,,
HB/BE-016,Switzerland,Bern,Morgenhorn,3623,11886,7.7922,46.4950,7.79220,46.49500,10,3,01/08/2005,31/05/2010,0,,
HB/BE-017,Switzerland,Bern,Ankenbälli,3601,11814,8.1453,46.6111,8.14530,46.61110,10,3,01/08/2005,31/05/2010,0,,
HB/BE-018,Switzerland,Bern,"Kleines Schreckhorn",3494,11463,8.1019,46.6017,8.10190,46.60170,10,3,01/08/2005,31/05/2010,0,,
HB/BE-019,Switzerland,Bern,Öschinenhorn,3486,11437,7.7672,46.4836,7.76720,46.48360,10,3,01/08/2005,31/05/2010,0,,
HB/BE-020,Switzerland,Bern,"Lauteraar Rothörner",3478,11411,8.1536,46.5669,8.15360,46.56690,10,3,01/08/2005,31/05/2010,0,,
HB/BE-021,Switzerland,Bern,Kleindoldenhorn,3475,11401,7.7272,46.4697,7.72720,46.46970,10,3,01/08/2005,31/05/2010,0,,
HB/BE-022,Switzerland,Bern,Strahlegghorn,3461,11355,8.1178,46.5753,8.11780,46.57530,10,3,01/08/2005,31/05/2010,0,,
HB/BE-023,Switzerland,Bern,Scheuchzerhorn,3456,11339,8.1906,46.5439,8.19060,46.54390,10,3,01/08/2005,31/05/2010,0,,
HB/BE-024,Switzerland,Bern,"Alte Strahlegg",3454,11332,8.1275,46.5592,8.12750,46.55920,10,3,01/08/2005,31/05/2010,0,,
HB/BE-025,Switzerland,Bern,Gspaltenhorn,3436,11273,7.8273,46.5116,7.82730,46.51160,10,3,01/08/2005,31/12/2099,1,22/08/2024,HB9DQM/P
HB/BE-026,Switzerland,Bern,"Wysse Nollen",3398,11148,8.3989,46.6539,8.39890,46.65390,10,3,01/08/2005,31/05/2010,0,,
HB/BE-027,Switzerland,Bern,Diechterhoren,3388,11115,8.3602,46.6481,8.36020,46.64810,10,3,01/08/2005,31/12/2099,4,20/07/2021,HB9JOE/P
HB/BE-028,Switzerland,Bern,Rotbrätt,3386,11109,7.9389,46.5425,7.93890,46.54250,10,3,01/08/2005,31/05/2010,0,,
HB/BE-029,Switzerland,Bern,Fründehorn,3368,11050,7.7575,46.4768,7.75750,46.47680,10,3,01/08/2005,31/12/2099,0,,
HB/BE-030,Switzerland,Bern,Scheideggwetterhorn,3361,11027,8.1106,46.6447,8.11060,46.64470,10,3,01/08/2005,31/05/2010,0,,
HB/BE-031,Switzerland,Bern,Ewigschneehorn,3329,10922,8.1683,46.5969,8.16830,46.59690,10,3,01/08/2005,31/05/2010,0,,
HB/BE-032,Switzerland,Bern,Hienderstock,3307,10850,8.2182,46.5865,8.21820,46.58650,10,3,01/08/2005,31/12/2099,0,,
HB/BE-033,Switzerland,Bern,Tschingelspitz,3315,10876,7.8400,46.5109,7.84000,46.51090,10,3,01/08/2005,31/12/2099,0,,
HB/BE-034,Switzerland,Bern,Hangendgletscherhorn,3294,10807,8.1825,46.6294,8.18250,46.62940,10,3,01/08/2005,31/12/2099,0,,
HB/BE-035,Switzerland,Bern,Ritzlihoren,3277,10751,8.2589,46.6323,8.25890,46.63230,10,3,01/08/2005,31/12/2099,0,,
HB/BE-036,Switzerland,Bern,Ränfenhorn,3259,10692,8.1650,46.6336,8.16500,46.63360,10,3,01/08/2005,31/05/2010,0,,
HB/BE-037,Switzerland,Bern,Bächlistock,3246,10650,8.2395,46.5866,8.23950,46.58660,10,3,01/08/2005,31/12/2099,0,,
HB/BE-038,Switzerland,Bern,"Hinterer Tierberg",3205,10515,8.2131,46.5469,8.21310,46.54690,10,3,01/08/2005,31/05/2010,0,,
HB/BE-039,Switzerland,Bern,Bütlassa,3194,10479,7.8201,46.5187,7.82010,46.51870,10,3,01/08/2005,31/12/2099,2,27/08/2024,HB9DQM/P
HB/BE-040,Switzerland,Bern,Wellhorn,3191,10469,8.1420,46.6557,8.14200,46.65570,10,3,01/08/2005,31/12/2099,0,,
HB/BE-041,Switzerland,Bern,Hiendertelltihorn,3179,10430,8.2369,46.6000,8.23690,46.60000,10,3,01/08/2005,31/05/2010,0,,
