SOTA Summits List (Date=05/06/2026)
SummitCode,AssociationName,RegionName,SummitName,AltM,AltFt,GridRef1,GridRef2,Longitude,Latitude,Points,BonusPoints,ValidFrom,ValidTo,ActivationCount,ActivationDate,ActivationCall
HB0/LI-001,Liechtenstein,Liechtenstein,"Vorder Grauspitz",2599,8527,9.5814,47.0528,9.58140,47.05280,10,3,01/05/2008,31/12/2099,9,10/05/2025,HB0/HB9GFQ
HB0/LI-002,Liechtenstein,Liechtenstein,Naafkopf,2570,8432,9.6064,47.0606,9.60640,47.06060,10,3,01/05/2008,31/12/2099,42,11/08/2025,HB9BCK/P
HB0/LI-003,Liechtenstein,Liechtenstein,Falknis,2562,8406,9.5639,47.0506,9.56390,47.05060,10,3,01/05/2008,30/11/2016,4,23/08/2016,HB0/HB9PMF/P
HB0/LI-004,Liechtenstein,Liechtenstein,Augstenberg,2359,7740,9.6113,47.0802,9.61130,47.08020,10,3,01/05/2008,31/12/2099,133,29/12/2025,HB0/HB9GFQ
HB0/LI-005,Liechtenstein,Liechtenstein,Ochsenkopf,2286,7500,9.6247,47.1147,9.62470,47.11470,10,3,01/05/2008,31/12/2099,13,22/04/2025,HB0/HB9GFQ
HB0/LI-006,Liechtenstein,Liechtenstein,Rappastein,2222,7290,9.5656,47.0769,9.56560,47.07690,10,3,01/05/2008,30/11/2016,8,07/09/2014,HB0/SM0GNS/P
HB0/LI-007,Liechtenstein,Liechtenstein,Galinakopf,2198,7211,9.6206,47.1517,9.62060,47.15170,8,3,01/05/2008,31/12/2099,27,18/08/2025,HB0/HB9BCK/P
HB0/LI-008,Liechtenstein,Liechtenstein,Kuegrat,2123,6965,9.5608,47.1664,9.56080,47.16640,8,3,01/05/2008,31/12/2099,46,19/07/2025,HB0/SP9WLG/P
HB0/LI-009,Liechtenstein,Liechtenstein,Schoenberg,2104,6906,9.593,47.1303,9.59300,47.13030,8,3,01/05/2008,31/12/2099,64,10/03/2026,HB0/DF7TR/P
HB0/LI-010,Liechtenstein,Liechtenstein,Nospitz,2091,6860,9.5983,47.0933,9.59830,47.09330,8,3,01/05/2008,30/11/2016,17,11/09/2016,HB0/HB9DQM/P
HB0/LI-011,Liechtenstein,Liechtenstein,Helwangspitz,2000,6562,9.5619,47.1486,9.56190,47.14860,8,3,01/05/2008,31/12/2099,114,27/05/2026,HB0/HB9CEV/P
HB0/LI-012,Liechtenstein,Liechtenstein,Schellenberg,698,2290,9.566,47.2404,9.56600,47.24040,1,3,01/05/2016,31/12/2099,129,25/05/2026,HB0/DL4ABO/P
