SOTA Summits List (Date=05/06/2026)
SummitCode,AssociationName,RegionName,SummitName,AltM,AltFt,GridRef1,GridRef2,Longitude,Latitude,Points,BonusPoints,ValidFrom,ValidTo,ActivationCount,ActivationDate,ActivationCall
HI/AB-001,"Dominican Republic","Archipielago Beata (HI1)","Alto Velo",152,498,-71.6410,17.4747,-71.64100,17.47470,1,0,01/09/2020,31/12/2099,2,23/01/2021,HI8AM
HI/CA-001,"Dominican Republic","Capital (HI8)","Loma de la Valvacoa",1780,5839,-70.3322,18.4519,-70.33220,18.45190,8,0,01/09/2019,31/12/2099,0,,
HI/CA-002,"Dominican Republic","Capital (HI8)","La Palma",1700,5577,-70.4161,18.4705,-70.41610,18.47050,8,0,01/09/2019,31/12/2099,0,,
HI/CA-003,"Dominican Republic","Capital (HI8)","Loma El Plan de Jiguey",1643,5390,-70.3544,18.4700,-70.35440,18.47000,6,0,01/09/2019,31/12/2099,0,,
HI/CA-004,"Dominican Republic","Capital (HI8)","La Humeadora",1521,4990,-70.3464,18.6346,-70.34640,18.63460,6,0,01/09/2019,31/12/2099,0,,
HI/CA-005,"Dominican Republic","Capital (HI8)","Cañada de la Vaca",1510,4954,-70.3747,18.4537,-70.37470,18.45370,6,0,01/09/2019,31/12/2099,0,,
HI/CA-006,"Dominican Republic","Capital (HI8)","Loma Rodriguez",1510,4954,-70.3099,18.4363,-70.30990,18.43630,6,0,01/09/2019,31/12/2099,0,,
HI/CA-007,"Dominican Republic","Capital (HI8)","Loma Los Guayuyos",1492,4895,-70.3850,18.4158,-70.38500,18.41580,6,0,01/09/2019,31/12/2099,0,,
HI/CA-008,"Dominican Republic","Capital (HI8)",Jaina,1481,4858,-70.3172,18.6790,-70.31720,18.67900,6,0,01/09/2019,31/12/2099,0,,
HI/CA-009,"Dominican Republic","Capital (HI8)","Loma Los Pinos",1460,4790,-70.3960,18.4055,-70.39600,18.40550,6,0,01/09/2019,31/12/2099,0,,
HI/CA-010,"Dominican Republic","Capital (HI8)","Loma de Cerro Montoso",1402,4599,-70.4043,18.7824,-70.40430,18.78240,6,0,01/09/2019,31/12/2099,0,,
HI/CA-011,"Dominican Republic","Capital (HI8)","Loma La Humeadora",1315,4314,-70.2704,18.6374,-70.27040,18.63740,6,0,01/09/2019,31/12/2099,0,,
HI/CA-012,"Dominican Republic","Capital (HI8)","Loma Los Chicharrones",1307,4288,-70.3636,18.7306,-70.36360,18.73060,6,0,01/09/2019,31/12/2099,0,,
HI/CA-013,"Dominican Republic","Capital (HI8)","Cerro Derrumbao",1296,4251,-70.4308,18.5475,-70.43080,18.54750,6,0,01/09/2019,31/12/2099,0,,
HI/CA-014,"Dominican Republic","Capital (HI8)","Loma Arroyo Grande",1286,4219,-70.2982,18.6118,-70.29820,18.61180,6,0,01/09/2019,31/12/2099,0,,
HI/CA-015,"Dominican Republic","Capital (HI8)","Corte Nuevo - El Manaclar",1280,4199,-70.2735,18.4876,-70.27350,18.48760,6,0,01/09/2019,31/12/2099,1,31/05/2020,HI8NFI
HI/CA-016,"Dominican Republic","Capital (HI8)","Loma Piyoyo",1270,4166,-70.4794,18.9405,-70.47940,18.94050,6,0,01/09/2019,31/12/2099,0,,
HI/CA-017,"Dominican Republic","Capital (HI8)","Loma El Morro",1256,4120,-70.3425,18.4246,-70.34250,18.42460,6,0,01/09/2019,31/12/2099,0,,
HI/CA-018,"Dominican Republic","Capital (HI8)","Loma La Grama (Pico Casuela)",1244,4081,-70.4371,18.6407,-70.43710,18.64070,4,0,01/09/2019,31/12/2099,0,,
HI/CA-019,"Dominican Republic","Capital (HI8)","Loma El Toro",1210,3969,-70.3787,18.7145,-70.37870,18.71450,4,0,01/09/2019,31/12/2099,0,,
HI/CA-020,"Dominican Republic","Capital (HI8)","Loma Cazuela",1196,3923,-70.3898,18.6239,-70.38980,18.62390,4,0,01/09/2019,31/12/2099,0,,
