SOTA Summits List (Date=05/06/2026)
SummitCode,AssociationName,RegionName,SummitName,AltM,AltFt,GridRef1,GridRef2,Longitude,Latitude,Points,BonusPoints,ValidFrom,ValidTo,ActivationCount,ActivationDate,ActivationCall
HL/BS-001,"South Korea",Busan,"금정산 (Geumjeongsan)",802,2630,129.0508,35.2803,129.05080,35.28030,6,3,01/07/2010,31/12/2099,52,22/02/2026,6K5ENG
HL/BS-002,"South Korea",Busan,"구덕산 (Gudeoksan)",668,2192,128.9994,35.1225,128.99940,35.12250,4,3,01/07/2010,31/12/2099,28,24/05/2026,6K5EHW/P
HL/BS-003,"South Korea",Busan,"백양산 (Baegyangsan)",642,2106,129.0216,35.1834,129.02161,35.18340,2,3,01/07/2010,31/12/2099,35,09/05/2026,6K5EHW/P
HL/BS-004,"South Korea",Busan,"상계봉 (Sanggyebong)",640,2100,129.0467,35.2321,129.04671,35.23210,2,3,01/07/2010,31/12/2099,12,22/02/2026,HL5BMF/P
HL/BS-005,"South Korea",Busan,"장산 (Jangsan)",634,2080,129.1450,35.1940,129.14500,35.19400,2,3,01/07/2010,31/12/2099,6,14/12/2025,6K5EHW/P
HL/BS-006,"South Korea",Busan,"철마산 (Cheolmasan)",605,1985,129.1360,35.3101,129.13600,35.31010,2,3,01/07/2010,31/12/2099,6,21/12/2025,6K5EHW/P
HL/BS-007,"South Korea",Busan,"달음산 (Daleumsan)",588,1929,129.2109,35.3084,129.21091,35.30840,2,3,01/07/2010,31/12/2099,17,17/05/2026,6K5EHW/P
HL/BS-008,"South Korea",Busan,"계명봉 (Kyemyeongbong)",566,1857,129.0738,35.2901,129.07381,35.29010,2,3,01/07/2010,31/12/2099,11,28/02/2026,HL5BMF/P
HL/BS-009,"South Korea",Busan,"용천산 (Yongcheonsan)",545,1787,129.1617,35.3589,129.16170,35.35890,2,3,01/07/2010,31/12/2099,4,28/02/2026,6K5EHW/P
HL/BS-010,"South Korea",Busan,"엄광산 (Eomgwangsan)",493,1617,129.0166,35.1360,129.01660,35.13600,1,0,01/07/2010,31/12/2099,6,21/03/2026,6K5EHW/P
HL/BS-011,"South Korea",Busan,"보배산 (Bobaesan)",479,1571,128.8264,35.1296,128.82640,35.12960,1,0,01/07/2010,31/12/2099,3,18/04/2025,6K5ENG
HL/BS-012,"South Korea",Busan,"연대봉 (Yeondaebong)",459,1506,128.8339,35.0267,128.83389,35.02670,1,0,01/07/2010,31/12/2099,17,01/05/2026,HL5BMF/P
HL/BS-013,"South Korea",Busan,"황령산 (Hwangnyeongsan)",427,1401,129.0825,35.1586,129.08250,35.15860,1,0,01/07/2010,31/12/2099,28,08/03/2026,6K5EHW/P
HL/BS-014,"South Korea",Busan,"개좌산 (Gaejwasan)",449,1474,129.1482,35.2470,129.14819,35.24700,1,0,01/07/2010,31/12/2099,4,08/11/2025,6K5EHW/P
