SOTA Summits List (Date=05/06/2026)
SummitCode,AssociationName,RegionName,SummitName,AltM,AltFt,GridRef1,GridRef2,Longitude,Latitude,Points,BonusPoints,ValidFrom,ValidTo,ActivationCount,ActivationDate,ActivationCall
HR/AT-001,Honduras,Atlántida,"Montaña de Corozal",2480,8136,-86.8756,15.5564,-86.87560,15.55640,10,0,01/04/2020,31/12/2099,0,,
HR/AT-002,Honduras,Atlántida,"Pico Bonito",2435,7988,-86.8822,15.6339,-86.88220,15.63390,10,0,01/04/2020,31/12/2099,0,,
HR/AT-003,Honduras,Atlántida,"Cerro del Hornito",2265,7431,-86.8005,15.6660,-86.80050,15.66600,10,0,01/04/2020,31/12/2099,0,,
HR/AT-004,Honduras,Atlántida,"Cerro Texiguat 2",2208,7244,-87.2974,15.4567,-87.29740,15.45670,10,0,01/04/2020,31/12/2099,0,,
HR/AT-005,Honduras,Atlántida,"Montaña de la Envidia 2",2100,6889,-86.9958,15.5748,-86.99580,15.57480,10,0,01/04/2020,31/12/2099,0,,
HR/AT-006,Honduras,Atlántida,"Pico Bonito 2",2080,6824,-86.9114,15.6168,-86.91140,15.61680,10,0,01/04/2020,31/12/2099,0,,
HR/AT-007,Honduras,Atlántida,"Cerro Bufalo",2040,6692,-86.8184,15.6473,-86.81840,15.64730,10,0,01/04/2020,31/12/2099,0,,
HR/AT-008,Honduras,Atlántida,"Cerro Texiguat 3",2000,6561,-87.3608,15.4683,-87.36080,15.46830,10,0,01/04/2020,31/12/2099,0,,
HR/AT-009,Honduras,Atlántida,"Cerro Rio Viejo",1940,6364,-86.8204,15.6269,-86.82040,15.62690,10,0,01/04/2020,31/12/2099,0,,
HR/AT-010,Honduras,Atlántida,"Cerro Rio Coloradizo",1800,5905,-86.9309,15.6417,-86.93090,15.64170,10,0,01/04/2020,31/12/2099,0,,
HR/AT-011,Honduras,Atlántida,"Cerro Azul",1725,5659,-86.6605,15.7177,-86.66050,15.71770,8,0,01/04/2020,31/12/2099,0,,
HR/AT-012,Honduras,Atlántida,"Cerro Quebrada del Portillo",1638,5374,-86.6252,15.7269,-86.62520,15.72690,8,0,01/04/2020,31/12/2099,0,,
HR/AT-013,Honduras,Atlántida,"Cerro Rio Jimerito",1587,5206,-87.0130,15.5943,-87.01300,15.59430,8,0,01/04/2020,31/12/2099,0,,
HR/AT-014,Honduras,Atlántida,"Cerro De Uclés",1311,4301,-86.6931,15.6056,-86.69310,15.60560,6,0,01/04/2020,31/12/2099,0,,
HR/AT-015,Honduras,Atlántida,"Cerro Filo de Cuchillo",1275,4183,-87.1516,15.4599,-87.15160,15.45990,6,0,01/04/2020,31/12/2099,0,,
HR/AT-016,Honduras,Atlántida,"Cerro Buena Vista",1230,4035,-87.5766,15.5731,-87.57660,15.57310,6,0,01/04/2020,31/12/2099,0,,
HR/AT-017,Honduras,Atlántida,"Cerro Piedra de Caballo 2",1168,3832,-87.1668,15.5052,-87.16680,15.50520,6,0,01/04/2020,31/12/2099,0,,
HR/AT-018,Honduras,Atlántida,"Montaña el Tiburón",1168,3832,-87.5661,15.6104,-87.56610,15.61040,6,0,01/04/2020,31/12/2099,0,,
HR/AT-019,Honduras,Atlántida,"Montaña Piedras Amarillas",1135,3723,-86.5994,15.6188,-86.59940,15.61880,4,0,01/04/2020,31/12/2099,0,,
HR/AT-020,Honduras,Atlántida,"Cerro Quebrada Las Monjas",1055,3461,-86.7053,15.7339,-86.70530,15.73390,4,0,01/04/2020,31/12/2099,0,,
HR/AT-021,Honduras,Atlántida,"Cerro Sorocón",1053,3454,-87.2544,15.5632,-87.25440,15.56320,4,0,01/04/2020,31/12/2099,0,,
HR/AT-022,Honduras,Atlántida,"Montaña El Tiburón 2",995,3264,-87.5161,15.6395,-87.51610,15.63950,4,0,01/04/2020,31/12/2099,0,,
HR/AT-023,Honduras,Atlántida,"Cerro Quebrada El Pital",958,3143,-87.1512,15.5252,-87.15120,15.52520,4,0,01/04/2020,31/12/2099,0,,
HR/AT-024,Honduras,Atlántida,"Montaña de La Masica",948,3110,-87.0767,15.5314,-87.07670,15.53140,4,0,01/04/2020,31/12/2099,0,,
HR/AT-025,Honduras,Atlántida,"Cerro Peña Blanca",931,3054,-87.4819,15.6903,-87.48190,15.69030,4,0,01/04/2020,31/12/2099,0,,
HR/AT-026,Honduras,Atlántida,"Cerro Quebrada de La Sociedad",910,2985,-86.6342,15.6645,-86.63420,15.66450,4,0,01/04/2020,31/12/2099,0,,
HR/AT-027,Honduras,Atlántida,"Cerro Quebrada de Agua Caliente",898,2946,-87.1461,15.5647,-87.14610,15.56470,4,0,01/04/2020,31/12/2099,0,,
HR/AT-028,Honduras,Atlántida,"Cerro Brujo",826,2709,-86.5798,15.6839,-86.57980,15.68390,4,0,01/04/2020,31/12/2099,0,,
HR/AT-029,Honduras,Atlántida,"Cerro Montenegro 2",788,2585,-87.1140,15.5748,-87.11400,15.57480,2,0,01/04/2020,31/12/2099,0,,
HR/AT-030,Honduras,Atlántida,"Cerro El Ocotal 2",745,2444,-87.3839,15.6657,-87.38390,15.66570,2,0,01/04/2020,31/12/2099,0,,
HR/AT-031,Honduras,Atlántida,"Cerro Pico de Botella",737,2417,-87.3740,15.7051,-87.37400,15.70510,2,0,01/04/2020,31/12/2099,0,,
