SOTA Summits List (Date=05/06/2026)
SummitCode,AssociationName,RegionName,SummitName,AltM,AltFt,GridRef1,GridRef2,Longitude,Latitude,Points,BonusPoints,ValidFrom,ValidTo,ActivationCount,ActivationDate,ActivationCall
I/AA-001,Italy,"Alto Adige","Ortles / Ortler",3902,12802,10.5439,46.5075,10.54390,46.50750,10,3,01/10/2017,31/12/2099,3,20/09/2025,OE9NAT/P
I/AA-002,Italy,"Alto Adige","Gran Zebrù / Königsspitze",3851,12635,10.5672,46.4792,10.56720,46.47920,10,3,01/10/2017,31/12/2099,0,,
I/AA-003,Italy,"Alto Adige","Monte Zebrù",3735,12254,10.5503,46.4925,10.55030,46.49250,10,3,01/10/2017,31/12/2099,0,,
I/AA-004,Italy,"Alto Adige","Punta Thurwieser / Thurwieserspitze",3652,11982,10.5247,46.4953,10.52470,46.49530,10,3,01/10/2017,31/12/2099,0,,
I/AA-005,Italy,"Alto Adige","Cima Vertana / Vertainspitze",3545,11631,10.6357,46.5374,10.63570,46.53740,10,3,01/10/2017,31/12/2099,1,10/09/2023,IN3EHQ/P
I/AA-006,Italy,"Alto Adige","L'Angelo Grande / Hohe Angelusspitze",3521,11552,10.6482,46.5447,10.64820,46.54470,10,3,01/10/2017,31/12/2099,1,17/08/2018,IW3AGO/P
I/AA-007,Italy,"Alto Adige","Cima Barba d'Orso di Fuori / Äußerer Bärenbartkogel",3471,11388,10.6996,46.7967,10.69960,46.79670,10,3,01/10/2017,31/12/2099,0,,
I/AA-008,Italy,"Alto Adige","Punta degli Spiriti",3467,11375,10.4758,46.4975,10.47580,46.49750,10,3,01/10/2017,30/09/2024,1,19/07/2018,IW3AGO/P
I/AA-009,Italy,"Alto Adige","Punta dello Scudo / Schildspitze",3461,11355,10.6492,46.5276,10.64920,46.52760,10,3,01/10/2017,31/12/2099,0,,
I/AA-010,Italy,"Alto Adige","Punta di Oberettes / Schwemser Spitze",3459,11348,10.7325,46.7735,10.73250,46.77350,10,3,01/10/2017,31/12/2099,0,,
I/AA-011,Italy,"Alto Adige","Cima Sternai / Hintere Eggenspitze",3443,11296,10.7703,46.4783,10.77030,46.47830,10,3,01/10/2017,31/12/2099,1,11/08/2024,IN3HRR/P
I/AA-012,Italy,"Alto Adige","Gioveretto / Zufrittspitze",3439,11283,10.7822,46.5019,10.78220,46.50190,10,3,01/10/2017,31/12/2099,2,13/08/2025,IN3ADF/P
I/AA-013,Italy,"Alto Adige","Monte Collalto / Hochgall",3436,11273,12.1401,46.9109,12.14010,46.91090,10,3,01/10/2017,31/12/2099,1,09/08/2024,IN3JIB/P
I/AA-014,Italy,"Alto Adige","Punta Saldura / Saldurspitze",3433,11263,10.7359,46.7408,10.73590,46.74080,10,3,01/10/2017,31/12/2099,0,,
I/AA-015,Italy,"Alto Adige","Cima dei Corvi / Rabenkopf",3393,11132,10.6728,46.7835,10.67280,46.78350,10,3,01/10/2017,31/12/2099,0,,
I/AA-016,Italy,"Alto Adige","Cima Venezia I / Veneziaspitze 1",3386,11109,10.6897,46.4539,10.68970,46.45390,10,3,01/10/2017,31/12/2099,0,,
I/AA-017,Italy,"Alto Adige","Croda di Cengles / Tschenglser Hochwand",3375,11073,10.6290,46.5643,10.62900,46.56430,10,3,01/10/2017,31/12/2099,1,16/08/2018,IW3AGO/P
I/AA-018,Italy,"Alto Adige","Punta Valbella / Südliche Valvelspitze",3359,11020,10.6706,46.7686,10.67060,46.76860,10,3,01/10/2017,31/12/2099,0,,
I/AA-019,Italy,"Alto Adige","Monte Nevoso / Schneebiger Nock",3358,11017,12.0842,46.9054,12.08420,46.90540,10,3,01/10/2017,31/12/2099,1,13/08/2025,IN3JIB/P
I/AA-020,Italy,"Alto Adige","Monte Rosso / Roteck",3337,10948,10.9844,46.7233,10.98440,46.72330,10,3,01/10/2017,31/12/2099,1,08/07/2018,I/DD1LD/P
