SOTA Summits List (Date=05/06/2026)
SummitCode,AssociationName,RegionName,SummitName,AltM,AltFt,GridRef1,GridRef2,Longitude,Latitude,Points,BonusPoints,ValidFrom,ValidTo,ActivationCount,ActivationDate,ActivationCall
IS0/IS-001,Sardinia,Sardegna,"Punta La Màrmora",1834,6017,9.3245,39.9879,9.32450,39.98790,10,3,01/04/2017,31/12/2099,13,20/06/2025,IS0/M0DHY/P
IS0/IS-002,Sardinia,Sardegna,"Monte Spada",1595,5233,9.2909,40.0678,9.29090,40.06780,10,3,01/04/2017,31/12/2099,15,18/07/2025,IK2LEY/IS0
IS0/IS-003,Sardinia,Sardegna,"Monte Arbu",1567,5141,9.3328,40.0625,9.33280,40.06250,10,3,01/04/2017,31/12/2099,11,21/07/2025,IK2LEY/IS0
IS0/IS-004,Sardinia,Sardegna,"Punta 'e s'Abile",1554,5098,9.3217,40.0417,9.32170,40.04170,10,3,01/04/2017,31/12/2099,6,11/06/2025,IS0/M0DHY/P
IS0/IS-005,Sardinia,Sardegna,"Monte Genziana",1506,4941,9.4181,40.0581,9.41810,40.05810,10,3,01/04/2017,31/12/2099,0,,
IS0/IS-006,Sardinia,Sardegna,"Conca Giuanni Fais",1499,4918,9.2040,40.0301,9.20400,40.03010,10,3,01/04/2017,31/12/2099,2,18/10/2024,IS0/HB9GKR
IS0/IS-007,Sardinia,Sardegna,"Punta Corassi",1463,4800,9.4315,40.2431,9.43150,40.24310,10,3,01/04/2017,31/12/2099,6,23/05/2025,IN3JIB/IS0
IS0/IS-008,Sardinia,Sardegna,"Punta Funtana Cungiada",1459,4787,9.2355,39.9512,9.23550,39.95120,10,3,01/04/2017,31/12/2099,0,,
IS0/IS-009,Sardinia,Sardegna,"Monte Armario",1433,4701,9.3636,40.0814,9.36360,40.08140,10,3,01/04/2017,31/12/2099,9,16/07/2025,IK2LEY/IS0
IS0/IS-010,Sardinia,Sardegna,"Punta Sa Pruna",1401,4596,9.4414,40.1810,9.44140,40.18100,10,3,01/04/2017,31/12/2099,0,,
IS0/IS-011,Sardinia,Sardegna,"Monte Pipinari",1398,4587,9.3776,40.0685,9.37760,40.06850,10,3,01/04/2017,31/12/2099,10,16/07/2025,IK2LEY/IS0
IS0/IS-012,Sardinia,Sardegna,"Bruncu Olinie",1370,4495,9.4747,40.0046,9.47470,40.00460,10,3,01/04/2017,31/12/2099,5,14/06/2025,IS0/M0DHY/P
IS0/IS-013,Sardinia,Sardegna,"Monte Orguda",1361,4465,9.4970,39.9870,9.49700,39.98700,10,3,01/04/2017,31/12/2099,3,14/06/2025,IS0/M0DHY/P
