SOTA Summits List (Date=05/06/2026)
SummitCode,AssociationName,RegionName,SummitName,AltM,AltFt,GridRef1,GridRef2,Longitude,Latitude,Points,BonusPoints,ValidFrom,ValidTo,ActivationCount,ActivationDate,ActivationCall
J8/VC-001,"Saint Vincent and the Grenadines","Saint Vincent and the Grenadines","La Soufrière",1233,4044,-61.17802526,13.34790708,-61.17802,13.34791,10,0,01/03/2026,31/12/2099,0,,
J8/VC-002,"Saint Vincent and the Grenadines","Saint Vincent and the Grenadines","Richmond Peak",1075,3527,-61.19792094,13.29125111,-61.19792,13.29125,10,0,01/03/2026,31/12/2099,0,,
J8/VC-003,"Saint Vincent and the Grenadines","Saint Vincent and the Grenadines",J8/VC-003,1022,3354,-61.19006717,13.24890482,-61.19007,13.24891,10,0,01/03/2026,31/12/2099,0,,
J8/VC-004,"Saint Vincent and the Grenadines","Saint Vincent and the Grenadines","Grand Bonhomme",970,3181,-61.1967,13.2169,-61.19670,13.21690,8,0,01/03/2026,31/12/2099,0,,
J8/VC-005,"Saint Vincent and the Grenadines","Saint Vincent and the Grenadines","Mount Brisbane",932,3058,-61.1669,13.2892,-61.16690,13.28920,8,0,01/03/2026,31/12/2099,0,,
J8/VC-006,"Saint Vincent and the Grenadines","Saint Vincent and the Grenadines",J8/VC-006,892,2925,-61.1719,13.2753,-61.17190,13.27530,8,0,01/03/2026,31/12/2099,0,,
J8/VC-007,"Saint Vincent and the Grenadines","Saint Vincent and the Grenadines",J8/VC-007,821,2694,-61.2297,13.2222,-61.22970,13.22220,6,0,01/03/2026,31/12/2099,0,,
J8/VC-008,"Saint Vincent and the Grenadines","Saint Vincent and the Grenadines","Mount Taboi",304,996,-61.4425,12.5961,-61.44250,12.59610,2,0,01/03/2026,31/12/2099,0,,
J8/VC-009,"Saint Vincent and the Grenadines","Saint Vincent and the Grenadines","Holler Peak",282,925,-61.22,13.035,-61.22000,13.03500,1,0,01/03/2026,31/12/2099,0,,
J8/VC-010,"Saint Vincent and the Grenadines","Saint Vincent and the Grenadines","Mount Peggy Peak",269,881,-61.2522,12.9922,-61.25220,12.99220,1,0,01/03/2026,31/12/2099,0,,
J8/VC-011,"Saint Vincent and the Grenadines","Saint Vincent and the Grenadines","Mount Royal",259,851,-61.3167,12.7261,-61.31670,12.72610,1,0,01/03/2026,31/12/2099,0,,
J8/VC-012,"Saint Vincent and the Grenadines","Saint Vincent and the Grenadines","Battowia HP",194,636,-61.1297,12.9639,-61.12970,12.96390,1,0,01/03/2026,31/12/2099,0,,
