SOTA Summits List (Date=05/06/2026)
SummitCode,AssociationName,RegionName,SummitName,AltM,AltFt,GridRef1,GridRef2,Longitude,Latitude,Points,BonusPoints,ValidFrom,ValidTo,ActivationCount,ActivationDate,ActivationCall
JA/AC-001,"Japan - Honshu","Aichi Prefecture",Chausuyama,1415,4642,137.6555,35.2276,137.65550,35.22760,8,3,01/06/2015,31/12/2099,58,20/03/2026,JR2JWI/2
JA/AC-002,"Japan - Honshu","Aichi Prefecture",Tengudana,1240,4068,137.5808,35.1902,137.58080,35.19020,8,3,01/06/2015,31/12/2099,53,20/03/2026,JR2JWI/2
JA/AC-003,"Japan - Honshu","Aichi Prefecture",Takanosuyama,1152,3780,137.495,35.1526,137.49500,35.15260,8,3,01/06/2015,31/12/2099,38,29/03/2026,JO2SYG
JA/AC-004,"Japan - Honshu","Aichi Prefecture",JA/AC-004,1130,3707,137.4436,35.1361,137.44360,35.13610,8,3,01/06/2015,31/12/2099,50,19/03/2026,JR2JWI/2
JA/AC-005,"Japan - Honshu","Aichi Prefecture",JA/AC-005,1109,3638,137.7669,35.1531,137.76691,35.15310,8,3,01/06/2015,31/12/2099,17,20/03/2026,JR2JWI/2
JA/AC-006,"Japan - Honshu","Aichi Prefecture",Myoujinyama,1016,3333,137.6626,35.0497,137.66260,35.04970,6,0,01/06/2015,31/12/2099,7,05/05/2023,JG2WGK/2
JA/AC-007,"Japan - Honshu","Aichi Prefecture",Oosuzuyama,1012,3320,137.6063,35.1052,137.60629,35.10520,6,0,01/06/2015,31/12/2099,11,20/03/2025,JO2BWZ/2
JA/AC-008,"Japan - Honshu","Aichi Prefecture",Koiwadake,985,3232,137.7372,35.1235,137.73720,35.12350,6,0,01/06/2015,31/12/2099,6,21/09/2024,JO2SYG
JA/AC-009,"Japan - Honshu","Aichi Prefecture",Shiratoriyama,968,3176,137.6514,35.1602,137.65140,35.16020,6,0,01/06/2015,31/12/2099,14,10/05/2026,JS2HYW/2
JA/AC-010,"Japan - Honshu","Aichi Prefecture",Ootouge,954,3130,137.6554,35.1391,137.65540,35.13910,6,0,01/06/2015,31/12/2099,13,10/05/2026,JS2HYW/2
JA/AC-011,"Japan - Honshu","Aichi Prefecture",Ureyama,929,3048,137.5979,35.0228,137.59790,35.02280,6,0,01/06/2015,31/12/2099,8,04/06/2023,JG2WGK/2
