SOTA Summits List (Date=05/06/2026)
SummitCode,AssociationName,RegionName,SummitName,AltM,AltFt,GridRef1,GridRef2,Longitude,Latitude,Points,BonusPoints,ValidFrom,ValidTo,ActivationCount,ActivationDate,ActivationCall
JA8/HD-001,"Japan - Hokaido","Hidaka Subprefecture",Poroshiridake,2052,6732,142.6829,42.7194,142.68291,42.71940,10,3,01/07/2015,31/12/2099,1,06/08/2018,JJ1HWM
JA8/HD-002,"Japan - Hokaido","Hidaka Subprefecture",Kamuiekuuchikaushiyama,1979,6493,142.7664,42.6251,142.76640,42.62510,10,3,01/07/2015,31/12/2099,0,,
JA8/HD-003,"Japan - Hokaido","Hidaka Subprefecture",JA8/HD-003,1967,6453,142.7064,42.7722,142.70641,42.77220,10,3,01/07/2015,31/12/2099,0,,
JA8/HD-004,"Japan - Hokaido","Hidaka Subprefecture",JA8/HD-004,1917,6289,142.7549,42.6448,142.75490,42.64480,10,3,01/07/2015,31/12/2099,0,,
JA8/HD-005,"Japan - Hokaido","Hidaka Subprefecture",Chirorodake,1880,6168,142.6754,42.8256,142.67540,42.82560,10,3,01/07/2015,31/12/2099,0,,
JA8/HD-006,"Japan - Hokaido","Hidaka Subprefecture",Ippasankyuhou,1842,6043,142.8081,42.5394,142.80811,42.53940,10,3,01/07/2015,31/12/2099,0,,
JA8/HD-007,"Japan - Hokaido","Hidaka Subprefecture",JA8/HD-007,1826,5991,142.8005,42.5967,142.80051,42.59670,10,3,01/07/2015,31/12/2099,0,,
JA8/HD-008,"Japan - Hokaido","Hidaka Subprefecture",Namewakkadake,1800,5906,142.7210,42.6660,142.72099,42.66600,10,3,01/07/2015,31/12/2099,0,,
JA8/HD-009,"Japan - Hokaido","Hidaka Subprefecture",JA8/HD-009,1776,5827,142.6662,42.6452,142.66620,42.64520,10,3,01/07/2015,31/12/2099,0,,
JA8/HD-010,"Japan - Hokaido","Hidaka Subprefecture",Penkenushidake,1750,5741,142.6792,42.8922,142.67920,42.89220,10,3,01/07/2015,31/12/2099,0,,
JA8/HD-011,"Japan - Hokaido","Hidaka Subprefecture",Rubetsunesan,1727,5666,142.8567,42.5201,142.85670,42.52010,10,3,01/07/2015,31/12/2099,0,,
JA8/HD-012,"Japan - Hokaido","Hidaka Subprefecture",JA8/HD-012,1726,5663,142.7405,42.8444,142.74049,42.84440,10,3,01/07/2015,31/12/2099,0,,
JA8/HD-013,"Japan - Hokaido","Hidaka Subprefecture",Koikakushusatsunaidake,1719,5640,142.8212,42.5737,142.82120,42.57370,10,3,01/07/2015,31/08/2020,0,,
JA8/HD-014,"Japan - Hokaido","Hidaka Subprefecture",Horonaidake,1695,5561,142.7407,42.8995,142.74071,42.89950,10,3,01/07/2015,31/12/2099,0,,
JA8/HD-015,"Japan - Hokaido","Hidaka Subprefecture",JA8/HD-015,1630,5348,142.6445,42.7549,142.64450,42.75490,10,3,01/07/2015,31/12/2099,0,,
JA8/HD-016,"Japan - Hokaido","Hidaka Subprefecture",Soematsudake,1625,5331,142.9471,42.4274,142.94710,42.42740,10,3,01/07/2015,31/12/2099,0,,
JA8/HD-017,"Japan - Hokaido","Hidaka Subprefecture",Kamuidake,1600,5249,142.9068,42.4285,142.90680,42.42850,10,3,01/07/2015,31/12/2099,0,,
JA8/HD-018,"Japan - Hokaido","Hidaka Subprefecture",Futamatadake,1590,5217,142.6171,42.7791,142.61710,42.77910,10,3,01/07/2015,31/12/2099,0,,
JA8/HD-019,"Japan - Hokaido","Hidaka Subprefecture",Pekerebetsudake,1532,5026,142.7594,42.9425,142.75940,42.94250,10,3,01/07/2015,31/12/2099,2,05/10/2024,JR8MHA/8
JA8/HD-020,"Japan - Hokaido","Hidaka Subprefecture",JA8/HD-020,1529,5016,142.9998,42.3715,142.99980,42.37150,10,3,01/07/2015,31/12/2099,0,,
JA8/HD-021,"Japan - Hokaido","Hidaka Subprefecture",Nukanraidake,1518,4980,142.6137,42.7222,142.61369,42.72220,10,3,01/07/2015,31/12/2099,0,,
JA8/HD-022,"Japan - Hokaido","Hidaka Subprefecture",JA8/HD-022,1505,4938,142.6352,42.8109,142.63519,42.81090,10,3,01/07/2015,31/12/2099,0,,
JA8/HD-023,"Japan - Hokaido","Hidaka Subprefecture",Shunbetsudake,1491,4892,142.6245,42.8356,142.62450,42.83560,8,3,01/07/2015,31/12/2099,0,,
JA8/HD-024,"Japan - Hokaido","Hidaka Subprefecture",Tokachidake,1457,4780,143.0761,42.2909,143.07610,42.29090,8,3,01/07/2015,31/12/2099,0,,
JA8/HD-025,"Japan - Hokaido","Hidaka Subprefecture",JA8/HD-025,1445,4741,142.7426,42.9639,142.74260,42.96390,8,3,01/07/2015,31/12/2099,0,,
