SOTA Summits List (Date=05/06/2026)
SummitCode,AssociationName,RegionName,SummitName,AltM,AltFt,GridRef1,GridRef2,Longitude,Latitude,Points,BonusPoints,ValidFrom,ValidTo,ActivationCount,ActivationDate,ActivationCall
JW/BA-001,Svalbard,Barentsoya,Solveigdomen,654,2145,21.0044,78.4306,21.00440,78.43060,4,3,01/02/2021,31/12/2099,0,,
JW/BA-002,Svalbard,Barentsoya,Buklerimen,488,1601,21.8526,78.3528,21.85260,78.35280,2,3,01/02/2021,31/12/2099,0,,
JW/BA-003,Svalbard,Barentsoya,Jeppeberget,459,1505,22.1302,78.3538,22.13020,78.35380,2,3,01/02/2021,31/12/2099,0,,
JW/BA-004,Svalbard,Barentsoya,Høgrinden,431,1414,21.2164,78.2589,21.21640,78.25890,1,0,01/02/2021,31/12/2099,0,,
JW/BA-005,Svalbard,Barentsoya,Kvistdalskuven,412,1351,20.9875,78.3020,20.98750,78.30200,1,0,01/02/2021,31/12/2099,0,,
JW/BA-006,Svalbard,Barentsoya,Skarpryttaren,286,938,21.4642,78.2504,21.46420,78.25040,1,0,01/02/2021,31/12/2099,0,,
JW/BI-001,Svalbard,Bjornoya,Urd,536,1758,19.1829,74.4133,19.18290,74.41330,2,3,01/02/2021,31/12/2099,0,,
JW/BI-002,Svalbard,Bjornoya,Hambergfjellet,442,1450,19.0295,74.3520,19.02950,74.35200,1,0,01/02/2021,31/12/2099,0,,
JW/BI-003,Svalbard,Bjornoya,Stappen,191,626,19.0591,74.3364,19.05910,74.33640,1,0,01/02/2021,31/12/2099,0,,
JW/ED-001,Svalbard,Edgeoya,Storkalven,580,1902,22.0545,77.9370,22.05450,77.93700,2,3,01/02/2021,31/12/2099,0,,
JW/ED-002,Svalbard,Edgeoya,Digerfonna,577,1893,21.7959,77.6770,21.79590,77.67700,2,3,01/02/2021,31/12/2099,0,,
JW/ED-003,Svalbard,Edgeoya,Kvitisen,574,1883,21.5604,78.0378,21.56040,78.03780,2,3,01/02/2021,31/12/2099,0,,
JW/ED-004,Svalbard,Edgeoya,Brekulen,531,1742,21.4017,77.5787,21.40170,77.57870,2,3,01/02/2021,31/12/2099,0,,
JW/ED-005,Svalbard,Edgeoya,"Edgeøyjøkulen SV",525,1722,23.1973,77.6830,23.19730,77.68300,2,3,01/02/2021,31/12/2099,0,,
JW/ED-006,Svalbard,Edgeoya,Blåistoppen,512,1679,21.7972,78.0451,21.79720,78.04510,2,3,01/02/2021,31/12/2099,0,,
JW/ED-007,Svalbard,Edgeoya,Storerinden,488,1601,22.0944,77.9966,22.09440,77.99660,2,3,01/02/2021,31/12/2099,0,,
JW/ED-008,Svalbard,Edgeoya,Burmeisterfjellet,485,1591,21.4430,77.7380,21.44300,77.73800,2,3,01/02/2021,31/12/2099,0,,
JW/ED-009,Svalbard,Edgeoya,"Schneiderberget S",477,1564,22.8946,77.3703,22.89460,77.37030,2,3,01/02/2021,31/12/2099,0,,
JW/ED-010,Svalbard,Edgeoya,Kvitkåka,469,1538,23.0390,77.4526,23.03900,77.45260,2,3,01/02/2021,31/12/2099,0,,
JW/ED-011,Svalbard,Edgeoya,Firneheia,469,1538,21.6747,77.7808,21.67470,77.78080,2,3,01/02/2021,31/12/2099,0,,
JW/ED-012,Svalbard,Edgeoya,Smelledaltoppen,467,1532,21.9799,78.0223,21.97990,78.02230,2,3,01/02/2021,31/12/2099,0,,
JW/ED-013,Svalbard,Edgeoya,"Kvitkåpa Ø",457,1499,23.0264,77.4082,23.02640,77.40820,2,3,01/02/2021,31/12/2099,0,,
JW/ED-014,Svalbard,Edgeoya,Guldalshøgda,449,1473,21.9994,77.8381,21.99940,77.83810,1,0,01/02/2021,31/12/2099,0,,
JW/ED-015,Svalbard,Edgeoya,Bergfonna,445,1459,22.0144,78.1118,22.01440,78.11180,1,0,01/02/2021,31/12/2099,0,,
JW/ED-016,Svalbard,Edgeoya,Snauheia,441,1446,21.2636,78.1266,21.26360,78.12660,1,0,01/02/2021,31/12/2099,0,,
JW/ED-017,Svalbard,Edgeoya,Raundalsfonna,438,1437,22.3002,78.0610,22.30020,78.06100,1,0,01/02/2021,31/12/2099,0,,
JW/ED-018,Svalbard,Edgeoya,Zigel’fjellet,436,1430,21.2552,77.6753,21.25520,77.67530,1,0,01/02/2021,31/12/2099,0,,
JW/ED-019,Svalbard,Edgeoya,Årdalsknuten,426,1397,20.9228,77.5046,20.92280,77.50460,1,0,01/02/2021,31/12/2099,0,,
JW/ED-020,Svalbard,Edgeoya,Negerfjellet,396,1299,22.6576,77.2890,22.65760,77.28900,1,0,01/02/2021,31/12/2099,0,,
JW/ED-021,Svalbard,Edgeoya,"Kravnuten V",382,1253,22.4177,78.1151,22.41770,78.11510,1,0,01/02/2021,31/12/2099,0,,
JW/ED-022,Svalbard,Edgeoya,Veidemannen,379,1243,22.3033,77.6279,22.30330,77.62790,1,0,01/02/2021,31/12/2099,0,,
JW/ED-023,Svalbard,Edgeoya,Skrukkefjellet,377,1236,21.3926,78.1570,21.39260,78.15700,1,0,01/02/2021,31/12/2099,0,,
JW/ED-024,Svalbard,Edgeoya,Leehovden,356,1167,20.9142,78.1041,20.91420,78.10410,1,0,01/02/2021,31/12/2099,0,,
JW/ED-025,Svalbard,Edgeoya,"Dyrheiane Ø",343,1125,22.4330,77.7692,22.43300,77.76920,1,0,01/02/2021,31/12/2099,0,,
JW/ED-026,Svalbard,Edgeoya,Østerinden,339,1112,22.5834,78.0277,22.58340,78.02770,1,0,01/02/2021,31/12/2099,0,,
JW/ED-027,Svalbard,Edgeoya,Standsåta,316,1036,21.5060,77.8466,21.50600,77.84660,1,0,01/02/2021,31/12/2099,0,,
JW/ED-028,Svalbard,Edgeoya,"Middendorfberget Ø",314,1030,22.0932,78.1815,22.09320,78.18150,1,0,01/02/2021,31/12/2099,0,,
JW/ED-029,Svalbard,Edgeoya,Sørrinden,266,872,22.6854,77.9888,22.68540,77.98880,1,0,01/02/2021,31/12/2099,0,,
JW/ED-030,Svalbard,Edgeoya,Lindemanberget,263,862,23.1384,78.1598,23.13840,78.15980,1,0,01/02/2021,31/12/2099,0,,
JW/ES-001,Svalbard,Nordøst-Spitsbergen,Newtontoppen,1712,5616,17.4912,79.0105,17.49120,79.01050,10,3,01/02/2021,31/12/2099,0,,
JW/ES-002,Svalbard,Nordøst-Spitsbergen,Perriertoppen,1710,5610,16.7789,79.1539,16.77890,79.15390,10,3,01/02/2021,31/12/2099,0,,
JW/ES-003,Svalbard,Nordøst-Spitsbergen,Ceresfjellet,1675,5495,16.9323,79.1369,16.93230,79.13690,10,3,01/02/2021,31/12/2099,0,,
JW/ES-004,Svalbard,Nordøst-Spitsbergen,Chadwickryggen,1638,5374,16.7979,79.0964,16.79790,79.09640,10,3,01/02/2021,31/12/2099,0,,
JW/ES-005,Svalbard,Nordøst-Spitsbergen,Galileotoppen,1636,5367,17.3185,79.0347,17.31850,79.03470,10,3,01/02/2021,31/12/2099,0,,
JW/ES-006,Svalbard,Nordøst-Spitsbergen,Clairauttoppen,1632,5354,17.4080,79.0564,17.40800,79.05640,10,3,01/02/2021,31/12/2099,0,,
JW/ES-007,Svalbard,Nordøst-Spitsbergen,Jelstupfjellet,1630,5347,16.8227,79.0513,16.82270,79.05130,10,3,01/02/2021,31/12/2099,0,,
JW/ES-008,Svalbard,Nordøst-Spitsbergen,Pallasfjellet,1603,5259,16.8979,79.1497,16.89790,79.14970,10,3,01/02/2021,31/12/2099,0,,
JW/ES-009,Svalbard,Nordøst-Spitsbergen,Eddintonfjella,1592,5223,17.0282,79.0087,17.02820,79.00870,10,3,01/02/2021,31/12/2099,0,,
JW/ES-010,Svalbard,Nordøst-Spitsbergen,Neptunfjellet,1588,5209,17.0737,79.0612,17.07370,79.06120,10,3,01/02/2021,31/12/2099,0,,
JW/ES-011,Svalbard,Nordøst-Spitsbergen,Laplacetoppen,1584,5196,17.4277,79.0944,17.42770,79.09440,10,3,01/02/2021,31/12/2099,0,,
JW/ES-012,Svalbard,Nordøst-Spitsbergen,Westbyfjellet,1564,5131,16.8093,79.0677,16.80930,79.06770,10,3,01/02/2021,31/12/2099,0,,
JW/ES-013,Svalbard,Nordøst-Spitsbergen,Irvinefjellet,1561,5121,17.0279,79.1202,17.02790,79.12020,10,3,01/02/2021,31/12/2099,0,,
JW/ES-014,Svalbard,Nordøst-Spitsbergen,Venusfjellet,1556,5104,17.1322,79.0166,17.13220,79.01660,10,3,01/02/2021,31/12/2099,0,,
JW/ES-015,Svalbard,Nordøst-Spitsbergen,Makarovtoppen,1534,5032,17.5277,79.0333,17.52770,79.03330,10,3,01/02/2021,31/12/2099,0,,
JW/ES-016,Svalbard,Nordøst-Spitsbergen,Snøkuppelen,1532,5026,16.8951,78.9840,16.89510,78.98400,10,3,01/02/2021,31/12/2099,0,,
JW/ES-017,Svalbard,Nordøst-Spitsbergen,Solfjellet,1514,4967,16.9444,79.0833,16.94440,79.08330,10,3,01/02/2021,31/12/2099,0,,
JW/ES-018,Svalbard,Nordøst-Spitsbergen,Jeffreystoppen,1511,4957,17.3530,79.0950,17.35300,79.09500,10,3,01/02/2021,31/12/2099,0,,
JW/ES-019,Svalbard,Nordøst-Spitsbergen,Vestafjellet,1507,4944,16.9051,79.0969,16.90510,79.09690,10,3,01/02/2021,31/12/2099,0,,
JW/ES-020,Svalbard,Nordøst-Spitsbergen,Junofjellet,1507,4944,16.9132,79.1275,16.91320,79.12750,10,3,01/02/2021,31/12/2099,0,,
JW/ES-021,Svalbard,Nordøst-Spitsbergen,Bleigen,1504,4934,17.1446,78.9882,17.14460,78.98820,10,3,01/02/2021,31/12/2099,0,,
JW/ES-022,Svalbard,Nordøst-Spitsbergen,Astronomfjellet,1487,4878,17.4450,78.9541,17.44500,78.95410,10,3,01/02/2021,31/12/2099,0,,
JW/ES-023,Svalbard,Nordøst-Spitsbergen,"Bleikfjellet N",1483,4865,16.9043,78.9633,16.90430,78.96330,10,3,01/02/2021,31/12/2099,0,,
JW/ES-024,Svalbard,Nordøst-Spitsbergen,Wainfletefjellet,1464,4803,17.2901,78.9610,17.29010,78.96100,10,3,01/02/2021,31/12/2099,0,,
JW/ES-025,Svalbard,Nordøst-Spitsbergen,Didierfjellet,1456,4776,17.3706,79.0048,17.37060,79.00480,10,3,01/02/2021,31/12/2099,0,,
JW/ES-026,Svalbard,Nordøst-Spitsbergen,"Westbyfjellet Ø",1455,4773,16.8691,79.0695,16.86910,79.06950,10,3,01/02/2021,31/12/2099,0,,
JW/ES-027,Svalbard,Nordøst-Spitsbergen,Plutofjellet,1453,4767,16.9859,79.0671,16.98590,79.06710,10,3,01/02/2021,31/12/2099,0,,
JW/ES-028,Svalbard,Nordøst-Spitsbergen,Poincaretoppen,1448,4750,17.5385,79.1804,17.53850,79.18040,10,3,01/02/2021,31/12/2099,0,,
JW/ES-029,Svalbard,Nordøst-Spitsbergen,Jupiterfjellet,1429,4688,17.3130,78.9493,17.31300,78.94930,10,3,01/02/2021,31/12/2099,0,,
JW/ES-030,Svalbard,Nordøst-Spitsbergen,Marsfjellet,1428,4685,17.0905,79.0327,17.09050,79.03270,10,3,01/02/2021,31/12/2099,0,,
JW/ES-031,Svalbard,Nordøst-Spitsbergen,Curiefjellet,1419,4655,16.6382,79.1604,16.63820,79.16040,10,3,01/02/2021,31/12/2099,0,,
JW/ES-032,Svalbard,Nordøst-Spitsbergen,Toreryggen,1400,4593,17.0697,78.9605,17.06970,78.96050,10,3,01/02/2021,31/12/2099,0,,
JW/ES-033,Svalbard,Nordøst-Spitsbergen,Černyševfjellet,1397,4583,17.8994,78.9767,17.89940,78.97670,10,3,01/02/2021,31/12/2099,0,,
JW/ES-034,Svalbard,Nordøst-Spitsbergen,Snøkulen,1395,4576,17.4931,78.9142,17.49310,78.91420,10,3,01/02/2021,31/12/2099,0,,
JW/ES-035,Svalbard,Nordøst-Spitsbergen,Håpfjellet,1370,4494,17.7000,78.9273,17.70000,78.92730,10,3,01/02/2021,31/12/2099,0,,
JW/ES-036,Svalbard,Nordøst-Spitsbergen,Einsteinfjellet,1368,4488,16.5034,79.0699,16.50340,79.06990,10,3,01/02/2021,31/12/2099,0,,
JW/ES-037,Svalbard,Nordøst-Spitsbergen,Thomsonryggen,1366,4481,16.6243,79.1011,16.62430,79.10110,10,3,01/02/2021,31/12/2099,0,,
JW/ES-038,Svalbard,Nordøst-Spitsbergen,Lemströmfjellet,1365,4478,16.5928,79.0079,16.59280,79.00790,10,3,01/02/2021,31/12/2099,0,,
JW/ES-039,Svalbard,Nordøst-Spitsbergen,Aurorafjellet,1360,4461,16.7135,79.0042,16.71350,79.00420,10,3,01/02/2021,31/12/2099,0,,
JW/ES-040,Svalbard,Nordøst-Spitsbergen,Atomfjella,1350,4429,16.5770,79.1482,16.57700,79.14820,10,3,01/02/2021,31/12/2099,0,,
JW/ES-041,Svalbard,Nordøst-Spitsbergen,Bohrryggen,1331,4366,16.6668,79.0878,16.66680,79.08780,10,3,01/02/2021,31/12/2099,0,,
JW/ES-042,Svalbard,Nordøst-Spitsbergen,H,1330,4363,16.9630,79.2000,16.96300,79.20000,10,3,01/02/2021,31/12/2099,0,,
JW/ES-043,Svalbard,Nordøst-Spitsbergen,Rutherfordfjellet,1329,4360,16.4046,79.1555,16.40460,79.15550,10,3,01/02/2021,31/12/2099,0,,
JW/ES-044,Svalbard,Nordøst-Spitsbergen,Cavenendishryggen,1325,4347,17.4163,79.1350,17.41630,79.13500,10,3,01/02/2021,31/12/2099,0,,
JW/ES-045,Svalbard,Nordøst-Spitsbergen,Malloryfjellet,1323,4340,17.1271,79.1279,17.12710,79.12790,10,3,01/02/2021,31/12/2099,0,,
JW/ES-046,Svalbard,Nordøst-Spitsbergen,Langfjellet,1315,4314,17.2037,79.1506,17.20370,79.15060,10,3,01/02/2021,31/12/2099,0,,
JW/ES-047,Svalbard,Nordøst-Spitsbergen,Atomfjellet,1315,4314,16.6176,79.1395,16.61760,79.13950,10,3,01/02/2021,31/12/2099,0,,
JW/ES-048,Svalbard,Nordøst-Spitsbergen,Grøssfjellet,1309,4294,16.4380,79.1342,16.43800,79.13420,10,3,01/02/2021,31/12/2099,0,,
JW/ES-049,Svalbard,Nordøst-Spitsbergen,Gjallarhornet,1301,4268,16.5203,79.2400,16.52030,79.24000,10,3,01/02/2021,31/12/2099,0,,
JW/ES-050,Svalbard,Nordøst-Spitsbergen,Størmerfjellet,1301,4268,16.7031,79.0405,16.70310,79.04050,10,3,01/02/2021,31/12/2099,0,,
JW/ES-051,Svalbard,Nordøst-Spitsbergen,Merkurfjellet,1298,4258,16.9892,79.0227,16.98920,79.02270,10,3,01/02/2021,31/12/2099,0,,
JW/ES-052,Svalbard,Nordøst-Spitsbergen,Varulven,1286,4219,16.7386,79.2310,16.73860,79.23100,10,3,01/02/2021,31/12/2099,0,,
JW/ES-053,Svalbard,Nordøst-Spitsbergen,Heimdalskampen,1231,4038,16.4934,79.2775,16.49340,79.27750,10,3,01/02/2021,31/12/2099,0,,
JW/ES-054,Svalbard,Nordøst-Spitsbergen,Terrierfjellet,1201,3940,17.3248,78.6869,17.32480,78.68690,10,3,01/02/2021,31/12/2099,0,,
JW/ES-055,Svalbard,Nordøst-Spitsbergen,Stratumfjellet,1190,3905,17.8695,78.8466,17.86950,78.84660,10,3,01/02/2021,31/12/2099,0,,
JW/ES-056,Svalbard,Nordøst-Spitsbergen,Golitsynfjellet,1162,3812,18.2301,78.7504,18.23010,78.75040,10,3,01/02/2021,31/12/2099,0,,
JW/ES-057,Svalbard,Nordøst-Spitsbergen,Kortfjellet,1154,3786,17.1687,79.1848,17.16870,79.18480,10,3,01/02/2021,31/12/2099,0,,
JW/ES-058,Svalbard,Nordøst-Spitsbergen,Urmstonfjellet,1130,3707,17.1967,78.6115,17.19670,78.61150,10,3,01/02/2021,31/12/2099,0,,
JW/ES-059,Svalbard,Nordøst-Spitsbergen,Kvitserken,1125,3690,17.3174,78.5460,17.31740,78.54600,10,3,01/02/2021,31/12/2099,0,,
JW/ES-060,Svalbard,Nordøst-Spitsbergen,Robertfjellet,1118,3667,16.9890,78.5946,16.98900,78.59460,10,3,01/02/2021,31/12/2099,0,,
JW/ES-061,Svalbard,Nordøst-Spitsbergen,"Bikkja V",1116,3661,17.6598,78.5414,17.65980,78.54140,10,3,01/02/2021,31/12/2099,0,,
JW/ES-062,Svalbard,Nordøst-Spitsbergen,Nemtinovfjellet,1115,3658,17.4671,78.6258,17.46710,78.62580,10,3,01/02/2021,31/12/2099,0,,
JW/ES-063,Svalbard,Nordøst-Spitsbergen,Bikkja,1111,3645,17.7638,78.5323,17.76380,78.53230,10,3,01/02/2021,31/12/2099,0,,
JW/ES-064,Svalbard,Nordøst-Spitsbergen,Annafjellet,1085,3559,17.6354,78.6145,17.63540,78.61450,10,3,01/02/2021,31/12/2099,0,,
JW/ES-065,Svalbard,Nordøst-Spitsbergen,"Skedvifjella N",1083,3553,17.7234,78.4946,17.72340,78.49460,10,3,01/02/2021,31/12/2099,0,,
JW/ES-066,Svalbard,Nordøst-Spitsbergen,Smyslovfjellet,1069,3507,17.9405,78.5139,17.94050,78.51390,10,3,01/02/2021,31/12/2099,0,,
JW/ES-067,Svalbard,Nordøst-Spitsbergen,"Backlundtoppen N",1063,3487,18.2188,78.7220,18.21880,78.72200,10,3,01/02/2021,31/12/2099,0,,
JW/ES-068,Svalbard,Nordøst-Spitsbergen,Svanberget,1035,3395,18.1785,78.6876,18.17850,78.68760,8,3,01/02/2021,31/12/2099,0,,
JW/ES-069,Svalbard,Nordøst-Spitsbergen,"Meakinsfjellet N",1028,3372,16.9300,78.5662,16.93000,78.56620,8,3,01/02/2021,31/12/2099,0,,
JW/ES-070,Svalbard,Nordøst-Spitsbergen,Nerströmfjellet,1017,3336,17.1814,78.5814,17.18140,78.58140,8,3,01/02/2021,31/12/2099,0,,
JW/ES-071,Svalbard,Nordøst-Spitsbergen,Maunoirberget,1003,3290,18.0575,78.5032,18.05750,78.50320,8,3,01/02/2021,31/12/2099,0,,
JW/ES-072,Svalbard,Nordøst-Spitsbergen,Rogačeverryggen,999,3277,17.9810,78.6922,17.98100,78.69220,8,3,01/02/2021,31/12/2099,0,,
JW/ES-073,Svalbard,Nordøst-Spitsbergen,"Skadvifjella N",997,3270,17.7456,78.4810,17.74560,78.48100,8,3,01/02/2021,31/12/2099,0,,
JW/ES-074,Svalbard,Nordøst-Spitsbergen,"Malte Brunfjellet",996,3267,18.0920,78.5451,18.09200,78.54510,8,3,01/02/2021,31/12/2099,0,,
JW/ES-075,Svalbard,Nordøst-Spitsbergen,Pattersonfjellet,990,3248,17.3921,78.5622,17.39210,78.56220,8,3,01/02/2021,31/12/2099,0,,
JW/ES-076,Svalbard,Nordøst-Spitsbergen,Kaksen,987,3238,17.2918,78.5214,17.29180,78.52140,8,3,01/02/2021,31/12/2099,0,,
JW/ES-077,Svalbard,Nordøst-Spitsbergen,Pyefjellet,980,3215,17.0686,78.5175,17.06860,78.51750,8,3,01/02/2021,31/12/2099,0,,
JW/ES-078,Svalbard,Nordøst-Spitsbergen,"Botnarryggen S",980,3215,17.2111,78.4834,17.21110,78.48340,8,3,01/02/2021,31/12/2099,0,,
JW/ES-079,Svalbard,Nordøst-Spitsbergen,Svingfjellet,966,3169,17.4462,79.2784,17.44620,79.27840,8,3,01/02/2021,31/12/2099,0,,
JW/ES-080,Svalbard,Nordøst-Spitsbergen,Finlayfjellet,958,3143,17.2185,78.5388,17.21850,78.53880,8,3,01/02/2021,31/12/2099,0,,
JW/ES-081,Svalbard,Nordøst-Spitsbergen,Lagtunafjella,932,3057,17.6183,78.5153,17.61830,78.51530,8,3,01/02/2021,31/12/2099,0,,
JW/ES-082,Svalbard,Nordøst-Spitsbergen,Akademikarbreen,925,3034,18.5567,78.8180,18.55670,78.81800,8,3,01/02/2021,31/12/2099,0,,
JW/ES-083,Svalbard,Nordøst-Spitsbergen,"Skeltonfjellet N",921,3021,16.7627,78.5371,16.76270,78.53710,8,3,01/02/2021,31/12/2099,0,,
