SOTA Summits List (Date=05/06/2026)
SummitCode,AssociationName,RegionName,SummitName,AltM,AltFt,GridRef1,GridRef2,Longitude,Latitude,Points,BonusPoints,ValidFrom,ValidTo,ActivationCount,ActivationDate,ActivationCall
K0M/CW-001,"USA - Minnesota ",Centralwest,"Height of Land Lookout",611,2005,-95.5034,47.2318,-95.50340,47.23180,6,3,01/10/2013,31/12/2099,8,11/11/2025,W1CDN
K0M/CW-002,"USA - Minnesota ",Centralwest,"Otter Tail County HP",547,1795,-95.5014,46.1985,-95.50140,46.19850,4,3,01/10/2013,31/12/2099,2,16/11/2023,KM0JPR
K0M/NE-001,"USA - Minnesota ",Northeast,"Eagle Mountain",701,2301,-90.5605,47.8975,-90.56050,47.89750,10,3,01/10/2013,31/12/2099,19,13/08/2025,KA3ZPH
K0M/NE-002,"USA - Minnesota ",Northeast,2266,691,2266,-90.3710,47.9297,-90.37100,47.92970,8,3,01/10/2013,31/12/2099,0,,
K0M/NE-003,"USA - Minnesota ",Northeast,"Misquah Hills",689,2260,-90.5198,47.9749,-90.51980,47.97490,8,3,01/10/2013,31/12/2099,0,,
K0M/NE-004,"USA - Minnesota ",Northeast,"Lima Mountain",682,2238,-90.4036,47.9869,-90.40360,47.98690,8,3,01/10/2013,31/12/2099,3,27/05/2024,KX4JN
K0M/NE-005,"USA - Minnesota ",Northeast,2210,674,2210,-90.2271,47.9992,-90.22710,47.99920,8,3,01/10/2013,31/12/2099,1,29/07/2017,K0DUB
K0M/NE-006,"USA - Minnesota ",Northeast,2081,634,2081,-90.3110,48.0990,-90.31100,48.09900,6,3,01/10/2013,31/12/2099,2,27/06/2025,K9IR
K0M/NE-007,"USA - Minnesota ",Northeast,"Stony Tower Hill",634,2080,-91.4347,47.6041,-91.43470,47.60410,6,3,01/10/2013,31/12/2099,5,02/09/2022,NG7A
K0M/NE-008,"USA - Minnesota ",Northeast,2065,629,2065,-90.2154,48.0977,-90.21540,48.09770,6,3,01/10/2013,31/12/2099,0,,
K0M/NE-009,"USA - Minnesota ",Northeast,2046,624,2046,-90.2232,48.0814,-90.22320,48.08140,6,3,01/10/2013,31/12/2099,1,26/06/2025,K9IR
K0M/NE-010,"USA - Minnesota ",Northeast,2030,619,2030,-90.4140,48.0902,-90.41400,48.09020,6,3,01/10/2013,31/12/2099,1,26/05/2024,KX4JN
K0M/NE-011,"USA - Minnesota ",Northeast,2019,615,2019,-91.0542,48.0583,-91.05420,48.05830,6,3,01/10/2013,31/12/2099,0,,
K0M/NE-012,"USA - Minnesota ",Northeast,"Moose Mountain",613,2012,-90.1457,48.1066,-90.14570,48.10660,6,3,01/10/2013,31/12/2099,1,03/10/2025,NG7A
K0M/NE-013,"USA - Minnesota ",Northeast,1990,607,1990,-90.8155,48.1067,-90.81550,48.10670,4,3,01/10/2013,31/12/2099,0,,
K0M/NE-014,"USA - Minnesota ",Northeast,1963,598,1963,-90.1089,48.0978,-90.10890,48.09780,4,3,01/10/2013,31/12/2099,0,,
K0M/NE-015,"USA - Minnesota ",Northeast,"Pike Mountain",596,1955,-92.4303,47.5571,-92.43030,47.55710,4,3,01/10/2013,31/12/2099,0,,
K0M/NE-016,"USA - Minnesota ",Northeast,"Embarrass Mountains",593,1945,-92.1884,47.6037,-92.18840,47.60370,4,3,01/10/2013,31/12/2099,0,,
K0M/NE-017,"USA - Minnesota ",Northeast,1906,581,1906,-90.0277,48.0465,-90.02770,48.04650,4,3,01/10/2013,31/12/2099,1,19/07/2016,KD0IPI
