SOTA Summits List (Date=05/06/2026)
SummitCode,AssociationName,RegionName,SummitName,AltM,AltFt,GridRef1,GridRef2,Longitude,Latitude,Points,BonusPoints,ValidFrom,ValidTo,ActivationCount,ActivationDate,ActivationCall
KLA/AE-001,"Alaska - Anchorage","ALEUTIONS EAST","Shishaldin Volcano",2869,9414,-163.9708,54.7554,-163.97079,54.75540,10,3,01/03/2016,01/01/2099,0,,
KLA/AN-001,"Alaska - Anchorage",ANCHORAGE,"Bashful Peak",2440,8005,-148.8699,61.3075,-148.86990,61.30750,10,3,01/03/2016,01/01/2099,0,,
KLA/AN-002,"Alaska - Anchorage",ANCHORAGE,"Baleful Peak",2423,7950,-148.8325,61.289,-148.83250,61.28900,8,3,01/03/2016,01/01/2099,0,,
KLA/AN-003,"Alaska - Anchorage",ANCHORAGE,"Bellicose Peak",2329,7640,-149.0341,61.2413,-149.03410,61.24130,8,3,01/03/2016,01/01/2099,0,,
KLA/AN-004,"Alaska - Anchorage",ANCHORAGE,"Hunters Peak",2301,7549,-148.7289,61.3079,-148.72890,61.30790,8,3,01/03/2016,01/01/2099,0,,
KLA/AN-005,"Alaska - Anchorage",ANCHORAGE,"Mount Yukla",2297,7535,-149.1154,61.191,-149.11540,61.19100,8,3,01/03/2016,01/01/2099,0,,
KLA/AN-006,"Alaska - Anchorage",ANCHORAGE,"Mount Rumble",2295,7530,-149.0805,61.2565,-149.08051,61.25650,8,3,01/03/2016,01/01/2099,0,,
KLA/AN-007,"Alaska - Anchorage",ANCHORAGE,"Bold Peak",2293,7522,-148.9245,61.3436,-148.92450,61.34360,8,3,01/03/2016,01/01/2099,0,,
KLA/AN-008,"Alaska - Anchorage",ANCHORAGE,"Troublesome Peak",2275,7465,-148.7131,61.2872,-148.71310,61.28720,8,3,01/03/2016,01/01/2099,0,,
KLA/AN-009,"Alaska - Anchorage",ANCHORAGE,7460,2274,7460,-148.5604,61.043,-148.56039,61.04300,8,3,01/03/2016,01/01/2099,0,,
KLA/AN-010,"Alaska - Anchorage",ANCHORAGE,"Mount Kiliak",2271,7450,-149.1365,61.2165,-149.13651,61.21650,8,3,01/03/2016,01/01/2099,0,,
KLA/AN-011,"Alaska - Anchorage",ANCHORAGE,"Mount Beelzebub",2219,7280,-149.0239,61.1903,-149.02390,61.19030,8,3,01/03/2016,01/01/2099,0,,
KLA/AN-012,"Alaska - Anchorage",ANCHORAGE,"Mountaineers Peak",2214,7265,-148.6522,61.3363,-148.65221,61.33630,8,3,01/03/2016,01/01/2099,0,,
KLA/AN-013,"Alaska - Anchorage",ANCHORAGE,"Benign Peak",2210,7250,-149.0246,61.2736,-149.02460,61.27360,8,3,01/03/2016,01/01/2099,0,,
KLA/AN-014,"Alaska - Anchorage",ANCHORAGE,"Devils Club Peak",2207,7240,-148.6678,61.351,-148.66780,61.35100,8,3,01/03/2016,01/01/2099,0,,
KLA/AN-015,"Alaska - Anchorage",ANCHORAGE,"Mount Soggy",2192,7190,-149.0753,61.197,-149.07530,61.19700,8,3,01/03/2016,01/01/2099,0,,
KLA/AN-016,"Alaska - Anchorage",ANCHORAGE,"East Kiliak Peak",2179,7150,-149.1223,61.2137,-149.12230,61.21370,8,3,01/03/2016,01/01/2099,0,,
KLA/AN-017,"Alaska - Anchorage",ANCHORAGE,"Whiteout Peak",2175,7135,-148.9076,61.1295,-148.90759,61.12950,8,3,01/03/2016,01/01/2099,0,,
