SOTA Summits List (Date=05/06/2026)
SummitCode,AssociationName,RegionName,SummitName,AltM,AltFt,GridRef1,GridRef2,Longitude,Latitude,Points,BonusPoints,ValidFrom,ValidTo,ActivationCount,ActivationDate,ActivationCall
KLF/AE-001,"Alaska - Fairbanks","Northwest Arctic East","Mount Igikpak",2523,8276,-154.9653,67.4126,-154.96530,67.41260,10,3,01/03/2016,31/12/2099,0,,
KLF/AE-002,"Alaska - Fairbanks","Northwest Arctic East",7771,2369,7771,-154.9491,67.428,-154.94910,67.42800,10,3,01/03/2016,31/12/2099,0,,
KLF/AE-003,"Alaska - Fairbanks","Northwest Arctic East",7646,2331,7646,-154.9486,67.4441,-154.94859,67.44410,10,3,01/03/2016,31/12/2099,0,,
KLF/AE-004,"Alaska - Fairbanks","Northwest Arctic East","Oyukak Mountain",2192,7192,-155.5017,67.5699,-155.50169,67.56990,10,3,01/03/2016,31/12/2099,0,,
KLF/AE-005,"Alaska - Fairbanks","Northwest Arctic East",6995,2132,6995,-155.448,67.5357,-155.44800,67.53570,10,3,01/03/2016,31/12/2099,0,,
KLF/AE-006,"Alaska - Fairbanks","Northwest Arctic East",6921,2110,6921,-154.9873,67.4935,-154.98730,67.49350,10,3,01/03/2016,31/12/2099,0,,
KLF/AE-007,"Alaska - Fairbanks","Northwest Arctic East",6804,2074,6804,-155.0105,67.5093,-155.01050,67.50930,10,3,01/03/2016,31/12/2099,0,,
KLF/AE-008,"Alaska - Fairbanks","Northwest Arctic East",6750,2057,6750,-155.4627,67.5015,-155.46271,67.50150,10,3,01/03/2016,31/12/2099,0,,
KLF/AE-009,"Alaska - Fairbanks","Northwest Arctic East",6711,2046,6711,-155.0607,67.4501,-155.06070,67.45010,10,3,01/03/2016,31/12/2099,0,,
KLF/AE-010,"Alaska - Fairbanks","Northwest Arctic East","Mount Papiok",1990,6530,-154.9637,67.584,-154.96370,67.58400,10,3,01/03/2016,31/12/2099,0,,
KLF/AE-011,"Alaska - Fairbanks","Northwest Arctic East","Shulakpachak Peak",1986,6516,-155.9352,67.4319,-155.93520,67.43190,10,3,01/03/2016,31/12/2099,0,,
KLF/AE-012,"Alaska - Fairbanks","Northwest Arctic East",6429,1960,6429,-155.1466,67.4844,-155.14661,67.48440,8,3,01/03/2016,31/12/2099,0,,
KLF/AE-013,"Alaska - Fairbanks","Northwest Arctic East",6397,1950,6397,-155.3712,67.8815,-155.37120,67.88150,8,3,01/03/2016,31/12/2099,0,,
KLF/AE-014,"Alaska - Fairbanks","Northwest Arctic East",6378,1944,6378,-155.0082,67.3614,-155.00819,67.36140,8,3,01/03/2016,31/12/2099,0,,
KLF/AE-015,"Alaska - Fairbanks","Northwest Arctic East","Mount Chitiok",1930,6333,-155.3903,67.4372,-155.39030,67.43720,8,3,01/03/2016,31/12/2099,0,,
KLF/AE-016,"Alaska - Fairbanks","Northwest Arctic East",6313,1924,6313,-154.9216,67.3922,-154.92160,67.39220,8,3,01/03/2016,31/12/2099,0,,
KLF/AE-017,"Alaska - Fairbanks","Northwest Arctic East",6265,1910,6265,-155.5735,67.5067,-155.57350,67.50670,8,3,01/03/2016,31/12/2099,0,,
KLF/AE-018,"Alaska - Fairbanks","Northwest Arctic East",6250,1905,6250,-156.0533,67.6016,-156.05330,67.60160,8,3,01/03/2016,31/12/2099,0,,
