SOTA Summits List (Date=05/06/2026)
SummitCode,AssociationName,RegionName,SummitName,AltM,AltFt,GridRef1,GridRef2,Longitude,Latitude,Points,BonusPoints,ValidFrom,ValidTo,ActivationCount,ActivationDate,ActivationCall
KLS/HA-001,"Alaska - Southeast",Haines,"Mount Nesselrode",2470,8105,-134.3136,58.962,-134.31360,58.96200,10,3,01/03/2016,31/12/2099,0,,
KLS/HA-002,"Alaska - Southeast",Haines,"Mount Service",2392,7847,-134.4473,59.089,-134.44730,59.08900,10,3,01/03/2016,31/12/2099,0,,
KLS/HA-003,"Alaska - Southeast",Haines,"Mount Leland",2380,7810,-134.7922,59.17,-134.79221,59.17000,10,3,01/03/2016,31/12/2099,0,,
KLS/HA-004,"Alaska - Southeast",Haines,7650,2332,7650,-135.7517,59.6924,-135.75169,59.69240,10,3,01/03/2016,31/12/2099,0,,
KLS/HA-005,"Alaska - Southeast",Haines,"Mount Poletica",2323,7620,-134.4836,59.1314,-134.48360,59.13140,10,3,01/03/2016,31/12/2099,0,,
KLS/HA-006,"Alaska - Southeast",Haines,"Mount London",2301,7550,-134.3821,59.0386,-134.38210,59.03860,10,3,01/03/2016,31/12/2099,0,,
KLS/HA-007,"Alaska - Southeast",Haines,"Mount Brackett",2271,7450,-134.7948,59.1176,-134.79480,59.11760,10,3,01/03/2016,31/12/2099,0,,
KLS/HA-008,"Alaska - Southeast",Haines,7450,2271,7450,-135.7321,59.1183,-135.73210,59.11830,10,3,01/03/2016,31/12/2099,0,,
KLS/HA-009,"Alaska - Southeast",Haines,7450,2271,7450,-135.7183,59.6707,-135.71831,59.67070,10,3,01/03/2016,31/12/2099,0,,
KLS/HA-010,"Alaska - Southeast",Haines,7450,2271,7450,-134.4113,58.9822,-134.41130,58.98220,10,3,01/03/2016,31/12/2099,0,,
KLS/HA-011,"Alaska - Southeast",Haines,"Mount Henry Clay",2270,7447,-136.4775,59.3762,-136.47749,59.37620,10,3,01/03/2016,31/12/2099,0,,
KLS/HA-012,"Alaska - Southeast",Haines,7350,2240,7350,-135.738,59.6525,-135.73801,59.65250,10,3,01/03/2016,31/12/2099,0,,
KLS/HA-013,"Alaska - Southeast",Haines,7350,2240,7350,-134.4063,59.0058,-134.40630,59.00580,10,3,01/03/2016,31/12/2099,0,,
KLS/HA-014,"Alaska - Southeast",Haines,7305,2227,7305,-134.8139,59.1566,-134.81390,59.15660,10,3,01/03/2016,31/12/2099,0,,
KLS/HA-015,"Alaska - Southeast",Haines,7255,2211,7255,-134.7814,59.0987,-134.78140,59.09870,10,3,01/03/2016,31/12/2099,0,,
KLS/HA-016,"Alaska - Southeast",Haines,7250,2210,7250,-135.8268,59.6028,-135.82680,59.60280,10,3,01/03/2016,31/12/2099,0,,
KLS/HA-017,"Alaska - Southeast",Haines,7250,2210,7250,-135.7867,59.6656,-135.78670,59.66560,10,3,01/03/2016,31/12/2099,0,,
KLS/HA-018,"Alaska - Southeast",Haines,7250,2210,7250,-134.8077,59.1006,-134.80769,59.10060,10,3,01/03/2016,31/12/2099,0,,
KLS/HA-019,"Alaska - Southeast",Haines,7250,2210,7250,-135.7334,59.6791,-135.73340,59.67910,10,3,01/03/2016,31/12/2099,0,,
KLS/HA-020,"Alaska - Southeast",Haines,7235,2205,7235,-134.8139,59.1811,-134.81390,59.18110,10,3,01/03/2016,31/12/2099,0,,
KLS/HA-021,"Alaska - Southeast",Haines,"Mount Hislop",2184,7164,-134.5658,59.1311,-134.56580,59.13110,10,3,01/03/2016,31/12/2099,0,,
KLS/HA-022,"Alaska - Southeast",Haines,7160,2182,7160,-134.5155,59.021,-134.51550,59.02100,10,3,01/03/2016,31/12/2099,0,,
KLS/HA-023,"Alaska - Southeast",Haines,7150,2179,7150,-135.822,59.5746,-135.82201,59.57460,10,3,01/03/2016,31/12/2099,0,,
KLS/HA-024,"Alaska - Southeast",Haines,7150,2179,7150,-134.5732,59.1145,-134.57320,59.11450,10,3,01/03/2016,31/12/2099,0,,
KLS/HA-025,"Alaska - Southeast",Haines,"Klukwah Mountain",2149,7050,-135.8683,59.5891,-135.86830,59.58910,10,3,01/03/2016,31/12/2099,0,,
KLS/HA-026,"Alaska - Southeast",Haines,"Mount Krause",2149,7050,-135.8954,59.1828,-135.89540,59.18280,10,3,01/03/2016,31/12/2099,0,,
KLS/HA-027,"Alaska - Southeast",Haines,7050,2149,7050,-134.8167,59.1101,-134.81670,59.11010,10,3,01/03/2016,31/12/2099,0,,
KLS/HA-028,"Alaska - Southeast",Haines,7050,2149,7050,-135.853,59.6132,-135.85300,59.61320,10,3,01/03/2016,31/12/2099,0,,
KLS/HA-029,"Alaska - Southeast",Haines,7050,2149,7050,-135.7968,59.5789,-135.79680,59.57890,10,3,01/03/2016,31/12/2099,0,,
KLS/HA-030,"Alaska - Southeast",Haines,7050,2149,7050,-134.4382,59.0248,-134.43820,59.02480,10,3,01/03/2016,31/12/2099,0,,
KLS/HA-031,"Alaska - Southeast",Haines,6980,2128,6980,-134.4324,59.0533,-134.43240,59.05330,10,3,01/03/2016,31/12/2099,0,,
KLS/HA-032,"Alaska - Southeast",Haines,6970,2124,6970,-134.5318,59.1216,-134.53180,59.12160,10,3,01/03/2016,31/12/2099,0,,
KLS/HA-033,"Alaska - Southeast",Haines,"Mount Canning",2124,6967,-134.7005,59.2489,-134.70050,59.24890,10,3,01/03/2016,31/12/2099,0,,
KLS/HA-034,"Alaska - Southeast",Haines,6950,2118,6950,-135.6533,59.509,-135.65331,59.50900,10,3,01/03/2016,31/12/2099,0,,
