SOTA Summits List (Date=05/06/2026)
SummitCode,AssociationName,RegionName,SummitName,AltM,AltFt,GridRef1,GridRef2,Longitude,Latitude,Points,BonusPoints,ValidFrom,ValidTo,ActivationCount,ActivationDate,ActivationCall
KP4/CC-001,"USA - Puerto Rico","Cordillera Central","Cerro de Punta",1335,4381,-66.5917,18.1723,-66.59170,18.17230,10,0,01/09/2014,31/12/2099,16,11/04/2026,KP3N
KP4/CC-002,"USA - Puerto Rico","Cordillera Central","Tres Picachos South",1197,3927,-66.5371,18.2047,-66.53710,18.20470,10,0,01/09/2014,30/06/2021,0,,
KP4/CC-003,"USA - Puerto Rico","Cordillera Central","Cerro El Bolo",1090,3576,-66.4958,18.1669,-66.49580,18.16690,10,0,01/09/2014,31/12/2099,1,29/11/2022,WP4TZ
KP4/CC-004,"USA - Puerto Rico","Cordillera Central",S034,1039,3409,-66.4565,18.1932,-66.45650,18.19320,8,0,01/09/2014,31/12/2099,7,27/03/2026,KD7LX
KP4/CC-005,"USA - Puerto Rico","Cordillera Central","Vegas Arriba West",989,3244,-66.6967,18.1632,-66.69670,18.16320,8,0,01/09/2014,31/12/2099,0,,
KP4/CC-006,"USA - Puerto Rico","Cordillera Central","Jayuya North",980,3215,-66.5939,18.2393,-66.59390,18.23930,8,0,01/09/2014,30/06/2021,0,,
KP4/CC-007,"USA - Puerto Rico","Cordillera Central",S038,835,2738,-66.3307,18.2359,-66.33070,18.23590,6,0,01/09/2014,31/12/2099,2,31/08/2022,WP4TZ
KP4/CC-008,"USA - Puerto Rico","Cordillera Central",S040,962,3157,-66.4129,18.2005,-66.41290,18.20050,8,0,01/09/2014,31/12/2099,6,21/03/2026,KP3N
KP4/CC-009,"USA - Puerto Rico","Cordillera Central","La Torrecilla",941,3087,-66.3325,18.2014,-66.33250,18.20140,6,0,01/09/2014,31/12/2099,5,21/03/2026,KP3N
KP4/CC-010,"USA - Puerto Rico","Cordillera Central",S060,930,3050,-66.6525,18.1826,-66.65250,18.18260,6,0,01/09/2014,31/12/2099,0,,
KP4/CC-011,"USA - Puerto Rico","Cordillera Central","Cerro Prieto",937,3075,-66.6625,18.1972,-66.66250,18.19720,6,0,01/09/2014,31/12/2099,0,,
KP4/CC-012,"USA - Puerto Rico","Cordillera Central","Aibonito South",861,2825,-66.2328,18.0959,-66.23280,18.09590,6,0,01/09/2014,31/12/2099,7,07/03/2026,KP3N
KP4/CC-013,"USA - Puerto Rico","Cordillera Central","Pellejas East",756,2479,-66.6827,18.1987,-66.68270,18.19870,4,0,01/09/2014,31/12/2099,0,,
KP4/CC-014,"USA - Puerto Rico","Cordillera Central",S078,712,2335,-66.3956,18.1254,-66.39560,18.12540,4,0,01/09/2014,31/12/2099,0,,
KP4/CC-015,"USA - Puerto Rico","Cordillera Central","Cerro Viento Caliente",684,2243,-66.211,18.1744,-66.21100,18.17440,4,0,01/09/2014,31/12/2099,0,,
KP4/CC-016,"USA - Puerto Rico","Cordillera Central","Cerro la Tiza",656,2153,-66.1843,18.2413,-66.18430,18.24130,4,0,01/09/2014,31/12/2099,1,21/08/2022,WP4TZ
KP4/CC-017,"USA - Puerto Rico","Cordillera Central","Cerro Petronila",649,2129,-66.4315,18.115,-66.43150,18.11500,2,0,01/09/2014,31/12/2099,0,,
KP4/CC-018,"USA - Puerto Rico","Cordillera Central",S064,624,2049,-66.2759,18.0696,-66.27590,18.06960,2,0,01/09/2014,31/12/2099,0,,
KP4/CC-019,"USA - Puerto Rico","Cordillera Central","Casa Grande Mtn",616,2021,-66.6604,18.2895,-66.66040,18.28950,2,0,01/09/2014,31/12/2099,1,27/08/2022,WP4TZ
KP4/CC-020,"USA - Puerto Rico","Cordillera Central",S058,615,2018,-66.1755,18.2148,-66.17550,18.21480,2,0,01/09/2014,31/12/2099,1,08/10/2022,WP4TZ
KP4/CC-021,"USA - Puerto Rico","Cordillera Central","Cerro de los Cielos",580,1902,-66.2253,18.0547,-66.22530,18.05470,2,0,01/09/2014,31/12/2099,2,13/08/2023,WP4TZ
KP4/CC-022,"USA - Puerto Rico","Cordillera Central","Cerro Marquesa",509,1669,-66.1126,18.2796,-66.11260,18.27960,2,0,01/09/2014,31/12/2099,3,13/08/2022,WP4TZ
KP4/CC-023,"USA - Puerto Rico","Cordillera Central","Cerro La Montería",489,1603,-66.4663,18.1288,-66.46630,18.12880,1,0,01/09/2014,31/12/2099,0,,
KP4/CC-024,"USA - Puerto Rico","Cordillera Central","Cerro Presidio",473,1553,-66.3247,18.0515,-66.32470,18.05150,1,0,01/09/2014,31/12/2099,0,,
KP4/CC-025,"USA - Puerto Rico","Cordillera Central","Collores East",475,1559,-66.526,18.0895,-66.52600,18.08950,1,0,01/09/2014,31/12/2099,0,,
KP4/CC-026,"USA - Puerto Rico","Cordillera Central","Mariano Colon South",302,992,-66.3274,18.0088,-66.32740,18.00880,1,0,01/09/2014,31/12/2099,0,,
KP4/CC-027,"USA - Puerto Rico","Cordillera Central","Monte Jayuya",1316,4319,-66.5747,18.1681,-66.57470,18.16810,10,0,01/07/2021,31/12/2099,13,11/04/2026,KP3N
KP4/CC-028,"USA - Puerto Rico","Cordillera Central","Cerro Rosa",1264,4148,-66.5318,18.178,-66.53180,18.17800,10,0,01/07/2021,31/12/2099,0,,
KP4/CC-029,"USA - Puerto Rico","Cordillera Central","Los Tres Picachos",1204,3950,-66.5413,18.2146,-66.54130,18.21460,10,0,01/07/2021,31/12/2099,7,28/03/2026,KD7LX
KP4/CC-030,"USA - Puerto Rico","Cordillera Central","Cerro Saliente",1197,3928,-66.5595,18.1786,-66.55950,18.17860,10,0,01/07/2021,31/12/2099,0,,
KP4/CC-031,"USA - Puerto Rico","Cordillera Central","Cerro Morales",986,3234,-66.625,18.2473,-66.62500,18.24730,8,0,01/07/2021,31/12/2099,1,25/11/2023,WP4TZ
KP4/CC-032,"USA - Puerto Rico","Cordillera Central","Cerro El Malo",926,3038,-66.4208,18.1738,-66.42080,18.17380,6,0,01/07/2021,31/12/2099,0,,
KP4/CC-033,"USA - Puerto Rico","Cordillera Central","Cerro Farallon",787,2581,-66.3067,18.2388,-66.30670,18.23880,4,0,01/07/2021,31/12/2099,1,01/09/2022,WP4TZ
KP4/CC-034,"USA - Puerto Rico","Cordillera Central","Cerro Mime",668,2190,-66.4389,18.2464,-66.43890,18.24640,4,0,01/07/2021,31/12/2099,1,13/11/2022,WP4TZ
KP4/CC-035,"USA - Puerto Rico","Cordillera Central","Cerro Plana",663,2176,-66.21,18.1533,-66.21000,18.15330,4,0,01/07/2021,31/12/2099,1,25/10/2022,WP4TZ
KP4/CC-036,"USA - Puerto Rico","Cordillera Central","Cerro de las Cuevas",634,2079,-66.4662,18.0855,-66.46620,18.08550,2,0,01/07/2021,31/12/2099,3,29/03/2024,WP4TZ
KP4/CC-037,"USA - Puerto Rico","Cordillera Central","Cerro de la Mesa",578,1897,-66.2806,18.091,-66.28060,18.09100,2,0,01/07/2021,31/12/2099,0,,
KP4/CC-038,"USA - Puerto Rico","Cordillera Central","Cerro Pio Juan",459,1506,-66.304,18.0381,-66.30400,18.03810,1,0,01/07/2021,31/12/2099,0,,
