SOTA Summits List (Date=05/06/2026)
SummitCode,AssociationName,RegionName,SummitName,AltM,AltFt,GridRef1,GridRef2,Longitude,Latitude,Points,BonusPoints,ValidFrom,ValidTo,ActivationCount,ActivationDate,ActivationCall
LA/AA-001,Norway,Aust-Agder,Sæbyggjenuten,1507,4944,7.6256,59.4617,7.62560,59.46170,6,3,01/05/2008,31/12/2099,0,,
LA/AA-002,Norway,Aust-Agder,Snjoheinuten,1438,4718,7.2553,59.4244,7.25530,59.42440,4,3,01/05/2008,31/12/2099,0,,
LA/AA-003,Norway,Aust-Agder,Urddalsknuten,1434,4705,7.1575,59.1636,7.15750,59.16360,4,3,01/05/2008,30/09/2010,0,,
LA/AA-004,Norway,Aust-Agder,Steinheii,1421,4662,7.1044,59.2878,7.10440,59.28780,4,3,01/05/2008,31/12/2099,0,,
LA/AA-005,Norway,Aust-Agder,Skyvassnuten,1421,4662,7.1178,59.6375,7.11780,59.63750,4,3,01/05/2008,31/12/2099,1,23/08/2025,LA/DD1LD/P
LA/AA-006,Norway,Aust-Agder,Kvervetjønnuten,1417,4649,7.3083,59.4339,7.30830,59.43390,4,3,01/05/2008,31/12/2099,0,,
LA/AA-007,Norway,Aust-Agder,"Djuptjønnuten, øvre",1400,4593,7.1464,59.3967,7.14640,59.39670,4,3,01/05/2008,31/12/2099,0,,
LA/AA-008,Norway,Aust-Agder,Storheddernuten,1402,4600,7.1383,59.6625,7.13830,59.66250,4,3,01/05/2008,31/12/2099,1,23/08/2025,LA/DD1LD/P
LA/AA-009,Norway,Aust-Agder,Trongedalsnuten,929,3048,8.1347,58.9144,8.13470,58.91440,2,3,01/10/2010,31/12/2099,0,,
LA/AA-010,Norway,Aust-Agder,Gjevden,911,2989,8.1921,58.9744,8.19210,58.97440,2,3,01/10/2010,31/12/2099,0,,
LA/AA-011,Norway,Aust-Agder,Midtstøylnuten,872,2861,8.2008,58.8358,8.20080,58.83580,2,3,01/10/2010,31/12/2099,0,,
LA/AA-012,Norway,Aust-Agder,Storliheia,861,2825,8.2111,58.8272,8.21110,58.82720,2,3,01/10/2010,30/06/2012,0,,
LA/AA-013,Norway,Aust-Agder,Svåbassvarden,840,2756,8.0169,58.8469,8.01690,58.84690,2,3,01/10/2010,31/12/2099,0,,
LA/AA-014,Norway,Aust-Agder,Dunsvallheia,825,2707,8.2686,58.9153,8.26860,58.91530,2,3,01/10/2010,31/12/2099,0,,
LA/AA-015,Norway,Aust-Agder,Hovden,712,2336,8.0864,58.8100,8.08640,58.81000,2,3,01/10/2010,31/12/2099,0,,
LA/AA-016,Norway,Aust-Agder,Høgeknatten,703,2306,8.3326,58.7732,8.33260,58.77320,2,3,01/10/2010,31/12/2099,0,,
LA/AA-017,Norway,Aust-Agder,Flænuten,700,2297,8.0215,58.7752,8.02150,58.77520,2,3,01/10/2010,31/12/2099,0,,
LA/AA-018,Norway,Aust-Agder,Himmelsyna,649,2129,8.0378,58.6294,8.03780,58.62940,2,3,01/10/2010,31/12/2099,2,26/07/2025,LA7TN
LA/AA-019,Norway,Aust-Agder,Storemyrknuten,531,1742,8.0358,58.5489,8.03580,58.54890,2,3,01/10/2010,31/01/2024,2,09/09/2023,LA7TN
LA/AA-020,Norway,Aust-Agder,Hovdefjell,524,1719,8.6581,58.7033,8.65810,58.70330,2,3,01/10/2010,31/12/2099,15,08/08/2024,LA7MHA/P
LA/AA-021,Norway,Aust-Agder,Valefjell,521,1708,8.59037,58.92246,8.59037,58.92246,2,3,01/10/2010,31/12/2099,0,,
LA/AA-022,Norway,Aust-Agder,Vorehei,501,1644,8.2794,58.6700,8.27940,58.67000,2,3,01/10/2010,31/12/2099,5,08/06/2025,LA7TN
LA/AA-023,Norway,Aust-Agder,Trogfjellet,492,1614,8.4694,58.7778,8.46940,58.77780,1,0,01/10/2010,31/12/2099,1,20/09/2014,LA1ENA/P
LA/AA-024,Norway,Aust-Agder,Geitfjell,477,1565,8.6956,58.7322,8.69560,58.73220,1,0,01/10/2010,31/12/2099,0,,
