SOTA Summits List (Date=05/06/2026)
SummitCode,AssociationName,RegionName,SummitName,AltM,AltFt,GridRef1,GridRef2,Longitude,Latitude,Points,BonusPoints,ValidFrom,ValidTo,ActivationCount,ActivationDate,ActivationCall
LUD/TA-001,"Argentina - Buenos Aires",Tandilia,LUD/TA-001,520,1706,-59.3031,-37.6008,-59.30310,-37.60080,2,0,01/06/2018,31/12/2099,0,,
LUD/TA-002,"Argentina - Buenos Aires",Tandilia,LUD/TA-002,485,1591,-59.0835,-37.3572,-59.08350,-37.35720,2,0,01/06/2018,31/12/2099,3,15/06/2023,LU2DHH
LUD/TA-003,"Argentina - Buenos Aires",Tandilia,LUD/TA-003,482,1581,-59.3608,-37.4311,-59.36080,-37.43110,2,0,01/06/2018,31/12/2099,0,,
LUD/TA-004,"Argentina - Buenos Aires",Tandilia,LUD/TA-004,459,1505,-59.1022,-37.5114,-59.10220,-37.51140,2,0,01/06/2018,31/12/2099,0,,
LUD/TA-005,"Argentina - Buenos Aires",Tandilia,LUD/TA-005,442,1450,-59.4228,-37.6091,-59.42280,-37.60910,2,0,01/06/2018,31/12/2099,0,,
LUD/TA-006,"Argentina - Buenos Aires",Tandilia,"Cerro San Luis",435,1427,-58.9649,-37.3596,-58.96490,-37.35960,2,0,01/06/2018,31/12/2099,0,,
LUD/TA-007,"Argentina - Buenos Aires",Tandilia,LUD/TA-007,430,1410,-59.1603,-37.5508,-59.16030,-37.55080,2,0,01/06/2018,31/12/2099,0,,
LUD/TA-008,"Argentina - Buenos Aires",Tandilia,"Cerro El Sombrero",425,1394,-58.5699,-37.8128,-58.56990,-37.81280,2,0,01/06/2018,31/12/2099,0,,
LUD/TA-009,"Argentina - Buenos Aires",Tandilia,"Cerro El Bote",423,1387,-58.6376,-37.8254,-58.63760,-37.82540,2,0,01/06/2018,31/12/2099,0,,
LUD/TA-010,"Argentina - Buenos Aires",Tandilia,LUD/TA-010,388,1272,-58.1495,-37.8013,-58.14950,-37.80130,2,0,01/06/2018,31/12/2099,0,,
LUD/TA-011,"Argentina - Buenos Aires",Tandilia,LUD/TA-011,382,1253,-58.1914,-37.8153,-58.19140,-37.81530,2,0,01/06/2018,31/12/2099,0,,
LUD/TA-012,"Argentina - Buenos Aires",Tandilia,LUD/TA-012,381,1250,-58.5289,-37.8550,-58.52890,-37.85500,2,0,01/06/2018,31/12/2099,0,,
LUD/TA-013,"Argentina - Buenos Aires",Tandilia,"Cerro San Luis",375,1230,-58.8408,-37.8439,-58.84080,-37.84390,2,0,01/06/2018,31/12/2099,0,,
LUD/TA-014,"Argentina - Buenos Aires",Tandilia,LUD/TA-014,363,1190,-58.0504,-37.8216,-58.05040,-37.82160,2,0,01/06/2018,31/12/2099,0,,
