SOTA Summits List (Date=05/06/2026)
SummitCode,AssociationName,RegionName,SummitName,AltM,AltFt,GridRef1,GridRef2,Longitude,Latitude,Points,BonusPoints,ValidFrom,ValidTo,ActivationCount,ActivationDate,ActivationCall
LUH/SC-001,"Argentina - Córdoba","Sierras Chicas","Cerro Uritorco",1929,6329,-64.47722,-30.8453,-64.47722,-30.84530,8,3,01/08/2018,31/12/2099,6,11/01/2026,LU1HIN/H
LUH/SC-002,"Argentina - Córdoba","Sierras Chicas","Cerro Las Gemelas",1797,5896,-64.47417,-30.888887,-64.47417,-30.88889,8,3,01/08/2018,31/12/2099,2,29/06/2023,LU/K6KM
LUH/SC-003,"Argentina - Córdoba","Sierras Chicas","Cerro Pajarillo",1662,5453,-64.479164,-30.7453,-64.47916,-30.74530,6,3,01/08/2018,31/12/2099,8,12/08/2025,LU2HDM/H
LUH/SC-004,"Argentina - Córdoba","Sierras Chicas",LUH/SC-004,1649,5409,-64.44093,-31.049467,-64.44093,-31.04947,6,3,01/08/2018,31/12/2099,6,30/05/2026,LU1HIP/H
LUH/SC-005,"Argentina - Córdoba","Sierras Chicas","Cerro Esperanza",1465,4806,-64.37028,-30.761108,-64.37028,-30.76111,6,0,01/08/2018,31/12/2099,1,08/11/2024,LU3HGB/H
LUH/SC-006,"Argentina - Córdoba","Sierras Chicas",LUH/SC-006,1384,4541,-64.54472,-30.6767,-64.54472,-30.67670,4,0,01/08/2018,31/12/2099,1,30/05/2024,LU2HDM/H
LUH/SC-007,"Argentina - Córdoba","Sierras Chicas","Cerro Lasalle",1299,4262,-64.42266,-31.260597,-64.42266,-31.26060,4,0,01/08/2018,31/12/2099,6,03/05/2025,LU1HIP/H
LUH/SC-008,"Argentina - Córdoba","Sierras Chicas","Cerro Blanco",1287,4222,-64.54201,-31.616198,-64.54201,-31.61620,4,0,01/08/2018,31/12/2099,5,19/03/2025,LU2HDM/H
LUH/SC-009,"Argentina - Córdoba","Sierras Chicas","Cerro Calaguala",1256,4120,-64.498505,-31.933434,-64.49850,-31.93343,4,0,01/08/2018,31/12/2099,1,09/12/2022,LU7EPT/H
LUH/SC-010,"Argentina - Córdoba","Sierras Chicas","Cerro Pan de Azúcar",1247,4090,-64.41985,-31.238081,-64.41985,-31.23808,4,0,01/08/2018,31/12/2099,20,26/04/2026,LU2HDM/H
LUH/SC-011,"Argentina - Córdoba","Sierras Chicas",LUH/SC-011,1198,3930,-64.45555,-30.602776,-64.45555,-30.60278,4,0,01/08/2018,31/12/2099,0,,
LUH/SC-012,"Argentina - Córdoba","Sierras Chicas","Cerro San Vicente",1155,3789,-64.27222,-30.4197,-64.27222,-30.41970,4,0,01/08/2018,31/12/2099,0,,
