SOTA Summits List (Date=05/06/2026)
SummitCode,AssociationName,RegionName,SummitName,AltM,AltFt,GridRef1,GridRef2,Longitude,Latitude,Points,BonusPoints,ValidFrom,ValidTo,ActivationCount,ActivationDate,ActivationCall
LUK/TN-001,"Argentina - Tucumán","Tucumán Norte","Alto de los cardones",4737,15541,-65.7213,-26.6148,-65.72130,-26.61480,10,3,01/12/2023,31/12/2099,0,,
LUK/TN-002,"Argentina - Tucumán","Tucumán Norte","Quilmes o Negro de las Guayas",4603,15100,-66.1608,-26.4189,-66.16080,-26.41890,10,3,01/12/2023,31/12/2099,0,,
LUK/TN-003,"Argentina - Tucumán","Tucumán Norte","Monte de la laguna",4599,15089,-65.7396,-26.5754,-65.73960,-26.57540,10,3,01/12/2023,31/12/2099,0,,
LUK/TN-004,"Argentina - Tucumán","Tucumán Norte",LUK/TN-004,4597,15081,-65.7202,-26.6843,-65.72020,-26.68430,10,3,01/12/2023,31/12/2099,0,,
LUK/TN-005,"Argentina - Tucumán","Tucumán Norte","Negro de los balcones",4496,14749,-66.1142,-26.3431,-66.11420,-26.34310,10,3,01/12/2023,31/12/2099,0,,
LUK/TN-006,"Argentina - Tucumán","Tucumán Norte",LUK/TN-006,4103,13459,-65.7013,-26.4997,-65.70130,-26.49970,10,3,01/12/2023,31/12/2099,0,,
LUK/TN-007,"Argentina - Tucumán","Tucumán Norte","Alto de Huasca Ciénaga",4100,13451,-66.1702,-26.5083,-66.17020,-26.50830,10,3,01/12/2023,31/12/2099,0,,
LUK/TN-008,"Argentina - Tucumán","Tucumán Norte",LUK/TN-008,4055,13304,-65.6965,-26.1410,-65.69650,-26.14100,10,3,01/12/2023,31/12/2099,0,,
LUK/TN-009,"Argentina - Tucumán","Tucumán Norte",LUK/TN-009,3894,12776,-65.7040,-26.4663,-65.70400,-26.46630,10,3,01/12/2023,31/12/2099,0,,
LUK/TN-010,"Argentina - Tucumán","Tucumán Norte","El Pabellón",3719,12201,-65.7331,-26.3938,-65.73310,-26.39380,10,3,01/12/2023,31/12/2099,0,,
LUK/TN-011,"Argentina - Tucumán","Tucumán Norte","Agua Caliente",3679,12071,-65.7237,-26.2793,-65.72370,-26.27930,10,3,01/12/2023,31/12/2099,0,,
LUK/TN-012,"Argentina - Tucumán","Tucumán Norte",LUK/TN-012,3651,11978,-65.7089,-26.2208,-65.70890,-26.22080,10,3,01/12/2023,31/12/2099,0,,
LUK/TN-013,"Argentina - Tucumán","Tucumán Norte",LUK/TN-013,3527,11571,-65.7474,-26.4264,-65.74740,-26.42640,10,3,01/12/2023,31/12/2099,0,,
