SOTA Summits List (Date=05/06/2026)
SummitCode,AssociationName,RegionName,SummitName,AltM,AltFt,GridRef1,GridRef2,Longitude,Latitude,Points,BonusPoints,ValidFrom,ValidTo,ActivationCount,ActivationDate,ActivationCall
LUM/FH-001,"Argentina - Mendoza","Cordillera Frontal Las Heras","Del Tambillo",5669,18599,-69.6814,-32.3044,-69.68140,-32.30440,10,3,01/02/2019,31/12/2099,0,,
LUM/FH-002,"Argentina - Mendoza","Cordillera Frontal Las Heras","Del Valle",5224,17139,-69.6033,-32.2106,-69.60330,-32.21060,10,3,01/02/2019,31/12/2099,0,,
LUM/FH-003,"Argentina - Mendoza","Cordillera Frontal Las Heras",LUM/FH-003,5138,16856,-69.7633,-32.6208,-69.76330,-32.62080,10,3,01/02/2019,31/12/2099,0,,
LUM/FH-004,"Argentina - Mendoza","Cordillera Frontal Las Heras",LUM/FH-004,5062,16607,-69.7917,-32.6811,-69.79170,-32.68110,10,3,01/02/2019,31/12/2099,0,,
LUM/FH-005,"Argentina - Mendoza","Cordillera Frontal Las Heras","Tigre Sur",5054,16581,-69.7692,-32.5250,-69.76920,-32.52500,10,3,01/02/2019,31/12/2099,0,,
LUM/FH-006,"Argentina - Mendoza","Cordillera Frontal Las Heras",Ranchero,5037,16525,-69.6928,-32.5497,-69.69280,-32.54970,10,3,01/02/2019,31/12/2099,0,,
LUM/FH-007,"Argentina - Mendoza","Cordillera Frontal Las Heras",LUM/FH-007,5019,16466,-69.7178,-32.5758,-69.71780,-32.57580,10,3,01/02/2019,31/12/2099,0,,
LUM/FH-008,"Argentina - Mendoza","Cordillera Frontal Las Heras",LUM/FH-008,4950,16240,-69.7592,-32.6542,-69.75920,-32.65420,10,3,01/02/2019,31/12/2099,0,,
LUM/FH-009,"Argentina - Mendoza","Cordillera Frontal Las Heras",LUM/FH-009,4949,16236,-69.7092,-32.4964,-69.70920,-32.49640,10,3,01/02/2019,31/12/2099,0,,
LUM/FH-010,"Argentina - Mendoza","Cordillera Frontal Las Heras",Montura,4944,16220,-69.5886,-32.5214,-69.58860,-32.52140,10,3,01/02/2019,31/12/2099,1,06/12/2021,LU9MZO
LUM/FH-011,"Argentina - Mendoza","Cordillera Frontal Las Heras","Tigre Norte",4933,16184,-69.6000,-32.1542,-69.60000,-32.15420,10,3,01/02/2019,31/12/2099,0,,
LUM/FH-012,"Argentina - Mendoza","Cordillera Frontal Las Heras","Del Ranchito",4917,16131,-69.6217,-32.5417,-69.62170,-32.54170,10,3,01/02/2019,31/12/2099,0,,
LUM/FH-013,"Argentina - Mendoza","Cordillera Frontal Las Heras",LUM/FH-013,4915,16125,-69.7872,-32.5686,-69.78720,-32.56860,10,3,01/02/2019,31/12/2099,0,,
LUM/FH-014,"Argentina - Mendoza","Cordillera Frontal Las Heras",Blanco,4868,15971,-69.5989,-32.2733,-69.59890,-32.27330,10,3,01/02/2019,31/12/2099,0,,
LUM/FH-015,"Argentina - Mendoza","Cordillera Frontal Las Heras",LUM/FH-015,4845,15895,-69.6264,-32.5186,-69.62640,-32.51860,10,3,01/02/2019,31/12/2099,0,,
LUM/FH-016,"Argentina - Mendoza","Cordillera Frontal Las Heras",LUM/FH-016,4842,15885,-69.7011,-32.4797,-69.70110,-32.47970,10,3,01/02/2019,31/12/2099,0,,
LUM/FH-017,"Argentina - Mendoza","Cordillera Frontal Las Heras","El Durazno",4815,15797,-69.5648,-32.4821,-69.56480,-32.48210,10,3,01/02/2019,31/12/2099,0,,
LUM/FH-018,"Argentina - Mendoza","Cordillera Frontal Las Heras",Yalguaraz,4803,15757,-69.6600,-32.4989,-69.66000,-32.49890,10,3,01/02/2019,31/12/2099,0,,
LUM/FH-019,"Argentina - Mendoza","Cordillera Frontal Las Heras","Paramillo de las vacas",4765,15633,-69.7228,-32.6739,-69.72280,-32.67390,10,3,01/02/2019,31/12/2099,0,,
LUM/FH-020,"Argentina - Mendoza","Cordillera Frontal Las Heras",LUM/FH-020,4732,15524,-69.6742,-32.5386,-69.67420,-32.53860,10,3,01/02/2019,31/12/2099,0,,
LUM/FH-021,"Argentina - Mendoza","Cordillera Frontal Las Heras",Horqueta,4708,15446,-69.6794,-32.3578,-69.67940,-32.35780,10,3,01/02/2019,31/12/2099,0,,
LUM/FH-022,"Argentina - Mendoza","Cordillera Frontal Las Heras","Peñon Rajado",4625,15173,-69.7169,-32.7764,-69.71690,-32.77640,10,3,01/02/2019,31/12/2099,0,,
LUM/FH-023,"Argentina - Mendoza","Cordillera Frontal Las Heras","Quebrada Fiera",4579,15022,-69.7050,-32.7358,-69.70500,-32.73580,10,3,01/02/2019,31/12/2099,0,,
LUM/FH-024,"Argentina - Mendoza","Cordillera Frontal Las Heras",LUM/FH-024,4504,14776,-69.6536,-32.4442,-69.65360,-32.44420,10,3,01/02/2019,31/12/2099,0,,
LUM/FH-025,"Argentina - Mendoza","Cordillera Frontal Las Heras",LUM/FH-025,4491,14734,-69.6742,-32.4386,-69.67420,-32.43860,10,3,01/02/2019,31/12/2099,0,,
LUM/FH-026,"Argentina - Mendoza","Cordillera Frontal Las Heras",LUM/FH-026,4484,14711,-69.6291,-32.5734,-69.62910,-32.57340,10,3,01/02/2019,31/12/2099,0,,
LUM/FH-027,"Argentina - Mendoza","Cordillera Frontal Las Heras",LUM/FH-027,4459,14629,-69.5375,-32.1400,-69.53750,-32.14000,10,3,01/02/2019,31/12/2099,0,,
LUM/FH-028,"Argentina - Mendoza","Cordillera Frontal Las Heras",LUM/FH-028,4404,14448,-69.6878,-32.6669,-69.68780,-32.66690,10,3,01/02/2019,31/12/2099,0,,
LUM/FH-029,"Argentina - Mendoza","Cordillera Frontal Las Heras","De los Tambillitos",4373,14347,-69.6481,-32.7156,-69.64810,-32.71560,10,3,01/02/2019,31/12/2099,0,,
LUM/FH-030,"Argentina - Mendoza","Cordillera Frontal Las Heras",LUM/FH-030,4129,13546,-69.6353,-32.4033,-69.63530,-32.40330,10,3,01/02/2019,31/12/2099,0,,
LUM/FH-031,"Argentina - Mendoza","Cordillera Frontal Las Heras",LUM/FH-031,4128,13543,-69.6339,-32.6206,-69.63390,-32.62060,10,3,01/02/2019,31/12/2099,0,,
LUM/FH-032,"Argentina - Mendoza","Cordillera Frontal Las Heras",LUM/FH-032,4111,13487,-69.5814,-32.3594,-69.58140,-32.35940,10,3,01/02/2019,31/12/2099,0,,
LUM/FH-033,"Argentina - Mendoza","Cordillera Frontal Las Heras",Boleadero,4108,13477,-69.6017,-32.7058,-69.60170,-32.70580,10,3,01/02/2019,31/12/2099,0,,
LUM/FH-034,"Argentina - Mendoza","Cordillera Frontal Las Heras",LUM/FH-034,4073,13362,-69.6178,-32.4303,-69.61780,-32.43030,10,3,01/02/2019,31/12/2099,0,,
LUM/FH-035,"Argentina - Mendoza","Cordillera Frontal Las Heras",LUM/FH-035,3860,12664,-69.5283,-32.3783,-69.52830,-32.37830,10,3,01/02/2019,31/12/2099,0,,
LUM/FH-036,"Argentina - Mendoza","Cordillera Frontal Las Heras",LUM/FH-036,3621,11879,-69.4906,-32.3844,-69.49060,-32.38440,10,3,01/02/2019,31/12/2099,0,,
LUM/FH-037,"Argentina - Mendoza","Cordillera Frontal Las Heras",LUM/FH-037,3359,11020,-69.5319,-32.5956,-69.53190,-32.59560,8,3,01/02/2019,31/12/2099,0,,
LUM/FH-038,"Argentina - Mendoza","Cordillera Frontal Las Heras",Negro,3298,10820,-69.4267,-32.4314,-69.42670,-32.43140,8,3,01/02/2019,31/12/2099,1,25/04/2021,LU9MZO
LUM/FH-039,"Argentina - Mendoza","Cordillera Frontal Las Heras",LUM/FH-039,3176,10419,-69.4922,-32.3092,-69.49220,-32.30920,8,3,01/02/2019,31/12/2099,0,,
LUM/FH-040,"Argentina - Mendoza","Cordillera Frontal Las Heras",LUM/FH-040,3097,10160,-69.4756,-32.2303,-69.47560,-32.23030,8,3,01/02/2019,31/12/2099,0,,
LUM/FH-041,"Argentina - Mendoza","Cordillera Frontal Las Heras",Yalguaraz,3053,10016,-69.4483,-32.1331,-69.44830,-32.13310,8,3,01/02/2019,31/12/2099,0,,
LUM/FH-042,"Argentina - Mendoza","Cordillera Frontal Las Heras",Cucaracha,2730,8956,-69.4139,-32.0667,-69.41390,-32.06670,6,3,01/02/2019,31/12/2099,0,,
