SOTA Summits List (Date=05/06/2026)
SummitCode,AssociationName,RegionName,SummitName,AltM,AltFt,GridRef1,GridRef2,Longitude,Latitude,Points,BonusPoints,ValidFrom,ValidTo,ActivationCount,ActivationDate,ActivationCall
LUP/AL-001,"Argentina - San Juan",Albardón,"Villicún Norte",1812,5945,-68.5491,-31.2789,-68.54910,-31.27890,1,3,01/03/2020,31/12/2099,0,,
LUP/AL-002,"Argentina - San Juan",Albardón,Villicún,1732,5681,-68.5378,-31.1727,-68.53780,-31.17270,1,3,01/03/2020,31/12/2099,0,,
LUP/AL-003,"Argentina - San Juan",Albardón,"Loma de las Tapias",991,3250,-68.6172,-31.4659,-68.61720,-31.46590,1,0,01/03/2020,31/12/2099,2,14/07/2021,LU1MAW/P
LUP/AN-001,"Argentina - San Juan",Angaco,LUP/AN-001,2935,9629,-67.9263,-31.1595,-67.92630,-31.15950,6,3,01/03/2020,31/12/2099,0,,
LUP/AN-002,"Argentina - San Juan",Angaco,LUP/AN-002,2344,7690,-67.9104,-31.1075,-67.91040,-31.10750,4,3,01/03/2020,31/12/2099,0,,
LUP/AN-003,"Argentina - San Juan",Angaco,LUP/AN-003,1629,5345,-68.0962,-31.4035,-68.09620,-31.40350,1,3,01/03/2020,31/12/2099,0,,
LUP/CA-001,"Argentina - San Juan",Caucete,"Mogote los Corralitos",3161,10371,-67.9222,-31.3153,-67.92220,-31.31530,8,3,01/03/2020,31/12/2099,1,13/03/2021,LU3PES
LUP/CA-002,"Argentina - San Juan",Caucete,"Co. Las Pircas",2975,9761,-67.9098,-31.1644,-67.90980,-31.16440,6,3,01/03/2020,31/12/2099,0,,
LUP/CA-003,"Argentina - San Juan",Caucete,LUP/CA-003,2838,9312,-67.9567,-31.4274,-67.95670,-31.42740,6,3,01/03/2020,31/12/2099,0,,
LUP/CA-004,"Argentina - San Juan",Caucete,LUP/CA-004,2790,9153,-67.4433,-31.1070,-67.44330,-31.10700,6,3,01/03/2020,31/12/2099,0,,
LUP/CA-005,"Argentina - San Juan",Caucete,"Co. Dos Monjes",2689,8823,-67.4989,-31.0302,-67.49890,-31.03020,4,3,01/03/2020,31/12/2099,0,,
LUP/CA-006,"Argentina - San Juan",Caucete,"Co. Tres Monjes",2530,8300,-67.5107,-30.9860,-67.51070,-30.98600,4,3,01/03/2020,31/12/2099,0,,
LUP/CA-007,"Argentina - San Juan",Caucete,LUP/CA-007,2399,7871,-67.8826,-31.3733,-67.88260,-31.37330,4,3,01/03/2020,31/12/2099,0,,
LUP/CA-008,"Argentina - San Juan",Caucete,LUP/CA-008,1534,5031,-67.8212,-31.3714,-67.82120,-31.37140,1,3,01/03/2020,31/12/2099,0,,
LUP/CA-009,"Argentina - San Juan",Caucete,"Co. El Gigantillo",781,2562,-67.2978,-31.6657,-67.29780,-31.66570,1,0,01/03/2020,31/12/2099,0,,
LUP/CA-010,"Argentina - San Juan",Caucete,LUP/CA-010,779,2554,-67.3310,-31.5349,-67.33100,-31.53490,1,0,01/03/2020,31/12/2099,0,,
LUP/CC-001,"Argentina - San Juan","Calingasta Centro","Pico 2 de Ansilta",5871,19263,-69.8771,-31.6258,-69.87710,-31.62580,10,3,01/03/2020,31/12/2099,0,,
LUP/CC-002,"Argentina - San Juan","Calingasta Centro","Co. de la Totora",5795,19011,-70.0313,-31.4466,-70.03130,-31.44660,10,3,01/03/2020,31/12/2099,0,,
LUP/CC-003,"Argentina - San Juan","Calingasta Centro","Pico 7 de Ansilta",5755,18882,-69.9087,-31.7640,-69.90870,-31.76400,10,3,01/03/2020,31/12/2099,0,,
LUP/CC-004,"Argentina - San Juan","Calingasta Centro","Co. de los Dragones",5604,18384,-70.1043,-31.3021,-70.10430,-31.30210,10,3,01/03/2020,31/12/2099,0,,
LUP/CC-005,"Argentina - San Juan","Calingasta Centro",LUP/CC-005,5592,18347,-69.9699,-31.4916,-69.96990,-31.49160,10,3,01/03/2020,31/12/2099,0,,
LUP/CC-006,"Argentina - San Juan","Calingasta Centro","Pico 3 de Ansilta",5541,18180,-69.8664,-31.6581,-69.86640,-31.65810,10,3,01/03/2020,31/12/2099,0,,
LUP/CC-007,"Argentina - San Juan","Calingasta Centro",LUP/CC-007,5518,18104,-69.9795,-31.4172,-69.97950,-31.41720,10,3,01/03/2020,31/12/2099,0,,
LUP/CC-008,"Argentina - San Juan","Calingasta Centro",LUP/CC-008,5497,18035,-70.0440,-31.4177,-70.04400,-31.41770,10,3,01/03/2020,31/12/2099,0,,
LUP/CC-009,"Argentina - San Juan","Calingasta Centro","Pico 1 de Ansilta",5409,17744,-69.8825,-31.5829,-69.88250,-31.58290,10,3,01/03/2020,31/12/2099,0,,
LUP/CC-010,"Argentina - San Juan","Calingasta Centro","Pico 5 de Ansilta",5323,17462,-69.8898,-31.6918,-69.88980,-31.69180,10,3,01/03/2020,31/12/2099,0,,
LUP/CC-011,"Argentina - San Juan","Calingasta Centro","Pico Calingasta",5306,17406,-70.2016,-31.2692,-70.20160,-31.26920,10,3,01/03/2020,31/12/2099,0,,
LUP/CC-012,"Argentina - San Juan","Calingasta Centro","Pico Maide del Calingasta",5267,17280,-70.1957,-31.2805,-70.19570,-31.28050,10,3,01/03/2020,31/12/2099,0,,
LUP/CC-013,"Argentina - San Juan","Calingasta Centro",LUP/CC-013,5221,17128,-70.0712,-31.3202,-70.07120,-31.32020,10,3,01/03/2020,31/12/2099,0,,
LUP/CC-014,"Argentina - San Juan","Calingasta Centro",LUP/CC-014,5187,17018,-70.1849,-31.3107,-70.18490,-31.31070,10,3,01/03/2020,31/12/2099,0,,
LUP/CC-015,"Argentina - San Juan","Calingasta Centro","Pico 6 de Ansilta",5170,16962,-69.8898,-31.7212,-69.88980,-31.72120,10,3,01/03/2020,31/12/2099,0,,
LUP/CC-016,"Argentina - San Juan","Calingasta Centro","Co. Alfil",5155,16912,-70.2019,-31.2474,-70.20190,-31.24740,10,3,01/03/2020,31/12/2099,0,,
LUP/CC-017,"Argentina - San Juan","Calingasta Centro",LUP/CC-017,5151,16899,-69.9992,-31.3560,-69.99920,-31.35600,10,3,01/03/2020,31/12/2099,0,,
LUP/CC-018,"Argentina - San Juan","Calingasta Centro",LUP/CC-018,5132,16836,-69.9332,-31.1957,-69.93320,-31.19570,10,3,01/03/2020,31/12/2099,0,,
LUP/CC-019,"Argentina - San Juan","Calingasta Centro",LUP/CC-019,5132,16836,-70.1183,-31.3776,-70.11830,-31.37760,10,3,01/03/2020,31/12/2099,0,,
LUP/CC-020,"Argentina - San Juan","Calingasta Centro",LUP/CC-020,5037,16526,-70.2132,-31.4255,-70.21320,-31.42550,10,3,01/03/2020,31/12/2099,0,,
LUP/CC-021,"Argentina - San Juan","Calingasta Centro",LUP/CC-021,5023,16478,-69.9186,-31.2234,-69.91860,-31.22340,10,3,01/03/2020,31/12/2099,0,,
LUP/CC-022,"Argentina - San Juan","Calingasta Centro",LUP/CC-022,5022,16475,-70.0081,-31.2016,-70.00810,-31.20160,10,3,01/03/2020,31/12/2099,0,,
LUP/CC-023,"Argentina - San Juan","Calingasta Centro",LUP/CC-023,5021,16471,-69.8949,-31.1940,-69.89490,-31.19400,10,3,01/03/2020,31/12/2099,0,,
LUP/CC-024,"Argentina - San Juan","Calingasta Centro",LUP/CC-024,5017,16461,-69.8276,-31.0765,-69.82760,-31.07650,10,3,01/03/2020,31/12/2099,0,,
LUP/CC-025,"Argentina - San Juan","Calingasta Centro",LUP/CC-025,5015,16453,-69.9752,-31.5743,-69.97520,-31.57430,10,3,01/03/2020,31/12/2099,0,,
LUP/CC-026,"Argentina - San Juan","Calingasta Centro",LUP/CC-026,5012,16442,-70.1030,-31.3512,-70.10300,-31.35120,10,3,01/03/2020,31/12/2099,0,,
LUP/CC-027,"Argentina - San Juan","Calingasta Centro",LUP/CC-027,4999,16400,-69.8575,-31.1318,-69.85750,-31.13180,10,3,01/03/2020,31/12/2099,0,,
LUP/CC-028,"Argentina - San Juan","Calingasta Centro",LUP/CC-028,4983,16349,-70.2019,-31.4592,-70.20190,-31.45920,10,3,01/03/2020,31/12/2099,0,,
LUP/CC-029,"Argentina - San Juan","Calingasta Centro",LUP/CC-029,4970,16305,-70.1297,-31.3611,-70.12970,-31.36110,10,3,01/03/2020,31/12/2099,0,,
LUP/CC-030,"Argentina - San Juan","Calingasta Centro",LUP/CC-030,4969,16301,-69.8550,-31.2094,-69.85500,-31.20940,10,3,01/03/2020,31/12/2099,0,,
LUP/CC-031,"Argentina - San Juan","Calingasta Centro",LUP/CC-031,4955,16256,-69.8674,-31.2078,-69.86740,-31.20780,10,3,01/03/2020,31/12/2099,0,,
LUP/CC-032,"Argentina - San Juan","Calingasta Centro",LUP/CC-032,4939,16204,-69.9504,-31.1736,-69.95040,-31.17360,10,3,01/03/2020,31/12/2099,0,,
LUP/CC-033,"Argentina - San Juan","Calingasta Centro",LUP/CC-033,4920,16141,-69.9208,-31.2676,-69.92080,-31.26760,10,3,01/03/2020,31/12/2099,0,,
LUP/CC-034,"Argentina - San Juan","Calingasta Centro",LUP/CC-034,4893,16052,-69.8561,-31.2283,-69.85610,-31.22830,10,3,01/03/2020,31/12/2099,0,,
LUP/CC-035,"Argentina - San Juan","Calingasta Centro",LUP/CC-035,4869,15974,-69.9909,-31.6118,-69.99090,-31.61180,10,3,01/03/2020,31/12/2099,0,,
LUP/CC-036,"Argentina - San Juan","Calingasta Centro",LUP/CC-036,4867,15967,-70.2116,-31.3388,-70.21160,-31.33880,10,3,01/03/2020,31/12/2099,0,,
LUP/CC-037,"Argentina - San Juan","Calingasta Centro","Co. Alegre",4861,15948,-69.9793,-31.5959,-69.97930,-31.59590,10,3,01/03/2020,31/12/2099,0,,
LUP/CC-038,"Argentina - San Juan","Calingasta Centro",LUP/CC-038,4826,15833,-69.8456,-31.1870,-69.84560,-31.18700,10,3,01/03/2020,31/12/2099,0,,
LUP/CC-039,"Argentina - San Juan","Calingasta Centro",LUP/CC-039,4821,15816,-69.9893,-31.1582,-69.98930,-31.15820,10,3,01/03/2020,31/12/2099,0,,
LUP/CC-040,"Argentina - San Juan","Calingasta Centro",LUP/CC-040,4815,15796,-70.0049,-31.5395,-70.00490,-31.53950,10,3,01/03/2020,31/12/2099,0,,
LUP/CC-041,"Argentina - San Juan","Calingasta Centro","Cordon de la Varilla",4793,15726,-70.2941,-31.3776,-70.29410,-31.37760,10,3,01/03/2020,31/12/2099,0,,
LUP/CC-042,"Argentina - San Juan","Calingasta Centro",LUP/CC-042,4793,15726,-69.8413,-31.1749,-69.84130,-31.17490,10,3,01/03/2020,31/12/2099,0,,
