SOTA Summits List (Date=05/06/2026)
SummitCode,AssociationName,RegionName,SummitName,AltM,AltFt,GridRef1,GridRef2,Longitude,Latitude,Points,BonusPoints,ValidFrom,ValidTo,ActivationCount,ActivationDate,ActivationCall
LUR/AB-001,"Argentina - Catamarca",Ambato,LUR/AB-001,3256,10684,-65.9685,-28.2304,-65.96850,-28.23040,8,3,01/07/2025,31/12/2099,0,,
LUR/AB-002,"Argentina - Catamarca",Ambato,Pabellón,3174,10415,-65.9708,-28.3064,-65.97080,-28.30640,6,3,01/07/2025,31/12/2099,0,,
LUR/AB-003,"Argentina - Catamarca",Ambato,LUR/AB-003,2877,9440,-66.0684,-27.8450,-66.06840,-27.84500,4,3,01/07/2025,31/12/2099,0,,
LUR/AB-004,"Argentina - Catamarca",Ambato,"Los Amarillos Sur",2857,9375,-66.0854,-27.8197,-66.08540,-27.81970,4,3,01/07/2025,31/12/2099,0,,
LUR/AB-005,"Argentina - Catamarca",Ambato,LUR/AB-005,1977,6486,-65.7614,-28.0898,-65.76140,-28.08980,1,3,01/07/2025,31/12/2099,0,,
LUR/AB-006,"Argentina - Catamarca",Ambato,LUR/AB-006,1973,6472,-65.8880,-28.3102,-65.88800,-28.31020,1,3,01/07/2025,31/12/2099,2,09/11/2025,LU4SAT/R
LUR/AB-007,"Argentina - Catamarca",Ambato,"Balcozna de Afuera",1973,6472,-65.8048,-27.8663,-65.80480,-27.86630,1,3,01/07/2025,31/12/2099,0,,
LUR/AB-008,"Argentina - Catamarca",Ambato,LUR/AB-008,1960,6431,-65.8755,-28.1526,-65.87550,-28.15260,1,3,01/07/2025,31/12/2099,0,,
LUR/AG-001,"Argentina - Catamarca",Andalgalá,"Nevado del Candado",5513,18088,-66.1886,-27.3238,-66.18860,-27.32380,10,3,01/07/2025,31/12/2099,0,,
LUR/AG-002,"Argentina - Catamarca",Andalgalá,LUR/AG-002,5432,17820,-66.1802,-27.3392,-66.18020,-27.33920,10,3,01/07/2025,31/12/2099,0,,
LUR/AG-003,"Argentina - Catamarca",Andalgalá,LUR/AG-003,5071,16637,-66.1595,-27.2891,-66.15950,-27.28910,10,3,01/07/2025,31/12/2099,0,,
LUR/AG-004,"Argentina - Catamarca",Andalgalá,"Cerro Negro",4713,15461,-66.2675,-27.3419,-66.26750,-27.34190,10,3,01/07/2025,31/12/2099,0,,
LUR/AG-005,"Argentina - Catamarca",Andalgalá,LUR/AG-005,3902,12803,-66.2260,-27.3885,-66.22600,-27.38850,10,3,01/07/2025,31/12/2099,0,,
LUR/AG-006,"Argentina - Catamarca",Andalgalá,"Sierra de Santa Barbara",3738,12263,-66.4314,-27.3535,-66.43140,-27.35350,10,3,01/07/2025,31/12/2099,0,,
LUR/AG-007,"Argentina - Catamarca",Andalgalá,"Cerro el Durazno",3525,11566,-66.5362,-27.2527,-66.53620,-27.25270,10,3,01/07/2025,31/12/2099,0,,
LUR/AG-008,"Argentina - Catamarca",Andalgalá,LUR/AG-008,3431,11257,-66.2104,-27.4618,-66.21040,-27.46180,8,3,01/07/2025,31/12/2099,0,,
LUR/AG-009,"Argentina - Catamarca",Andalgalá,LUR/AG-009,3373,11065,-66.5214,-27.3403,-66.52140,-27.34030,8,3,01/07/2025,31/12/2099,0,,
LUR/AG-010,"Argentina - Catamarca",Andalgalá,LUR/AG-010,3372,11063,-66.4710,-27.3314,-66.47100,-27.33140,8,3,01/07/2025,31/12/2099,0,,
LUR/AG-011,"Argentina - Catamarca",Andalgalá,LUR/AG-011,3364,11035,-66.5486,-27.2222,-66.54860,-27.22220,8,3,01/07/2025,31/12/2099,0,,
LUR/AG-012,"Argentina - Catamarca",Andalgalá,LUR/AG-012,3284,10775,-66.4839,-27.3551,-66.48390,-27.35510,8,3,01/07/2025,31/12/2099,0,,
LUR/AG-013,"Argentina - Catamarca",Andalgalá,LUR/AG-013,3214,10544,-66.4667,-27.3082,-66.46670,-27.30820,6,3,01/07/2025,31/12/2099,0,,
LUR/AG-014,"Argentina - Catamarca",Andalgalá,LUR/AG-014,3113,10213,-66.2198,-27.4893,-66.21980,-27.48930,6,3,01/07/2025,31/12/2099,0,,
LUR/AG-015,"Argentina - Catamarca",Andalgalá,"El Pabellón",2980,9776,-66.4459,-27.2850,-66.44590,-27.28500,4,3,01/07/2025,31/12/2099,0,,
LUR/AG-016,"Argentina - Catamarca",Andalgalá,LUR/AG-016,2877,9438,-66.0358,-27.7693,-66.03580,-27.76930,4,3,01/07/2025,31/12/2099,0,,
LUR/AG-017,"Argentina - Catamarca",Andalgalá,LUR/AG-017,2855,9367,-66.5699,-27.3853,-66.56990,-27.38530,4,3,01/07/2025,31/12/2099,0,,
LUR/AG-018,"Argentina - Catamarca",Andalgalá,LUR/AG-018,2811,9221,-66.0355,-27.3325,-66.03550,-27.33250,4,3,01/07/2025,31/12/2099,0,,
LUR/AG-019,"Argentina - Catamarca",Andalgalá,LUR/AG-019,2790,9154,-66.5217,-27.3847,-66.52170,-27.38470,4,3,01/07/2025,31/12/2099,0,,
LUR/AG-020,"Argentina - Catamarca",Andalgalá,"El Quemado",2741,8992,-66.2837,-27.4341,-66.28370,-27.43410,2,3,01/07/2025,31/12/2099,0,,
LUR/AG-021,"Argentina - Catamarca",Andalgalá,LUR/AG-021,2739,8985,-66.1711,-27.5572,-66.17110,-27.55720,2,3,01/07/2025,31/12/2099,0,,
LUR/AG-022,"Argentina - Catamarca",Andalgalá,"Cerro Quemado",2711,8896,-66.6327,-27.5125,-66.63270,-27.51250,2,3,01/07/2025,31/12/2099,0,,
LUR/AG-023,"Argentina - Catamarca",Andalgalá,LUR/AG-023,2693,8836,-66.0209,-27.3349,-66.02090,-27.33490,2,3,01/07/2025,31/12/2099,0,,
LUR/AG-024,"Argentina - Catamarca",Andalgalá,LUR/AG-024,2645,8678,-66.1635,-27.5171,-66.16350,-27.51710,2,3,01/07/2025,31/12/2099,0,,
LUR/AG-025,"Argentina - Catamarca",Andalgalá,LUR/AG-025,2611,8565,-66.6262,-27.5365,-66.62620,-27.53650,2,3,01/07/2025,31/12/2099,0,,
