SOTA Summits List (Date=05/06/2026)
SummitCode,AssociationName,RegionName,SummitName,AltM,AltFt,GridRef1,GridRef2,Longitude,Latitude,Points,BonusPoints,ValidFrom,ValidTo,ActivationCount,ActivationDate,ActivationCall
LUV/BA-001,"Argentina - Rio Negro",Bariloche,"Cerro Catedral",2388,7834,-71.4956,-41.2171,-71.49560,-41.21710,10,3,01/07/2022,31/12/2099,0,,
LUV/BA-002,"Argentina - Rio Negro",Bariloche,LUV/BA-002,2382,7814,-71.3241,-41.4192,-71.32410,-41.41920,10,3,01/07/2022,31/12/2099,0,,
LUV/BA-003,"Argentina - Rio Negro",Bariloche,"Cerro Carreras",2378,7801,-71.2356,-41.5041,-71.23560,-41.50410,10,3,01/07/2022,31/12/2099,0,,
LUV/BA-004,"Argentina - Rio Negro",Bariloche,"Co. Geda",2376,7795,-71.3526,-41.4117,-71.35260,-41.41170,10,3,01/07/2022,31/12/2099,0,,
LUV/BA-005,"Argentina - Rio Negro",Bariloche,"Cerro Bonete",2337,7667,-71.6595,-41.2144,-71.65950,-41.21440,10,3,01/07/2022,31/12/2099,0,,
LUV/BA-006,"Argentina - Rio Negro",Bariloche,LUV/BA-006,2320,7611,-71.2489,-41.5383,-71.24890,-41.53830,10,3,01/07/2022,31/12/2099,0,,
LUV/BA-007,"Argentina - Rio Negro",Bariloche,"Co. Ventisquero",2298,7539,-71.7088,-41.6493,-71.70880,-41.64930,10,3,01/07/2022,31/12/2099,0,,
LUV/BA-008,"Argentina - Rio Negro",Bariloche,"Co. Grande / Venzano",2294,7526,-71.6525,-41.7425,-71.65250,-41.74250,10,3,01/07/2022,31/12/2099,0,,
LUV/BA-009,"Argentina - Rio Negro",Bariloche,"Cerro La Sierra",2280,7480,-71.3052,-41.8078,-71.30520,-41.80780,10,3,01/07/2022,31/12/2099,0,,
LUV/BA-010,"Argentina - Rio Negro",Bariloche,LUV/BA-010,2278,7473,-71.4768,-41.2200,-71.47680,-41.22000,10,3,01/07/2022,31/12/2099,0,,
LUV/BA-011,"Argentina - Rio Negro",Bariloche,"Cerro Hielo Azul",2248,7375,-71.6651,-41.8771,-71.66510,-41.87710,10,3,01/07/2022,31/12/2099,0,,
LUV/BA-012,"Argentina - Rio Negro",Bariloche,"Cerro Piltriquitrón",2238,7342,-71.4421,-41.9789,-71.44210,-41.97890,10,3,01/07/2022,31/12/2099,0,,
LUV/BA-013,"Argentina - Rio Negro",Bariloche,LUV/BA-013,2234,7329,-71.3511,-41.7781,-71.35110,-41.77810,10,3,01/07/2022,31/12/2099,0,,
LUV/BA-014,"Argentina - Rio Negro",Bariloche,"Cerro Blanco",2225,7299,-71.3453,-41.2680,-71.34530,-41.26800,10,3,01/07/2022,31/12/2099,0,,
LUV/BA-015,"Argentina - Rio Negro",Bariloche,"Cerro Catedral (Principal)",2220,7283,-71.5394,-41.2002,-71.53940,-41.20020,10,3,01/07/2022,31/12/2099,0,,
LUV/BA-016,"Argentina - Rio Negro",Bariloche,LUV/BA-016,2219,7280,-71.3270,-41.4815,-71.32700,-41.48150,10,3,01/07/2022,31/12/2099,0,,
LUV/BA-017,"Argentina - Rio Negro",Bariloche,"Cerro Cuernos del Diablo",2215,7267,-71.6051,-41.1864,-71.60510,-41.18640,10,3,01/07/2022,31/12/2099,0,,
LUV/BA-018,"Argentina - Rio Negro",Bariloche,LUV/BA-018,2210,7250,-71.2603,-41.4911,-71.26030,-41.49110,10,3,01/07/2022,31/12/2099,0,,
LUV/BA-019,"Argentina - Rio Negro",Bariloche,"Cerro Ñireco",2210,7250,-71.3476,-41.2457,-71.34760,-41.24570,10,3,01/07/2022,31/12/2099,0,,
LUV/BA-020,"Argentina - Rio Negro",Bariloche,LUV/BA-020,2208,7244,-71.2807,-41.6033,-71.28070,-41.60330,10,3,01/07/2022,31/12/2099,0,,
LUV/BA-021,"Argentina - Rio Negro",Bariloche,LUV/BA-021,2207,7240,-71.2706,-41.7311,-71.27060,-41.73110,10,3,01/07/2022,31/12/2099,0,,
LUV/BA-022,"Argentina - Rio Negro",Bariloche,"Cerro Perito Moreno",2206,7237,-71.6197,-41.7682,-71.61970,-41.76820,10,3,01/07/2022,31/12/2099,0,,
LUV/BA-023,"Argentina - Rio Negro",Bariloche,"Cerro Alicia",2204,7230,-71.6917,-41.9577,-71.69170,-41.95770,10,3,01/07/2022,31/12/2099,0,,
LUV/BA-024,"Argentina - Rio Negro",Bariloche,"Cerro Granítico",2199,7214,-71.6596,-41.3820,-71.65960,-41.38200,10,3,01/07/2022,31/12/2099,0,,
LUV/BA-025,"Argentina - Rio Negro",Bariloche,LUV/BA-025,2189,7181,-71.6383,-41.7606,-71.63830,-41.76060,10,3,01/07/2022,31/12/2099,0,,
LUV/BA-026,"Argentina - Rio Negro",Bariloche,"Cerro Catedral",2188,7178,-71.4762,-41.1799,-71.47620,-41.17990,10,3,01/07/2022,31/12/2099,2,06/03/2024,LU4VS/V
LUV/BA-027,"Argentina - Rio Negro",Bariloche,LUV/BA-027,2170,7119,-71.2871,-41.6178,-71.28710,-41.61780,10,3,01/07/2022,31/12/2099,0,,
LUV/BA-028,"Argentina - Rio Negro",Bariloche,"Cerro Punta Negra",2166,7106,-71.7025,-41.1983,-71.70250,-41.19830,10,3,01/07/2022,31/12/2099,0,,
LUV/BA-029,"Argentina - Rio Negro",Bariloche,LUV/BA-029,2164,7099,-71.4006,-41.4025,-71.40060,-41.40250,10,3,01/07/2022,31/12/2099,0,,
LUV/BA-030,"Argentina - Rio Negro",Bariloche,LUV/BA-030,2164,7099,-71.3103,-41.3855,-71.31030,-41.38550,10,3,01/07/2022,31/12/2099,0,,
LUV/BA-031,"Argentina - Rio Negro",Bariloche,LUV/BA-031,2156,7073,-71.2335,-41.3847,-71.23350,-41.38470,10,3,01/07/2022,31/12/2099,0,,
LUV/BA-032,"Argentina - Rio Negro",Bariloche,LUV/BA-032,2156,7073,-71.3752,-41.2651,-71.37520,-41.26510,10,3,01/07/2022,31/12/2099,0,,
LUV/BA-033,"Argentina - Rio Negro",Bariloche,"Cerro Capilla",2141,7024,-71.6362,-41.0595,-71.63620,-41.05950,10,3,01/07/2022,31/12/2099,0,,
LUV/BA-034,"Argentina - Rio Negro",Bariloche,LUV/BA-034,2140,7020,-71.3895,-41.7165,-71.38950,-41.71650,10,3,01/07/2022,31/12/2099,0,,
LUV/BA-035,"Argentina - Rio Negro",Bariloche,"Cerro Confluencia",2140,7020,-71.4160,-41.2871,-71.41600,-41.28710,10,3,01/07/2022,31/12/2099,0,,
LUV/BA-036,"Argentina - Rio Negro",Bariloche,LUV/BA-036,2133,6998,-71.3264,-41.7402,-71.32640,-41.74020,10,3,01/07/2022,31/12/2099,0,,
LUV/BA-037,"Argentina - Rio Negro",Bariloche,LUV/BA-037,2126,6975,-71.4235,-41.9879,-71.42350,-41.98790,10,3,01/07/2022,31/12/2099,0,,
LUV/BA-038,"Argentina - Rio Negro",Bariloche,LUV/BA-038,2120,6955,-71.7445,-41.5107,-71.74450,-41.51070,10,3,01/07/2022,31/12/2099,0,,
LUV/BA-039,"Argentina - Rio Negro",Bariloche,LUV/BA-039,2120,6955,-71.3935,-41.7995,-71.39350,-41.79950,10,3,01/07/2022,31/12/2099,0,,
LUV/BA-040,"Argentina - Rio Negro",Bariloche,LUV/BA-040,2114,6935,-71.3429,-41.5292,-71.34290,-41.52920,10,3,01/07/2022,31/12/2099,0,,
LUV/BA-041,"Argentina - Rio Negro",Bariloche,LUV/BA-041,2113,6932,-71.6184,-41.4596,-71.61840,-41.45960,10,3,01/07/2022,31/12/2099,0,,
LUV/BA-042,"Argentina - Rio Negro",Bariloche,"Cerro Tres Reyes",2113,6932,-71.5227,-41.1747,-71.52270,-41.17470,10,3,01/07/2022,31/12/2099,0,,
LUV/BA-043,"Argentina - Rio Negro",Bariloche,"Cerro Utne",2107,6912,-71.3305,-41.3168,-71.33050,-41.31680,10,3,01/07/2022,31/12/2099,0,,
LUV/BA-044,"Argentina - Rio Negro",Bariloche,"Cerro Padre Laguna",2104,6902,-71.5305,-41.4002,-71.53050,-41.40020,10,3,01/07/2022,31/12/2099,0,,
LUV/BA-045,"Argentina - Rio Negro",Bariloche,LUV/BA-045,2101,6893,-71.7200,-41.9202,-71.72000,-41.92020,10,3,01/07/2022,31/12/2099,0,,
LUV/BA-046,"Argentina - Rio Negro",Bariloche,LUV/BA-046,2100,6889,-71.5756,-41.1997,-71.57560,-41.19970,10,3,01/07/2022,31/12/2099,0,,
LUV/BA-047,"Argentina - Rio Negro",Bariloche,LUV/BA-047,2089,6853,-71.5836,-41.2145,-71.58360,-41.21450,8,3,01/07/2022,31/12/2099,0,,
LUV/BA-048,"Argentina - Rio Negro",Bariloche,"Cerro Cresta de Gallo",2088,6850,-71.6165,-41.2263,-71.61650,-41.22630,8,3,01/07/2022,31/12/2099,0,,
LUV/BA-049,"Argentina - Rio Negro",Bariloche,LUV/BA-049,2085,6840,-71.6561,-41.6564,-71.65610,-41.65640,8,3,01/07/2022,31/12/2099,0,,
LUV/BA-050,"Argentina - Rio Negro",Bariloche,LUV/BA-050,2080,6824,-71.6111,-41.7542,-71.61110,-41.75420,8,3,01/07/2022,31/12/2099,0,,
LUV/BA-051,"Argentina - Rio Negro",Bariloche,"Cerro López",2076,6811,-71.5734,-41.1011,-71.57340,-41.10110,8,3,01/07/2022,31/12/2099,1,24/02/2024,LU4VS/V
LUV/BA-052,"Argentina - Rio Negro",Bariloche,LUV/BA-052,2075,6807,-71.3294,-41.6968,-71.32940,-41.69680,8,3,01/07/2022,31/12/2099,0,,
LUV/BA-053,"Argentina - Rio Negro",Bariloche,"Cerro Anfiteatro",2074,6804,-71.5397,-41.4329,-71.53970,-41.43290,8,3,01/07/2022,31/12/2099,0,,
LUV/BA-054,"Argentina - Rio Negro",Bariloche,LUV/BA-054,2069,6788,-71.6952,-41.7432,-71.69520,-41.74320,8,3,01/07/2022,31/12/2099,0,,
LUV/BA-055,"Argentina - Rio Negro",Bariloche,LUV/BA-055,2066,6778,-71.7741,-41.6871,-71.77410,-41.68710,8,3,01/07/2022,31/12/2099,0,,
LUV/BA-056,"Argentina - Rio Negro",Bariloche,"Cerro Siete Colores",2065,6774,-71.4241,-41.4435,-71.42410,-41.44350,8,3,01/07/2022,31/12/2099,0,,
LUV/BA-057,"Argentina - Rio Negro",Bariloche,LUV/BA-057,2063,6768,-71.7800,-41.5036,-71.78000,-41.50360,8,3,01/07/2022,31/12/2099,0,,
LUV/BA-058,"Argentina - Rio Negro",Bariloche,"Cerro Bastión",2063,6768,-71.7431,-41.5423,-71.74310,-41.54230,8,3,01/07/2022,31/12/2099,0,,
LUV/BA-059,"Argentina - Rio Negro",Bariloche,LUV/BA-059,2060,6758,-71.7472,-41.9145,-71.74720,-41.91450,8,3,01/07/2022,31/12/2099,0,,
LUV/BA-060,"Argentina - Rio Negro",Bariloche,"Cerro Lago",2060,6758,-71.4331,-41.3031,-71.43310,-41.30310,8,3,01/07/2022,31/12/2099,0,,
LUV/BA-061,"Argentina - Rio Negro",Bariloche,"Cerro Horqueta",2056,6745,-71.7169,-41.8305,-71.71690,-41.83050,8,3,01/07/2022,31/12/2099,0,,
LUV/BA-062,"Argentina - Rio Negro",Bariloche,LUV/BA-062,2043,6702,-71.6271,-41.3933,-71.62710,-41.39330,8,3,01/07/2022,31/12/2099,0,,
LUV/BA-063,"Argentina - Rio Negro",Bariloche,"Cerro Roca Castillo Roio",2042,6699,-71.5768,-41.2516,-71.57680,-41.25160,8,3,01/07/2022,31/12/2099,0,,
LUV/BA-064,"Argentina - Rio Negro",Bariloche,LUV/BA-064,2041,6696,-71.7359,-41.9897,-71.73590,-41.98970,8,3,01/07/2022,31/12/2099,0,,
LUV/BA-065,"Argentina - Rio Negro",Bariloche,"Cerro Dedo Gordo",2040,6692,-71.6313,-41.8240,-71.63130,-41.82400,8,3,01/07/2022,31/12/2099,0,,
LUV/BA-066,"Argentina - Rio Negro",Bariloche,LUV/BA-066,2037,6683,-71.4125,-41.3804,-71.41250,-41.38040,8,3,01/07/2022,31/12/2099,0,,
LUV/BA-067,"Argentina - Rio Negro",Bariloche,LUV/BA-067,2027,6650,-71.6730,-41.5411,-71.67300,-41.54110,8,3,01/07/2022,31/12/2099,0,,
LUV/BA-068,"Argentina - Rio Negro",Bariloche,LUV/BA-068,2022,6633,-71.7719,-41.4846,-71.77190,-41.48460,8,3,01/07/2022,31/12/2099,0,,
LUV/BA-069,"Argentina - Rio Negro",Bariloche,LUV/BA-069,2021,6630,-71.3678,-41.8543,-71.36780,-41.85430,8,3,01/07/2022,31/12/2099,0,,
LUV/BA-070,"Argentina - Rio Negro",Bariloche,"Cerro Erizo",2021,6630,-71.7600,-41.7001,-71.76000,-41.70010,8,3,01/07/2022,31/12/2099,0,,
LUV/BA-071,"Argentina - Rio Negro",Bariloche,LUV/BA-071,2020,6627,-71.6671,-41.7256,-71.66710,-41.72560,8,3,01/07/2022,31/12/2099,0,,
LUV/BA-072,"Argentina - Rio Negro",Bariloche,LUV/BA-072,2018,6620,-71.4389,-41.3267,-71.43890,-41.32670,8,3,01/07/2022,31/12/2099,0,,
LUV/BA-073,"Argentina - Rio Negro",Bariloche,LUV/BA-073,2016,6614,-71.4165,-41.5219,-71.41650,-41.52190,8,3,01/07/2022,31/12/2099,0,,
LUV/BA-074,"Argentina - Rio Negro",Bariloche,LUV/BA-074,2015,6610,-71.7520,-41.7650,-71.75200,-41.76500,8,3,01/07/2022,31/12/2099,0,,
LUV/BA-075,"Argentina - Rio Negro",Bariloche,LUV/BA-075,2015,6610,-71.6814,-41.7763,-71.68140,-41.77630,8,3,01/07/2022,31/12/2099,0,,
LUV/BA-076,"Argentina - Rio Negro",Bariloche,"Cerro Ljungner",2010,6594,-71.7218,-41.0652,-71.72180,-41.06520,8,3,01/07/2022,31/12/2099,0,,
LUV/BA-077,"Argentina - Rio Negro",Bariloche,LUV/BA-077,2009,6591,-71.7208,-41.5642,-71.72080,-41.56420,8,3,01/07/2022,31/12/2099,0,,
LUV/BA-078,"Argentina - Rio Negro",Bariloche,LUV/BA-078,2004,6574,-71.4804,-41.2025,-71.48040,-41.20250,8,3,01/07/2022,31/12/2099,0,,
LUV/BA-079,"Argentina - Rio Negro",Bariloche,LUV/BA-079,2003,6571,-71.7743,-41.9549,-71.77430,-41.95490,8,3,01/07/2022,31/12/2099,0,,
LUV/BA-080,"Argentina - Rio Negro",Bariloche,"Cerro Negro",2001,6564,-71.5845,-41.1401,-71.58450,-41.14010,8,3,01/07/2022,31/12/2099,0,,
LUV/BA-081,"Argentina - Rio Negro",Bariloche,LUV/BA-081,2000,6561,-71.6821,-41.3657,-71.68210,-41.36570,8,3,01/07/2022,31/12/2099,0,,
LUV/BA-082,"Argentina - Rio Negro",Bariloche,LUV/BA-082,1998,6555,-71.2492,-41.6117,-71.24920,-41.61170,8,3,01/07/2022,31/12/2099,0,,
LUV/BA-083,"Argentina - Rio Negro",Bariloche,"Cerro Fuerte",1997,6551,-71.6164,-41.4818,-71.61640,-41.48180,8,3,01/07/2022,31/12/2099,0,,
LUV/BA-084,"Argentina - Rio Negro",Bariloche,LUV/BA-084,1996,6548,-71.4238,-41.3645,-71.42380,-41.36450,8,3,01/07/2022,31/12/2099,0,,
LUV/BA-085,"Argentina - Rio Negro",Bariloche,LUV/BA-085,1982,6502,-71.4426,-41.3475,-71.44260,-41.34750,8,3,01/07/2022,31/12/2099,0,,
LUV/BA-086,"Argentina - Rio Negro",Bariloche,LUV/BA-086,1978,6489,-71.7214,-41.8790,-71.72140,-41.87900,8,3,01/07/2022,31/12/2099,0,,
LUV/BA-087,"Argentina - Rio Negro",Bariloche,"Cordón del Ñirihuau",1976,6482,-71.3895,-41.3237,-71.38950,-41.32370,8,3,01/07/2022,31/12/2099,0,,
LUV/BA-088,"Argentina - Rio Negro",Bariloche,LUV/BA-088,1971,6466,-71.4634,-41.9559,-71.46340,-41.95590,8,3,01/07/2022,31/12/2099,0,,
LUV/BA-089,"Argentina - Rio Negro",Bariloche,LUV/BA-089,1971,6466,-71.7068,-41.7635,-71.70680,-41.76350,8,3,01/07/2022,31/12/2099,0,,
LUV/BA-090,"Argentina - Rio Negro",Bariloche,LUV/BA-090,1970,6463,-71.3654,-41.8803,-71.36540,-41.88030,8,3,01/07/2022,31/12/2099,0,,
LUV/BA-091,"Argentina - Rio Negro",Bariloche,"Cordón Serrucho Norte",1964,6443,-71.4039,-41.7601,-71.40390,-41.76010,8,3,01/07/2022,31/12/2099,0,,
LUV/BA-092,"Argentina - Rio Negro",Bariloche,LUV/BA-092,1962,6437,-71.7838,-41.7353,-71.78380,-41.73530,8,3,01/07/2022,31/12/2099,0,,
LUV/BA-093,"Argentina - Rio Negro",Bariloche,"Cerro Bailey Willis",1961,6433,-71.5883,-41.1241,-71.58830,-41.12410,8,3,01/07/2022,31/12/2099,0,,
LUV/BA-094,"Argentina - Rio Negro",Bariloche,LUV/BA-094,1960,6430,-71.7248,-41.0500,-71.72480,-41.05000,8,3,01/07/2022,31/12/2099,0,,
LUV/BA-095,"Argentina - Rio Negro",Bariloche,LUV/BA-095,1953,6407,-71.6095,-41.4009,-71.60950,-41.40090,8,3,01/07/2022,31/12/2099,0,,
LUV/BA-096,"Argentina - Rio Negro",Bariloche,LUV/BA-096,1951,6400,-71.3925,-41.3424,-71.39250,-41.34240,8,3,01/07/2022,31/12/2099,0,,
LUV/BA-097,"Argentina - Rio Negro",Bariloche,LUV/BA-097,1947,6387,-71.7026,-41.8286,-71.70260,-41.82860,8,3,01/07/2022,31/12/2099,0,,
LUV/BA-098,"Argentina - Rio Negro",Bariloche,"Cerro Del Viento",1943,6374,-71.7473,-41.1975,-71.74730,-41.19750,8,3,01/07/2022,31/12/2099,0,,
LUV/BA-099,"Argentina - Rio Negro",Bariloche,"Cerro Cretón",1942,6371,-71.7078,-41.2899,-71.70780,-41.28990,8,3,01/07/2022,31/12/2099,0,,
LUV/BA-100,"Argentina - Rio Negro",Bariloche,"Cerro de La Ventana",1941,6368,-71.3719,-41.2091,-71.37190,-41.20910,8,3,01/07/2022,31/12/2099,1,14/01/2024,LU4VS/V
LUV/BA-101,"Argentina - Rio Negro",Bariloche,"Cerro Santa Elena",1940,6364,-71.5931,-41.5568,-71.59310,-41.55680,8,3,01/07/2022,31/12/2099,0,,
LUV/BA-102,"Argentina - Rio Negro",Bariloche,LUV/BA-102,1936,6351,-71.6957,-41.0535,-71.69570,-41.05350,8,3,01/07/2022,31/12/2099,0,,
LUV/BA-103,"Argentina - Rio Negro",Bariloche,LUV/BA-103,1935,6348,-71.2947,-41.9264,-71.29470,-41.92640,8,3,01/07/2022,31/12/2099,0,,
LUV/BA-104,"Argentina - Rio Negro",Bariloche,"Cerro Cab",1935,6348,-71.6382,-41.1607,-71.63820,-41.16070,8,3,01/07/2022,31/12/2099,0,,
LUV/BA-105,"Argentina - Rio Negro",Bariloche,LUV/BA-105,1933,6341,-71.3610,-41.5254,-71.36100,-41.52540,8,3,01/07/2022,31/12/2099,0,,
LUV/BA-106,"Argentina - Rio Negro",Bariloche,LUV/BA-106,1930,6332,-71.6673,-41.8604,-71.66730,-41.86040,8,3,01/07/2022,31/12/2099,0,,
LUV/BA-107,"Argentina - Rio Negro",Bariloche,LUV/BA-107,1923,6309,-71.3921,-41.5625,-71.39210,-41.56250,8,3,01/07/2022,31/12/2099,0,,
LUV/BA-108,"Argentina - Rio Negro",Bariloche,"Cerro Constitución",1920,6299,-71.7750,-41.1476,-71.77500,-41.14760,8,3,01/07/2022,31/12/2099,0,,
LUV/BA-109,"Argentina - Rio Negro",Bariloche,"Cerro Pulgarcito",1920,6299,-71.6407,-41.7186,-71.64070,-41.71860,8,3,01/07/2022,31/12/2099,0,,
LUV/BA-110,"Argentina - Rio Negro",Bariloche,LUV/BA-110,1920,6299,-71.2686,-41.6887,-71.26860,-41.68870,8,3,01/07/2022,31/12/2099,0,,
LUV/BA-111,"Argentina - Rio Negro",Bariloche,LUV/BA-111,1908,6259,-71.6556,-41.4223,-71.65560,-41.42230,8,3,01/07/2022,31/12/2099,0,,
LUV/BA-112,"Argentina - Rio Negro",Bariloche,LUV/BA-112,1900,6233,-71.6989,-41.4308,-71.69890,-41.43080,8,3,01/07/2022,31/12/2099,0,,
LUV/BA-113,"Argentina - Rio Negro",Bariloche,LUV/BA-113,1891,6204,-71.8723,-41.2946,-71.87230,-41.29460,8,3,01/07/2022,31/12/2099,0,,
LUV/BA-114,"Argentina - Rio Negro",Bariloche,LUV/BA-114,1885,6184,-71.2244,-41.3366,-71.22440,-41.33660,8,3,01/07/2022,31/12/2099,0,,
LUV/BA-115,"Argentina - Rio Negro",Bariloche,LUV/BA-115,1875,6151,-71.7655,-41.8633,-71.76550,-41.86330,8,3,01/07/2022,31/12/2099,0,,
LUV/BA-116,"Argentina - Rio Negro",Bariloche,LUV/BA-116,1861,6105,-71.6127,-41.7195,-71.61270,-41.71950,6,3,01/07/2022,31/12/2099,0,,
LUV/BA-117,"Argentina - Rio Negro",Bariloche,LUV/BA-117,1858,6095,-71.7536,-41.7873,-71.75360,-41.78730,6,3,01/07/2022,31/12/2099,0,,
LUV/BA-118,"Argentina - Rio Negro",Bariloche,LUV/BA-118,1856,6089,-71.7504,-41.9568,-71.75040,-41.95680,6,3,01/07/2022,31/12/2099,0,,
LUV/BA-119,"Argentina - Rio Negro",Bariloche,"Cerro Escondido",1853,6079,-71.7030,-41.7178,-71.70300,-41.71780,6,3,01/07/2022,31/12/2099,0,,
LUV/BA-120,"Argentina - Rio Negro",Bariloche,LUV/BA-120,1852,6076,-71.2535,-41.4553,-71.25350,-41.45530,6,3,01/07/2022,31/12/2099,0,,
LUV/BA-121,"Argentina - Rio Negro",Bariloche,LUV/BA-121,1847,6059,-71.8170,-41.4901,-71.81700,-41.49010,6,3,01/07/2022,31/12/2099,0,,
LUV/BA-122,"Argentina - Rio Negro",Bariloche,"Cerro Cota 1700",1846,6056,-71.7809,-41.1272,-71.78090,-41.12720,6,3,01/07/2022,31/12/2099,0,,
LUV/BA-123,"Argentina - Rio Negro",Bariloche,"Cerro Parque",1845,6053,-71.7431,-41.1057,-71.74310,-41.10570,6,3,01/07/2022,31/12/2099,0,,
LUV/BA-124,"Argentina - Rio Negro",Bariloche,LUV/BA-124,1838,6030,-71.7654,-41.6500,-71.76540,-41.65000,6,3,01/07/2022,31/12/2099,0,,
LUV/BA-125,"Argentina - Rio Negro",Bariloche,LUV/BA-125,1828,5997,-71.6173,-41.5410,-71.61730,-41.54100,6,3,01/07/2022,31/12/2099,0,,
LUV/BA-126,"Argentina - Rio Negro",Bariloche,"Cerro Los Emparedados",1821,5974,-71.7883,-41.2577,-71.78830,-41.25770,6,3,01/07/2022,31/12/2099,0,,
LUV/BA-127,"Argentina - Rio Negro",Bariloche,"Cerro Mar de Piedra",1816,5958,-71.7625,-41.1723,-71.76250,-41.17230,6,3,01/07/2022,31/12/2099,0,,
LUV/BA-128,"Argentina - Rio Negro",Bariloche,"Cerro Los Moscos",1809,5935,-71.6364,-41.3206,-71.63640,-41.32060,6,3,01/07/2022,31/12/2099,0,,
LUV/BA-129,"Argentina - Rio Negro",Bariloche,LUV/BA-129,1809,5935,-71.6497,-41.5407,-71.64970,-41.54070,6,3,01/07/2022,31/12/2099,0,,
LUV/BA-130,"Argentina - Rio Negro",Bariloche,"Cerro Capitán Diego de León",1807,5928,-71.6368,-41.2917,-71.63680,-41.29170,6,3,01/07/2022,31/12/2099,0,,
LUV/BA-131,"Argentina - Rio Negro",Bariloche,"Cerro Montura o El Foyel",1801,5908,-71.5523,-41.6402,-71.55230,-41.64020,6,3,01/07/2022,31/12/2099,0,,
LUV/BA-132,"Argentina - Rio Negro",Bariloche,"Cerro Frías",1800,5905,-71.7808,-41.0434,-71.78080,-41.04340,6,3,01/07/2022,31/12/2099,0,,
