SOTA Summits List (Date=05/06/2026)
SummitCode,AssociationName,RegionName,SummitName,AltM,AltFt,GridRef1,GridRef2,Longitude,Latitude,Points,BonusPoints,ValidFrom,ValidTo,ActivationCount,ActivationDate,ActivationCall
LUY/AL-001,"Argentina - Neuquén",Aluminé,Cachil,2571,8435,-70.7104,-39.0059,-70.71040,-39.00590,8,3,01/10/2020,31/12/2099,0,,
LUY/AL-002,"Argentina - Neuquén",Aluminé,LUY/AL-002,2442,8012,-70.7215,-38.9822,-70.72150,-38.98220,8,3,01/10/2020,31/12/2099,0,,
LUY/AL-003,"Argentina - Neuquén",Aluminé,LUY/AL-003,2403,7883,-70.6824,-39.0277,-70.68240,-39.02770,8,3,01/10/2020,31/12/2099,0,,
LUY/AL-004,"Argentina - Neuquén",Aluminé,LUY/AL-004,2333,7652,-70.7398,-38.8277,-70.73980,-38.82770,6,3,01/10/2020,31/12/2099,0,,
LUY/AL-005,"Argentina - Neuquén",Aluminé,LUY/AL-005,2323,7621,-70.7479,-38.7916,-70.74790,-38.79160,6,3,01/10/2020,31/12/2099,0,,
LUY/AL-006,"Argentina - Neuquén",Aluminé,Rucachoroi,2277,7469,-71.2187,-39.2956,-71.21870,-39.29560,6,3,01/10/2020,31/12/2099,0,,
LUY/AL-007,"Argentina - Neuquén",Aluminé,LUY/AL-007,2224,7296,-70.7525,-39.0735,-70.75250,-39.07350,6,3,01/10/2020,31/12/2099,0,,
LUY/AL-008,"Argentina - Neuquén",Aluminé,Relem,2215,7268,-71.1872,-39.0361,-71.18720,-39.03610,6,3,01/10/2020,31/12/2099,0,,
LUY/AL-009,"Argentina - Neuquén",Aluminé,LUY/AL-009,2196,7204,-71.1015,-39.2937,-71.10150,-39.29370,6,3,01/10/2020,31/12/2099,0,,
LUY/AL-010,"Argentina - Neuquén",Aluminé,LUY/AL-010,2189,7181,-71.2648,-39.1975,-71.26480,-39.19750,6,3,01/10/2020,31/12/2099,0,,
LUY/AL-011,"Argentina - Neuquén",Aluminé,Colorado,2178,7144,-71.2222,-39.0641,-71.22220,-39.06410,6,3,01/10/2020,31/12/2099,0,,
LUY/AL-012,"Argentina - Neuquén",Aluminé,LUY/AL-012,2176,7140,-71.0775,-39.2665,-71.07750,-39.26650,6,3,01/10/2020,31/12/2099,0,,
LUY/AL-013,"Argentina - Neuquén",Aluminé,LUY/AL-013,2167,7109,-71.0769,-39.3072,-71.07690,-39.30720,6,3,01/10/2020,31/12/2099,0,,
LUY/AL-014,"Argentina - Neuquén",Aluminé,LUY/AL-014,2163,7097,-71.2955,-39.2627,-71.29550,-39.26270,6,3,01/10/2020,31/12/2099,0,,
LUY/AL-015,"Argentina - Neuquén",Aluminé,Rojo,2143,7031,-71.2890,-39.0751,-71.28900,-39.07510,6,3,01/10/2020,31/12/2099,0,,
LUY/AL-016,"Argentina - Neuquén",Aluminé,LUY/AL-016,2132,6994,-71.3100,-39.0293,-71.31000,-39.02930,6,3,01/10/2020,31/12/2099,0,,
LUY/AL-017,"Argentina - Neuquén",Aluminé,"Clucnu Chumpiru",2130,6988,-71.2879,-39.1775,-71.28790,-39.17750,6,3,01/10/2020,31/12/2099,0,,
LUY/AL-018,"Argentina - Neuquén",Aluminé,Colai-Mahuida,2112,6928,-71.3642,-38.8954,-71.36420,-38.89540,6,3,01/10/2020,31/12/2099,0,,
LUY/AL-019,"Argentina - Neuquén",Aluminé,LUY/AL-019,2105,6907,-70.6759,-38.9253,-70.67590,-38.92530,6,3,01/10/2020,31/12/2099,0,,
LUY/AL-020,"Argentina - Neuquén",Aluminé,LUY/AL-020,2101,6894,-71.2971,-38.9808,-71.29710,-38.98080,6,3,01/10/2020,31/12/2099,0,,
LUY/AL-021,"Argentina - Neuquén",Aluminé,Impodi,2100,6888,-71.3790,-39.0539,-71.37900,-39.05390,6,3,01/10/2020,31/12/2099,0,,
LUY/AL-022,"Argentina - Neuquén",Aluminé,Chohuecura,2066,6777,-71.3222,-39.2263,-71.32220,-39.22630,6,3,01/10/2020,31/12/2099,0,,
LUY/AL-023,"Argentina - Neuquén",Aluminé,Mesa,2062,6765,-71.3138,-39.3171,-71.31380,-39.31710,6,3,01/10/2020,31/12/2099,0,,
LUY/AL-024,"Argentina - Neuquén",Aluminé,Colorado,2062,6764,-70.7956,-39.1220,-70.79560,-39.12200,6,3,01/10/2020,31/12/2099,0,,
LUY/AL-025,"Argentina - Neuquén",Aluminé,LUY/AL-025,2052,6731,-70.8907,-38.7213,-70.89070,-38.72130,6,3,01/10/2020,31/12/2099,0,,
LUY/AL-026,"Argentina - Neuquén",Aluminé,LUY/AL-026,2045,6707,-71.2941,-39.0129,-71.29410,-39.01290,6,3,01/10/2020,31/12/2099,0,,
LUY/AL-027,"Argentina - Neuquén",Aluminé,LUY/AL-027,2041,6695,-71.1885,-39.1759,-71.18850,-39.17590,6,3,01/10/2020,31/12/2099,0,,
LUY/AL-028,"Argentina - Neuquén",Aluminé,"Norte Divortium",2024,6641,-71.3971,-39.1757,-71.39710,-39.17570,6,3,01/10/2020,31/12/2099,0,,
LUY/AL-029,"Argentina - Neuquén",Aluminé,LUY/AL-029,2021,6631,-71.3785,-38.9293,-71.37850,-38.92930,6,3,01/10/2020,31/12/2099,0,,
LUY/AL-030,"Argentina - Neuquén",Aluminé,LUY/AL-030,2015,6612,-71.3273,-39.0086,-71.32730,-39.00860,6,3,01/10/2020,31/12/2099,0,,
LUY/AL-031,"Argentina - Neuquén",Aluminé,LUY/AL-031,2007,6583,-71.3278,-39.1937,-71.32780,-39.19370,6,3,01/10/2020,31/12/2099,0,,
LUY/AL-032,"Argentina - Neuquén",Aluminé,LUY/AL-032,2001,6565,-71.3693,-39.0789,-71.36930,-39.07890,6,3,01/10/2020,31/12/2099,0,,
LUY/AL-033,"Argentina - Neuquén",Aluminé,LUY/AL-033,1993,6538,-71.2737,-39.3449,-71.27370,-39.34490,4,3,01/10/2020,31/12/2099,0,,
LUY/AL-034,"Argentina - Neuquén",Aluminé,Coloco,1985,6512,-71.3591,-39.1991,-71.35910,-39.19910,4,3,01/10/2020,31/12/2099,0,,
