SOTA Summits List (Date=05/06/2026)
SummitCode,AssociationName,RegionName,SummitName,AltM,AltFt,GridRef1,GridRef2,Longitude,Latitude,Points,BonusPoints,ValidFrom,ValidTo,ActivationCount,ActivationDate,ActivationCall
LZ/CB-001,Bulgaria,"Central Balkan Mountains",Botev,2376,7795,24.9175,42.7173,24.91750,42.71730,10,3,01/12/2015,31/12/2099,11,01/06/2025,LZ1ZED/P
LZ/CB-002,Bulgaria,"Central Balkan Mountains","Golyam Kademliya",2275,7464,25.0566,42.7276,25.05660,42.72760,10,3,01/12/2015,31/12/2099,4,30/12/2022,LZ2JPN/P
LZ/CB-003,Bulgaria,"Central Balkan Mountains","Dyuzchal (Mlechen chal)",2255,7398,24.8791,42.7245,24.87910,42.72450,10,3,01/12/2015,31/12/2099,4,18/08/2024,LZ1ENE/P
LZ/CB-004,Bulgaria,"Central Balkan Mountains",Vezhen,2198,7211,24.407,42.752,24.40700,42.75200,10,3,01/12/2015,31/12/2099,5,20/09/2025,LZ1ENE/P
LZ/CB-005,Bulgaria,"Central Balkan Mountains","Mazalat (Zli vrah)",2197,7208,25.0913,42.7176,25.09130,42.71760,10,3,01/12/2015,31/12/2099,2,05/08/2022,LZ2JPN/P
LZ/CB-006,Bulgaria,"Central Balkan Mountains",Kupena,2169,7116,24.8194,42.7236,24.81940,42.72360,10,3,01/12/2015,31/12/2099,11,22/03/2025,LZ1ENE/P
LZ/CB-007,Bulgaria,"Central Balkan Mountains",Ambaritsa,2166,7106,24.781,42.7201,24.78100,42.72010,10,3,01/12/2015,31/12/2099,12,22/03/2025,LZ1ENE/P
LZ/CB-008,Bulgaria,"Central Balkan Mountains","Baba (Tetevenska Baba)",2070,6791,24.2861,42.7726,24.28610,42.77260,10,3,01/12/2015,31/12/2099,1,26/09/2020,LZ1ENE/P
LZ/CB-009,Bulgaria,"Central Balkan Mountains",Buluvanya,2043,6703,24.3229,42.76,24.32290,42.76000,10,3,01/12/2015,31/12/2099,2,26/09/2020,LZ1ENE/P
LZ/CB-010,Bulgaria,"Central Balkan Mountains","Chernata mogila",2021,6631,24.8863,42.6771,24.88630,42.67710,10,3,01/12/2015,31/12/2099,2,04/08/2019,LZ3GH/P
LZ/CB-011,Bulgaria,"Central Balkan Mountains",Svishtiplaz,1888,6194,24.1126,42.7655,24.11260,42.76550,8,3,01/12/2015,31/12/2099,2,16/07/2022,LZ3GH/P
LZ/CB-012,Bulgaria,"Central Balkan Mountains",Yumruka,1819,5968,24.4852,42.7672,24.48520,42.76720,8,3,01/12/2015,31/12/2099,12,31/05/2025,LZ3SCO
LZ/CB-013,Bulgaria,"Central Balkan Mountains",Ushite,1767,5797,24.3525,42.7893,24.35250,42.78930,8,3,01/12/2015,31/12/2099,1,25/09/2020,LZ1ENE/P
LZ/CB-014,Bulgaria,"Central Balkan Mountains","Baba (Boba)",1707,5600,24.5467,42.7874,24.54670,42.78740,8,3,01/12/2015,31/12/2099,18,20/07/2025,LZ10SOTA
LZ/CB-015,Bulgaria,"Central Balkan Mountains",Lepenyat,1705,5593,24.6412,42.7651,24.64120,42.76510,8,3,01/12/2015,31/12/2099,22,20/07/2025,LZ10SOTA
LZ/CB-016,Bulgaria,"Central Balkan Mountains",Chumerna,1536,5039,25.9729,42.7818,25.97290,42.78180,8,3,01/12/2015,31/12/2099,9,09/03/2024,LZ1CWT/P
LZ/CB-017,Bulgaria,"Central Balkan Mountains",Ispolin,1523,4997,25.2521,42.7386,25.25210,42.73860,8,3,01/12/2015,30/11/2025,21,30/08/2025,LZ10SOTA
LZ/CB-018,Bulgaria,"Central Balkan Mountains","Karadzhova kula",1512,4961,25.4386,42.7466,25.43860,42.74660,8,3,01/12/2015,31/12/2099,27,17/10/2024,LZ2AF/P
LZ/CB-019,Bulgaria,"Central Balkan Mountains",Vasilyov,1490,4888,24.4768,42.881,24.47680,42.88100,8,3,01/12/2015,31/12/2099,10,24/08/2025,LZ3DA/P
LZ/CB-020,Bulgaria,"Central Balkan Mountains",Sarayar,1485,4872,25.4845,42.696,25.48450,42.69600,8,3,01/12/2015,31/12/2099,5,19/04/2026,LZ1MNB/P
LZ/CB-021,Bulgaria,"Central Balkan Mountains",Balgarka,1445,4741,25.475,42.7548,25.47500,42.75480,8,3,01/12/2015,31/12/2099,9,23/07/2023,LZ3GH/P
LZ/CB-022,Bulgaria,"Central Balkan Mountains",Kichesta,1424,4672,25.9984,42.7452,25.99840,42.74520,8,3,01/12/2015,31/12/2099,1,31/03/2024,LZ3GH/P
LZ/CB-023,Bulgaria,"Central Balkan Mountains","Chernata mogila",1387,4551,25.2251,42.7492,25.22510,42.74920,6,3,01/12/2015,31/12/2099,13,30/11/2024,LZ1WF/P
LZ/CB-024,Bulgaria,"Central Balkan Mountains",Osinak,1369,4491,24.8324,42.7921,24.83240,42.79210,6,3,01/12/2015,31/12/2099,0,,
LZ/CB-025,Bulgaria,"Central Balkan Mountains","Malak Tarsovets",1355,4446,25.3457,42.7405,25.34570,42.74050,6,3,01/12/2015,31/12/2099,24,21/03/2026,LZ1MNB/P
LZ/CB-026,Bulgaria,"Central Balkan Mountains","Golyam Klimash",1355,4446,24.2909,42.8247,24.29090,42.82470,6,3,01/12/2015,31/12/2099,1,23/06/2018,LZ1GJ/P
LZ/CB-027,Bulgaria,"Central Balkan Mountains",Prosekata,1352,4436,24.0518,42.8091,24.05180,42.80910,6,3,01/12/2015,31/12/2099,0,,
LZ/CB-028,Bulgaria,"Central Balkan Mountains",Malusha,1342,4403,25.2899,42.7535,25.28990,42.75350,6,3,01/12/2015,31/12/2099,28,24/01/2026,LZ7PG/P
LZ/CB-029,Bulgaria,"Central Balkan Mountains",Panagyura,1330,4364,25.5517,42.7149,25.55170,42.71490,6,3,01/12/2015,31/12/2099,2,14/01/2023,LZ2JPN/P
LZ/CB-030,Bulgaria,"Central Balkan Mountains","Ostri grab",1306,4285,25.805,42.7392,25.80500,42.73920,6,3,01/12/2015,31/12/2099,2,21/03/2026,LZ1OPM
LZ/CB-031,Bulgaria,"Central Balkan Mountains",Dyudyukcha,1297,4255,25.5151,42.6758,25.51510,42.67580,6,3,01/12/2015,31/12/2099,6,14/06/2025,LZ1CWT/P
LZ/CB-032,Bulgaria,"Central Balkan Mountains",Krastilcha,1297,4255,25.5819,42.6443,25.58190,42.64430,6,3,01/12/2015,31/12/2099,3,05/10/2025,LZ10SOTA
LZ/CB-033,Bulgaria,"Central Balkan Mountains",Pchena,1282,4206,25.8409,42.7563,25.84090,42.75630,6,3,01/12/2015,31/12/2099,0,,
LZ/CB-034,Bulgaria,"Central Balkan Mountains","Ravnata mogila",1261,4137,24.2859,42.8764,24.28590,42.87640,6,3,01/12/2015,31/12/2099,3,28/02/2026,LZ3DA/P
LZ/CB-035,Bulgaria,"Central Balkan Mountains","Golemiya vis (Markov tok)",1255,4117,25.5335,42.7577,25.53350,42.75770,6,3,01/12/2015,31/12/2099,3,20/01/2023,LZ2JPN/P
LZ/CB-036,Bulgaria,"Central Balkan Mountains",Koynets,1252,4108,24.352,42.9287,24.35200,42.92870,6,3,01/12/2015,31/12/2099,0,,
LZ/CB-037,Bulgaria,"Central Balkan Mountains",Kukuruz,1251,4104,24.3128,42.9487,24.31280,42.94870,6,3,01/12/2015,31/12/2099,1,09/08/2025,LZ3DA/P
LZ/CB-038,Bulgaria,"Central Balkan Mountains","Mali Bukovets",1228,4029,25.7665,42.7361,25.76650,42.73610,6,3,01/12/2015,31/12/2099,0,,
LZ/CB-039,Bulgaria,"Central Balkan Mountains",Cherven,1226,4022,24.2889,42.941,24.28890,42.94100,6,3,01/12/2015,31/12/2099,4,21/03/2026,LZ4KW/P
LZ/CB-040,Bulgaria,"Central Balkan Mountains",Soudzhaka,1213,3980,26.119,42.8113,26.11900,42.81130,6,3,01/12/2015,31/12/2099,0,,
LZ/CB-041,Bulgaria,"Central Balkan Mountains",Popak,1201,3940,25.5373,42.6396,25.53730,42.63960,6,3,01/12/2015,31/12/2099,1,09/11/2019,LZ1GJ/P
LZ/CB-042,Bulgaria,"Central Balkan Mountains","Cherni vrah",1199,3934,24.9265,42.8779,24.92650,42.87790,6,3,01/12/2015,31/12/2099,0,,
