SOTA Summits List (Date=05/06/2026)
SummitCode,AssociationName,RegionName,SummitName,AltM,AltFt,GridRef1,GridRef2,Longitude,Latitude,Points,BonusPoints,ValidFrom,ValidTo,ActivationCount,ActivationDate,ActivationCall
OD/BE-001,Lebanon,Beirut,Aley,1050,3444,"35 37 51 E","33 49 15 N",35.63080,33.82080,4,3,01/09/2008,31/12/2099,0,,
OD/BE-002,Lebanon,Beirut,"Jabal El Raml",900,2952,"35 34 44 E","33 47 43 N",35.57890,33.79530,2,3,01/09/2008,31/12/2099,0,,
OD/BE-003,Lebanon,Beirut,"Mar Moussa",1200,3936,"35 41 04 E","33 54 47 N",35.68440,33.91310,4,3,01/09/2008,31/12/2099,2,15/04/2014,OD5/PB2T/P
OD/BE-004,Lebanon,Beirut,Baabdat,1050,3444,"35 39 53 E","33 54 25 N",35.66470,33.90690,4,3,01/09/2008,31/12/2099,2,04/02/2017,OD5RAL/P
OD/BE-005,Lebanon,Beirut,"Jabal Chaoui",600,1968,"35 37 42 E","33 54 06 N",35.62830,33.90170,2,3,01/09/2008,31/12/2099,2,05/02/2017,OD5RAL/P
OD/BY-001,Lebanon,Byblos,Maad,550,1805,35.6822,34.1864,35.68220,34.18640,2,0,01/09/2008,31/12/2099,0,,
OD/BY-002,Lebanon,Byblos,"Jabal Louha",1300,4265,35.8286,34.2083,35.82860,34.20830,4,3,01/09/2008,31/12/2099,0,,
OD/BY-003,Lebanon,Byblos,Laklouk,1950,6398,35.8481,34.1508,35.84810,34.15080,6,3,01/09/2008,31/12/2099,0,,
OD/BY-004,Lebanon,Byblos,"Jabal El Mejdel",900,2953,35.8294,34.2453,35.82940,34.24530,2,3,01/09/2008,31/12/2099,0,,
OD/BY-005,Lebanon,Byblos,"Jabal Adonis",600,1969,35.7714,34.0928,35.77140,34.09280,2,0,01/09/2008,31/12/2099,0,,
OD/CE-001,Lebanon,Cedars,"Kornet el Saouda",3080,10104,36.1156,34.3008,36.11560,34.30080,10,3,01/09/2008,31/12/2099,0,,
OD/CE-002,Lebanon,Cedars,"Tallit el Mghara",3040,9973,36.1089,34.2706,36.10890,34.27060,10,3,01/09/2008,31/12/2099,0,,
OD/JO-001,Lebanon,Jounieh,Harissa,550,1804,35.6550,33.9819,35.65500,33.98190,2,0,01/09/2008,31/12/2099,0,,
OD/JO-002,Lebanon,Jounieh,"Ras Ghazeer",800,2624,35.7083,34.0133,35.70830,34.01330,2,3,01/09/2008,31/12/2099,0,,
OD/JO-003,Lebanon,Jounieh,"Aramoon Hill",1300,4265,35.7106,34.2811,35.71060,34.28110,4,3,01/09/2008,31/12/2099,0,,
OD/JO-004,Lebanon,Jounieh,"Jabal Kneisseh",1100,3608,35.7094,34.0431,35.70940,34.04310,4,3,01/09/2008,31/12/2099,0,,
