SOTA Summits List (Date=05/06/2026)
SummitCode,AssociationName,RegionName,SummitName,AltM,AltFt,GridRef1,GridRef2,Longitude,Latitude,Points,BonusPoints,ValidFrom,ValidTo,ActivationCount,ActivationDate,ActivationCall
OE/BL-001,Austria,Burgenland,Geschriebenstein,884,2900,16.4339,47.3528,16.43390,47.35280,2,0,01/04/2004,31/12/2015,80,26/12/2015,OE6SWG/4/P
OE/BL-002,Austria,Burgenland,"Großer Hirschenstein",862,2828,16.3792,47.3450,16.37920,47.34500,2,0,01/04/2004,31/03/2011,1,14/07/2007,OE/HA1DTQ/4
OE/BL-003,Austria,Burgenland,Steinstückl,833,2733,16.2739,47.4339,16.27390,47.43390,2,0,01/04/2004,31/03/2011,2,09/11/2010,OE50SPW/P
OE/BL-004,Austria,Burgenland,Kienberg,805,2641,16.2650,47.4244,16.26500,47.42440,2,0,01/04/2004,31/03/2011,2,09/11/2010,OE50SPW/P
OE/BL-005,Austria,Burgenland,Pauliberg,761,2497,16.3392,47.5844,16.33920,47.58440,2,0,01/04/2004,31/12/2015,24,26/08/2015,OE3IPU/P
OE/BL-006,Austria,Burgenland,Klosterberg,745,2444,16.3336,47.5658,16.33360,47.56580,2,0,01/04/2004,31/03/2011,1,21/10/2007,OE/HA1DTQ/P
OE/BL-007,Austria,Burgenland,Koglberg,711,2333,16.2958,47.4500,16.29580,47.45000,2,0,01/04/2004,31/03/2011,1,21/10/2007,OE/HA1DTQ/P
OE/BL-008,Austria,Burgenland,Krieriegel,682,2238,16.2944,47.7189,16.29440,47.71890,2,0,01/04/2004,31/03/2011,1,16/10/2009,OE/HA1DTQ/P
OE/BL-009,Austria,Burgenland,"Sieggrabner Kogel",650,2133,16.3619,47.6606,16.36190,47.66060,2,0,01/04/2004,31/03/2011,1,29/09/2009,OE/HA5AZC/P
OE/BL-010,Austria,Burgenland,Bergkogel,621,2037,16.2994,47.7433,16.29940,47.74330,2,0,01/04/2004,31/03/2011,1,16/10/2009,OE/HA1DTQ/P
OE/BL-011,Austria,Burgenland,Brenntenriegel,606,1988,16.3906,47.6594,16.39060,47.65940,2,0,01/04/2004,31/12/2015,31,22/09/2015,OE4JHW/P
OE/BL-012,Austria,Burgenland,Sonnenberg,484,1588,16.4756,47.8753,16.47560,47.87530,1,0,01/04/2004,31/12/2099,126,21/05/2026,OE3DBX/P
OE/BL-013,Austria,Burgenland,Buchkogel,433,1421,16.5389,47.8778,16.53890,47.87780,1,0,01/04/2004,31/03/2011,2,26/07/2010,OE/HG4UK/P
OE/BL-014,Austria,Burgenland,Rotterberg,408,1339,16.0058,46.8314,16.00580,46.83140,1,0,01/04/2004,31/03/2011,1,06/10/2009,OE6WIG/P
OE/BL-015,Austria,Burgenland,Ramsauberg,390,1280,16.5928,47.8936,16.59280,47.89360,1,0,01/04/2004,31/03/2011,0,,
OE/BL-016,Austria,Burgenland,Dreiländerecke,387,1270,16.1139,46.8689,16.11390,46.86890,1,0,01/04/2004,31/03/2011,1,04/09/2005,OE/HG1DTQ/P
OE/BL-017,Austria,Burgenland,Hofweinriegel,366,1201,16.1889,47.0603,16.18890,47.06030,1,0,01/04/2004,31/03/2011,0,,
OE/BL-018,Austria,Burgenland,Sauspitz,366,1201,16.6878,47.9525,16.68780,47.95250,1,0,01/04/2004,31/03/2011,1,19/04/2009,OE1CWA/P
OE/BL-019,Austria,Burgenland,Königsberg,286,938,16.7403,47.9717,16.74030,47.97170,1,0,01/04/2004,31/03/2011,3,31/05/2010,OE8SPW/P
OE/BL-020,Austria,Burgenland,"Rosalienkapelle (Rosalia)",748,2454,16.3069,47.6978,16.30690,47.69780,2,0,01/04/2011,31/12/2099,171,20/05/2026,OE3DBX/P
OE/KT-001,Austria,Kärnten,Großglockner,3798,12461,12.6939,47.0744,12.69390,47.07440,10,3,01/04/2004,31/12/2099,16,29/05/2026,OE/OK4SU/P
OE/KT-002,Austria,Kärnten,Johannisberg,3453,11329,12.6731,47.1092,12.67310,47.10920,10,3,01/04/2004,31/12/2099,1,14/07/2024,OE5FFE/P
