SOTA Summits List (Date=05/06/2026)
SummitCode,AssociationName,RegionName,SummitName,AltM,AltFt,GridRef1,GridRef2,Longitude,Latitude,Points,BonusPoints,ValidFrom,ValidTo,ActivationCount,ActivationDate,ActivationCall
OH/JS-001,Finland,Järvi-Suomi,Naulavaara,367,1206,28.2419,63.8875,28.24190,63.88750,1,0,01/05/2010,31/12/2099,3,03/08/2015,OH3KRH/P
OH/JS-002,Finland,Järvi-Suomi,Losonvaara,350,1148,27.9127,64.0744,27.91270,64.07440,1,0,01/05/2010,31/12/2099,4,26/12/2015,OH6FQI/P
OH/JS-003,Finland,Järvi-Suomi,Pölönmäki,248,816,27.1296,63.3799,27.12960,63.37990,1,0,01/05/2010,31/12/2099,5,03/05/2014,OH9XX/P
OH/JS-004,Finland,Järvi-Suomi,Ukko-Koli,347,1139,29.8087,63.0944,29.80870,63.09440,1,0,01/05/2010,31/12/2099,14,04/06/2025,OH/OE3BAJ/P
OH/JS-005,Finland,Järvi-Suomi,Porttivaara,345,1132,28.2329,64.0830,28.23290,64.08300,1,0,01/05/2010,31/12/2099,3,25/12/2014,OH6FQI/P
OH/JS-006,Finland,Järvi-Suomi,Tahkovaara,315,1033,29.0821,63.1836,29.08210,63.18360,1,0,01/05/2010,31/12/2099,3,04/06/2025,OH/OE3BAJ/P
OH/JS-007,Finland,Järvi-Suomi,Ryläys,315,1033,29.8283,63.0409,29.82830,63.04090,1,0,01/05/2010,31/12/2099,1,07/07/2013,OH/K7ATN
OH/JS-008,Finland,Järvi-Suomi,Välimäki,314,1032,27.9937,63.2832,27.99370,63.28320,1,0,01/05/2010,31/12/2099,1,26/06/2010,OH7BF/P
OH/JS-009,Finland,Järvi-Suomi,Kinahmi,313,1029,27.9865,63.1941,27.98650,63.19410,1,0,01/05/2010,31/12/2099,1,06/07/2011,OH7BF/P
OH/JS-010,Finland,Järvi-Suomi,Ansavaara,313,1029,28.2356,64.0306,28.23560,64.03060,1,0,01/05/2010,31/12/2099,1,03/08/2013,OH6FQI/P
OH/JS-011,Finland,Järvi-Suomi,Räsävaara,302,992,29.7274,63.1288,29.72740,63.12880,1,0,01/05/2010,31/12/2099,7,09/08/2023,HB9HOR
OH/JS-012,Finland,Järvi-Suomi,Kakaranvaara,295,968,29.0041,63.0650,29.00410,63.06500,1,0,01/05/2010,31/12/2099,2,10/10/2015,OH3KRH/P
OH/JS-013,Finland,Järvi-Suomi,Härkönurmi,274,902,28.2544,63.4589,28.25440,63.45890,1,0,01/05/2010,31/12/2099,1,20/07/2018,OH7BF/P
OH/JS-014,Finland,Järvi-Suomi,Tyrävaara,274,901,30.1854,63.6177,30.18540,63.61770,1,0,01/05/2010,31/12/2099,3,19/10/2014,OH3KRH/P
OH/JS-015,Finland,Järvi-Suomi,Pisa,270,887,28.3250,63.2164,28.32500,63.21640,1,0,01/05/2010,31/12/2099,1,08/04/2012,OH7BF/P
OH/JS-016,Finland,Järvi-Suomi,Kiiskilänmäki,268,882,25.1530,62.5018,25.15300,62.50180,1,0,01/05/2010,31/12/2099,27,10/06/2020,OH3TIA
OH/JS-017,Finland,Järvi-Suomi,Mustavaara,268,880,30.0634,62.8278,30.06340,62.82780,1,0,01/05/2010,31/12/2099,1,18/08/2016,OH/PE1RMO/P
OH/JS-018,Finland,Järvi-Suomi,Käränkävaara,262,861,29.8076,63.1539,29.80760,63.15390,1,0,01/05/2010,31/12/2099,4,09/08/2023,HB9HOR
OH/JS-019,Finland,Järvi-Suomi,Ikolanvaara,256,842,29.6216,63.3887,29.62160,63.38870,1,0,01/05/2010,31/12/2099,2,19/10/2014,OH3KRH/P
OH/JS-020,Finland,Järvi-Suomi,Uutelanmäki,257,844,25.4307,62.0811,25.43070,62.08110,1,0,01/05/2010,31/12/2099,7,22/09/2019,OH6UCW/P
OH/JS-021,Finland,Järvi-Suomi,Rauvanvaara,247,812,28.9124,62.8466,28.91240,62.84660,1,0,01/05/2010,31/12/2099,2,10/10/2015,OH3KRH/P
OH/JS-022,Finland,Järvi-Suomi,Konnanvaara,245,803,29.5534,63.4348,29.55340,63.43480,1,0,01/05/2010,31/12/2099,4,11/10/2015,OH3KRH/P
OH/JS-023,Finland,Järvi-Suomi,Rintalanmäki,242,795,25.7204,62.4810,25.72040,62.48100,1,0,01/05/2010,31/12/2099,7,11/08/2019,OH6UCW/P
OH/JS-024,Finland,Järvi-Suomi,Katajamäki,242,795,27.0638,63.2785,27.06380,63.27850,1,0,01/05/2010,31/12/2099,3,03/05/2014,OH9XX/P
OH/JS-025,Finland,Järvi-Suomi,Tammimäki,240,790,25.9939,61.8338,25.99390,61.83380,1,0,01/05/2010,31/12/2099,13,09/05/2020,OH3TIA
