SOTA Summits List (Date=05/06/2026)
SummitCode,AssociationName,RegionName,SummitName,AltM,AltFt,GridRef1,GridRef2,Longitude,Latitude,Points,BonusPoints,ValidFrom,ValidTo,ActivationCount,ActivationDate,ActivationCall
OK/JC-001,Czechia,Jihočeský,Plechý,1378,4521,13.8573,48.7713,13.85730,48.77130,10,3,01/05/2007,31/12/2099,154,01/05/2026,OK/OE5EDR/P
OK/JC-002,Czechia,Jihočeský,Boubín,1362,4469,13.8176,48.9912,13.81760,48.99120,10,3,01/05/2007,31/12/2099,103,25/08/2025,OK1DU/P
OK/JC-003,Czechia,Jihočeský,Třístoličník,1343,4406,13.8036,48.7809,13.80360,48.78090,10,3,01/05/2007,31/07/2020,81,28/06/2019,OK2PDT/P
OK/JC-004,Czechia,Jihočeský,Smrčina,1332,4370,13.9211,48.737,13.92110,48.73700,10,3,01/05/2007,31/07/2020,60,21/07/2020,OK/OE5LXR/P
OK/JC-005,Czechia,Jihočeský,Bobík,1264,4147,13.8653,48.959,13.86530,48.95900,10,3,01/05/2007,31/12/2099,74,25/08/2025,OK1DU/P
OK/JC-006,Czechia,Jihočeský,Tetřev,1260,4134,13.55,49.016,13.55000,49.01600,10,3,01/05/2007,31/07/2020,41,30/07/2020,OK1USP/P
OK/JC-007,Czechia,Jihočeský,"Vysoký stolec",1252,4108,13.609,48.988,13.60900,48.98800,10,3,01/05/2007,31/07/2020,19,14/06/2018,OK/DL3HJG/P
OK/JC-008,Czechia,Jihočeský,Lysá,1228,4029,14.034,48.849,14.03400,48.84900,10,3,01/05/2007,31/07/2020,6,22/07/2018,OK/OM2TW/P
OK/JC-009,Czechia,Jihočeský,Špičák,1221,4006,14.0389,48.8149,14.03890,48.81490,10,3,01/05/2007,31/12/2099,26,24/05/2026,OK/DF7TR/P
OK/JC-010,Czechia,Jihočeský,Přilba,1221,4006,13.6178,49.0406,13.61780,49.04060,10,3,01/05/2007,31/12/2099,135,30/05/2026,OK2BCF/P
OK/JC-011,Czechia,Jihočeský,Chlum,1191,3907,14.0908,48.8837,14.09080,48.88370,10,3,01/05/2007,31/12/2099,7,24/10/2023,OK/SQ9MDF/P
OK/JC-012,Czechia,Jihočeský,Obrovec,1146,3760,13.7522,48.9857,13.75220,48.98570,10,3,01/05/2007,31/07/2020,75,21/06/2020,OK1DU/P
OK/JC-013,Czechia,Jihočeský,"Polecký vrch",1120,3675,13.672,48.952,13.67200,48.95200,10,3,01/05/2007,31/07/2020,22,07/10/2018,OK/DL6FBK/P
OK/JC-014,Czechia,Jihočeský,Strážný,1115,3658,13.6986,48.9206,13.69860,48.92060,10,3,01/05/2007,31/07/2020,23,28/06/2019,OK2PDT/P
OK/JC-015,Czechia,Jihočeský,Libín,1095,3593,14.0112,48.9785,14.01120,48.97850,10,3,01/05/2007,31/12/2099,136,01/05/2026,OK1MCS/P
OK/JC-016,Czechia,Jihočeský,"Dlouhý hřbet",1089,3573,13.982,48.863,13.98200,48.86300,10,3,01/05/2007,31/07/2020,8,04/05/2018,OK/SQ9MDF/P
OK/JC-017,Czechia,Jihočeský,Křemenná,1085,3560,13.937,48.879,13.93700,48.87900,10,3,01/05/2007,31/07/2020,7,15/08/2017,OK1USP/P
OK/JC-018,Czechia,Jihočeský,Kleť,1084,3556,14.2836,48.8651,14.28360,48.86510,10,3,01/05/2007,31/12/2099,98,28/02/2026,OK2PDT/P
OK/JC-019,Czechia,Jihočeský,"Žlebský vrch",1080,3543,13.767,48.875,13.76700,48.87500,10,3,01/05/2007,31/12/2099,77,24/05/2026,OK/DF7TR/P
OK/JC-020,Czechia,Jihočeský,Kamenec,1072,3517,14.6697,48.5852,14.66970,48.58520,10,3,01/05/2007,31/12/2099,155,08/05/2026,OK1MCS/P
OK/JC-021,Czechia,Jihočeský,"Jelenská hora",1068,3504,13.8821,48.8289,13.88210,48.82890,10,3,01/05/2007,31/12/2099,75,26/08/2025,OK1DU/P
OK/JC-022,Czechia,Jihočeský,"Velký Plešný",1066,3497,14.118,48.875,14.11800,48.87500,10,3,01/05/2007,31/07/2020,5,17/08/2013,OK1IF/P
OK/JC-023,Czechia,Jihočeský,Stožec,1065,3494,13.8277,48.8805,13.82770,48.88050,10,3,01/05/2007,31/12/2099,58,25/04/2026,OK/OE5HPE/P
OK/JC-024,Czechia,Jihočeský,Javorník,1066,3497,13.653,49.1383,13.65300,49.13830,10,3,01/05/2007,31/12/2099,123,25/05/2026,OK2BCF/P
OK/JC-025,Czechia,Jihočeský,"Kamenná hora",1057,3468,13.703,49.051,13.70300,49.05100,10,3,01/05/2007,31/07/2020,71,29/07/2020,OK1IF/P
OK/JC-026,Czechia,Jihočeský,Hvozd,1047,3435,13.908,48.834,13.90800,48.83400,10,3,01/05/2007,31/07/2020,40,23/06/2020,OK1USP/P
OK/JC-027,Czechia,Jihočeský,Myslivna,1040,3412,14.6834,48.6321,14.68340,48.63210,10,3,01/05/2007,31/07/2020,64,09/04/2020,OK1HCD/P
OK/JC-028,Czechia,Jihočeský,"Vítkův Kámen",1035,3396,14.1034,48.6449,14.10340,48.64490,10,3,01/05/2007,31/12/2099,165,04/06/2026,OK/OE5WFN/P
OK/JC-029,Czechia,Jihočeský,Vysoká,1033,3389,14.7386,48.7149,14.73860,48.71490,10,3,01/05/2007,31/12/2099,130,09/05/2026,OK/OM4JST
OK/JC-030,Czechia,Jihočeský,Špičák,1021,3350,13.804,48.808,13.80400,48.80800,10,3,01/05/2007,31/07/2020,37,23/06/2020,OK1IF/P
OK/JC-031,Czechia,Jihočeský,Hvězdná,1012,3320,14.232,48.588,14.23200,48.58800,10,3,01/05/2007,31/07/2020,73,18/04/2020,OK1HCD/P
OK/JC-032,Czechia,Jihočeský,"Černý les",1007,3304,13.98,48.838,13.98000,48.83800,10,3,01/05/2007,31/07/2020,9,03/05/2018,OK/SQ9MDF/P
OK/JC-033,Czechia,Jihočeský,"Silnická hora",997,3271,13.694,48.889,13.69400,48.88900,8,3,01/05/2007,31/07/2020,35,21/06/2020,OK1DU/P
OK/JC-034,Czechia,Jihočeský,"Jezevčí vrch",983,3225,14.2904,48.5826,14.29040,48.58260,8,3,01/05/2007,31/07/2020,33,23/04/2020,OK1HCD/P
OK/JC-035,Czechia,Jihočeský,"Volovický vrch",960,3150,13.9727,48.9962,13.97270,48.99620,8,3,01/05/2007,31/07/2020,40,23/07/2020,OK1HCD/P
OK/JC-036,Czechia,Jihočeský,"Jelení vrch",959,3146,14.6106,48.6531,14.61060,48.65310,8,3,01/05/2007,31/07/2020,42,15/07/2020,OK1HCD/P
OK/JC-037,Czechia,Jihočeský,Bulový,952,3123,14.1901,48.9085,14.19010,48.90850,8,3,01/05/2007,31/12/2099,45,28/02/2026,OK2PDT/P
OK/JC-038,Czechia,Jihočeský,Okolí,955,3133,14.2436,48.6924,14.24360,48.69240,8,3,01/05/2007,31/07/2020,39,11/01/2020,OK1HCD/P
OK/JC-039,Czechia,Jihočeský,Běleč,922,3025,13.8939,49.0607,13.89390,49.06070,8,3,01/05/2007,31/07/2020,18,07/06/2020,OK1DCS/P
OK/JC-040,Czechia,Jihočeský,Poluška,919,3015,14.4197,48.7539,14.41970,48.75390,8,3,01/05/2007,31/12/2099,55,10/05/2026,OK1MCS/p
OK/JC-041,Czechia,Jihočeský,Vysočina,910,2986,14.127,48.825,14.12700,48.82500,8,3,01/05/2007,31/07/2020,0,,
OK/JC-042,Czechia,Jihočeský,Točník,903,2963,14.693,48.692,14.69300,48.69200,8,3,01/05/2007,31/07/2020,47,23/07/2020,OK/OE5EIN/P
OK/JC-043,Czechia,Jihočeský,Kohout,874,2867,14.5827,48.7686,14.58270,48.76860,6,3,01/05/2007,31/12/2099,38,09/05/2026,OK/OM4JST
OK/JC-044,Czechia,Jihočeský,"Kravský vrch",868,2848,14.159,48.753,14.15900,48.75300,6,3,01/05/2007,31/07/2020,22,26/07/2020,OK1HCD/P
OK/JC-045,Czechia,Jihočeský,"Na rozhledu",853,2799,14.387,48.669,14.38700,48.66900,6,3,01/05/2007,31/07/2020,22,31/07/2020,OK1HCD/P
OK/JC-046,Czechia,Jihočeský,"Pestřický vrch",842,2762,14.022,48.706,14.02200,48.70600,6,3,01/05/2007,31/07/2020,7,29/06/2019,OK2PDT/P
OK/JC-047,Czechia,Jihočeský,Kůstrý,836,2743,13.707,49.175,13.70700,49.17500,6,3,01/05/2007,31/07/2020,15,10/09/2016,OK1MCS/P
OK/JC-048,Czechia,Jihočeský,Buglata,832,2730,14.1988,48.9629,14.19880,48.96290,6,3,01/05/2007,31/12/2099,51,11/03/2026,OK/OE5IRO/P
OK/JC-049,Czechia,Jihočeský,"Křížová hora",828,2717,14.223,48.723,14.22300,48.72300,6,3,01/05/2007,31/07/2020,41,27/06/2020,ok1np/p
OK/JC-050,Czechia,Jihočeský,"Tři smrky",823,2700,14.4448,48.6097,14.44480,48.60970,6,3,01/05/2007,31/07/2020,21,29/09/2018,OK/OE5EEP
OK/JC-051,Czechia,Jihočeský,"Vacovický vrch",823,2700,13.7962,49.135,13.79620,49.13500,6,3,01/05/2007,31/07/2020,12,27/01/2016,OK1DVM/P
OK/JC-052,Czechia,Jihočeský,"Vysoká Běta",803,2635,14.214,48.981,14.21400,48.98100,6,3,01/05/2007,31/07/2020,29,30/07/2020,OK1DXK/P
OK/JC-053,Czechia,Jihočeský,"Kraví noha",789,2589,14.208,48.811,14.20800,48.81100,6,3,01/05/2007,31/07/2020,4,07/02/2019,OK1HCD/P
OK/JC-054,Czechia,Jihočeský,Větrník,789,2589,14.275,48.775,14.27500,48.77500,6,3,01/05/2007,31/07/2020,21,03/07/2020,OK1BJH/P
OK/JC-055,Czechia,Jihočeský,Nebahov,788,2585,14.054,49.017,14.05400,49.01700,6,3,01/05/2007,31/07/2020,15,23/07/2020,OK1HCD/P
