SOTA Summits List (Date=05/06/2026)
SummitCode,AssociationName,RegionName,SummitName,AltM,AltFt,GridRef1,GridRef2,Longitude,Latitude,Points,BonusPoints,ValidFrom,ValidTo,ActivationCount,ActivationDate,ActivationCall
OM/BA-001,Slovakia,Bratislavský,Vysoká,754,2474,17.2170,48.4164,17.21700,48.41640,2,3,01/12/2011,31/12/2099,77,02/05/2026,OM1DLC
OM/BA-002,Slovakia,Bratislavský,Vápenná,752,2467,17.2742,48.4602,17.27420,48.46020,2,3,01/12/2011,31/12/2099,68,14/02/2026,OM1DLC
OM/BA-003,Slovakia,Bratislavský,"Certov kopec",752,2467,17.2113,48.3810,17.21130,48.38100,2,3,01/12/2011,31/12/2099,69,27/05/2026,OM1AEG/P
OM/BA-004,Slovakia,Bratislavský,"Devínska Kobyla",514,1686,16.9955,48.1894,16.99550,48.18940,1,0,01/12/2011,31/12/2099,201,15/04/2026,OM1WS/P
OM/BA-005,Slovakia,Bratislavský,Geldek,694,2276,17.3118,48.4325,17.31180,48.43250,1,0,01/10/2014,31/12/2099,44,06/04/2026,OM1WS/P
OM/BA-006,Slovakia,Bratislavský,"Cierna skala",662,2171,17.3421,48.4994,17.34210,48.49940,1,0,01/10/2014,31/12/2099,40,09/05/2026,OM1WS
OM/BB-001,Slovakia,Banskobystrick,Ďumbier,2043,6703,19.6403,48.9364,19.64030,48.93640,10,3,01/12/2011,31/12/2099,75,07/02/2026,OM/SQ9MDN/P
OM/BB-002,Slovakia,Banskobystrick,Skalka,1980,6496,19.5192,48.9290,19.51920,48.92900,10,3,01/12/2011,31/12/2099,30,20/09/2025,OM/IN3JIB/P
OM/BB-003,Slovakia,Banskobystrick,"Kráľova hoľa",1946,6385,20.1388,48.8829,20.13880,48.88290,10,3,01/12/2011,31/12/2099,35,06/07/2025,OM4JST
OM/BB-004,Slovakia,Banskobystrick,"Veľká Vápenica",1691,5548,19.9818,48.9139,19.98180,48.91390,8,3,01/12/2011,31/12/2099,9,15/09/2024,OM/F4JYM/P
OM/BB-005,Slovakia,Banskobystrick,Beňuška,1542,5059,19.7328,48.8803,19.73280,48.88030,6,3,01/12/2011,31/12/2099,29,22/12/2025,OM1ALT/P
