SOTA Summits List (Date=05/06/2026)
SummitCode,AssociationName,RegionName,SummitName,AltM,AltFt,GridRef1,GridRef2,Longitude,Latitude,Points,BonusPoints,ValidFrom,ValidTo,ActivationCount,ActivationDate,ActivationCall
ON/ON-001,Belgium,Belgium,"Signal de Botrange",694,2277,6.0924,50.5016,6.09240,50.50160,8,3,01/07/2007,31/12/2099,395,24/05/2026,ON/PC9DB/P
ON/ON-002,Belgium,Belgium,"Baraque Michel",674,2211,6.0625,50.5186,6.06250,50.51860,8,3,01/07/2007,31/12/2008,9,04/10/2008,ON/DL8YR/P
ON/ON-003,Belgium,Belgium,"Baraque de Fraiture",652,2139,5.7264,50.25,5.72640,50.25000,8,3,01/07/2007,31/12/2008,7,24/02/2008,ON/F6ENO/P
ON/ON-004,Belgium,Belgium,"Bois de Hazeille",586,1923,5.4267,50.0328,5.42670,50.03280,6,3,01/07/2007,31/12/2099,191,03/03/2026,ON/DL6FBK/P
ON/ON-005,Belgium,Belgium,Recogne-Bastogne,569,1867,5.7264,50.0436,5.72640,50.04360,6,3,01/07/2007,31/12/2008,6,09/12/2007,ON6DSL/P
ON/ON-006,Belgium,Belgium,"La Croix Scaille",503,1650,4.8447,49.9511,4.84470,49.95110,6,3,01/10/2011,31/12/2099,200,25/05/2026,ON/PE1EEC/P
ON/ON-007,Belgium,Belgium,Preusswald,400,1312,6.035,50.7442,6.03500,50.74420,4,0,01/07/2007,31/12/2008,8,02/08/2008,ON/PA0HRM/P
ON/ON-008,Belgium,Belgium,Kemmelberg,159,522,2.8131,50.7792,2.81310,50.77920,1,0,01/07/2007,31/12/2008,16,28/09/2008,ON/G4HUN/P
ON/ON-009,Belgium,Belgium,Iverst,693,2274,6.3697,50.4083,6.36970,50.40830,8,3,01/04/2016,31/12/2099,228,24/05/2026,ON/PC9DB/P
ON/ON-010,Belgium,Belgium,"Baraque Fraiture",651,2136,5.7302,50.2509,5.73020,50.25090,8,3,01/01/2009,31/12/2099,310,16/05/2026,ON/PC9DB/P
ON/ON-011,Belgium,Belgium,"Sur Clair Fa",601,1972,5.9775,50.3306,5.97750,50.33060,8,3,01/01/2009,31/12/2099,233,09/04/2026,ON/PA4N
ON/ON-012,Belgium,Belgium,Wolfsbusch,596,1955,6.095,50.3583,6.09500,50.35830,6,3,01/01/2009,30/09/2011,20,29/09/2011,ON6UU/P
