SOTA Summits List (Date=05/06/2026)
SummitCode,AssociationName,RegionName,SummitName,AltM,AltFt,GridRef1,GridRef2,Longitude,Latitude,Points,BonusPoints,ValidFrom,ValidTo,ActivationCount,ActivationDate,ActivationCall
OY/OY-001,Faroes,"Faroe Islands",Slættaratindur,882,2893,-7.0132,62.2967,-7.01320,62.29670,10,3,01/04/2017,31/12/2099,11,23/09/2025,OY/WN2G/P
OY/OY-002,Faroes,"Faroe Islands",Gráfelli,856,2808,-6.9987,62.3107,-6.99870,62.31070,10,3,01/04/2017,31/12/2099,2,24/05/2025,OY/SQ9X/P
OY/OY-003,Faroes,"Faroe Islands",Villingadalsfjall,841,2759,-6.5563,62.3809,-6.55630,62.38090,10,3,01/04/2017,31/12/2099,6,29/05/2025,OY/SQ9X/P
OY/OY-004,Faroes,"Faroe Islands",Kúvingafjall,830,2723,-6.6699,62.3147,-6.66990,62.31470,10,3,01/04/2017,31/12/2099,1,29/05/2025,OY/SQ9X/P
OY/OY-005,Faroes,"Faroe Islands",Kunoyarnakkur,819,2687,-6.6908,62.3634,-6.69080,62.36340,10,3,01/04/2017,31/12/2099,0,,
OY/OY-006,Faroes,"Faroe Islands",Havnartindur,818,2683,-6.6892,62.3411,-6.68920,62.34110,10,3,01/04/2017,31/12/2099,0,,
OY/OY-007,Faroes,"Faroe Islands",Urðafjall,817,2680,-6.6414,62.2929,-6.64140,62.29290,10,3,01/04/2017,31/12/2099,0,,
OY/OY-008,Faroes,"Faroe Islands",Svartbakstindur,801,2627,-6.9979,62.2564,-6.99790,62.25640,10,3,01/04/2017,31/12/2099,1,25/05/2025,OY/SQ9X/P
OY/OY-009,Faroes,"Faroe Islands",Kopsenni,789,2588,-7.2067,62.2285,-7.20670,62.22850,8,3,01/04/2017,31/12/2099,0,,
OY/OY-010,Faroes,"Faroe Islands",Nestindar,788,2585,-6.7983,62.3507,-6.79830,62.35070,8,3,01/04/2017,31/12/2099,0,,
OY/OY-011,Faroes,"Faroe Islands",Múlatindur,786,2578,-6.9027,62.2354,-6.90270,62.23540,8,3,01/04/2017,31/12/2099,0,,
OY/OY-012,Faroes,"Faroe Islands",Ørvisfelli,783,2568,-7.1568,62.2085,-7.15680,62.20850,8,3,01/04/2017,31/12/2099,1,28/05/2025,OY/SQ9X/P
OY/OY-013,Faroes,"Faroe Islands","Norðan fyri Lokkaskarð",772,2532,-6.566,62.2952,-6.56600,62.29520,8,3,01/04/2017,31/12/2099,0,,
OY/OY-014,Faroes,"Faroe Islands",Skælingur,767,2516,-6.9864,62.0898,-6.98640,62.08980,8,3,01/04/2017,31/12/2099,0,,
OY/OY-015,Faroes,"Faroe Islands",Melin,764,2506,-7.1711,62.2658,-7.17110,62.26580,8,3,01/04/2017,31/12/2099,0,,
OY/OY-016,Faroes,"Faroe Islands",Reyðafelstindur,764,2506,-6.8624,62.1741,-6.86240,62.17410,8,3,01/04/2017,31/12/2099,0,,
OY/OY-017,Faroes,"Faroe Islands",Halgafelstindur,757,2483,-6.9048,62.1932,-6.90480,62.19320,8,3,01/04/2017,31/12/2099,0,,
OY/OY-018,Faroes,"Faroe Islands",Mosarøkur,756,2480,-7.1838,62.1979,-7.18380,62.19790,8,3,01/04/2017,31/12/2099,1,28/05/2025,OY/SQ9X/P
OY/OY-019,Faroes,"Faroe Islands",Sandfelli,752,2467,-6.9886,62.3194,-6.98860,62.31940,8,3,01/04/2017,31/12/2099,1,24/05/2025,OY/SQ9X/P
OY/OY-020,Faroes,"Faroe Islands",Malinsfjall,750,2460,-6.539,62.3445,-6.53900,62.34450,8,3,01/04/2017,31/12/2099,1,28/06/2024,OY/KK7BCO
OY/OY-021,Faroes,"Faroe Islands",Sornfelli,749,2457,-6.9665,62.0689,-6.96650,62.06890,8,3,01/04/2017,31/12/2099,6,12/05/2026,OY/N3AE
OY/OY-022,Faroes,"Faroe Islands",Sneis,747,2450,-7.0464,62.1659,-7.04640,62.16590,8,3,01/04/2017,31/12/2099,1,27/05/2025,OY/SQ9X/P
OY/OY-023,Faroes,"Faroe Islands",Botnstindur,744,2440,-6.6923,62.2439,-6.69230,62.24390,8,3,01/04/2017,31/12/2099,0,,
OY/OY-024,Faroes,"Faroe Islands",Blábjorg,732,2401,-6.8623,62.2363,-6.86230,62.23630,8,3,01/04/2017,31/12/2099,0,,
OY/OY-025,Faroes,"Faroe Islands",Vaðhorn,727,2385,-7.0136,62.2783,-7.01360,62.27830,8,3,01/04/2017,31/12/2099,3,25/05/2025,OY/SQ9X/P
OY/OY-026,Faroes,"Faroe Islands",Arnafjall,722,2368,-7.4361,62.1314,-7.43610,62.13140,8,3,01/04/2017,31/12/2099,0,,
OY/OY-027,Faroes,"Faroe Islands",Dalkinsfjall,719,2358,-6.9249,62.2539,-6.92490,62.25390,8,3,01/04/2017,31/12/2099,0,,
OY/OY-028,Faroes,"Faroe Islands",Arnadalstindur,718,2355,-6.9573,62.1331,-6.95730,62.13310,8,3,01/04/2017,31/12/2099,0,,
OY/OY-029,Faroes,"Faroe Islands",Eysturtindur,715,2345,-7.3976,62.1172,-7.39760,62.11720,8,3,01/04/2017,31/12/2099,1,23/05/2025,OY/SQ9X/P
OY/OY-030,Faroes,"Faroe Islands",Stigarnir,710,2329,-7.1298,62.1895,-7.12980,62.18950,8,3,01/04/2017,31/12/2099,1,28/05/2025,OY/SQ9X/P
OY/OY-031,Faroes,"Faroe Islands",Knúkur,699,2293,-6.9437,62.209,-6.94370,62.20900,6,3,01/04/2017,31/12/2099,0,,
OY/OY-032,Faroes,"Faroe Islands",Húsafjall,695,2280,-6.9755,62.2742,-6.97550,62.27420,6,3,01/04/2017,31/12/2099,0,,
OY/OY-033,Faroes,"Faroe Islands","Heyggurin Mikli",692,2270,-7.1816,62.2827,-7.18160,62.28270,6,3,01/04/2017,31/12/2099,0,,
OY/OY-034,Faroes,"Faroe Islands",Myrkjanoyrarfjall,689,2260,-6.5617,62.2484,-6.56170,62.24840,6,3,01/04/2017,31/12/2099,0,,
OY/OY-035,Faroes,"Faroe Islands",Filthatturin,688,2257,-6.503,62.3193,-6.50300,62.31930,6,3,01/04/2017,31/12/2099,0,,
OY/OY-036,Faroes,"Faroe Islands",Malinstindur,683,2240,-7.1268,62.0766,-7.12680,62.07660,6,3,01/04/2017,31/12/2099,1,27/05/2025,OY/SQ9X/P
OY/OY-037,Faroes,"Faroe Islands",Gjógvarafjall,678,2224,-6.8509,62.2267,-6.85090,62.22670,6,3,01/04/2017,31/12/2099,0,,
OY/OY-038,Faroes,"Faroe Islands",Reynsatindar,676,2217,-7.1878,62.0821,-7.18780,62.08210,6,3,01/04/2017,31/12/2099,0,,
OY/OY-039,Faroes,"Faroe Islands",Miðalfelli,655,2148,-6.9741,62.2351,-6.97410,62.23510,6,3,01/04/2017,31/12/2099,0,,
OY/OY-040,Faroes,"Faroe Islands",Enni,651,2135,-6.4889,62.2974,-6.48890,62.29740,6,3,01/04/2017,31/12/2099,0,,
OY/OY-041,Faroes,"Faroe Islands",Háfjall,648,2125,-6.5862,62.2096,-6.58620,62.20960,6,3,01/04/2017,31/12/2099,0,,
OY/OY-042,Faroes,"Faroe Islands",Hattardalstindur,644,2112,-6.7379,62.292,-6.73790,62.29200,6,3,01/04/2017,31/12/2099,0,,
OY/OY-043,Faroes,"Faroe Islands",Snæfelli,644,2112,-6.5633,62.2625,-6.56330,62.26250,6,3,01/04/2017,31/12/2099,0,,
OY/OY-044,Faroes,"Faroe Islands",Krúnufjall,642,2106,-6.5021,62.2652,-6.50210,62.26520,6,3,01/04/2017,31/12/2099,0,,
OY/OY-045,Faroes,"Faroe Islands",Ritafjall,641,2103,-6.7514,62.2138,-6.75140,62.21380,6,3,01/04/2017,31/12/2099,0,,
OY/OY-046,Faroes,"Faroe Islands",Tyril,639,2096,-6.7988,62.2028,-6.79880,62.20280,6,3,01/04/2017,31/12/2099,0,,
OY/OY-047,Faroes,"Faroe Islands",Loysingafjall,639,2096,-7.1218,62.1696,-7.12180,62.16960,6,3,01/04/2017,31/12/2099,1,08/08/2018,OY/HB9GKR/P
OY/OY-048,Faroes,"Faroe Islands",Høvdin,635,2083,-7.2312,62.2551,-7.23120,62.25510,6,3,01/04/2017,31/12/2099,0,,
OY/OY-049,Faroes,"Faroe Islands",Húsafelli,626,2053,-6.7944,62.2512,-6.79440,62.25120,6,3,01/04/2017,31/12/2099,0,,
OY/OY-050,Faroes,"Faroe Islands",Postulakirkja,626,2053,-7.2155,62.189,-7.21550,62.18900,6,3,01/04/2017,31/12/2099,1,28/05/2025,OY/SQ9X/P
OY/OY-051,Faroes,"Faroe Islands",Gøtunestindur,625,2050,-6.6481,62.1895,-6.64810,62.18950,6,3,01/04/2017,31/12/2099,0,,
OY/OY-052,Faroes,"Faroe Islands",Klubbin,621,2037,-6.3221,62.3396,-6.32210,62.33960,6,3,01/04/2017,31/12/2099,0,,
OY/OY-053,Faroes,"Faroe Islands",Sátan,621,2037,-7.0091,62.1141,-7.00910,62.11410,6,3,01/04/2017,31/12/2099,0,,
OY/OY-054,Faroes,"Faroe Islands",Egilsfjall,618,2027,-7.0885,62.1387,-7.08850,62.13870,6,3,01/04/2017,31/12/2099,0,,
