SOTA Summits List (Date=05/06/2026)
SummitCode,AssociationName,RegionName,SummitName,AltM,AltFt,GridRef1,GridRef2,Longitude,Latitude,Points,BonusPoints,ValidFrom,ValidTo,ActivationCount,ActivationDate,ActivationCall
OZ/OZ-001,Denmark,Denmark,"Yding Skovhøj",172,564,9.7959,55.9927,9.79590,55.99270,1,0,01/04/2010,31/12/2099,55,13/04/2026,OZ/DL6AP
OZ/OZ-002,Denmark,Denmark,Rytterknægten,162,531,14.8898,55.1115,14.88980,55.11150,1,0,01/04/2010,31/12/2099,30,02/01/2026,OZ/DM5TM/P
OZ/OZ-003,Denmark,Denmark,"Rye Sønderskov",162,531,9.6696,56.0857,9.66960,56.08570,1,0,01/04/2010,31/12/2099,26,24/09/2025,OZ/GM4COX/P
OZ/OZ-004,Denmark,Denmark,"Sorring Låddenhøj",147,482,9.7903,56.1813,9.79030,56.18130,1,0,01/04/2010,31/12/2099,31,04/06/2026,OZ/DL2KL/P
OZ/OZ-005,Denmark,Denmark,Aborrebjerg,143,469,12.5319,54.9802,12.53190,54.98020,1,0,01/04/2010,31/12/2099,34,24/05/2026,OZ/OE5WOL
OZ/OZ-006,Denmark,Denmark,"Agri Bavnehøj",138,452,10.5365,56.2299,10.53650,56.22990,1,0,01/04/2010,31/12/2099,31,14/04/2026,OZ/DL6AP
OZ/OZ-007,Denmark,Denmark,Knøsen,136,446,10.2925,57.1950,10.29250,57.19500,1,0,01/04/2010,31/12/2099,48,22/12/2025,OZ/LB5UJ/P
OZ/OZ-008,Denmark,Denmark,Lysnet,131,429,9.9718,56.3720,9.97180,56.37200,1,0,01/04/2010,31/12/2099,36,03/06/2026,OZ/DL2KL/P
OZ/OZ-009,Denmark,Denmark,"Frøbjerg Bavnehøj",132,433,10.1177,55.3391,10.11770,55.33910,1,0,01/04/2010,31/12/2099,45,16/08/2025,OZ1NKS/P
OZ/OZ-010,Denmark,Denmark,"Gyldenløves Høj",124,406,11.8560,55.5486,11.85600,55.54860,1,0,01/04/2010,31/12/2099,40,28/05/2026,OZ/HB9DQM/P
OZ/OZ-011,Denmark,Denmark,Vejrhøj,121,396,11.3960,55.7931,11.39600,55.79310,1,0,01/04/2010,31/12/2099,29,03/07/2025,OZ/YT2ET/P
OZ/OZ-012,Denmark,Denmark,Sølehøj,116,380,10.0236,56.6255,10.02360,56.62550,1,0,01/04/2010,31/12/2099,26,15/08/2025,OZ1NKS/P
