SOTA Summits List (Date=05/06/2026)
SummitCode,AssociationName,RegionName,SummitName,AltM,AltFt,GridRef1,GridRef2,Longitude,Latitude,Points,BonusPoints,ValidFrom,ValidTo,ActivationCount,ActivationDate,ActivationCall
PP1/AC-001,"Brazil - Espírito Santo","Afonso Cláudio","Pico da Pedra Azul",1909,6263,-41.0161,-20.4093,-41.01610,-20.40930,10,3,01/04/2021,31/12/2099,0,,
PP1/AC-002,"Brazil - Espírito Santo","Afonso Cláudio","Serra do Redentor",1890,6200,-40.9966,-20.4270,-40.99660,-20.42700,10,3,01/04/2021,31/12/2099,0,,
PP1/AC-003,"Brazil - Espírito Santo","Afonso Cláudio","Pico do Dedo",1822,5977,-41.0231,-20.4028,-41.02310,-20.40280,10,3,01/04/2021,31/12/2099,0,,
PP1/AC-004,"Brazil - Espírito Santo","Afonso Cláudio","Pedra do Campo",1548,5078,-41.1371,-20.2882,-41.13710,-20.28820,10,3,01/04/2021,31/12/2099,0,,
PP1/AC-005,"Brazil - Espírito Santo","Afonso Cláudio","Serra da Mata Fria",1486,4875,-41.1578,-20.2825,-41.15780,-20.28250,10,0,01/04/2021,31/12/2099,0,,
PP1/AC-006,"Brazil - Espírito Santo","Afonso Cláudio","Pedra do Rego",1441,4727,-41.1672,-20.3014,-41.16720,-20.30140,10,0,01/04/2021,31/12/2099,0,,
PP1/AC-007,"Brazil - Espírito Santo","Afonso Cláudio","Pedra Brejaúba",1400,4593,-41.2694,-20.1683,-41.26940,-20.16830,10,0,01/04/2021,31/12/2099,0,,
PP1/AC-008,"Brazil - Espírito Santo","Afonso Cláudio","Pinga Fogo",1380,4527,-41.2389,-20.2772,-41.23890,-20.27720,10,0,01/04/2021,31/12/2099,0,,
PP1/AC-009,"Brazil - Espírito Santo","Afonso Cláudio",PP1/AC-009,1371,4498,-41.2696,-20.2123,-41.26960,-20.21230,10,0,01/04/2021,31/12/2099,0,,
PP1/AC-010,"Brazil - Espírito Santo","Afonso Cláudio",PP1/AC-010,1365,4478,-41.2604,-20.2035,-41.26040,-20.20350,10,0,01/04/2021,31/12/2099,0,,
PP1/AC-011,"Brazil - Espírito Santo","Afonso Cláudio",Aracê,1342,4402,-41.0136,-20.3852,-41.01360,-20.38520,10,0,01/04/2021,31/12/2099,0,,
PP1/AC-012,"Brazil - Espírito Santo","Afonso Cláudio","Pedra Monte Feio",1319,4327,-41.2805,-20.1876,-41.28050,-20.18760,10,0,01/04/2021,31/12/2099,0,,
PP1/AC-013,"Brazil - Espírito Santo","Afonso Cláudio","Alto Santa Maria",1306,4284,-40.9732,-20.2204,-40.97320,-20.22040,10,0,01/04/2021,31/12/2099,0,,
PP1/AC-014,"Brazil - Espírito Santo","Afonso Cláudio","Pedra da Lajinha",1300,4265,-41.0981,-20.0075,-41.09810,-20.00750,10,0,01/04/2021,31/12/2099,0,,
PP1/AC-015,"Brazil - Espírito Santo","Afonso Cláudio",PP1/AC-015,1295,4248,-41.2572,-20.2735,-41.25720,-20.27350,10,0,01/04/2021,31/12/2099,0,,
