SOTA Summits List (Date=05/06/2026)
SummitCode,AssociationName,RegionName,SummitName,AltM,AltFt,GridRef1,GridRef2,Longitude,Latitude,Points,BonusPoints,ValidFrom,ValidTo,ActivationCount,ActivationDate,ActivationCall
PQ2/AG-001,"Brazil - Tocantins",Araguaína,"Serra Mariano Gomes",710,2329,-48.6393,-8.2359,-48.63930,-8.23590,6,0,01/11/2019,31/12/2099,0,,
PQ2/AG-002,"Brazil - Tocantins",Araguaína,"Morro do Fernando",699,2293,-48.6545,-8.0529,-48.65450,-8.05290,6,0,01/11/2019,31/12/2099,0,,
PQ2/AG-003,"Brazil - Tocantins",Araguaína,"Morro Alberto Guerra",670,2198,-48.6643,-8.0065,-48.66430,-8.00650,6,0,01/11/2019,31/12/2099,0,,
PQ2/AG-004,"Brazil - Tocantins",Araguaína,"Serra da Boa Sorte",618,2027,-48.5328,-7.5471,-48.53280,-7.54710,4,0,01/11/2019,31/12/2099,0,,
PQ2/AG-005,"Brazil - Tocantins",Araguaína,PQ2/AG-005,602,1975,-48.6718,-7.9362,-48.67180,-7.93620,4,0,01/11/2019,31/12/2099,0,,
PQ2/AG-006,"Brazil - Tocantins",Araguaína,"Serra do Bodocó",562,1843,-48.4249,-6.5084,-48.42490,-6.50840,4,0,01/11/2019,31/12/2099,0,,
PQ2/AG-007,"Brazil - Tocantins",Araguaína,"Morro da Velha",550,1804,-48.5349,-7.1489,-48.53490,-7.14890,4,0,01/11/2019,31/12/2099,0,,
PQ2/AG-008,"Brazil - Tocantins",Araguaína,"Serra Verde",509,1669,-48.4375,-6.4570,-48.43750,-6.45700,2,0,01/11/2019,31/12/2099,0,,
PQ2/AG-009,"Brazil - Tocantins",Araguaína,"Serra do Justino",503,1650,-47.6419,-7.4081,-47.64190,-7.40810,2,0,01/11/2019,31/12/2099,0,,
PQ2/AG-010,"Brazil - Tocantins",Araguaína,"Serra da Borboleta",494,1620,-48.6724,-7.8505,-48.67240,-7.85050,2,0,01/11/2019,31/12/2099,0,,
PQ2/AG-011,"Brazil - Tocantins",Araguaína,"Morro da Jacuba",490,1607,-47.6010,-7.3413,-47.60100,-7.34130,2,0,01/11/2019,31/12/2099,0,,
PQ2/AG-012,"Brazil - Tocantins",Araguaína,"Morro da Carregadeira",486,1594,-47.7039,-7.3559,-47.70390,-7.35590,2,0,01/11/2019,31/12/2099,0,,
PQ2/AG-013,"Brazil - Tocantins",Araguaína,"Morro da Saudade",470,1541,-48.4006,-6.6218,-48.40060,-6.62180,2,0,01/11/2019,31/12/2099,0,,
PQ2/AG-014,"Brazil - Tocantins",Araguaína,"Serra Três Morros",467,1532,-47.6827,-7.2831,-47.68270,-7.28310,2,0,01/11/2019,31/12/2099,0,,
PQ2/AG-015,"Brazil - Tocantins",Araguaína,"Morro São Miguel - Oeste",467,1532,-47.7782,-7.2829,-47.77820,-7.28290,2,0,01/11/2019,31/12/2099,0,,
PQ2/AG-016,"Brazil - Tocantins",Araguaína,"Morro da Cabeceira",464,1522,-47.7230,-7.2586,-47.72300,-7.25860,2,0,01/11/2019,31/12/2099,0,,
PQ2/AG-017,"Brazil - Tocantins",Araguaína,"Serra dos Três Morros",463,1519,-47.6841,-7.2961,-47.68410,-7.29610,2,0,01/11/2019,31/12/2099,0,,
PQ2/AG-018,"Brazil - Tocantins",Araguaína,"Moro do Vital",462,1515,-47.7555,-7.2634,-47.75550,-7.26340,2,0,01/11/2019,31/12/2099,0,,
